,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
0,1,11:29.0,,D. Jordan makes 2-pt layup from 2 ft (assist by J. Redick),0,2
1,1,11:19.0,T. Mozgov makes 2-pt dunk at rim (assist by J. Randle),,2,2
2,1,11:08.0,,J. Redick misses 3-pt jump shot from 24 ft,2,2
3,1,11:06.0,Defensive rebound by J. Randle,,2,2
4,1,10:59.0,N. Young misses 3-pt jump shot from 25 ft,,2,2
5,1,10:58.0,,Defensive rebound by D. Jordan,2,2
6,1,10:49.0,,C. Paul makes 2-pt jump shot from 14 ft,2,4
7,1,10:34.0,Turnover by L. Williams (bad pass; steal by D. Jordan),,2,4
8,1,10:28.0,,J. Redick makes 2-pt layup from 1 ft (assist by C. Paul),2,6
9,1,10:08.0,J. Randle misses 2-pt jump shot from 17 ft,,2,6
10,1,10:07.0,,Defensive rebound by D. Jordan,2,6
11,1,10:00.0,,C. Paul misses 3-pt jump shot from 25 ft,2,6
12,1,9:59.0,Defensive rebound by D. Russell,,2,6
13,1,9:50.0,N. Young misses 3-pt jump shot from 24 ft,,2,6
14,1,9:48.0,,Defensive rebound by C. Paul,2,6
15,1,9:42.0,,A. Rivers makes 2-pt layup from 2 ft (assist by C. Paul),2,8
16,1,9:26.0,L. Williams makes 2-pt layup from 2 ft,,4,8
17,1,9:13.0,,A. Rivers makes 2-pt jump shot from 13 ft,4,10
18,1,9:03.0,Turnover by Team (back court),,4,10
19,1,8:57.0,,C. Paul misses 2-pt jump shot from 16 ft,4,10
20,1,8:55.0,Defensive rebound by D. Russell,,4,10
21,1,8:45.0,Personal foul by J. Redick (drawn by D. Russell),,4,10
22,1,8:36.0,D. Russell misses 2-pt jump shot from 13 ft,,4,10
23,1,8:34.0,,Defensive rebound by D. Jordan,4,10
24,1,8:32.0,,Personal block foul by T. Mozgov (drawn by C. Paul),4,10
25,1,8:17.0,,Turnover by C. Paul (bad pass),4,10
26,1,8:05.0,Personal foul by L. Mbah a Moute (drawn by J. Randle),,4,10
27,1,7:50.0,Turnover by J. Randle (traveling),,4,10
28,1,7:41.0,,J. Redick misses 3-pt jump shot from 25 ft,4,10
29,1,7:41.0,Defensive rebound by D. Russell,,4,10
30,1,7:25.0,L. Williams misses 2-pt layup from 2 ft,,4,10
31,1,7:25.0,Offensive rebound by Team,,4,10
32,1,7:25.0,,Loose ball foul by C. Paul (drawn by T. Mozgov),4,10
33,1,7:16.0,D. Russell misses 2-pt jump shot from 14 ft,,4,10
34,1,7:14.0,,Defensive rebound by D. Jordan,4,10
35,1,7:13.0,,Turnover by C. Paul (bad pass),4,10
36,1,7:01.0,T. Mozgov makes 2-pt layup at rim (assist by D. Russell),,6,10
37,1,6:46.0,,A. Rivers misses 2-pt jump shot from 9 ft,6,10
38,1,6:46.0,,Offensive rebound by Team,6,10
39,1,6:46.0,Loose ball foul by J. Randle (drawn by D. Jordan),,6,10
40,1,6:35.0,,Turnover by C. Paul (bad pass; steal by N. Young),6,10
41,1,6:30.0,N. Young makes 2-pt layup from 1 ft,,8,10
42,1,6:17.0,,A. Rivers makes 3-pt jump shot from 24 ft,8,13
43,1,6:00.0,Turnover by D. Russell (lost ball),,8,13
44,1,5:49.0,,L. Mbah a Moute misses 2-pt jump shot from 18 ft,8,13
45,1,5:48.0,Defensive rebound by L. Williams,,8,13
46,1,5:40.0,L. Williams misses 2-pt jump shot from 12 ft,,8,13
47,1,5:37.0,,Defensive rebound by D. Jordan,8,13
48,1,5:23.0,,C. Paul makes 3-pt jump shot from 23 ft,8,16
49,1,5:23.0,LA Lakers full timeout,,8,16
50,1,5:23.0,Violation by Team (jump ball),,8,16
51,1,5:16.0,Offensive foul by T. Mozgov (drawn by C. Paul),,8,16
52,1,5:16.0,Turnover by T. Mozgov (offensive foul),,8,16
53,1,5:01.0,,J. Redick misses 3-pt jump shot from 25 ft,8,16
54,1,5:01.0,Defensive rebound by J. Randle,,8,16
55,1,4:52.0,N. Young misses 2-pt layup from 1 ft,,8,16
56,1,4:51.0,,Defensive rebound by D. Jordan,8,16
57,1,4:51.0,,Personal foul by L. Williams,8,16
58,1,4:51.0,J. Clarkson enters the game for L. Williams,,8,16
59,1,4:38.0,,C. Paul misses 2-pt jump shot from 15 ft,8,16
60,1,4:36.0,Defensive rebound by J. Clarkson,,8,16
61,1,4:14.0,T. Mozgov misses 2-pt jump shot from 20 ft,,8,16
62,1,4:13.0,,Defensive rebound by A. Rivers,8,16
63,1,4:03.0,,A. Rivers makes 2-pt jump shot from 8 ft,8,18
64,1,3:47.0,D. Russell misses 2-pt jump shot from 8 ft,,8,18
65,1,3:46.0,,Defensive rebound by D. Jordan,8,18
66,1,3:24.0,,L. Mbah a Moute misses 2-pt jump shot from 17 ft,8,18
67,1,3:22.0,Defensive rebound by J. Clarkson,,8,18
68,1,3:12.0,J. Randle misses 2-pt jump shot from 14 ft,,8,18
69,1,3:08.0,Offensive rebound by T. Mozgov,,8,18
70,1,3:08.0,T. Mozgov misses 2-pt layup from 1 ft,,8,18
71,1,3:08.0,,Defensive rebound by D. Jordan,8,18
72,1,3:03.0,,A. Rivers misses 3-pt jump shot from 25 ft,8,18
73,1,3:02.0,Defensive rebound by T. Mozgov,,8,18
74,1,2:56.0,,Offensive charge foul by J. Clarkson (drawn by J. Redick),8,18
75,1,2:56.0,Turnover by J. Clarkson (offensive foul),,8,18
76,1,2:56.0,,LA Clippers full timeout,8,18
77,1,2:56.0,B. Ingram enters the game for J. Randle,,8,18
78,1,2:56.0,T. Black enters the game for T. Mozgov,,8,18
79,1,2:56.0,T. Robinson enters the game for D. Russell,,8,18
80,1,2:56.0,,J. Crawford enters the game for J. Redick,8,18
81,1,2:56.0,,R. Felton enters the game for C. Paul,8,18
82,1,2:42.0,,Personal foul by N. Young (drawn by A. Rivers),8,18
83,1,2:35.0,,R. Felton makes 3-pt jump shot from 25 ft (assist by A. Rivers),8,21
84,1,2:16.0,J. Clarkson makes 2-pt jump shot from 11 ft,,10,21
85,1,2:03.0,,A. Rivers misses 3-pt jump shot from 25 ft,10,21
86,1,2:03.0,Defensive rebound by T. Robinson,,10,21
87,1,1:53.0,J. Clarkson misses 2-pt layup from 2 ft,,10,21
88,1,1:46.0,,Defensive rebound by L. Mbah a Moute,10,21
89,1,1:44.0,,J. Crawford misses 2-pt jump shot from 18 ft,10,21
90,1,1:43.0,Defensive rebound by T. Black,,10,21
91,1,1:36.0,Personal foul by J. Crawford (drawn by B. Ingram),,10,21
92,1,1:36.0,,W. Johnson enters the game for L. Mbah a Moute,10,21
93,1,1:36.0,,M. Speights enters the game for D. Jordan,10,21
94,1,1:36.0,,B. Bass enters the game for A. Rivers,10,21
95,1,1:24.0,B. Ingram misses 2-pt jump shot from 14 ft,,10,21
96,1,1:22.0,,Defensive rebound by W. Johnson,10,21
97,1,1:18.0,,M. Speights makes 2-pt layup from 1 ft (assist by J. Crawford),10,23
98,1,1:03.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by B. Ingram),,13,23
99,1,0:59.0,,Away from play foul by T. Robinson (drawn by M. Speights),13,23
100,1,0:59.0,,M. Speights makes free throw 1 of 1,13,24
101,1,0:47.0,,B. Bass makes 2-pt jump shot from 9 ft (assist by J. Crawford),13,26
102,1,0:36.0,T. Robinson makes 2-pt jump shot from 8 ft (assist by J. Clarkson),,15,26
103,1,0:28.0,,J. Crawford misses 3-pt jump shot from 25 ft,15,26
104,1,0:28.0,Defensive rebound by B. Ingram,,15,26
105,1,0:06.0,T. Robinson misses 2-pt layup from 1 ft,,15,26
106,1,0:05.0,,Defensive rebound by Team,15,26
107,1,0:05.0,,C. Paul enters the game for B. Bass,15,26
108,1,0:05.0,D. Russell enters the game for T. Black,,15,26
109,1,0:01.0,,R. Felton misses 2-pt jump shot from 20 ft,15,26
110,1,0:00.0,,Offensive rebound by Team,15,26
111,2,11:48.0,B. Ingram makes 2-pt layup from 1 ft,,17,26
112,2,11:31.0,,M. Speights makes 3-pt jump shot from 23 ft (assist by J. Crawford),17,29
113,2,11:16.0,T. Black misses 2-pt dunk at rim (block by W. Johnson),,17,29
114,2,11:16.0,Offensive rebound by Team,,17,29
115,2,11:10.0,L. Williams makes 3-pt jump shot from 24 ft,,20,29
116,2,10:45.0,,J. Crawford misses 2-pt jump shot from 18 ft,20,29
117,2,10:43.0,Defensive rebound by T. Robinson,,20,29
118,2,10:37.0,Shooting foul by M. Speights (drawn by T. Robinson),,20,29
119,2,10:37.0,,LA Clippers full timeout,20,29
120,2,10:37.0,T. Robinson misses free throw 1 of 2,,20,29
121,2,10:37.0,Offensive rebound by Team,,20,29
122,2,10:37.0,T. Robinson misses free throw 2 of 2,,20,29
123,2,10:35.0,,Defensive rebound by M. Speights,20,29
124,2,10:23.0,,R. Felton makes 2-pt jump shot from 9 ft,20,31
125,2,10:04.0,J. Clarkson makes 2-pt jump shot from 20 ft,,22,31
126,2,9:51.0,,J. Crawford misses 2-pt jump shot from 8 ft (block by T. Black),22,31
127,2,9:51.0,Defensive rebound by Team,,22,31
128,2,9:31.0,,Offensive charge foul by T. Black (drawn by M. Speights),22,31
129,2,9:31.0,Turnover by T. Black (offensive foul),,22,31
130,2,9:12.0,,M. Speights makes 3-pt jump shot from 25 ft (assist by R. Felton),22,34
131,2,8:53.0,T. Robinson misses 2-pt layup from 2 ft,,22,34
132,2,8:52.0,,Defensive rebound by B. Bass,22,34
133,2,8:37.0,,R. Felton makes 2-pt layup from 2 ft (assist by J. Crawford),22,36
134,2,8:35.0,LA Lakers full timeout,,22,36
135,2,8:35.0,J. Randle enters the game for T. Robinson,,22,36
136,2,8:25.0,J. Clarkson misses 2-pt jump shot from 23 ft,,22,36
137,2,8:25.0,Offensive rebound by T. Black,,22,36
138,2,8:25.0,Personal foul by B. Bass (drawn by T. Black),,22,36
139,2,8:19.0,Shooting foul by W. Johnson (drawn by J. Clarkson),,22,36
140,2,8:19.0,J. Clarkson makes free throw 1 of 2,,23,36
141,2,8:19.0,J. Clarkson makes free throw 2 of 2,,24,36
142,2,8:01.0,,J. Crawford misses 2-pt jump shot from 17 ft,24,36
143,2,8:00.0,Defensive rebound by J. Clarkson,,24,36
144,2,7:51.0,L. Williams misses 2-pt layup from 1 ft (block by M. Speights),,24,36
145,2,7:50.0,,Defensive rebound by R. Felton,24,36
146,2,7:46.0,,B. Bass makes 2-pt dunk from 1 ft (assist by R. Felton),24,38
147,2,7:23.0,L. Williams misses 3-pt jump shot from 28 ft,,24,38
148,2,7:23.0,Offensive rebound by Team,,24,38
149,2,7:23.0,,Loose ball foul by M. Speights (drawn by T. Black),24,38
150,2,7:23.0,,C. Paul enters the game for W. Johnson,24,38
151,2,7:04.0,J. Randle makes 2-pt jump shot from 20 ft (assist by L. Williams),,26,38
152,2,6:51.0,,R. Felton misses 2-pt jump shot from 20 ft,26,38
153,2,6:49.0,Defensive rebound by J. Randle,,26,38
154,2,6:45.0,L. Williams misses 2-pt jump shot from 12 ft,,26,38
155,2,6:45.0,,Defensive rebound by Team,26,38
156,2,6:45.0,Loose ball foul by T. Black (drawn by B. Bass),,26,38
157,2,6:45.0,,D. Jordan enters the game for J. Crawford,26,38
158,2,6:45.0,,J. Redick enters the game for B. Bass,26,38
159,2,6:45.0,D. Russell enters the game for L. Williams,,26,38
160,2,6:20.0,,D. Jordan makes 2-pt layup from 2 ft (assist by C. Paul),26,40
161,2,6:04.0,B. Ingram misses 2-pt jump shot from 7 ft,,26,40
162,2,6:03.0,Offensive rebound by J. Randle,,26,40
163,2,6:02.0,Turnover by J. Randle (bad pass),,26,40
164,2,6:02.0,,A. Rivers enters the game for R. Felton,26,40
165,2,5:49.0,,M. Speights misses 3-pt jump shot from 25 ft,26,40
166,2,5:48.0,Defensive rebound by B. Ingram,,26,40
