,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DALLAS_ACTION,NEW YORK_SCORE,DALLAS_SCORE
0,1,11:44.0,D. Rose misses 2-pt jump shot from 13 ft,,0,0
1,1,11:42.0,Offensive rebound by D. Rose,,0,0
2,1,11:42.0,D. Rose makes 2-pt layup from 2 ft,,2,0
3,1,11:23.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by D. Williams),2,2
4,1,11:03.0,J. Noah misses 2-pt jump shot from 3 ft (block by D. Nowitzki),,2,2
5,1,11:03.0,Offensive rebound by Team,,2,2
6,1,11:01.0,C. Lee makes 2-pt jump shot from 13 ft (assist by C. Anthony),,4,2
7,1,10:42.0,,H. Barnes makes 2-pt jump shot from 10 ft,4,4
8,1,10:30.0,K. Porziņģis misses 2-pt hook shot from 7 ft,,4,4
9,1,10:29.0,,Defensive rebound by D. Nowitzki,4,4
10,1,10:09.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),4,7
11,1,9:57.0,C. Lee makes 2-pt jump shot from 20 ft (assist by J. Noah),,6,7
12,1,9:46.0,,D. Williams misses 3-pt jump shot from 25 ft,6,7
13,1,9:45.0,Defensive rebound by C. Lee,,6,7
14,1,9:30.0,Turnover by J. Noah (3 sec),,6,7
15,1,9:19.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by D. Williams),6,9
16,1,8:58.0,C. Anthony makes 2-pt jump shot from 13 ft (assist by K. Porziņģis),,8,9
17,1,8:41.0,,H. Barnes makes 2-pt jump shot from 13 ft,8,11
18,1,8:31.0,D. Rose misses 2-pt jump shot from 18 ft,,8,11
19,1,8:30.0,,Defensive rebound by D. Finney-Smith,8,11
20,1,8:17.0,,S. Curry misses 2-pt layup from 1 ft,8,11
21,1,8:15.0,Defensive rebound by J. Noah,,8,11
22,1,8:07.0,Shooting foul by D. Nowitzki (drawn by J. Noah),,8,11
23,1,8:07.0,J. Noah misses free throw 1 of 2,,8,11
24,1,8:07.0,Offensive rebound by Team,,8,11
25,1,8:07.0,J. Noah makes free throw 2 of 2,,9,11
26,1,8:00.0,,Personal foul by K. Porziņģis (drawn by H. Barnes),9,11
27,1,7:48.0,,Shooting foul by K. Porziņģis (drawn by D. Nowitzki),9,11
28,1,7:48.0,,D. Nowitzki makes free throw 1 of 2,9,12
29,1,7:48.0,M. Kuzminskas enters the game for K. Porziņģis,,9,12
30,1,7:48.0,,D. Nowitzki makes free throw 2 of 2,9,13
31,1,7:33.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by J. Noah),,11,13
