,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
0,1,11:46.0,M. Gasol misses 2-pt jump shot from 21 ft,,0,0
1,1,11:46.0,,Defensive rebound by R. Hood,0,0
2,1,11:25.0,,R. Hood misses 3-pt jump shot from 25 ft,0,0
3,1,11:24.0,Defensive rebound by J. Ennis,,0,0
4,1,11:10.0,J. Green misses 3-pt jump shot from 23 ft,,0,0
5,1,11:10.0,,Defensive rebound by R. Hood,0,0
6,1,10:57.0,,T. Lyles misses 3-pt jump shot from 23 ft,0,0
7,1,10:57.0,,Offensive rebound by R. Gobert,0,0
8,1,10:54.0,,T. Lyles misses 2-pt layup from 2 ft (block by M. Gasol),0,0
9,1,10:54.0,,Offensive rebound by Team,0,0
10,1,10:37.0,,R. Hood makes 2-pt jump shot from 7 ft,0,2
11,1,10:18.0,M. Gasol misses 2-pt jump shot from 17 ft,,0,2
12,1,10:17.0,,Defensive rebound by G. Hayward,0,2
13,1,9:59.0,,Turnover by R. Gobert (bad pass; steal by M. Conley),0,2
14,1,9:46.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Conley),,3,2
15,1,9:21.0,,G. Hayward makes 2-pt jump shot from 19 ft,3,4
16,1,9:08.0,T. Allen makes 2-pt layup from 2 ft,,5,4
17,1,8:46.0,,G. Hayward misses 2-pt jump shot from 8 ft,5,4
18,1,8:45.0,Defensive rebound by J. Ennis,,5,4
19,1,8:38.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Ennis),,8,4
20,1,8:15.0,,G. Hill misses 3-pt jump shot from 24 ft,8,4
21,1,8:14.0,,Offensive rebound by R. Gobert,8,4
22,1,8:11.0,,Shooting foul by J. Ennis (drawn by R. Gobert),8,4
23,1,8:11.0,,R. Gobert makes free throw 1 of 2,8,5
24,1,8:11.0,,R. Gobert makes free throw 2 of 2,8,6
25,1,7:55.0,Turnover by J. Ennis (bad pass; steal by T. Lyles),,8,6
26,1,7:51.0,,G. Hill makes 2-pt dunk at rim (assist by T. Lyles),8,8
