,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,B. Lopez misses 2-pt layup from 2 ft,0,0
1,1,11:42.0,,Offensive rebound by B. Lopez,0,0
2,1,11:41.0,,B. Lopez makes 2-pt dunk at rim,0,2
3,1,11:41.0,,Shooting foul by J. Valančiūnas (drawn by B. Lopez),0,2
4,1,11:41.0,,B. Lopez makes free throw 1 of 1,0,3
5,1,11:23.0,Turnover by J. Valančiūnas (discontinued dribble),,0,3
6,1,10:59.0,,I. Whitehead misses 2-pt jump shot from 10 ft,0,3
7,1,10:57.0,Defensive rebound by N. Powell,,0,3
8,1,10:52.0,N. Powell misses 2-pt jump shot from 8 ft,,0,3
9,1,10:51.0,Offensive rebound by Team,,0,3
10,1,10:49.0,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by K. Lowry),,2,3
11,1,10:29.0,,B. Lopez misses 3-pt jump shot from 24 ft,2,3
12,1,10:28.0,Defensive rebound by K. Lowry,,2,3
13,1,10:20.0,K. Lowry makes 2-pt hook shot from 8 ft,,4,3
14,1,10:04.0,,B. Lopez misses 2-pt jump shot from 9 ft,4,3
15,1,10:03.0,Defensive rebound by P. Siakam,,4,3
16,1,9:57.0,K. Lowry misses 3-pt jump shot from 25 ft,,4,3
17,1,9:56.0,,Defensive rebound by R. Hollis-Jefferson,4,3
18,1,9:46.0,,B. Lopez makes 2-pt dunk at rim (assist by R. Hollis-Jefferson),4,5
19,1,9:46.0,,Shooting foul by P. Siakam (drawn by B. Lopez),4,5
20,1,9:46.0,,B. Lopez makes free throw 1 of 1,4,6
21,1,9:33.0,N. Powell misses 2-pt layup from 1 ft,,4,6
22,1,9:32.0,Offensive rebound by N. Powell,,4,6
23,1,9:31.0,N. Powell misses 2-pt layup from 2 ft,,4,6
24,1,9:30.0,,Defensive rebound by R. Hollis-Jefferson,4,6
25,1,9:22.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,4,6
26,1,9:20.0,Defensive rebound by J. Valančiūnas,,4,6
27,1,9:12.0,J. Valančiūnas misses 2-pt jump shot from 19 ft,,4,6
28,1,9:11.0,,Defensive rebound by B. Bogdanović,4,6
29,1,9:06.0,,Turnover by B. Bogdanović (lost ball),4,6
30,1,8:54.0,D. Carroll misses 3-pt jump shot from 26 ft,,4,6
31,1,8:53.0,,Defensive rebound by B. Lopez,4,6
32,1,8:45.0,,Turnover by R. Hollis-Jefferson (traveling),4,6
33,1,8:34.0,Personal block foul by I. Whitehead (drawn by N. Powell),,4,6
34,1,8:24.0,D. Carroll misses 2-pt jump shot from 18 ft,,4,6
35,1,8:23.0,,Defensive rebound by I. Whitehead,4,6
36,1,8:17.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,4,6
37,1,8:16.0,Defensive rebound by J. Valančiūnas,,4,6
38,1,8:10.0,K. Lowry makes 2-pt layup from 2 ft,,6,6
39,1,7:52.0,,B. Lopez makes 2-pt hook shot from 9 ft (assist by R. Foye),6,8
40,1,7:34.0,J. Valančiūnas makes 2-pt jump shot from 17 ft,,8,8
41,1,7:17.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by R. Foye),8,11
42,1,7:04.0,K. Lowry misses 2-pt jump shot from 7 ft,,8,11
43,1,7:03.0,,Defensive rebound by R. Hollis-Jefferson,8,11
44,1,7:02.0,,Personal foul by J. Valančiūnas (drawn by R. Hollis-Jefferson),8,11
45,1,7:02.0,L. Nogueira enters the game for J. Valančiūnas,,8,11
46,1,6:38.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,8,11
47,1,6:36.0,Defensive rebound by L. Nogueira,,8,11
48,1,6:31.0,N. Powell misses 3-pt jump shot from 25 ft,,8,11
49,1,6:29.0,Offensive rebound by D. Carroll,,8,11
50,1,6:27.0,D. Carroll makes 2-pt hook shot from 4 ft,,10,11
51,1,6:11.0,,I. Whitehead makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),10,13
52,1,5:44.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by K. Lowry),,13,13
53,1,5:33.0,,Turnover by B. Bogdanović (lost ball; steal by D. Carroll),13,13
54,1,5:29.0,D. Carroll misses 2-pt layup from 2 ft (block by R. Foye),,13,13
55,1,5:27.0,,Defensive rebound by B. Bogdanović,13,13
56,1,5:19.0,,Shooting foul by L. Nogueira (drawn by B. Lopez),13,13
57,1,5:19.0,,Brooklyn full timeout,13,13
58,1,5:19.0,,B. Lopez makes free throw 1 of 2,13,14
59,1,5:19.0,,J. Harris enters the game for R. Foye,13,13
60,1,5:19.0,,S. Dinwiddie enters the game for I. Whitehead,13,13
61,1,5:19.0,,T. Booker enters the game for R. Hollis-Jefferson,13,13
62,1,5:19.0,T. Ross enters the game for K. Lowry,,13,13
63,1,5:19.0,F. VanVleet enters the game for P. Siakam,,13,13
64,1,5:19.0,,B. Lopez makes free throw 2 of 2,13,15
65,1,5:00.0,T. Ross misses 2-pt jump shot from 6 ft,,13,15
66,1,4:58.0,Offensive rebound by L. Nogueira,,13,15
67,1,4:57.0,L. Nogueira misses 2-pt layup from 2 ft,,13,15
68,1,4:56.0,,Defensive rebound by J. Harris,13,15
69,1,4:47.0,,J. Harris misses 2-pt layup from 3 ft (block by D. Carroll),13,15
70,1,4:45.0,Defensive rebound by D. Carroll,,13,15
71,1,4:39.0,N. Powell makes 2-pt layup from 2 ft (assist by T. Ross),,15,15
72,1,4:29.0,,Turnover by B. Lopez (3 sec),15,15
73,1,4:29.0,,S. Kilpatrick enters the game for B. Bogdanović,15,15
74,1,4:29.0,,J. Hamilton enters the game for B. Lopez,15,15
75,1,4:29.0,,Violation by Team (jump ball),15,15
76,1,4:09.0,L. Nogueira makes 2-pt layup from 2 ft (assist by F. VanVleet),,17,15
77,1,3:57.0,,Turnover by S. Kilpatrick (bad pass; steal by L. Nogueira),17,15
78,1,3:51.0,D. Carroll misses 3-pt jump shot from 25 ft,,17,15
79,1,3:49.0,,Defensive rebound by J. Hamilton,17,15
80,1,3:39.0,,J. Hamilton misses 3-pt jump shot from 26 ft,17,15
81,1,3:38.0,Defensive rebound by T. Ross,,17,15
82,1,3:30.0,T. Ross makes 2-pt jump shot from 9 ft,,19,15
83,1,3:15.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Hamilton),19,18
84,1,2:58.0,N. Powell misses 2-pt jump shot from 6 ft (block by J. Hamilton),,19,18
85,1,2:57.0,Offensive rebound by N. Powell,,19,18
86,1,2:52.0,F. VanVleet misses 3-pt jump shot from 25 ft,,19,18
87,1,2:50.0,,Defensive rebound by J. Hamilton,19,18
88,1,2:40.0,,S. Kilpatrick misses 3-pt jump shot from 23 ft,19,18
89,1,2:39.0,,Offensive rebound by T. Booker,19,18
90,1,2:37.0,,Turnover by S. Dinwiddie (bad pass),19,18
91,1,2:37.0,Toronto full timeout,,19,18
92,1,2:37.0,J. Sullinger enters the game for D. Carroll,,19,18
93,1,2:19.0,T. Ross makes 2-pt jump shot from 18 ft,,21,18
94,1,2:03.0,,T. Booker misses 2-pt jump shot from 4 ft,21,18
95,1,2:02.0,Defensive rebound by L. Nogueira,,21,18
96,1,2:01.0,Personal foul by J. Harris (drawn by L. Nogueira),,21,18
97,1,1:57.0,K. Lowry enters the game for N. Powell,,21,18
98,1,1:44.0,Turnover by F. VanVleet (bad pass; steal by S. Dinwiddie),,21,18
99,1,1:41.0,,S. Dinwiddie misses 2-pt layup from 1 ft,21,18
100,1,1:40.0,,Offensive rebound by J. Hamilton,21,18
101,1,1:39.0,,J. Hamilton makes 2-pt layup from 2 ft,21,20
102,1,1:24.0,F. VanVleet misses 3-pt jump shot from 25 ft,,21,20
103,1,1:23.0,,Defensive rebound by T. Booker,21,20
104,1,1:18.0,,J. Hamilton makes 2-pt dunk at rim (assist by T. Booker),21,22
105,1,0:55.0,T. Ross makes 3-pt jump shot from 24 ft,,24,22
106,1,0:37.0,,J. Harris misses 2-pt jump shot from 19 ft,24,22
107,1,0:35.0,,Offensive rebound by T. Booker,24,22
108,1,0:33.0,,T. Booker misses 2-pt layup from 2 ft (block by T. Ross),24,22
109,1,0:31.0,Defensive rebound by F. VanVleet,,24,22
110,1,0:15.0,L. Nogueira makes 2-pt layup from 2 ft (assist by F. VanVleet),,26,22
111,1,0:01.0,,Shooting foul by L. Nogueira (drawn by S. Dinwiddie),26,22
112,1,0:01.0,,S. Dinwiddie makes free throw 1 of 2,26,23
113,1,0:01.0,,S. Dinwiddie makes free throw 2 of 2,26,24
114,1,0:00.0,F. VanVleet misses 3-pt jump shot from 57 ft,,26,24
115,1,0:00.0,Offensive rebound by Team,,26,24
116,2,11:41.0,F. VanVleet misses 2-pt layup from 2 ft,,26,24
117,2,11:40.0,,Defensive rebound by J. Hamilton,26,24
118,2,11:34.0,,T. Booker misses 2-pt layup from 2 ft (block by L. Nogueira),26,24
119,2,11:31.0,Defensive rebound by J. Sullinger,,26,24
120,2,11:27.0,L. Nogueira makes 2-pt dunk at rim (assist by K. Lowry),,28,24
121,2,11:01.0,,J. Harris misses 3-pt jump shot from 24 ft,28,24
122,2,11:00.0,Defensive rebound by K. Lowry,,28,24
123,2,10:55.0,T. Ross misses 3-pt jump shot from 25 ft,,28,24
124,2,10:54.0,,Defensive rebound by S. Kilpatrick,28,24
125,2,10:41.0,,S. Dinwiddie makes 3-pt jump shot from 24 ft,28,27
126,2,10:26.0,F. VanVleet misses 2-pt layup from 3 ft,,28,27
127,2,10:25.0,,Defensive rebound by J. Harris,28,27
128,2,10:17.0,,T. Booker makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),28,30
129,2,10:00.0,Personal foul by J. Harris (drawn by T. Ross),,28,30
130,2,9:58.0,Turnover by T. Ross (bad pass; steal by T. Booker),,28,30
131,2,9:55.0,,T. Booker makes 2-pt dunk at rim,28,32
132,2,9:46.0,Toronto full timeout,,28,32
133,2,9:46.0,N. Powell enters the game for F. VanVleet,,28,32
134,2,9:46.0,P. Siakam enters the game for J. Sullinger,,28,32
135,2,9:35.0,K. Lowry makes 2-pt jump shot from 6 ft,,30,32
136,2,9:15.0,,T. Booker makes 2-pt jump shot from 6 ft,30,34
137,2,9:03.0,N. Powell misses 2-pt jump shot from 18 ft,,30,34
138,2,9:02.0,,Defensive rebound by J. Harris,30,34
139,2,8:46.0,,Turnover by T. Booker (traveling),30,34
140,2,8:32.0,P. Siakam makes 2-pt jump shot from 5 ft (assist by N. Powell),,32,34
141,2,8:08.0,,Turnover by S. Dinwiddie (bad pass; steal by P. Siakam),32,34
142,2,8:02.0,Personal foul by S. Kilpatrick (drawn by P. Siakam),,32,34
143,2,8:02.0,,B. Lopez enters the game for J. Hamilton,32,34
144,2,8:02.0,J. Valančiūnas enters the game for L. Nogueira,,32,34
145,2,7:56.0,Shooting foul by B. Lopez (drawn by K. Lowry),,32,34
146,2,7:56.0,K. Lowry makes free throw 1 of 2,,33,34
147,2,7:56.0,K. Lowry makes free throw 2 of 2,,34,34
148,2,7:39.0,,T. Booker makes 2-pt jump shot from 7 ft,34,36
149,2,7:28.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,,34,36
150,2,7:27.0,,Defensive rebound by S. Kilpatrick,34,36
151,2,7:06.0,,Turnover by Team (back court),34,36
152,2,7:06.0,,R. Hollis-Jefferson enters the game for T. Booker,34,36
153,2,6:53.0,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by T. Ross),,36,36
154,2,6:38.0,,Offensive foul by B. Lopez (drawn by J. Valančiūnas),36,36
155,2,6:38.0,,Turnover by B. Lopez (offensive foul),36,36
156,2,6:24.0,J. Valančiūnas misses 2-pt jump shot from 16 ft,,36,36
157,2,6:23.0,,Defensive rebound by R. Hollis-Jefferson,36,36
158,2,6:10.0,,B. Lopez misses 2-pt hook shot from 11 ft,36,36
159,2,6:09.0,Defensive rebound by K. Lowry,,36,36
160,2,6:04.0,Turnover by K. Lowry (bad pass),,36,36
161,2,5:53.0,,Turnover by S. Kilpatrick (lost ball; steal by J. Valančiūnas),36,36
162,2,5:48.0,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by K. Lowry),,38,36
163,2,5:29.0,,Offensive foul by B. Lopez (drawn by K. Lowry),38,36
164,2,5:29.0,,Turnover by B. Lopez (offensive foul),38,36
165,2,5:29.0,Official timeout,,38,36
166,2,5:29.0,D. Carroll enters the game for N. Powell,,38,36
167,2,5:29.0,,Q. Acy enters the game for B. Lopez,38,36
168,2,5:29.0,,B. Bogdanović enters the game for S. Dinwiddie,38,36
169,2,5:29.0,,I. Whitehead enters the game for J. Harris,38,36
170,2,5:04.0,J. Valančiūnas misses 2-pt jump shot from 5 ft,,38,36
171,2,5:01.0,,Defensive rebound by Q. Acy,38,36
172,2,4:43.0,,S. Kilpatrick makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),38,39
173,2,4:32.0,Shooting foul by S. Kilpatrick (drawn by K. Lowry),,38,39
174,2,4:32.0,K. Lowry misses free throw 1 of 2,,38,39
175,2,4:32.0,Offensive rebound by Team,,38,39
176,2,4:32.0,K. Lowry makes free throw 2 of 2,,39,39
177,2,4:17.0,,Q. Acy misses 3-pt jump shot from 24 ft,39,39
178,2,4:16.0,Defensive rebound by T. Ross,,39,39
179,2,4:07.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,41,39
180,2,3:50.0,,Turnover by S. Kilpatrick (lost ball),41,39
181,2,3:40.0,T. Ross makes 3-pt jump shot from 24 ft,,44,39
182,2,3:29.0,,Brooklyn full timeout,44,39
183,2,3:29.0,,J. Hamilton enters the game for Q. Acy,44,39
184,2,3:29.0,,R. Foye enters the game for S. Kilpatrick,44,39
185,2,3:25.0,,Turnover by I. Whitehead (bad pass; steal by D. Carroll),44,39
186,2,3:12.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,46,39
187,2,2:55.0,,I. Whitehead misses 2-pt jump shot from 23 ft,46,39
188,2,2:54.0,Defensive rebound by J. Valančiūnas,,46,39
189,2,2:45.0,J. Valančiūnas misses 2-pt jump shot from 19 ft,,46,39
190,2,2:44.0,,Defensive rebound by B. Bogdanović,46,39
191,2,2:37.0,,Shooting foul by K. Lowry (drawn by B. Bogdanović),46,39
192,2,2:37.0,,B. Bogdanović makes free throw 1 of 2,46,40
193,2,2:37.0,,S. Kilpatrick enters the game for I. Whitehead,46,40
194,2,2:37.0,,B. Bogdanović makes free throw 2 of 2,46,41
195,2,2:23.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,48,41
196,2,2:02.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,48,41
197,2,2:01.0,Defensive rebound by P. Siakam,,48,41
198,2,1:52.0,Turnover by P. Siakam (lost ball; steal by J. Hamilton),,48,41
