,QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,,Personal foul by A. Horford (drawn by A. Tolliver),0,0
1,1,11:26.0,,D. Collison misses 2-pt jump shot from 18 ft,0,0
2,1,11:25.0,Defensive rebound by A. Johnson,,0,0
3,1,11:08.0,A. Horford makes 2-pt jump shot from 11 ft,,2,0
4,1,10:51.0,,A. Tolliver misses 2-pt jump shot from 12 ft,2,0
5,1,10:46.0,,Offensive rebound by K. Koufos,2,0
6,1,10:46.0,,K. Koufos misses 2-pt layup from 1 ft,2,0
7,1,10:46.0,Defensive rebound by A. Horford,,2,0
8,1,10:43.0,Turnover by A. Horford (bad pass; steal by D. Collison),,2,0
9,1,10:37.0,,Turnover by A. Afflalo (bad pass),2,0
10,1,10:24.0,Shooting foul by K. Koufos (drawn by J. Brown),,2,0
11,1,10:24.0,J. Brown makes free throw 1 of 2,,3,0
12,1,10:24.0,J. Brown makes free throw 2 of 2,,4,0
13,1,9:59.0,,A. Afflalo makes 2-pt jump shot from 22 ft (assist by T. Lawson),4,2
14,1,9:46.0,I. Thomas makes 3-pt jump shot from 26 ft,,7,2
15,1,9:27.0,,D. Collison makes 2-pt layup from 3 ft (assist by K. Koufos),7,4
16,1,9:12.0,I. Thomas misses 3-pt jump shot from 25 ft,,7,4
17,1,9:11.0,,Defensive rebound by A. Afflalo,7,4
18,1,9:05.0,,T. Lawson makes 2-pt jump shot from 7 ft,7,6
19,1,8:42.0,A. Johnson misses 2-pt jump shot from 8 ft,,7,6
20,1,8:42.0,,Defensive rebound by A. Tolliver,7,6
21,1,8:23.0,,D. Collison misses 2-pt jump shot from 20 ft,7,6
22,1,8:22.0,Defensive rebound by A. Horford,,7,6
23,1,8:22.0,Turnover by A. Horford (bad pass; steal by T. Lawson),,7,6
24,1,8:17.0,,T. Lawson misses 2-pt jump shot from 8 ft,7,6
25,1,8:15.0,Defensive rebound by A. Horford,,7,6
26,1,8:08.0,J. Brown misses 3-pt jump shot from 25 ft,,7,6
27,1,8:06.0,,Defensive rebound by K. Koufos,7,6
28,1,7:56.0,,A. Tolliver misses 3-pt jump shot from 25 ft,7,6
29,1,7:54.0,Defensive rebound by A. Horford,,7,6
