,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,M. Gortat misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. Šarić,0,0
2,1,11:37.0,,Turnover by T. McConnell (bad pass; steal by O. Porter),0,0
3,1,11:33.0,Turnover by J. Wall (lost ball; steal by R. Covington),,0,0
4,1,11:32.0,,Personal foul by J. Wall (drawn by R. Covington),0,0
5,1,11:13.0,,G. Henderson misses 3-pt jump shot from 24 ft,0,0
6,1,11:10.0,Defensive rebound by J. Wall,,0,0
7,1,11:05.0,B. Beal makes 2-pt layup from 3 ft (assist by J. Wall),,2,0
8,1,10:52.0,,D. Šarić misses 3-pt jump shot from 25 ft,2,0
9,1,10:51.0,Defensive rebound by M. Morris,,2,0
10,1,10:43.0,M. Morris makes 2-pt jump shot from 16 ft (assist by B. Beal),,4,0
11,1,10:21.0,,T. McConnell makes 2-pt jump shot from 15 ft,4,2
12,1,10:15.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,6,2
13,1,10:03.0,,J. Okafor makes 2-pt layup from 2 ft (assist by D. Šarić),6,4
14,1,9:57.0,O. Porter misses 3-pt jump shot from 26 ft,,6,4
15,1,9:55.0,,Defensive rebound by D. Šarić,6,4
16,1,9:50.0,,D. Šarić misses 2-pt jump shot from 17 ft,6,4
17,1,9:48.0,,Offensive rebound by T. McConnell,6,4
18,1,9:45.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),6,7
19,1,9:23.0,O. Porter misses 3-pt jump shot from 25 ft,,6,7
20,1,9:22.0,,Defensive rebound by G. Henderson,6,7
21,1,9:17.0,,G. Henderson misses 2-pt jump shot from 4 ft,6,7
22,1,9:15.0,Defensive rebound by J. Wall,,6,7
23,1,9:11.0,Turnover by J. Wall (bad pass),,6,7
24,1,8:58.0,Violation by M. Morris (kicked ball),,6,7
25,1,8:49.0,,Shooting foul by M. Gortat (drawn by J. Okafor),6,7
26,1,8:49.0,,J. Okafor misses free throw 1 of 2,6,7
27,1,8:49.0,,Offensive rebound by Team,6,7
28,1,8:49.0,,J. Okafor makes free throw 2 of 2,6,8
29,1,8:31.0,J. Wall makes 2-pt jump shot from 12 ft,,8,8
30,1,8:09.0,,T. McConnell misses 2-pt layup from 2 ft,8,8
31,1,8:08.0,Defensive rebound by M. Gortat,,8,8
32,1,8:06.0,Turnover by M. Gortat (bad pass; steal by D. Šarić),,8,8
33,1,8:04.0,,D. Šarić makes 2-pt layup from 1 ft,8,10
34,1,7:48.0,Offensive foul by M. Morris (drawn by T. McConnell),,8,10
35,1,7:48.0,Turnover by M. Morris (offensive foul),,8,10
36,1,7:32.0,,D. Šarić misses 2-pt jump shot from 19 ft,8,10
37,1,7:31.0,Defensive rebound by M. Morris,,8,10
38,1,7:25.0,J. Wall makes 2-pt jump shot from 18 ft,,10,10
39,1,7:08.0,,R. Covington makes 2-pt layup from 1 ft (assist by D. Šarić),10,12
40,1,6:55.0,Personal foul by J. Okafor (drawn by M. Gortat),,10,12
41,1,6:49.0,B. Beal misses 2-pt jump shot from 18 ft,,10,12
42,1,6:48.0,Offensive rebound by M. Gortat,,10,12
43,1,6:46.0,M. Gortat makes 2-pt layup at rim,,12,12
44,1,6:36.0,,R. Covington misses 3-pt jump shot from 25 ft,12,12
45,1,6:34.0,Defensive rebound by J. Wall,,12,12
46,1,6:31.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,14,12
47,1,6:30.0,,Philadelphia full timeout,14,12
48,1,6:06.0,,G. Henderson makes 2-pt jump shot from 10 ft (assist by D. Šarić),14,14
