,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:44.0,D. Dedmon makes 2-pt dunk at rim (assist by T. Parker),,2,0
1,1,11:24.0,,J. Randle misses 2-pt jump shot from 8 ft,2,0
2,1,11:23.0,Offensive rebound by D. Dedmon,,2,0
3,1,10:59.0,D. Green misses 2-pt jump shot from 13 ft,,2,0
4,1,10:55.0,,Defensive rebound by T. Black,2,0
5,1,10:37.0,,B. Ingram makes 2-pt jump shot from 16 ft,2,2
6,1,10:19.0,L. Aldridge misses 2-pt jump shot from 13 ft,,2,2
7,1,10:18.0,,Defensive rebound by D. Russell,2,2
8,1,10:05.0,,D. Russell misses 2-pt jump shot from 17 ft,2,2
9,1,10:02.0,Defensive rebound by L. Aldridge,,2,2
10,1,9:54.0,K. Leonard makes 2-pt jump shot from 20 ft (assist by T. Parker),,4,2
11,1,9:35.0,,Offensive foul by J. Randle (drawn by D. Green),4,2
12,1,9:35.0,,Turnover by J. Randle (offensive foul),4,2
13,1,9:13.0,K. Leonard misses 3-pt jump shot from 25 ft,,4,2
14,1,9:12.0,,Defensive rebound by J. Randle,4,2
15,1,9:07.0,,N. Young makes 3-pt jump shot from 25 ft (assist by D. Russell),4,5
16,1,8:54.0,L. Aldridge makes 2-pt layup from 2 ft (assist by T. Parker),,6,5
17,1,8:44.0,,Turnover by D. Russell (bad pass),6,5
18,1,8:28.0,Personal block foul by T. Black (drawn by T. Parker),,6,5
19,1,8:20.0,L. Aldridge makes 2-pt hook shot from 8 ft (assist by T. Parker),,8,5
20,1,8:07.0,,D. Russell misses 3-pt jump shot from 25 ft,8,5
21,1,8:05.0,Defensive rebound by D. Green,,8,5
22,1,8:00.0,Shooting foul by B. Ingram (drawn by K. Leonard),,8,5
23,1,8:00.0,K. Leonard misses free throw 1 of 2,,8,5
24,1,8:00.0,Offensive rebound by Team,,8,5
25,1,8:00.0,K. Leonard makes free throw 2 of 2,,9,5
26,1,7:43.0,,J. Randle misses 3-pt jump shot from 25 ft,9,5
27,1,7:42.0,Defensive rebound by D. Dedmon,,9,5
28,1,7:33.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Dedmon),,11,5
29,1,7:24.0,,Turnover by B. Ingram (lost ball),11,5
30,1,7:09.0,K. Leonard makes 2-pt layup at rim (assist by T. Parker),,13,5
31,1,6:59.0,,N. Young misses 2-pt jump shot from 19 ft,13,5
32,1,6:57.0,Defensive rebound by T. Parker,,13,5
33,1,6:46.0,L. Aldridge misses 2-pt jump shot from 14 ft,,13,5
34,1,6:44.0,,Defensive rebound by J. Randle,13,5
35,1,6:35.0,,J. Randle makes 2-pt jump shot from 5 ft (assist by D. Russell),13,7
36,1,6:35.0,San Antonio full timeout,,13,7
37,1,6:20.0,K. Leonard makes 2-pt jump shot from 17 ft (assist by D. Dedmon),,15,7
38,1,6:02.0,,D. Russell makes 2-pt jump shot from 17 ft,15,9
39,1,5:48.0,K. Leonard makes 2-pt jump shot from 19 ft (assist by T. Parker),,17,9
40,1,5:39.0,,D. Russell makes 3-pt jump shot from 24 ft,17,12
41,1,5:22.0,L. Aldridge misses 2-pt jump shot from 19 ft,,17,12
42,1,5:21.0,,Defensive rebound by J. Randle,17,12
43,1,5:08.0,,Turnover by J. Randle (bad pass; steal by D. Green),17,12
44,1,5:03.0,D. Green misses 2-pt dunk at rim,,17,12
45,1,5:00.0,Offensive rebound by K. Leonard,,17,12
46,1,4:53.0,Personal foul by T. Black (drawn by L. Aldridge),,17,12
47,1,4:53.0,,J. Clarkson enters the game for N. Young,17,12
48,1,4:53.0,,I. Zubac enters the game for T. Black,17,12
49,1,4:53.0,P. Mills enters the game for T. Parker,,17,12
50,1,4:53.0,M. Ginóbili enters the game for D. Green,,17,12
51,1,4:50.0,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),,20,12
52,1,4:38.0,,J. Clarkson misses 2-pt jump shot from 5 ft,20,12
53,1,4:36.0,Defensive rebound by L. Aldridge,,20,12
54,1,4:32.0,D. Dedmon makes 2-pt dunk at rim (assist by P. Mills),,22,12
55,1,4:30.0,,LA Lakers full timeout,22,12
56,1,4:30.0,P. Gasol enters the game for D. Dedmon,,22,12
57,1,4:20.0,,Turnover by J. Randle (traveling),22,12
58,1,4:04.0,K. Leonard makes 2-pt jump shot from 20 ft,,24,12
59,1,3:52.0,,J. Randle misses 2-pt jump shot from 11 ft,24,12
60,1,3:51.0,Defensive rebound by L. Aldridge,,24,12
61,1,3:49.0,Turnover by P. Mills (traveling),,24,12
62,1,3:39.0,,D. Russell makes 2-pt jump shot from 12 ft,24,14
63,1,3:21.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,24,14
64,1,3:19.0,Offensive rebound by L. Aldridge,,24,14
65,1,3:19.0,Personal foul by B. Ingram (drawn by L. Aldridge),,24,14
66,1,3:19.0,,L. Nance enters the game for J. Randle,24,14
67,1,3:19.0,,L. Deng enters the game for D. Russell,24,14
68,1,3:19.0,D. Lee enters the game for L. Aldridge,,24,14
69,1,3:14.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,24,14
70,1,3:14.0,,Defensive rebound by Team,24,14
71,1,3:04.0,,B. Ingram makes 2-pt jump shot from 11 ft,24,16
72,1,2:51.0,Shooting foul by I. Zubac (drawn by K. Leonard),,24,16
73,1,2:51.0,K. Leonard makes free throw 1 of 2,,25,16
74,1,2:51.0,,N. Young enters the game for B. Ingram,25,16
75,1,2:51.0,K. Leonard makes free throw 2 of 2,,26,16
76,1,2:39.0,,L. Deng misses 2-pt jump shot from 18 ft,26,16
77,1,2:38.0,Defensive rebound by P. Gasol,,26,16
78,1,2:30.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by D. Lee),,29,16
79,1,2:04.0,,L. Nance misses 2-pt hook shot from 7 ft,29,16
80,1,2:01.0,Defensive rebound by P. Gasol,,29,16
81,1,1:55.0,K. Leonard misses 3-pt jump shot from 25 ft,,29,16
82,1,1:53.0,,Defensive rebound by L. Deng,29,16
83,1,1:45.0,,L. Nance misses 2-pt jump shot from 8 ft (block by P. Gasol),29,16
84,1,1:43.0,Defensive rebound by P. Mills,,29,16
85,1,1:39.0,P. Mills misses 3-pt jump shot from 26 ft,,29,16
86,1,1:36.0,,Defensive rebound by J. Clarkson,29,16
87,1,1:31.0,,J. Clarkson makes 2-pt layup from 2 ft,29,18
88,1,1:19.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),,32,18
89,1,1:04.0,,I. Zubac misses 2-pt jump shot from 16 ft,32,18
90,1,1:03.0,Defensive rebound by D. Lee,,32,18
91,1,0:56.0,P. Mills makes 2-pt jump shot from 21 ft (assist by D. Lee),,34,18
92,1,0:56.0,,LA Lakers full timeout,34,18
93,1,0:56.0,J. Simmons enters the game for K. Leonard,,34,18
94,1,0:42.0,,Turnover by L. Deng (bad pass; steal by M. Ginóbili),34,18
95,1,0:37.0,J. Simmons makes 2-pt jump shot from 5 ft (assist by P. Mills),,36,18
96,1,0:19.0,,J. Clarkson makes 2-pt jump shot from 6 ft,36,20
97,1,0:05.0,P. Gasol misses 2-pt jump shot from 10 ft,,36,20
98,1,0:03.0,,Defensive rebound by L. Nance,36,20
99,2,11:48.0,,J. Clarkson misses 3-pt jump shot from 25 ft,36,20
100,2,11:47.0,Defensive rebound by D. Lee,,36,20
101,2,11:25.0,P. Gasol misses 2-pt jump shot from 11 ft,,36,20
102,2,11:24.0,,Defensive rebound by L. Deng,36,20
103,2,11:15.0,,Personal foul by M. Ginóbili (drawn by I. Zubac),36,20
104,2,11:09.0,,J. Clarkson makes 2-pt jump shot from 8 ft,36,22
105,2,10:53.0,D. Lee misses 2-pt layup from 2 ft,,36,22
106,2,10:51.0,,Defensive rebound by L. Deng,36,22
107,2,10:42.0,,J. Clarkson makes 2-pt dunk at rim (assist by L. Nance),36,24
108,2,10:41.0,San Antonio full timeout,,36,24
