,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:38.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,2,0
1,1,11:22.0,,K. Middleton makes 2-pt layup from 1 ft (assist by T. Maker),2,2
2,1,10:55.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by C. Joseph),,5,2
3,1,10:29.0,,T. Maker misses 3-pt jump shot from 26 ft,5,2
4,1,10:27.0,Defensive rebound by C. Joseph,,5,2
5,1,10:18.0,D. Carroll misses 3-pt jump shot from 27 ft,,5,2
6,1,10:16.0,,Defensive rebound by G. Antetokounmpo,5,2
7,1,10:01.0,,M. Brogdon misses 2-pt jump shot from 17 ft,5,2
8,1,10:00.0,Defensive rebound by J. Valančiūnas,,5,2
9,1,9:51.0,J. Valančiūnas makes 2-pt layup at rim (assist by C. Joseph),,7,2
10,1,9:32.0,,M. Brogdon misses 3-pt jump shot from 25 ft,7,2
11,1,9:30.0,Defensive rebound by D. Carroll,,7,2
12,1,9:21.0,S. Ibaka misses 2-pt hook shot from 3 ft,,7,2
13,1,9:20.0,,Defensive rebound by M. Brogdon,7,2
14,1,9:10.0,,T. Snell misses 2-pt layup from 2 ft,7,2
15,1,9:08.0,Defensive rebound by J. Valančiūnas,,7,2
16,1,8:55.0,S. Ibaka misses 2-pt jump shot from 19 ft,,7,2
17,1,8:53.0,,Defensive rebound by T. Maker,7,2
18,1,8:39.0,,T. Snell misses 2-pt jump shot from 15 ft,7,2
19,1,8:37.0,Defensive rebound by J. Valančiūnas,,7,2
20,1,8:20.0,J. Valančiūnas makes 2-pt hook shot from 4 ft,,9,2
21,1,7:56.0,,G. Antetokounmpo misses 2-pt hook shot from 1 ft,9,2
22,1,7:55.0,,Offensive rebound by T. Maker,9,2
23,1,7:55.0,,T. Maker misses 2-pt dunk from 1 ft,9,2
24,1,7:53.0,Defensive rebound by J. Valančiūnas,,9,2
25,1,7:39.0,S. Ibaka makes 2-pt hook shot from 2 ft (assist by J. Valančiūnas),,11,2
26,1,7:39.0,,Milwaukee full timeout,11,2
27,1,7:39.0,,G. Monroe enters the game for T. Maker,11,2
28,1,7:19.0,,K. Middleton misses 3-pt jump shot from 25 ft,11,2
29,1,7:17.0,Defensive rebound by C. Joseph,,11,2
30,1,6:53.0,D. Carroll misses 2-pt jump shot from 6 ft,,11,2
31,1,6:51.0,,Defensive rebound by K. Middleton,11,2
32,1,6:40.0,,K. Middleton misses 3-pt jump shot from 23 ft,11,2
33,1,6:38.0,Defensive rebound by D. Carroll,,11,2
34,1,6:33.0,C. Joseph misses 2-pt layup from 1 ft,,11,2
35,1,6:31.0,,Defensive rebound by K. Middleton,11,2
36,1,6:28.0,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo),11,2
37,1,6:28.0,,G. Antetokounmpo makes free throw 1 of 2,11,3
38,1,6:28.0,,M. Dellavedova enters the game for M. Brogdon,11,3
39,1,6:28.0,,G. Antetokounmpo makes free throw 2 of 2,11,4
40,1,6:12.0,Shooting foul by K. Middleton (drawn by J. Valančiūnas),,11,4
41,1,6:12.0,J. Valančiūnas misses free throw 1 of 2,,11,4
42,1,6:12.0,Offensive rebound by Team,,11,4
43,1,6:12.0,,J. Terry enters the game for K. Middleton,11,4
44,1,6:12.0,J. Valančiūnas makes free throw 2 of 2,,12,4
45,1,5:58.0,,G. Monroe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),12,6
46,1,5:31.0,D. Carroll misses 3-pt jump shot from 26 ft,,12,6
47,1,5:29.0,,Defensive rebound by M. Dellavedova,12,6
48,1,5:23.0,,T. Snell misses 3-pt jump shot from 28 ft,12,6
49,1,5:22.0,Defensive rebound by J. Valančiūnas,,12,6
50,1,5:13.0,Turnover by D. Carroll (lost ball),,12,6
51,1,4:54.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,12,6
52,1,4:54.0,Defensive rebound by Team,,12,6
53,1,4:54.0,P. Patterson enters the game for S. Ibaka,,12,6
54,1,4:35.0,Personal foul by J. Terry (drawn by C. Joseph),,12,6
55,1,4:27.0,J. Valančiūnas makes 2-pt layup at rim (assist by C. Joseph),,14,6
56,1,4:10.0,,G. Monroe misses 2-pt jump shot from 11 ft,14,6
57,1,4:09.0,,Offensive rebound by G. Monroe,14,6
58,1,3:59.0,,T. Snell misses 3-pt jump shot from 27 ft,14,6
59,1,3:57.0,Defensive rebound by D. DeRozan,,14,6
60,1,3:52.0,D. Carroll makes 2-pt layup from 1 ft (assist by D. DeRozan),,16,6
61,1,3:34.0,,M. Dellavedova misses 2-pt layup from 2 ft,16,6
62,1,3:32.0,,Offensive rebound by Team,16,6
63,1,3:32.0,D. Wright enters the game for C. Joseph,,16,6
64,1,3:28.0,,G. Monroe misses 2-pt layup from 2 ft,16,6
65,1,3:26.0,Defensive rebound by D. DeRozan,,16,6
66,1,3:05.0,D. Carroll misses 3-pt jump shot from 27 ft,,16,6
67,1,3:04.0,,Defensive rebound by G. Antetokounmpo,16,6
68,1,2:56.0,,J. Terry misses 3-pt jump shot from 25 ft,16,6
69,1,2:56.0,Defensive rebound by Team,,16,6
70,1,2:56.0,Toronto full timeout,,16,6
71,1,2:56.0,N. Powell enters the game for D. DeRozan,,16,6
72,1,2:56.0,,M. Teletović enters the game for G. Antetokounmpo,16,6
73,1,2:43.0,Turnover by D. Wright (bad pass; steal by G. Monroe),,16,6
74,1,2:24.0,,G. Monroe makes 2-pt jump shot at rim,16,8
75,1,2:00.0,D. Wright misses 2-pt jump shot from 16 ft,,16,8
76,1,1:58.0,Offensive rebound by D. Carroll,,16,8
77,1,1:56.0,D. Carroll makes 2-pt layup from 1 ft,,18,8
78,1,1:36.0,,M. Dellavedova misses 2-pt jump shot from 14 ft,18,8
79,1,1:35.0,Defensive rebound by N. Powell,,18,8
80,1,1:33.0,,Offensive charge foul by N. Powell (drawn by M. Dellavedova),18,8
81,1,1:33.0,Turnover by N. Powell (offensive foul),,18,8
82,1,1:33.0,P. Tucker enters the game for D. Carroll,,18,8
83,1,1:33.0,J. Poeltl enters the game for J. Valančiūnas,,18,8
84,1,1:16.0,,M. Teletović makes 2-pt jump shot from 16 ft,18,10
85,1,0:49.0,P. Tucker misses 3-pt jump shot from 27 ft,,18,10
86,1,0:48.0,,Defensive rebound by J. Terry,18,10
87,1,0:35.0,,M. Dellavedova misses 2-pt layup from 3 ft,18,10
88,1,0:33.0,Defensive rebound by P. Patterson,,18,10
89,1,0:24.0,Shooting foul by G. Monroe (drawn by D. Wright),,18,10
90,1,0:24.0,D. Wright misses free throw 1 of 2,,18,10
91,1,0:24.0,Offensive rebound by Team,,18,10
92,1,0:24.0,,K. Middleton enters the game for T. Snell,18,10
93,1,0:24.0,D. Wright makes free throw 2 of 2,,19,10
94,1,0:04.0,,Shooting foul by P. Tucker (drawn by K. Middleton),19,10
95,1,0:04.0,,K. Middleton makes free throw 1 of 2,19,11
96,1,0:04.0,,K. Middleton makes free throw 2 of 2,19,12
97,1,0:00.0,D. Wright misses 3-pt jump shot from 27 ft,,19,12
98,1,0:00.0,Offensive rebound by Team,,19,12
99,2,11:41.0,,Shooting foul by P. Patterson (drawn by S. Hawes),19,12
100,2,11:41.0,,S. Hawes misses free throw 1 of 2,19,12
101,2,11:41.0,,Offensive rebound by Team,19,12
102,2,11:41.0,S. Ibaka enters the game for J. Poeltl,,19,12
103,2,11:41.0,,S. Hawes makes free throw 2 of 2,19,13
104,2,11:27.0,S. Ibaka misses 2-pt jump shot from 17 ft,,19,13
105,2,11:26.0,,Defensive rebound by S. Hawes,19,13
106,2,11:12.0,,Def 3 sec tech foul by P. Patterson,19,13
107,2,11:12.0,,K. Middleton makes technical free throw,19,14
108,2,10:59.0,,M. Brogdon misses 2-pt layup at rim,19,14
109,2,10:57.0,Defensive rebound by S. Ibaka,,19,14
110,2,10:49.0,N. Powell misses 2-pt layup from 3 ft,,19,14
111,2,10:48.0,,Defensive rebound by S. Hawes,19,14
112,2,10:37.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by J. Terry),19,17
113,2,10:13.0,P. Tucker makes 2-pt layup at rim (assist by D. Wright),,21,17
114,2,10:03.0,,M. Teletović misses 3-pt jump shot from 30 ft,21,17
115,2,10:02.0,Defensive rebound by N. Powell,,21,17
116,2,9:55.0,N. Powell makes 2-pt jump shot from 17 ft,,23,17
117,2,9:28.0,,J. Terry makes 3-pt jump shot from 26 ft (assist by M. Brogdon),23,20
118,2,9:14.0,Personal foul by J. Terry (drawn by N. Powell),,23,20
119,2,9:00.0,D. Wright misses 3-pt jump shot from 26 ft,,23,20
120,2,8:59.0,,Defensive rebound by J. Terry,23,20
