,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
0,1,11:40.0,D. Rose misses 2-pt jump shot from 8 ft,,0,0
1,1,11:39.0,,Defensive rebound by B. Biyombo,0,0
2,1,11:30.0,,E. Fournier makes 2-pt jump shot from 11 ft (assist by E. Payton),0,2
3,1,11:09.0,K. Porziņģis misses 2-pt hook shot from 8 ft,,0,2
4,1,11:08.0,,Defensive rebound by B. Biyombo,0,2
5,1,11:00.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),0,4
6,1,10:43.0,L. Thomas misses 2-pt jump shot from 15 ft,,0,4
7,1,10:42.0,,Defensive rebound by B. Biyombo,0,4
8,1,10:30.0,,E. Payton misses 2-pt jump shot from 6 ft,0,4
9,1,10:29.0,,Offensive rebound by B. Biyombo,0,4
10,1,10:29.0,,B. Biyombo misses 2-pt layup from 3 ft,0,4
11,1,10:29.0,,Offensive rebound by B. Biyombo,0,4
12,1,10:29.0,,Personal foul by K. Porziņģis (drawn by B. Biyombo),0,4
13,1,10:10.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),0,7
14,1,9:54.0,R. Baker misses 2-pt jump shot from 10 ft,,0,7
15,1,9:52.0,,Defensive rebound by A. Gordon,0,7
16,1,9:46.0,,A. Gordon makes 2-pt dunk at rim,0,9
17,1,9:46.0,New York full timeout,,0,9
18,1,9:31.0,K. Porziņģis misses 2-pt jump shot from 22 ft,,0,9
19,1,9:29.0,,Defensive rebound by E. Payton,0,9
20,1,9:17.0,,E. Payton makes 2-pt jump shot from 8 ft,0,11
21,1,9:05.0,Personal foul by T. Ross (drawn by R. Baker),,0,11
22,1,8:58.0,L. Thomas makes 2-pt jump shot from 21 ft (assist by D. Rose),,2,11
23,1,8:40.0,,E. Fournier misses 2-pt jump shot from 9 ft,2,11
24,1,8:38.0,Defensive rebound by L. Thomas,,2,11
25,1,8:30.0,C. Lee misses 2-pt jump shot from 6 ft,,2,11
26,1,8:29.0,,Defensive rebound by E. Fournier,2,11
27,1,8:18.0,,Personal foul by C. Lee (drawn by A. Gordon),2,11
28,1,8:10.0,,A. Gordon misses 3-pt jump shot from 26 ft,2,11
29,1,8:08.0,Defensive rebound by C. Lee,,2,11
30,1,7:49.0,C. Lee misses 2-pt jump shot from 23 ft,,2,11
31,1,7:48.0,,Defensive rebound by A. Gordon,2,11
32,1,7:34.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),2,14
33,1,7:21.0,Shooting foul by A. Gordon (drawn by D. Rose),,2,14
34,1,7:21.0,D. Rose makes free throw 1 of 2,,3,14
35,1,7:21.0,W. Hernangómez enters the game for R. Baker,,3,14
36,1,7:21.0,D. Rose makes free throw 2 of 2,,4,14
37,1,7:13.0,,E. Payton misses 2-pt jump shot from 6 ft,4,14
38,1,7:12.0,Defensive rebound by W. Hernangómez,,4,14
39,1,7:02.0,W. Hernangómez makes 2-pt hook shot from 7 ft (assist by D. Rose),,6,14
40,1,6:47.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by E. Payton),6,17
41,1,6:37.0,Personal foul by E. Fournier (drawn by C. Lee),,6,17
42,1,6:32.0,Turnover by W. Hernangómez (bad pass; steal by T. Ross),,6,17
43,1,6:31.0,,Personal block foul by W. Hernangómez (drawn by T. Ross),6,17
44,1,6:07.0,,A. Gordon makes 2-pt jump shot from 10 ft (assist by E. Fournier),6,19
45,1,5:54.0,C. Lee misses 3-pt jump shot from 25 ft,,6,19
46,1,5:53.0,,Defensive rebound by A. Gordon,6,19
47,1,5:48.0,,Turnover by A. Gordon (traveling),6,19
48,1,5:37.0,D. Rose misses 2-pt jump shot from 14 ft,,6,19
49,1,5:36.0,Offensive rebound by W. Hernangómez,,6,19
50,1,5:36.0,Personal foul by E. Payton (drawn by W. Hernangómez),,6,19
51,1,5:33.0,Personal foul by E. Fournier (drawn by L. Thomas),,6,19
52,1,5:33.0,L. Thomas makes free throw 1 of 2,,7,19
53,1,5:33.0,,M. Hezonja enters the game for E. Fournier,7,19
54,1,5:33.0,L. Thomas makes free throw 2 of 2,,8,19
