,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,N. Vonleh misses 2-pt jump shot from 3 ft (block by R. Westbrook),,0,0
1,1,11:36.0,Offensive rebound by D. Lillard,,0,0
2,1,11:31.0,D. Lillard misses 3-pt jump shot from 49 ft,,0,0
3,1,11:31.0,,Defensive rebound by V. Oladipo,0,0
4,1,11:15.0,,R. Westbrook makes 2-pt jump shot from 15 ft,0,2
5,1,10:52.0,J. Nurkić misses 2-pt jump shot from 6 ft,,0,2
6,1,10:52.0,,Defensive rebound by V. Oladipo,0,2
7,1,10:37.0,,Shooting foul by N. Vonleh (drawn by S. Adams),0,2
8,1,10:37.0,,S. Adams misses free throw 1 of 2,0,2
9,1,10:37.0,,Offensive rebound by Team,0,2
10,1,10:37.0,,S. Adams misses free throw 2 of 2,0,2
11,1,10:36.0,Defensive rebound by M. Harkless,,0,2
12,1,10:21.0,C. McCollum misses 2-pt jump shot from 8 ft,,0,2
13,1,10:21.0,,Defensive rebound by D. Sabonis,0,2
14,1,10:10.0,,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),0,4
15,1,9:56.0,D. Lillard makes 2-pt jump shot from 14 ft (assist by J. Nurkić),,2,4
16,1,9:45.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),2,6
17,1,9:31.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,4,6
18,1,9:18.0,,Shooting foul by J. Nurkić (drawn by D. Sabonis),4,6
19,1,9:18.0,,D. Sabonis makes free throw 1 of 2,4,7
20,1,9:18.0,,D. Sabonis makes free throw 2 of 2,4,8
21,1,9:05.0,Shooting foul by V. Oladipo (drawn by N. Vonleh),,4,8
22,1,9:05.0,N. Vonleh makes free throw 1 of 2,,5,8
23,1,9:05.0,N. Vonleh misses free throw 2 of 2,,5,8
24,1,9:03.0,Offensive rebound by M. Harkless,,5,8
25,1,8:56.0,M. Harkless misses 2-pt layup from 3 ft,,5,8
26,1,8:56.0,Offensive rebound by N. Vonleh,,5,8
27,1,8:55.0,N. Vonleh makes 2-pt hook shot from 5 ft,,7,8
28,1,8:40.0,,Turnover by D. Sabonis (bad pass),7,8
29,1,8:33.0,D. Lillard makes 3-pt jump shot from 26 ft,,10,8
