,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
0,1,11:43.0,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Griffin),,2,0
1,1,11:20.0,,B. Wright misses 2-pt layup from 2 ft (block by D. Jordan),2,0
2,1,11:16.0,Defensive rebound by D. Jordan,,2,0
3,1,11:09.0,B. Griffin misses 2-pt jump shot from 18 ft,,2,0
4,1,11:08.0,,Defensive rebound by B. Wright,2,0
5,1,10:50.0,,Shooting foul by J. Redick (drawn by B. Wright),2,0
6,1,10:50.0,,B. Wright makes 2-pt layup from 1 ft (assist by M. Gasol),2,2
7,1,10:50.0,,B. Wright misses free throw 1 of 1,2,2
8,1,10:48.0,Defensive rebound by D. Jordan,,2,2
9,1,10:31.0,C. Paul misses 2-pt jump shot from 20 ft,,2,2
10,1,10:31.0,,Defensive rebound by B. Wright,2,2
11,1,10:22.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by A. Harrison),2,4
12,1,10:11.0,Personal foul by A. Harrison (drawn by J. Redick),,2,4
13,1,10:03.0,J. Redick misses 2-pt jump shot from 22 ft,,2,4
14,1,10:02.0,Offensive rebound by Team,,2,4
15,1,9:51.0,B. Griffin misses 3-pt jump shot from 26 ft,,2,4
16,1,9:51.0,,Defensive rebound by J. Ennis,2,4
17,1,9:38.0,,B. Wright makes 2-pt jump shot from 8 ft (assist by M. Gasol),2,6
18,1,9:27.0,C. Paul misses 2-pt jump shot from 14 ft,,2,6
19,1,9:26.0,Offensive rebound by C. Paul,,2,6
20,1,9:16.0,B. Griffin misses 2-pt jump shot from 3 ft,,2,6
21,1,9:15.0,Offensive rebound by B. Griffin,,2,6
22,1,9:14.0,B. Griffin misses 2-pt layup from 1 ft (block by M. Gasol),,2,6
23,1,9:11.0,Offensive rebound by B. Griffin,,2,6
24,1,9:08.0,C. Paul makes 3-pt jump shot from 26 ft (assist by B. Griffin),,5,6
25,1,8:54.0,,Personal foul by B. Griffin (drawn by M. Conley),5,6
26,1,8:45.0,,J. Ennis makes 2-pt layup at rim (assist by A. Harrison),5,8
27,1,8:45.0,,Shooting foul by J. Redick (drawn by J. Ennis),5,8
28,1,8:45.0,,J. Ennis makes free throw 1 of 1,5,9
29,1,8:32.0,J. Crawford enters the game for J. Redick,,5,9
30,1,8:23.0,J. Crawford makes 3-pt jump shot from 25 ft (assist by C. Paul),,8,9
31,1,8:03.0,,A. Harrison misses 3-pt jump shot from 24 ft,8,9
32,1,8:03.0,Defensive rebound by D. Jordan,,8,9
33,1,7:52.0,B. Griffin misses 2-pt jump shot from 20 ft,,8,9
34,1,7:51.0,,Defensive rebound by M. Conley,8,9
35,1,7:44.0,,M. Gasol misses 3-pt jump shot from 24 ft,8,9
36,1,7:41.0,Defensive rebound by J. Crawford,,8,9
37,1,7:34.0,C. Paul misses 2-pt jump shot from 10 ft,,8,9
