,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHOENIX_ACTION,ORLANDO_SCORE,PHOENIX_SCORE
0,1,11:37.0,,Turnover by M. Chriss (offensive goaltending),0,0
1,1,11:27.0,Shooting foul by M. Chriss (drawn by E. Fournier),,0,0
2,1,11:27.0,E. Fournier makes free throw 1 of 2,,1,0
3,1,11:27.0,E. Fournier misses free throw 2 of 2,,1,0
4,1,11:26.0,Offensive rebound by Team,,1,0
5,1,11:10.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Payton),,3,0
6,1,10:47.0,,A. Len misses 2-pt jump shot from 4 ft (block by A. Gordon),3,0
7,1,10:45.0,Defensive rebound by E. Payton,,3,0
8,1,10:41.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,5,0
9,1,10:20.0,,Turnover by T. Warren (bad pass; steal by A. Gordon),5,0
10,1,10:18.0,Turnover by A. Gordon (bad pass; steal by A. Len),,5,0
11,1,10:14.0,,Turnover by T. Ulis (lost ball; steal by E. Payton),5,0
12,1,10:10.0,E. Payton misses 2-pt layup from 1 ft,,5,0
13,1,10:09.0,,Defensive rebound by D. Booker,5,0
14,1,10:05.0,,D. Booker misses 2-pt jump shot from 13 ft,5,0
15,1,10:05.0,Defensive rebound by N. Vučević,,5,0
16,1,9:49.0,A. Gordon misses 3-pt jump shot from 26 ft,,5,0
17,1,9:47.0,,Defensive rebound by A. Len,5,0
18,1,9:33.0,,A. Len misses 2-pt jump shot from 12 ft,5,0
19,1,9:32.0,Defensive rebound by A. Gordon,,5,0
20,1,9:27.0,E. Fournier misses 2-pt layup from 1 ft (block by A. Len),,5,0
21,1,9:25.0,,Defensive rebound by A. Len,5,0
22,1,9:19.0,,T. Ulis makes 2-pt jump shot from 19 ft,5,2
23,1,9:02.0,T. Ross misses 2-pt jump shot from 11 ft,,5,2
24,1,9:01.0,,Defensive rebound by M. Chriss,5,2
25,1,8:51.0,,T. Warren makes 2-pt jump shot from 12 ft (assist by T. Ulis),5,4
26,1,8:28.0,E. Fournier misses 3-pt jump shot from 25 ft,,5,4
27,1,8:28.0,,Defensive rebound by M. Chriss,5,4
28,1,8:11.0,,M. Chriss makes 3-pt jump shot from 23 ft (assist by T. Ulis),5,7
29,1,7:51.0,E. Fournier makes 2-pt layup at rim (assist by E. Payton),,7,7
30,1,7:35.0,,Turnover by T. Ulis (bad pass; steal by E. Payton),7,7
31,1,7:30.0,T. Ross makes 2-pt dunk at rim (assist by E. Payton),,9,7
32,1,7:17.0,,Shooting foul by A. Gordon (drawn by A. Len),9,7
33,1,7:17.0,,A. Len misses free throw 1 of 2,9,7
34,1,7:17.0,,Offensive rebound by Team,9,7
35,1,7:17.0,,A. Len makes free throw 2 of 2,9,8
36,1,7:04.0,N. Vučević misses 2-pt hook shot from 2 ft,,9,8
37,1,7:03.0,Offensive rebound by N. Vučević,,9,8
38,1,7:01.0,N. Vučević misses 2-pt layup from 2 ft,,9,8
39,1,7:00.0,,Defensive rebound by M. Chriss,9,8
