,QUARTER,TIME_REMAINING,UTAH_ACTION,INDIANA_ACTION,UTAH_SCORE,INDIANA_SCORE
0,1,11:38.0,,J. Teague misses 3-pt jump shot from 26 ft,0,0
1,1,11:38.0,Defensive rebound by R. Gobert,,0,0
2,1,11:13.0,J. Johnson misses 3-pt jump shot from 23 ft,,0,0
3,1,11:13.0,,Defensive rebound by P. George,0,0
4,1,10:57.0,,T. Young makes 2-pt hook shot from 4 ft (assist by M. Turner),0,2
5,1,10:35.0,R. Gobert makes 2-pt layup from 1 ft (assist by G. Hill),,2,2
6,1,10:22.0,,P. George misses 2-pt jump shot from 20 ft,2,2
7,1,10:22.0,Defensive rebound by G. Hill,,2,2
8,1,10:04.0,R. Hood misses 2-pt jump shot from 19 ft,,2,2
9,1,10:04.0,,Defensive rebound by M. Turner,2,2
10,1,9:48.0,,C. Miles misses 2-pt jump shot from 18 ft,2,2
11,1,9:47.0,,Offensive rebound by T. Young,2,2
12,1,9:34.0,,P. George misses 2-pt jump shot from 21 ft,2,2
13,1,9:33.0,,Offensive rebound by T. Young,2,2
14,1,9:29.0,,J. Teague makes 3-pt jump shot from 26 ft (assist by T. Young),2,5
15,1,9:10.0,G. Hayward makes 2-pt layup from 2 ft,,4,5
16,1,8:55.0,,Shooting foul by R. Hood (drawn by C. Miles),4,5
17,1,8:55.0,,C. Miles makes free throw 1 of 2,4,6
18,1,8:55.0,,C. Miles makes free throw 2 of 2,4,7
19,1,8:34.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by G. Hill),,7,7
20,1,8:08.0,,M. Turner misses 2-pt jump shot from 12 ft,7,7
21,1,8:08.0,Defensive rebound by G. Hayward,,7,7
22,1,8:00.0,G. Hayward misses 2-pt layup from 2 ft (block by M. Turner),,7,7
23,1,7:58.0,,Defensive rebound by T. Young,7,7
24,1,7:58.0,,Personal take foul by R. Hood (drawn by T. Young),7,7
25,1,7:48.0,,P. George misses 3-pt jump shot from 28 ft,7,7
26,1,7:48.0,,Offensive rebound by C. Miles,7,7
27,1,7:48.0,,Personal foul by R. Hood,7,7
28,1,7:48.0,J. Ingles enters the game for R. Hood,,7,7
29,1,7:41.0,,Turnover by T. Young (bad pass; steal by G. Hayward),7,7
30,1,7:37.0,G. Hayward makes 2-pt layup from 1 ft,,9,7
31,1,7:21.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by P. George),9,10
32,1,7:01.0,R. Gobert makes 2-pt dunk from 2 ft (assist by G. Hill),,11,10
33,1,6:42.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by P. George),11,13
34,1,6:27.0,Shooting foul by C. Miles (drawn by R. Gobert),,11,13
35,1,6:27.0,R. Gobert misses free throw 1 of 2,,11,13
36,1,6:27.0,Offensive rebound by Team,,11,13
37,1,6:27.0,R. Gobert misses free throw 2 of 2,,11,13
38,1,6:27.0,,Defensive rebound by M. Turner,11,13
39,1,6:03.0,,T. Young misses 2-pt jump shot from 13 ft,11,13
40,1,6:03.0,Defensive rebound by R. Gobert,,11,13
41,1,5:53.0,Turnover by G. Hill (bad pass; steal by C. Miles),,11,13
42,1,5:44.0,,M. Turner makes 2-pt dunk at rim (assist by T. Young),11,15
43,1,5:44.0,Utah full timeout,,11,15
44,1,5:44.0,D. Exum enters the game for G. Hill,,11,15
45,1,5:25.0,Turnover by D. Exum (bad pass; steal by C. Miles),,11,15
46,1,5:18.0,,C. Miles makes 3-pt jump shot from 27 ft (assist by J. Teague),11,18
47,1,5:00.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Gobert),,14,18
48,1,4:36.0,,J. Teague misses 2-pt jump shot from 18 ft (block by G. Hayward),14,18
49,1,4:35.0,,Offensive rebound by T. Young,14,18
50,1,4:34.0,,J. Teague misses 2-pt jump shot from 19 ft,14,18
51,1,4:32.0,Defensive rebound by D. Exum,,14,18
52,1,4:26.0,Personal foul by T. Young (drawn by D. Exum),,14,18
53,1,4:26.0,B. Diaw enters the game for J. Johnson,,14,18
54,1,4:26.0,,Violation by C. Miles (kicked ball),14,18
55,1,4:26.0,,L. Allen enters the game for T. Young,14,18
56,1,4:26.0,,M. Ellis enters the game for C. Miles,14,18
57,1,4:17.0,Turnover by G. Hayward (lost ball; steal by P. George),,14,18
58,1,4:13.0,,Shooting foul by D. Exum (drawn by M. Ellis),14,18
59,1,4:13.0,,M. Ellis makes free throw 1 of 2,14,19
60,1,4:13.0,,M. Ellis misses free throw 2 of 2,14,19
61,1,4:13.0,Defensive rebound by B. Diaw,,14,19
62,1,3:48.0,D. Exum misses 2-pt jump shot from 20 ft,,14,19
63,1,3:47.0,Offensive rebound by Team,,14,19
64,1,3:47.0,Turnover by Team (shot clock),,14,19
65,1,3:31.0,,M. Ellis makes 2-pt jump shot from 17 ft,14,21
66,1,3:13.0,B. Diaw misses 3-pt jump shot from 27 ft,,14,21
67,1,3:09.0,,Defensive rebound by Team,14,21
68,1,3:09.0,R. Neto enters the game for D. Exum,,14,21
69,1,2:48.0,,M. Ellis makes 3-pt jump shot from 27 ft (assist by P. George),14,24
70,1,2:32.0,R. Gobert makes 2-pt layup from 2 ft,,16,24
71,1,2:32.0,Shooting foul by M. Turner (drawn by R. Gobert),,16,24
72,1,2:32.0,,Indiana full timeout,16,24
73,1,2:32.0,R. Gobert misses free throw 1 of 1,,16,24
74,1,2:32.0,,Defensive rebound by Team,16,24
75,1,2:32.0,,A. Brooks enters the game for J. Teague,16,24
76,1,2:32.0,A. Burks enters the game for G. Hayward,,16,24
77,1,2:17.0,,P. George misses 2-pt layup from 2 ft (block by R. Gobert),16,24
78,1,2:15.0,,Offensive rebound by L. Allen,16,24
79,1,2:12.0,,P. George misses 3-pt jump shot from 23 ft,16,24
80,1,2:11.0,Defensive rebound by R. Gobert,,16,24
