,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:39.0,,J. Brown misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,Defensive rebound by N. Vučević,,0,0
2,1,11:21.0,A. Gordon misses 2-pt jump shot from 11 ft,,0,0
3,1,11:20.0,,Defensive rebound by J. Brown,0,0
4,1,11:15.0,,Shooting foul by N. Vučević (drawn by I. Thomas),0,0
5,1,11:15.0,,I. Thomas makes free throw 1 of 2,0,1
6,1,11:15.0,,I. Thomas misses free throw 2 of 2,0,1
7,1,11:15.0,Defensive rebound by A. Gordon,,0,1
8,1,10:57.0,T. Ross misses 3-pt jump shot from 26 ft,,0,1
9,1,10:56.0,,Defensive rebound by A. Johnson,0,1
10,1,10:46.0,,Turnover by A. Horford (lost ball; steal by E. Payton),0,1
11,1,10:40.0,Turnover by E. Payton (lost ball; steal by I. Thomas),,0,1
12,1,10:39.0,,Personal take foul by E. Fournier (drawn by I. Thomas),0,1
13,1,10:25.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by I. Thomas),0,4
14,1,10:18.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),,3,4
15,1,9:59.0,,J. Brown misses 2-pt jump shot from 19 ft,3,4
16,1,9:58.0,Defensive rebound by A. Gordon,,3,4
17,1,9:48.0,A. Gordon makes 2-pt jump shot from 19 ft,,5,4
18,1,9:29.0,,A. Horford misses 2-pt hook shot from 9 ft,5,4
19,1,9:28.0,Defensive rebound by E. Payton,,5,4
20,1,9:18.0,A. Gordon makes 2-pt layup from 1 ft (assist by E. Payton),,7,4
21,1,9:05.0,,Shooting foul by N. Vučević (drawn by A. Johnson),7,4
22,1,9:05.0,,A. Johnson misses free throw 1 of 3,7,4
23,1,9:05.0,,Offensive rebound by Team,7,4
24,1,9:05.0,,A. Johnson makes free throw 2 of 3,7,5
25,1,9:05.0,B. Biyombo enters the game for N. Vučević,,7,5
26,1,9:05.0,,A. Johnson makes free throw 3 of 3,7,6
27,1,8:51.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Payton),,10,6
28,1,8:37.0,,J. Crowder misses 3-pt jump shot from 25 ft,10,6
29,1,8:36.0,Defensive rebound by B. Biyombo,,10,6
30,1,8:25.0,E. Payton makes 2-pt layup from 2 ft,,12,6
31,1,8:20.0,,Boston full timeout,12,6
32,1,8:20.0,,J. Jerebko enters the game for A. Johnson,12,6
33,1,8:11.0,,I. Thomas misses 2-pt jump shot from 15 ft,12,6
34,1,8:10.0,Defensive rebound by B. Biyombo,,12,6
35,1,8:00.0,B. Biyombo makes 2-pt layup at rim (assist by E. Payton),,14,6
36,1,7:34.0,,Shooting foul by B. Biyombo (drawn by J. Brown),14,6
37,1,7:34.0,,J. Brown makes free throw 1 of 2,14,7
38,1,7:34.0,,J. Brown makes free throw 2 of 2,14,8
39,1,7:21.0,Shooting foul by J. Jerebko (drawn by A. Gordon),,14,8
40,1,7:21.0,A. Gordon makes free throw 1 of 2,,15,8
41,1,7:21.0,A. Gordon misses free throw 2 of 2,,15,8
42,1,7:21.0,,Defensive rebound by J. Jerebko,15,8
43,1,7:06.0,,J. Crowder makes 2-pt layup from 2 ft (assist by A. Horford),15,10
44,1,6:51.0,A. Gordon misses 3-pt jump shot from 23 ft,,15,10
