,QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
0,1,11:36.0,,P. George misses 3-pt jump shot from 26 ft,0,0
1,1,11:35.0,Defensive rebound by Team,,0,0
2,1,11:16.0,C. Joseph makes 2-pt jump shot from 18 ft,,2,0
3,1,11:06.0,,M. Turner misses 2-pt jump shot from 4 ft (block by C. Joseph),2,0
4,1,11:05.0,Defensive rebound by J. Valančiūnas,,2,0
5,1,10:52.0,J. Valančiūnas makes 2-pt jump shot from 21 ft,,4,0
6,1,10:32.0,,P. George makes 2-pt layup from 4 ft (assist by J. Teague),4,2
7,1,10:14.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,7,2
8,1,9:59.0,,M. Ellis misses 2-pt jump shot from 21 ft,7,2
9,1,9:58.0,Defensive rebound by S. Ibaka,,7,2
10,1,9:39.0,D. DeRozan misses 2-pt jump shot from 14 ft (block by M. Ellis),,7,2
11,1,9:38.0,Offensive rebound by D. DeRozan,,7,2
12,1,9:34.0,Shooting foul by M. Turner (drawn by S. Ibaka),,7,2
13,1,9:34.0,S. Ibaka makes free throw 1 of 2,,8,2
14,1,9:34.0,S. Ibaka makes free throw 2 of 2,,9,2
15,1,9:21.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by P. George),9,5
16,1,9:10.0,Turnover by J. Valančiūnas (offensive foul),,9,5
17,1,9:10.0,Offensive foul by J. Valančiūnas (drawn by M. Turner),,9,5
18,1,8:53.0,,J. Teague misses 2-pt jump shot from 20 ft,9,5
19,1,8:52.0,Defensive rebound by S. Ibaka,,9,5
20,1,8:38.0,S. Ibaka makes 2-pt jump shot from 5 ft (assist by J. Valančiūnas),,11,5
21,1,8:22.0,,T. Young misses 2-pt jump shot from 4 ft,11,5
22,1,8:21.0,,Offensive rebound by P. George,11,5
23,1,8:21.0,,P. George misses 2-pt layup from 2 ft,11,5
24,1,8:20.0,Defensive rebound by J. Valančiūnas,,11,5
25,1,8:14.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,14,5
26,1,8:09.0,,Indiana full timeout,14,5
27,1,8:01.0,,P. George misses 2-pt jump shot from 9 ft,14,5
28,1,8:01.0,Defensive rebound by J. Valančiūnas,,14,5
29,1,7:46.0,D. DeRozan misses 3-pt jump shot from 24 ft,,14,5
30,1,7:45.0,,Defensive rebound by M. Ellis,14,5
31,1,7:36.0,,P. George makes 2-pt layup from 2 ft,14,7
32,1,7:18.0,Turnover by C. Joseph (bad pass; steal by M. Ellis),,14,7
33,1,7:12.0,,J. Teague misses 3-pt jump shot from 24 ft,14,7
34,1,7:12.0,Defensive rebound by C. Joseph,,14,7
35,1,7:01.0,C. Joseph makes 2-pt layup from 3 ft,,16,7
36,1,6:49.0,,Personal foul by S. Ibaka (drawn by M. Turner),16,7
37,1,6:46.0,,P. George misses 3-pt jump shot from 26 ft,16,7
38,1,6:45.0,Defensive rebound by S. Ibaka,,16,7
39,1,6:34.0,Shooting foul by P. George (drawn by J. Valančiūnas),,16,7
40,1,6:34.0,J. Valančiūnas makes free throw 1 of 2,,17,7
41,1,6:34.0,J. Valančiūnas makes free throw 2 of 2,,18,7
42,1,6:18.0,,T. Young makes 2-pt hook shot from 5 ft (assist by J. Teague),18,9
43,1,6:06.0,S. Ibaka misses 2-pt jump shot from 20 ft,,18,9
44,1,6:05.0,,Defensive rebound by P. George,18,9
45,1,5:49.0,,M. Ellis misses 3-pt jump shot from 23 ft,18,9
46,1,5:48.0,,Offensive rebound by T. Young,18,9
47,1,5:45.0,,Turnover by T. Young (bad pass; steal by D. DeRozan),18,9
48,1,5:36.0,Offensive foul by D. DeRozan (drawn by P. George),,18,9
49,1,5:36.0,Turnover by D. DeRozan (offensive foul),,18,9
50,1,5:36.0,Violation by Team (jump ball),,18,9
51,1,5:36.0,P. Patterson enters the game for J. Valančiūnas,,18,9
52,1,5:24.0,,Shooting foul by C. Joseph (drawn by J. Teague),18,9
53,1,5:24.0,,J. Teague makes free throw 1 of 3,18,10
54,1,5:24.0,,J. Teague makes free throw 2 of 3,18,11
55,1,5:24.0,,C. Miles enters the game for T. Young,18,11
56,1,5:24.0,,J. Teague makes free throw 3 of 3,18,12
57,1,5:00.0,P. Patterson misses 2-pt layup from 3 ft (block by M. Ellis),,18,12
58,1,4:59.0,,Defensive rebound by C. Miles,18,12
59,1,4:55.0,,Turnover by P. George (bad pass; steal by D. Carroll),18,12
60,1,4:49.0,Turnover by D. Carroll (bad pass),,18,12
61,1,4:33.0,,M. Turner misses 2-pt jump shot from 19 ft,18,12
62,1,4:32.0,Defensive rebound by C. Joseph,,18,12
63,1,4:23.0,C. Joseph makes 2-pt jump shot from 19 ft,,20,12
64,1,4:11.0,,P. George misses 3-pt jump shot from 25 ft,20,12
65,1,4:09.0,Defensive rebound by Team,,20,12
66,1,4:09.0,,L. Stephenson enters the game for M. Ellis,20,12
67,1,4:09.0,P. Tucker enters the game for D. Carroll,,20,12
68,1,3:53.0,S. Ibaka misses 3-pt jump shot from 25 ft,,20,12
69,1,3:53.0,,Defensive rebound by Team,20,12
70,1,3:33.0,,P. George misses 2-pt jump shot from 11 ft,20,12
71,1,3:32.0,Defensive rebound by S. Ibaka,,20,12
72,1,3:21.0,P. Patterson misses 3-pt jump shot from 24 ft,,20,12
73,1,3:20.0,,Defensive rebound by C. Miles,20,12
74,1,3:07.0,,L. Stephenson misses 2-pt jump shot from 18 ft,20,12
75,1,3:06.0,Defensive rebound by D. DeRozan,,20,12
76,1,2:49.0,D. DeRozan misses 2-pt jump shot from 12 ft,,20,12
77,1,2:48.0,,Defensive rebound by C. Miles,20,12
78,1,2:39.0,,M. Turner misses 2-pt jump shot from 17 ft,20,12
79,1,2:39.0,Defensive rebound by S. Ibaka,,20,12
80,1,2:34.0,Toronto full timeout,,20,12
81,1,2:34.0,,L. Allen enters the game for M. Turner,20,12
82,1,2:34.0,,A. Brooks enters the game for J. Teague,20,12
83,1,2:34.0,J. Valančiūnas enters the game for S. Ibaka,,20,12
84,1,2:16.0,J. Valančiūnas misses 2-pt jump shot from 7 ft (block by L. Allen),,20,12
85,1,2:16.0,Offensive rebound by Team,,20,12
86,1,2:16.0,Turnover by Team (shot clock),,20,12
87,1,2:16.0,D. Wright enters the game for C. Joseph,,20,12
88,1,2:05.0,,C. Miles misses 3-pt jump shot from 25 ft,20,12
89,1,2:04.0,Defensive rebound by D. Wright,,20,12
90,1,1:57.0,Shooting foul by L. Allen (drawn by D. DeRozan),,20,12
91,1,1:57.0,D. DeRozan misses free throw 1 of 2,,20,12
92,1,1:57.0,Offensive rebound by Team,,20,12
93,1,1:57.0,D. DeRozan makes free throw 2 of 2,,21,12
94,1,1:39.0,,L. Stephenson misses 2-pt jump shot from 15 ft,21,12
