,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:36.0,G. Harris makes 3-pt jump shot from 26 ft (assist by J. Nelson),,3,0
1,1,11:13.0,,T. Williams misses 3-pt jump shot from 25 ft,3,0
2,1,11:13.0,Defensive rebound by J. Nelson,,3,0
3,1,11:01.0,J. Nelson misses 2-pt layup from 1 ft,,3,0
4,1,11:00.0,,Defensive rebound by J. Harden,3,0
5,1,10:52.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),3,3
6,1,10:38.0,N. Jokić makes 2-pt layup from 4 ft,,5,3
7,1,10:32.0,Offensive charge foul by T. Williams (drawn by K. Faried),,5,3
8,1,10:32.0,,Turnover by T. Williams (offensive foul),5,3
9,1,10:20.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by N. Jokić),,8,3
10,1,10:02.0,,T. Williams misses 2-pt layup at rim,8,3
11,1,10:02.0,Defensive rebound by N. Jokić,,8,3
12,1,9:54.0,J. Nelson misses 3-pt jump shot from 22 ft,,8,3
13,1,9:54.0,,Defensive rebound by T. Ariza,8,3
14,1,9:50.0,,T. Williams makes 2-pt dunk at rim (assist by J. Harden),8,5
15,1,9:32.0,N. Jokić misses 3-pt jump shot from 26 ft,,8,5
16,1,9:31.0,,Defensive rebound by T. Williams,8,5
17,1,9:18.0,,T. Williams misses 3-pt jump shot from 25 ft,8,5
18,1,9:18.0,Defensive rebound by J. Nelson,,8,5
19,1,9:06.0,K. Faried misses 2-pt hook shot from 9 ft,,8,5
20,1,9:05.0,,Defensive rebound by C. Capela,8,5
21,1,8:55.0,,Turnover by J. Harden (bad pass; steal by N. Jokić),8,5
22,1,8:46.0,Personal foul by T. Williams (drawn by K. Faried),,8,5
23,1,8:46.0,,E. Gordon enters the game for T. Williams,8,5
24,1,8:32.0,N. Jokić makes 2-pt layup from 2 ft (assist by K. Faried),,10,5
25,1,8:26.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),10,7
26,1,8:06.0,Turnover by J. Nelson (traveling),,10,7
27,1,7:43.0,,J. Harden misses 3-pt jump shot from 25 ft,10,7
28,1,7:42.0,Defensive rebound by N. Jokić,,10,7
29,1,7:34.0,K. Faried makes 2-pt layup from 1 ft (assist by N. Jokić),,12,7
30,1,7:15.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by C. Capela),12,10
31,1,7:03.0,N. Jokić misses 2-pt layup from 2 ft,,12,10
32,1,7:02.0,Offensive rebound by K. Faried,,12,10
33,1,7:01.0,K. Faried makes 2-pt jump shot from 4 ft,,14,10
34,1,6:48.0,,T. Ariza makes 2-pt layup from 3 ft,14,12
35,1,6:37.0,K. Faried misses 2-pt layup from 3 ft (block by J. Harden),,14,12
36,1,6:37.0,Offensive rebound by Team,,14,12
37,1,6:21.0,D. Gallinari misses 3-pt jump shot from 25 ft,,14,12
