,QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
0,1,11:46.0,G. Hayward makes 2-pt jump shot from 9 ft (assist by B. Diaw),,2,0
1,1,11:28.0,,M. Leonard makes 3-pt jump shot from 26 ft (assist by D. Lillard),2,3
2,1,11:17.0,Def 3 sec tech foul by M. Leonard,,2,3
3,1,11:17.0,G. Hayward makes technical free throw,,3,3
4,1,11:02.0,B. Diaw misses 2-pt jump shot from 18 ft,,3,3
5,1,11:02.0,Offensive rebound by Team,,3,3
6,1,11:02.0,Turnover by Team (shot clock),,3,3
7,1,10:43.0,,C. McCollum makes 2-pt jump shot from 6 ft,3,5
8,1,10:24.0,D. Exum misses 3-pt jump shot from 22 ft,,3,5
9,1,10:23.0,,Defensive rebound by N. Vonleh,3,5
10,1,10:13.0,,D. Lillard makes 2-pt jump shot from 14 ft (assist by N. Vonleh),3,7
11,1,9:58.0,Turnover by R. Gobert (traveling),,3,7
12,1,9:35.0,,D. Lillard misses 2-pt jump shot from 3 ft,3,7
13,1,9:35.0,Defensive rebound by R. Gobert,,3,7
14,1,9:24.0,J. Ingles misses 2-pt layup from 3 ft,,3,7
15,1,9:21.0,,Defensive rebound by D. Lillard,3,7
16,1,9:17.0,,D. Lillard makes 2-pt jump shot from 10 ft,3,9
17,1,9:14.0,Utah full timeout,,3,9
18,1,8:54.0,J. Ingles misses 3-pt jump shot from 23 ft,,3,9
19,1,8:53.0,,Defensive rebound by N. Vonleh,3,9
20,1,8:41.0,,D. Lillard misses 2-pt jump shot from 20 ft,3,9
21,1,8:39.0,Defensive rebound by B. Diaw,,3,9
22,1,8:24.0,D. Exum misses 2-pt jump shot from 20 ft,,3,9
23,1,8:23.0,,Defensive rebound by Team,3,9
24,1,8:23.0,D. Favors enters the game for R. Gobert,,3,9
25,1,8:10.0,,C. McCollum misses 2-pt jump shot from 21 ft,3,9
26,1,8:09.0,Defensive rebound by B. Diaw,,3,9
27,1,7:49.0,G. Hayward misses 2-pt jump shot from 8 ft,,3,9
28,1,7:48.0,,Defensive rebound by M. Leonard,3,9
29,1,7:40.0,,D. Lillard makes 3-pt jump shot from 26 ft,3,12
30,1,7:21.0,D. Favors misses 2-pt jump shot from 20 ft,,3,12
31,1,7:20.0,,Defensive rebound by D. Lillard,3,12
32,1,7:14.0,,D. Lillard makes 2-pt layup from 2 ft,3,14
33,1,7:14.0,Utah full timeout,,3,14
34,1,7:14.0,S. Mack enters the game for D. Exum,,3,14
35,1,7:04.0,G. Hayward makes 2-pt jump shot from 21 ft,,5,14
36,1,6:47.0,,Personal block foul by B. Diaw,5,14
37,1,6:42.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),5,17
