,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,K. Thompson misses 3-pt jump shot from 28 ft,0,0
1,1,11:43.0,,Offensive rebound by D. Green,0,0
2,1,11:39.0,,Turnover by K. Thompson (dbl dribble),0,0
3,1,11:26.0,C. McCollum misses 3-pt jump shot from 25 ft,,0,0
4,1,11:25.0,,Defensive rebound by D. Green,0,0
5,1,11:18.0,,Z. Pachulia makes 2-pt layup at rim (assist by D. Green),0,2
6,1,11:01.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by E. Turner),,3,2
7,1,10:40.0,,P. McCaw misses 2-pt layup from 1 ft (block by N. Vonleh),3,2
8,1,10:38.0,,Offensive rebound by S. Curry,3,2
9,1,10:37.0,,S. Curry misses 3-pt jump shot from 25 ft,3,2
10,1,10:35.0,Defensive rebound by D. Lillard,,3,2
11,1,10:27.0,E. Turner misses 3-pt jump shot from 23 ft,,3,2
12,1,10:26.0,,Defensive rebound by D. Green,3,2
13,1,10:17.0,,S. Curry misses 3-pt jump shot from 26 ft,3,2
14,1,10:17.0,Defensive rebound by M. Harkless,,3,2
15,1,10:03.0,C. McCollum misses 3-pt jump shot from 26 ft,,3,2
16,1,10:02.0,,Defensive rebound by D. Green,3,2
17,1,9:57.0,,Turnover by D. Green (bad pass),3,2
18,1,9:44.0,D. Lillard makes 2-pt jump shot from 9 ft,,5,2
19,1,9:29.0,,Z. Pachulia makes 2-pt jump shot from 15 ft,5,4
20,1,9:06.0,D. Lillard makes 2-pt layup from 3 ft (assist by N. Vonleh),,7,4
21,1,8:56.0,,Offensive foul by Z. Pachulia (drawn by E. Turner),7,4
22,1,8:56.0,,Turnover by Z. Pachulia (offensive foul),7,4
23,1,8:50.0,D. Lillard makes 2-pt layup from 2 ft,,9,4
24,1,8:36.0,,Shooting foul by M. Harkless (drawn by P. McCaw),9,4
25,1,8:36.0,,P. McCaw makes free throw 1 of 2,9,5
26,1,8:36.0,,P. McCaw makes free throw 2 of 2,9,6
27,1,8:23.0,Turnover by E. Turner (bad pass),,9,6
28,1,8:12.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Thompson),9,9
29,1,7:53.0,M. Harkless misses 3-pt jump shot from 25 ft,,9,9
30,1,7:53.0,,Defensive rebound by D. Green,9,9
31,1,7:47.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),9,12
32,1,7:32.0,Turnover by C. McCollum (bad pass; steal by S. Curry),,9,12
33,1,7:27.0,,S. Curry makes 3-pt jump shot from 26 ft,9,15
34,1,7:27.0,Portland full timeout,,9,15
35,1,7:08.0,C. McCollum misses 2-pt jump shot from 10 ft,,9,15
36,1,7:07.0,Offensive rebound by M. Harkless,,9,15
