,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:43.0,K. Walker misses 2-pt jump shot from 16 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Harris,0,0
2,1,11:25.0,,T. Harris misses 3-pt jump shot from 27 ft,0,0
3,1,11:21.0,Defensive rebound by D. Howard,,0,0
4,1,11:09.0,D. Howard misses 2-pt hook shot from 5 ft,,0,0
5,1,11:06.0,,Defensive rebound by T. Harris,0,0
6,1,10:53.0,,A. Bradley makes 2-pt layup from 1 ft,0,2
7,1,10:53.0,Violation by D. Howard (def goaltending),,0,2
8,1,10:38.0,Shooting foul by A. Drummond (drawn by J. Lamb),,0,2
9,1,10:38.0,J. Lamb misses free throw 1 of 2,,0,2
10,1,10:38.0,Offensive rebound by Team,,0,2
11,1,10:38.0,J. Lamb makes free throw 2 of 2,,1,2
12,1,10:32.0,,Personal foul by D. Howard (drawn by A. Drummond),1,2
13,1,10:24.0,,A. Bradley misses 2-pt layup from 4 ft (block by D. Howard),1,2
14,1,10:24.0,,Offensive rebound by Team,1,2
15,1,10:17.0,,S. Johnson misses 2-pt jump shot from 6 ft,1,2
16,1,10:14.0,Defensive rebound by D. Howard,,1,2
17,1,10:02.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by K. Walker),,4,2
18,1,9:49.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by A. Drummond),4,4
19,1,9:36.0,Turnover by D. Howard (lost ball; steal by S. Johnson),,4,4
20,1,9:30.0,,A. Bradley makes 2-pt layup from 1 ft (assist by T. Harris),4,6
21,1,9:05.0,J. Lamb misses 3-pt jump shot from 25 ft,,4,6
22,1,9:02.0,,Defensive rebound by R. Jackson,4,6
23,1,8:45.0,,A. Drummond misses 2-pt layup at rim,4,6
24,1,8:42.0,Defensive rebound by D. Howard,,4,6
25,1,8:40.0,D. Howard makes 2-pt layup at rim (assist by J. Lamb),,6,6
26,1,8:23.0,,T. Harris makes 2-pt dunk from 1 ft (assist by R. Jackson),6,8
27,1,8:03.0,D. Howard makes 2-pt layup from 1 ft (assist by J. Lamb),,8,8
28,1,7:52.0,,R. Jackson makes 2-pt jump shot from 9 ft,8,10
29,1,7:39.0,M. Williams misses 3-pt jump shot from 24 ft,,8,10
30,1,7:36.0,,Defensive rebound by R. Jackson,8,10
31,1,7:35.0,,T. Harris makes 2-pt layup from 2 ft (assist by R. Jackson),8,12
32,1,7:35.0,,Shooting foul by M. Williams (drawn by T. Harris),8,12
33,1,7:35.0,,T. Harris makes free throw 1 of 1,8,13
34,1,7:21.0,Personal foul by A. Drummond (drawn by D. Howard),,8,13
35,1,7:21.0,,E. Moreland enters the game for A. Drummond,8,13
36,1,7:06.0,D. Howard misses 2-pt layup from 5 ft,,8,13
37,1,7:04.0,,Defensive rebound by A. Bradley,8,13
38,1,6:59.0,,A. Bradley misses 2-pt jump shot from 20 ft,8,13
39,1,6:56.0,Defensive rebound by D. Howard,,8,13
40,1,6:52.0,D. Bacon misses 2-pt layup from 3 ft,,8,13
41,1,6:48.0,,Defensive rebound by T. Harris,8,13
42,1,6:41.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by S. Johnson),8,16
43,1,6:33.0,Charlotte full timeout,,8,16
44,1,6:33.0,F. Kaminsky enters the game for D. Bacon,,8,16
45,1,6:31.0,Shooting foul by E. Moreland (drawn by J. Lamb),,8,16
46,1,6:31.0,J. Lamb makes free throw 1 of 2,,9,16
47,1,6:31.0,J. Lamb makes free throw 2 of 2,,10,16
48,1,6:21.0,,A. Bradley misses 2-pt jump shot from 16 ft,10,16
49,1,6:18.0,Defensive rebound by D. Howard,,10,16
50,1,6:11.0,Shooting foul by A. Bradley (drawn by K. Walker),,10,16
51,1,6:11.0,K. Walker makes free throw 1 of 2,,11,16
52,1,6:11.0,K. Walker makes free throw 2 of 2,,12,16
