,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:36.0,,D. Collison makes 2-pt layup from 1 ft,0,2
1,1,11:19.0,Shooting foul by T. Young (drawn by R. Hollis-Jefferson),,0,2
2,1,11:19.0,R. Hollis-Jefferson makes free throw 1 of 2,,1,2
3,1,11:19.0,R. Hollis-Jefferson makes free throw 2 of 2,,2,2
4,1,11:09.0,,V. Oladipo misses 2-pt jump shot from 21 ft,2,2
5,1,11:07.0,Defensive rebound by D. Carroll,,2,2
6,1,10:52.0,D. Carroll makes 2-pt jump shot from 17 ft (assist by R. Hollis-Jefferson),,4,2
7,1,10:31.0,,V. Oladipo makes 2-pt jump shot from 19 ft,4,4
8,1,10:15.0,Turnover by J. Lin (bad pass; steal by V. Oladipo),,4,4
9,1,10:11.0,,V. Oladipo makes 2-pt dunk from 1 ft,4,6
10,1,9:58.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Lin),,7,6
11,1,9:39.0,,T. Young misses 2-pt layup from 5 ft,7,6
12,1,9:37.0,Defensive rebound by T. Mozgov,,7,6
13,1,9:30.0,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft (assist by D. Carroll),,9,6
14,1,9:13.0,,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),9,9
15,1,8:57.0,D. Russell misses 2-pt jump shot from 16 ft,,9,9
16,1,8:55.0,,Defensive rebound by M. Turner,9,9
17,1,8:47.0,,D. Collison makes 2-pt layup at rim,9,11
18,1,8:30.0,D. Russell makes 2-pt layup from 1 ft (assist by D. Carroll),,11,11
19,1,8:24.0,,Shooting block foul by J. Lin (drawn by V. Oladipo),11,11
20,1,8:24.0,,V. Oladipo makes free throw 1 of 2,11,12
21,1,8:24.0,,V. Oladipo makes free throw 2 of 2,11,13
22,1,8:14.0,Turnover by J. Lin (lost ball; steal by D. Collison),,11,13
23,1,8:10.0,,Shooting block foul by D. Russell (drawn by V. Oladipo),11,13
24,1,8:10.0,,V. Oladipo makes free throw 1 of 2,11,14
25,1,8:10.0,,V. Oladipo misses free throw 2 of 2,11,14
26,1,8:08.0,Defensive rebound by R. Hollis-Jefferson,,11,14
27,1,7:53.0,Turnover by D. Carroll (lost ball; steal by V. Oladipo),,11,14
28,1,7:53.0,,Turnover by B. Bogdanović (out of bounds lost ball),11,14
29,1,7:39.0,J. Lin makes 2-pt layup from 1 ft,,13,14
30,1,7:25.0,,T. Young misses 3-pt jump shot from 26 ft,13,14
31,1,7:22.0,Defensive rebound by D. Carroll,,13,14
