,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by J. Green),0,3
1,1,11:22.0,A. Davis makes 2-pt hook shot from 8 ft (assist by E. Moore),,2,3
2,1,11:02.0,Personal foul by J. Green (drawn by D. Cousins),,2,3
3,1,11:01.0,,J. Green misses 2-pt layup from 3 ft (block by D. Cousins),2,3
4,1,11:01.0,Defensive rebound by D. Cousins,,2,3
5,1,10:45.0,A. Davis misses 2-pt jump shot from 17 ft,,2,3
6,1,10:42.0,,Defensive rebound by M. Gasol,2,3
7,1,10:39.0,,Shooting foul by J. Holiday (drawn by M. Conley),2,3
8,1,10:39.0,,M. Conley makes free throw 1 of 2,2,4
9,1,10:39.0,,M. Conley makes free throw 2 of 2,2,5
10,1,10:28.0,Shooting foul by M. Gasol (drawn by D. Cousins),,2,5
11,1,10:28.0,D. Cousins makes free throw 1 of 2,,3,5
12,1,10:28.0,D. Cousins makes free throw 2 of 2,,4,5
13,1,10:17.0,,Turnover by M. Gasol (traveling),4,5
14,1,10:04.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Holiday),,7,5
15,1,9:43.0,,Personal foul by A. Davis (drawn by M. Gasol),7,5
16,1,9:31.0,,A. Harrison misses 2-pt jump shot from 22 ft,7,5
17,1,9:27.0,Defensive rebound by D. Cunningham,,7,5
18,1,9:22.0,D. Cunningham misses 3-pt jump shot from 25 ft,,7,5
19,1,9:17.0,,Defensive rebound by A. Harrison,7,5
20,1,9:14.0,,A. Harrison misses 2-pt layup at rim (block by D. Cousins),7,5
21,1,9:14.0,,Offensive rebound by M. Gasol,7,5
22,1,9:14.0,,M. Gasol misses 2-pt layup from 1 ft (block by D. Cunningham),7,5
23,1,9:14.0,,Offensive rebound by Team,7,5
24,1,9:08.0,,Turnover by M. Conley (bad pass),7,5
25,1,8:58.0,J. Holiday misses 2-pt jump shot from 7 ft,,7,5
26,1,8:55.0,,Defensive rebound by M. Gasol,7,5
27,1,8:52.0,,J. Green makes 2-pt layup at rim (assist by J. Ennis),7,7
28,1,8:43.0,E. Moore makes 2-pt layup from 5 ft (assist by J. Holiday),,9,7
29,1,8:26.0,,M. Conley makes 2-pt jump shot from 1 ft,9,9
30,1,8:15.0,D. Cousins misses 3-pt jump shot from 26 ft,,9,9
31,1,8:08.0,,Defensive rebound by J. Green,9,9
32,1,8:07.0,,Memphis full timeout,9,9
33,1,8:07.0,,B. Wright enters the game for J. Green,9,9
34,1,7:57.0,,M. Gasol misses 2-pt jump shot from 7 ft,9,9
35,1,7:53.0,Defensive rebound by D. Cousins,,9,9
36,1,7:38.0,D. Cousins misses 2-pt jump shot from 7 ft,,9,9
37,1,7:36.0,Offensive rebound by D. Cousins,,9,9
38,1,7:34.0,D. Cousins makes 2-pt hook shot from 1 ft,,11,9
39,1,7:26.0,,M. Conley makes 3-pt jump shot from 22 ft,11,12
40,1,7:12.0,J. Holiday misses 2-pt jump shot at rim,,11,12
41,1,7:08.0,Offensive rebound by A. Davis,,11,12
42,1,7:08.0,A. Davis makes 2-pt layup at rim,,13,12
43,1,6:52.0,,M. Gasol misses 2-pt jump shot from 11 ft,13,12
44,1,6:50.0,,Offensive rebound by B. Wright,13,12
45,1,6:48.0,,B. Wright misses 2-pt hook shot from 1 ft,13,12
46,1,6:46.0,Defensive rebound by D. Cousins,,13,12
47,1,6:36.0,A. Davis misses 2-pt layup at rim (block by M. Gasol),,13,12
48,1,6:32.0,,Defensive rebound by M. Conley,13,12
49,1,6:26.0,,M. Gasol misses 2-pt hook shot from 4 ft (block by D. Cousins),13,12
50,1,6:19.0,,Offensive rebound by M. Gasol,13,12
51,1,6:19.0,,M. Gasol makes 2-pt layup at rim,13,14
52,1,6:18.0,Personal foul by M. Conley (drawn by E. Moore),,13,14
53,1,6:12.0,Shooting foul by B. Wright (drawn by A. Davis),,13,14
54,1,6:12.0,A. Davis misses free throw 1 of 2,,13,14
55,1,6:12.0,Offensive rebound by Team,,13,14
56,1,6:12.0,A. Davis makes free throw 2 of 2,,14,14
57,1,5:57.0,,M. Gasol misses 3-pt jump shot from 24 ft,14,14
58,1,5:51.0,Defensive rebound by Team,,14,14
59,1,5:43.0,A. Davis makes 3-pt jump shot from 26 ft (assist by J. Holiday),,17,14
60,1,5:17.0,,M. Gasol misses 2-pt layup from 6 ft (block by D. Cousins),17,14
61,1,5:15.0,Defensive rebound by D. Cunningham,,17,14
62,1,5:04.0,A. Davis makes 2-pt hook shot from 7 ft,,19,14
63,1,4:48.0,,M. Conley makes 2-pt jump shot from 9 ft,19,16
64,1,4:38.0,E. Moore misses 2-pt layup from 1 ft (block by A. Harrison),,19,16
65,1,4:35.0,Offensive rebound by D. Cousins,,19,16
66,1,4:32.0,D. Cunningham makes 3-pt jump shot from 24 ft (assist by D. Cousins),,22,16
67,1,4:17.0,,Def 3 sec tech foul by A. Davis,22,16
68,1,4:17.0,,M. Conley makes technical free throw,22,17
69,1,4:17.0,,D. Brooks enters the game for A. Harrison,22,17
70,1,4:17.0,,M. Chalmers enters the game for J. Ennis,22,17
71,1,4:17.0,,T. Evans enters the game for M. Conley,22,17
72,1,4:17.0,I. Clark enters the game for D. Cousins,,22,17
73,1,4:17.0,D. Miller enters the game for E. Moore,,22,17
74,1,4:03.0,,M. Gasol misses 2-pt jump shot from 13 ft,22,17
75,1,4:02.0,,Offensive rebound by B. Wright,22,17
76,1,4:02.0,,Personal foul by D. Miller (drawn by B. Wright),22,17
77,1,4:00.0,,Turnover by D. Brooks (bad pass; steal by D. Cunningham),22,17
78,1,3:47.0,Offensive foul by A. Davis (drawn by M. Chalmers),,22,17
79,1,3:47.0,Turnover by A. Davis (offensive foul),,22,17
80,1,3:47.0,,C. Parsons enters the game for M. Gasol,22,17
81,1,3:47.0,D. Cousins enters the game for A. Davis,,22,17
82,1,3:33.0,,T. Evans misses 2-pt layup from 1 ft (block by D. Miller),22,17
83,1,3:28.0,,Offensive rebound by T. Evans,22,17
84,1,3:28.0,,T. Evans misses 2-pt layup at rim,22,17
85,1,3:27.0,Defensive rebound by D. Cousins,,22,17
86,1,3:24.0,D. Cousins misses 2-pt layup from 1 ft (block by B. Wright),,22,17
87,1,3:19.0,,Defensive rebound by C. Parsons,22,17
88,1,3:13.0,,Shooting foul by I. Clark (drawn by D. Brooks),22,17
89,1,3:13.0,,D. Brooks makes free throw 1 of 2,22,18
90,1,3:13.0,T. Allen enters the game for D. Cunningham,,22,18
91,1,3:13.0,,D. Brooks makes free throw 2 of 2,22,19
92,1,3:02.0,D. Cousins makes 2-pt layup from 1 ft,,24,19
93,1,2:50.0,,M. Chalmers misses 2-pt layup from 1 ft (block by T. Allen),24,19
94,1,2:50.0,,Offensive rebound by Team,24,19
95,1,2:50.0,New Orleans full timeout,,24,19
96,1,2:50.0,J. Crawford enters the game for J. Holiday,,24,19
97,1,2:43.0,,Shooting foul by T. Allen (drawn by C. Parsons),24,19
98,1,2:43.0,,C. Parsons misses free throw 1 of 2,24,19
99,1,2:43.0,,Offensive rebound by Team,24,19
100,1,2:43.0,,C. Parsons misses free throw 2 of 2,24,19
101,1,2:40.0,Defensive rebound by T. Allen,,24,19
102,1,2:23.0,I. Clark misses 3-pt jump shot from 26 ft,,24,19
103,1,2:21.0,,Defensive rebound by T. Evans,24,19
104,1,2:12.0,,D. Brooks makes 2-pt jump shot from 12 ft,24,21
105,1,1:57.0,Personal foul by T. Evans (drawn by D. Cousins),,24,21
106,1,1:57.0,D. Cousins misses free throw 1 of 2,,24,21
107,1,1:57.0,Offensive rebound by Team,,24,21
108,1,1:57.0,D. Cousins makes free throw 2 of 2,,25,21
109,1,1:43.0,,D. Brooks misses 2-pt layup from 1 ft (block by D. Cousins),25,21
110,1,1:40.0,,Offensive rebound by C. Parsons,25,21
111,1,1:39.0,,M. Chalmers misses 3-pt jump shot from 25 ft,25,21
112,1,1:35.0,Defensive rebound by D. Cousins,,25,21
113,1,1:26.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by J. Crawford),,28,21
114,1,1:08.0,,B. Wright makes 2-pt layup at rim (assist by M. Chalmers),28,23
115,1,0:47.0,I. Clark makes 3-pt jump shot from 23 ft (assist by J. Crawford),,31,23
116,1,0:30.0,,Personal foul by I. Clark (drawn by M. Chalmers),31,23
117,1,0:30.0,,M. Chalmers makes free throw 1 of 2,31,24
118,1,0:30.0,,M. Gasol enters the game for B. Wright,31,24
119,1,0:30.0,,M. Chalmers makes free throw 2 of 2,31,25
