,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:48.0,,D. Booker misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,Defensive rebound by D. Favors,,0,0
2,1,11:26.0,D. Favors misses 3-pt jump shot from 23 ft,,0,0
3,1,11:23.0,,Defensive rebound by T. Chandler,0,0
4,1,11:05.0,,T. Chandler misses 2-pt layup from 2 ft,0,0
5,1,11:00.0,,Offensive rebound by T. Chandler,0,0
6,1,11:00.0,,T. Chandler makes 2-pt layup at rim,0,2
7,1,10:50.0,J. Ingles makes 2-pt layup at rim,,2,2
8,1,10:40.0,,Personal foul by D. Favors (drawn by T. Chandler),2,2
9,1,10:27.0,,M. Chriss misses 2-pt layup from 1 ft (block by R. Gobert),2,2
10,1,10:22.0,,Offensive rebound by T. Chandler,2,2
11,1,10:21.0,,T. Chandler makes 2-pt layup from 1 ft,2,4
12,1,10:10.0,Turnover by R. Rubio (bad pass; steal by D. Booker),,2,4
13,1,10:05.0,,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),2,6
14,1,9:56.0,Personal foul by M. James (drawn by R. Rubio),,2,6
15,1,9:52.0,Turnover by R. Hood (traveling),,2,6
16,1,9:44.0,,M. James misses 2-pt jump shot from 15 ft,2,6
17,1,9:41.0,Defensive rebound by R. Rubio,,2,6
18,1,9:37.0,Turnover by R. Rubio (bad pass; steal by T. Chandler),,2,6
19,1,9:32.0,,T. Warren makes 2-pt layup from 1 ft (assist by M. James),2,8
20,1,9:11.0,R. Gobert misses 2-pt layup from 1 ft (block by T. Chandler),,2,8
21,1,9:07.0,,Defensive rebound by M. James,2,8
22,1,9:04.0,,D. Booker misses 3-pt jump shot from 25 ft,2,8
23,1,9:02.0,Defensive rebound by R. Gobert,,2,8
24,1,8:56.0,J. Ingles misses 3-pt jump shot from 26 ft,,2,8
25,1,8:53.0,,Defensive rebound by T. Chandler,2,8
