,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,K. Walker misses 2-pt layup from 2 ft,0,0
1,1,11:43.0,,Offensive rebound by D. Howard,0,0
2,1,11:41.0,,Turnover by D. Howard (bad pass; steal by T. Ross),0,0
3,1,11:40.0,Shooting foul by J. Lamb (drawn by T. Ross),,0,0
4,1,11:40.0,T. Ross makes free throw 1 of 2,,1,0
5,1,11:40.0,T. Ross makes free throw 2 of 2,,2,0
6,1,11:28.0,,Turnover by D. Howard (bad pass; steal by E. Fournier),2,0
7,1,11:20.0,Turnover by A. Gordon (bad pass; steal by J. Lamb),,2,0
8,1,11:13.0,,D. Howard misses 2-pt hook shot from 6 ft,2,0
9,1,11:10.0,Defensive rebound by N. Vučević,,2,0
10,1,10:51.0,N. Vučević misses 3-pt jump shot from 26 ft,,2,0
11,1,10:48.0,,Defensive rebound by M. Kidd-Gilchrist,2,0
12,1,10:42.0,,Shooting foul by N. Vučević (drawn by M. Kidd-Gilchrist),2,0
13,1,10:42.0,,M. Kidd-Gilchrist misses free throw 1 of 2,2,0
14,1,10:42.0,,Offensive rebound by Team,2,0
15,1,10:42.0,,M. Kidd-Gilchrist makes free throw 2 of 2,2,1
16,1,10:33.0,E. Fournier makes 2-pt layup from 1 ft,,4,1
17,1,10:18.0,,D. Howard misses 2-pt jump shot from 9 ft,4,1
18,1,10:15.0,Defensive rebound by A. Gordon,,4,1
19,1,9:53.0,A. Gordon misses 3-pt jump shot from 26 ft,,4,1
20,1,9:50.0,,Defensive rebound by M. Kidd-Gilchrist,4,1
21,1,9:41.0,,K. Walker misses 2-pt jump shot from 14 ft,4,1
22,1,9:38.0,Defensive rebound by N. Vučević,,4,1
23,1,9:31.0,D. Augustin misses 2-pt layup from 2 ft,,4,1
24,1,9:28.0,,Defensive rebound by K. Walker,4,1
25,1,9:25.0,,D. Howard makes 2-pt dunk from 1 ft (assist by J. Lamb),4,3
26,1,9:12.0,N. Vučević misses 2-pt layup from 1 ft,,4,3
27,1,9:10.0,,Defensive rebound by M. Kidd-Gilchrist,4,3
28,1,9:01.0,,Turnover by D. Howard (bad pass),4,3
29,1,8:53.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,6,3
