,QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
0,1,11:39.0,,Turnover by K. Porziņģis (out of bounds lost ball),0,0
1,1,11:21.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),,3,0
2,1,11:02.0,,J. Jack misses 2-pt jump shot from 21 ft,3,0
3,1,11:00.0,Defensive rebound by T. Ariza,,3,0
4,1,10:51.0,J. Harden misses 2-pt layup from 1 ft,,3,0
5,1,10:51.0,C. Capela misses 2-pt layup at rim,,3,0
6,1,10:51.0,,Defensive rebound by C. Lee,3,0
7,1,10:45.0,Defensive rebound by C. Capela,,3,0
8,1,10:37.0,,T. Hardaway misses 3-pt jump shot from 27 ft,3,0
9,1,10:37.0,Defensive rebound by E. Gordon,,3,0
10,1,10:25.0,E. Gordon misses 2-pt layup from 2 ft (block by K. Porziņģis),,3,0
11,1,10:25.0,Offensive rebound by C. Capela,,3,0
12,1,10:20.0,C. Capela misses 2-pt layup from 2 ft,,3,0
13,1,10:20.0,,Defensive rebound by J. Jack,3,0
14,1,10:15.0,,T. Hardaway makes 2-pt layup at rim (assist by J. Jack),3,2
15,1,10:09.0,Turnover by J. Harden (bad pass; steal by T. Hardaway),,3,2
16,1,10:03.0,,T. Hardaway makes 3-pt jump shot from 26 ft,3,5
17,1,9:49.0,T. Ariza makes 2-pt jump shot from 5 ft,,5,5
18,1,9:34.0,,K. Porziņģis misses 2-pt jump shot from 16 ft,5,5
19,1,9:29.0,Defensive rebound by C. Capela,,5,5
20,1,9:24.0,R. Anderson misses 3-pt jump shot from 22 ft,,5,5
21,1,9:20.0,,Defensive rebound by E. Freedom,5,5
22,1,9:17.0,,C. Lee makes 3-pt jump shot from 24 ft,5,8
23,1,8:56.0,E. Gordon makes 3-pt jump shot from 33 ft (assist by J. Harden),,8,8
24,1,8:35.0,,K. Porziņģis misses 2-pt jump shot from 7 ft,8,8
25,1,8:31.0,Defensive rebound by T. Ariza,,8,8
26,1,8:24.0,Shooting foul by E. Freedom (drawn by J. Harden),,8,8
27,1,8:24.0,J. Harden misses free throw 1 of 2,,8,8
28,1,8:24.0,Offensive rebound by Team,,8,8
29,1,8:24.0,J. Harden makes free throw 2 of 2,,9,8
30,1,8:09.0,,E. Freedom makes 2-pt layup at rim (assist by K. Porziņģis),9,10
