,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
0,1,11:34.0,,R. Lopez misses 2-pt hook shot from 7 ft,0,0
1,1,11:32.0,Defensive rebound by B. Bogdanović,,0,0
2,1,11:23.0,M. Turner misses 2-pt jump shot from 19 ft,,0,0
3,1,11:20.0,,Defensive rebound by L. Markkanen,0,0
4,1,11:13.0,,L. Markkanen misses 3-pt jump shot from 24 ft,0,0
5,1,11:09.0,Defensive rebound by M. Turner,,0,0
6,1,10:57.0,Offensive foul by M. Turner (drawn by R. Lopez),,0,0
7,1,10:57.0,Turnover by M. Turner (offensive foul),,0,0
8,1,10:50.0,,Turnover by R. Lopez (traveling),0,0
9,1,10:39.0,V. Oladipo makes 2-pt jump shot from 14 ft (assist by D. Collison),,2,0
10,1,10:17.0,,R. Lopez misses 2-pt jump shot from 6 ft,2,0
11,1,10:14.0,Defensive rebound by M. Turner,,2,0
12,1,10:05.0,M. Turner makes 2-pt dunk from 1 ft (assist by V. Oladipo),,4,0
13,1,9:43.0,,L. Markkanen misses 3-pt jump shot from 23 ft,4,0
14,1,9:38.0,Defensive rebound by V. Oladipo,,4,0
15,1,9:28.0,Turnover by M. Turner (bad pass; steal by L. Markkanen),,4,0
16,1,9:19.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by L. Markkanen),4,3
17,1,9:01.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,6,3
18,1,8:45.0,,J. Holiday misses 2-pt jump shot from 12 ft,6,3
19,1,8:40.0,,Offensive rebound by J. Holiday,6,3
20,1,8:39.0,,J. Holiday makes 2-pt jump shot from 5 ft,6,5
21,1,8:34.0,T. Young makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,9,5
22,1,8:16.0,,R. Lopez misses 2-pt jump shot from 18 ft,9,5
23,1,8:13.0,Defensive rebound by B. Bogdanović,,9,5
24,1,8:04.0,Turnover by T. Young (lost ball; steal by L. Markkanen),,9,5
25,1,8:04.0,,Personal foul by B. Bogdanović (drawn by J. Grant),9,5
26,1,7:52.0,,P. Zipser misses 2-pt jump shot from 19 ft,9,5
27,1,7:48.0,Defensive rebound by V. Oladipo,,9,5
28,1,7:46.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,12,5
29,1,7:28.0,,Personal foul by B. Bogdanović (drawn by P. Zipser),12,5
30,1,7:21.0,,P. Zipser misses 3-pt jump shot from 24 ft,12,5
31,1,7:18.0,Defensive rebound by D. Collison,,12,5
32,1,7:07.0,M. Turner misses 2-pt jump shot from 10 ft,,12,5
33,1,7:03.0,,Defensive rebound by L. Markkanen,12,5
34,1,6:48.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by P. Zipser),12,8
35,1,6:40.0,T. Young makes 2-pt jump shot from 22 ft (assist by D. Collison),,14,8
36,1,6:19.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Lopez),14,10
37,1,6:04.0,B. Bogdanović makes 2-pt layup from 2 ft,,16,10
38,1,5:57.0,,Personal foul by M. Turner (drawn by J. Grant),16,10
39,1,5:57.0,,Chicago full timeout,16,10
40,1,5:57.0,C. Joseph enters the game for M. Turner,,16,10
41,1,5:57.0,D. Sabonis enters the game for B. Bogdanović,,16,10
42,1,5:39.0,,J. Grant makes 2-pt jump shot from 18 ft (assist by L. Markkanen),16,12
43,1,5:24.0,V. Oladipo makes 2-pt jump shot from 19 ft (assist by T. Young),,18,12
44,1,5:01.0,,L. Markkanen misses 3-pt jump shot from 25 ft,18,12
45,1,4:57.0,,Offensive rebound by R. Lopez,18,12
46,1,4:57.0,,D. Valentine enters the game for P. Zipser,18,12
47,1,4:53.0,,J. Holiday misses 3-pt jump shot from 25 ft,18,12
48,1,4:49.0,,Offensive rebound by Team,18,12
49,1,4:34.0,,D. Valentine misses 2-pt jump shot from 6 ft,18,12
