,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
0,1,11:47.0,Turnover by D. Jordan (lost ball; steal by K. Love),,0,0
1,1,11:42.0,,Shooting foul by S. Thornwell (drawn by L. James),0,0
2,1,11:42.0,,L. James misses free throw 1 of 2,0,0
3,1,11:42.0,,Offensive rebound by Team,0,0
4,1,11:42.0,,L. James misses free throw 2 of 2,0,0
5,1,11:40.0,Defensive rebound by B. Griffin,,0,0
6,1,11:32.0,B. Griffin misses 3-pt jump shot from 25 ft,,0,0
7,1,11:28.0,,Defensive rebound by L. James,0,0
8,1,11:26.0,,Turnover by L. James (bad pass; steal by W. Johnson),0,0
9,1,11:17.0,S. Thornwell makes 3-pt jump shot from 25 ft (assist by W. Johnson),,3,0
10,1,10:57.0,,L. James misses 2-pt layup from 1 ft,3,0
11,1,10:54.0,Defensive rebound by B. Griffin,,3,0
12,1,10:36.0,Turnover by D. Jordan (bad pass; steal by J. Crowder),,3,0
13,1,10:28.0,,K. Love misses 3-pt jump shot from 26 ft,3,0
14,1,10:26.0,Defensive rebound by D. Jordan,,3,0
15,1,10:19.0,Turnover by D. Jordan (out of bounds lost ball),,3,0
16,1,10:03.0,,J. Crowder misses 3-pt jump shot from 26 ft,3,0
17,1,10:01.0,Defensive rebound by B. Griffin,,3,0
18,1,9:59.0,Turnover by B. Griffin (bad pass),,3,0
19,1,9:49.0,,J. Crowder misses 2-pt jump shot from 18 ft,3,0
20,1,9:49.0,,Offensive rebound by K. Love,3,0
21,1,9:49.0,,K. Love misses 2-pt layup at rim,3,0
22,1,9:48.0,Defensive rebound by D. Jordan,,3,0
23,1,9:38.0,Personal foul by K. Love (drawn by D. Jordan),,3,0
24,1,9:29.0,D. Jordan makes 2-pt hook shot from 5 ft (assist by B. Griffin),,5,0
25,1,9:10.0,,I. Shumpert misses 2-pt jump shot from 22 ft,5,0
26,1,9:06.0,Defensive rebound by W. Johnson,,5,0
27,1,8:59.0,W. Johnson makes 3-pt jump shot from 28 ft (assist by S. Thornwell),,8,0
28,1,8:59.0,,Cleveland full timeout,8,0
29,1,8:48.0,,J. Smith misses 3-pt jump shot from 26 ft,8,0
30,1,8:44.0,Defensive rebound by D. Jordan,,8,0
31,1,8:35.0,B. Griffin misses 2-pt jump shot from 9 ft,,8,0
32,1,8:35.0,,Defensive rebound by L. James,8,0
33,1,8:23.0,,J. Smith misses 3-pt jump shot from 23 ft,8,0
34,1,8:23.0,,Offensive rebound by K. Love,8,0
35,1,8:18.0,,J. Crowder misses 2-pt layup from 1 ft (block by D. Jordan),8,0
36,1,8:15.0,Defensive rebound by B. Griffin,,8,0
37,1,8:06.0,W. Johnson misses 3-pt jump shot from 24 ft,,8,0
38,1,8:03.0,Offensive rebound by D. Jordan,,8,0
39,1,8:00.0,D. Jordan makes 2-pt hook shot from 7 ft,,10,0
40,1,7:42.0,,J. Crowder misses 2-pt layup from 5 ft (block by D. Jordan),10,0
41,1,7:37.0,Defensive rebound by B. Griffin,,10,0
42,1,7:34.0,S. Thornwell makes 2-pt jump shot from 20 ft (assist by B. Griffin),,12,0
43,1,7:15.0,,K. Love makes 2-pt jump shot from 11 ft (assist by J. Smith),12,2
44,1,6:57.0,A. Rivers misses 2-pt layup from 7 ft (block by I. Shumpert),,12,2
45,1,6:57.0,Offensive rebound by Team,,12,2
46,1,6:51.0,B. Griffin makes 2-pt jump shot from 15 ft (assist by A. Rivers),,14,2
47,1,6:30.0,,K. Love makes 2-pt layup at rim (assist by J. Smith),14,4
48,1,6:12.0,Personal foul by I. Shumpert (drawn by D. Jordan),,14,4
49,1,6:12.0,,J. Calderón enters the game for I. Shumpert,14,4
50,1,6:08.0,D. Jordan makes 2-pt dunk from 1 ft (assist by A. Rivers),,16,4
51,1,5:48.0,,L. James makes 3-pt jump shot from 26 ft,16,7
52,1,5:38.0,A. Rivers misses 3-pt jump shot from 25 ft,,16,7
53,1,5:36.0,,Defensive rebound by L. James,16,7
