,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:40.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),0,3
1,1,11:17.0,Z. Randolph makes 2-pt jump shot from 21 ft,,2,3
2,1,11:07.0,,Personal block foul by S. Labissière (drawn by J. Nurkić),2,3
3,1,11:01.0,,D. Lillard misses 3-pt jump shot from 24 ft,2,3
4,1,10:58.0,Defensive rebound by G. Hill,,2,3
5,1,10:47.0,S. Labissière misses 2-pt jump shot from 16 ft,,2,3
6,1,10:45.0,,Defensive rebound by N. Vonleh,2,3
7,1,10:30.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),2,5
8,1,10:08.0,Shooting foul by M. Harkless (drawn by Z. Randolph),,2,5
9,1,10:08.0,Z. Randolph makes free throw 1 of 2,,3,5
10,1,10:08.0,Z. Randolph makes free throw 2 of 2,,4,5
11,1,9:56.0,,J. Nurkić makes 2-pt jump shot from 3 ft (assist by D. Lillard),4,7
12,1,9:42.0,S. Labissière misses 2-pt hook shot from 8 ft,,4,7
13,1,9:39.0,,Defensive rebound by C. McCollum,4,7
14,1,9:33.0,,Turnover by C. McCollum (lost ball; steal by D. Fox),4,7
15,1,9:17.0,S. Labissière misses 2-pt hook shot from 7 ft,,4,7
16,1,9:13.0,Offensive rebound by S. Labissière,,4,7
17,1,9:10.0,G. Hill makes 3-pt jump shot from 24 ft (assist by S. Labissière),,7,7
18,1,9:00.0,,Personal foul by D. Fox (drawn by D. Lillard),7,7
19,1,8:43.0,,J. Nurkić misses 2-pt layup from 3 ft (block by S. Labissière),7,7
20,1,8:41.0,Defensive rebound by S. Labissière,,7,7
21,1,8:39.0,D. Fox misses 2-pt layup from 1 ft (block by D. Lillard),,7,7
22,1,8:39.0,Offensive rebound by Team,,7,7
23,1,8:34.0,G. Temple misses 2-pt jump shot from 22 ft,,7,7
24,1,8:31.0,,Defensive rebound by N. Vonleh,7,7
25,1,8:24.0,,C. McCollum misses 3-pt jump shot from 26 ft,7,7
26,1,8:20.0,,Offensive rebound by J. Nurkić,7,7
27,1,8:15.0,,J. Nurkić makes 2-pt hook shot from 10 ft (assist by D. Lillard),7,9
28,1,8:02.0,S. Labissière misses 2-pt layup from 3 ft,,7,9
29,1,7:58.0,,Defensive rebound by N. Vonleh,7,9
30,1,7:49.0,,N. Vonleh makes 2-pt jump shot from 20 ft (assist by C. McCollum),7,11
31,1,7:34.0,D. Fox makes 2-pt jump shot from 18 ft,,9,11
32,1,7:26.0,,D. Lillard misses 3-pt jump shot from 30 ft,9,11
33,1,7:24.0,Defensive rebound by G. Temple,,9,11
34,1,7:21.0,G. Temple misses 2-pt layup from 2 ft (block by J. Nurkić),,9,11
35,1,7:18.0,,Defensive rebound by C. McCollum,9,11
36,1,7:12.0,,D. Lillard misses 2-pt layup from 2 ft,9,11
37,1,7:11.0,Defensive rebound by Z. Randolph,,9,11
38,1,7:07.0,Personal foul by N. Vonleh (drawn by D. Fox),,9,11
39,1,6:50.0,D. Fox makes 2-pt jump shot from 7 ft,,11,11
40,1,6:44.0,,D. Lillard misses 2-pt layup from 3 ft (block by S. Labissière),11,11
