,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BROOKLYN_ACTION,GOLDEN STATE_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Thompson),0,0
1,1,11:38.0,O. Casspi makes 2-pt layup at rim,,2,0
2,1,11:17.0,,S. Dinwiddie misses 3-pt jump shot from 23 ft,2,0
3,1,11:15.0,Defensive rebound by Z. Pachulia,,2,0
4,1,11:03.0,Turnover by Z. Pachulia (bad pass; steal by D. Carroll),,2,0
5,1,10:57.0,,A. Crabbe misses 2-pt jump shot from 17 ft,2,0
6,1,10:55.0,Defensive rebound by S. Curry,,2,0
7,1,10:49.0,Z. Pachulia misses 2-pt layup from 2 ft,,2,0
8,1,10:46.0,,Defensive rebound by T. Booker,2,0
9,1,10:44.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by T. Booker),2,3
10,1,10:25.0,K. Thompson misses 2-pt jump shot from 19 ft,,2,3
11,1,10:23.0,,Defensive rebound by D. Carroll,2,3
12,1,10:18.0,,Turnover by R. Hollis-Jefferson (out of bounds lost ball),2,3
13,1,10:05.0,K. Thompson misses 2-pt jump shot from 15 ft,,2,3
14,1,10:01.0,,Defensive rebound by R. Hollis-Jefferson,2,3
15,1,9:47.0,,S. Dinwiddie makes 2-pt layup from 1 ft,2,5
16,1,9:35.0,S. Curry makes 2-pt jump shot from 16 ft,,4,5
17,1,9:30.0,,Turnover by T. Booker (bad pass; steal by Z. Pachulia),4,5
18,1,9:26.0,O. Casspi makes 2-pt jump shot from 8 ft (assist by Z. Pachulia),,6,5
19,1,9:14.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by S. Curry),6,5
20,1,9:05.0,D. Green misses 3-pt jump shot from 24 ft,,6,5
21,1,9:03.0,,Defensive rebound by R. Hollis-Jefferson,6,5
22,1,8:46.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,6,5
23,1,8:44.0,Defensive rebound by Team,,6,5
24,1,8:29.0,K. Thompson misses 2-pt layup from 1 ft,,6,5
25,1,8:27.0,,Defensive rebound by S. Dinwiddie,6,5
26,1,8:22.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by A. Crabbe),6,8
27,1,8:08.0,O. Casspi misses 2-pt layup from 2 ft,,6,8
28,1,8:03.0,Offensive rebound by K. Thompson,,6,8
29,1,8:03.0,K. Thompson makes 2-pt layup at rim,,8,8
30,1,7:54.0,,R. Hollis-Jefferson misses 2-pt jump shot from 14 ft,8,8
31,1,7:52.0,Defensive rebound by O. Casspi,,8,8
32,1,7:45.0,D. Green misses 2-pt layup from 4 ft,,8,8
33,1,7:43.0,,Defensive rebound by R. Hollis-Jefferson,8,8
34,1,7:39.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,8,10
35,1,7:31.0,O. Casspi misses 2-pt layup at rim,,8,10
36,1,7:28.0,,Defensive rebound by S. Dinwiddie,8,10
37,1,7:23.0,,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,8,10
38,1,7:21.0,Defensive rebound by S. Curry,,8,10
39,1,7:17.0,S. Curry misses 3-pt jump shot from 28 ft,,8,10
40,1,7:14.0,,Defensive rebound by A. Crabbe,8,10
41,1,6:59.0,,T. Booker misses 2-pt jump shot from 7 ft (block by O. Casspi),8,10
42,1,6:53.0,Defensive rebound by K. Thompson,,8,10
43,1,6:47.0,O. Casspi misses 2-pt layup from 2 ft,,8,10
44,1,6:45.0,,Defensive rebound by R. Hollis-Jefferson,8,10
45,1,6:40.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,8,10
46,1,6:40.0,Defensive rebound by Z. Pachulia,,8,10
47,1,6:32.0,K. Thompson misses 2-pt layup from 3 ft,,8,10
48,1,6:32.0,Offensive rebound by O. Casspi,,8,10
49,1,6:31.0,O. Casspi makes 2-pt layup at rim,,10,10
50,1,6:31.0,,Brooklyn full timeout,10,10
51,1,6:31.0,,T. Zeller enters the game for R. Hollis-Jefferson,10,10
52,1,6:31.0,,Q. Acy enters the game for T. Booker,10,10
53,1,6:21.0,,A. Crabbe misses 3-pt jump shot from 24 ft,10,10
54,1,6:18.0,Defensive rebound by K. Thompson,,10,10
55,1,6:08.0,S. Curry makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),,12,10
56,1,5:53.0,,Turnover by A. Crabbe (bad pass; steal by S. Curry),12,10
57,1,5:49.0,S. Curry makes 2-pt layup from 2 ft,,14,10
58,1,5:34.0,,T. Zeller misses 2-pt layup from 2 ft,14,10
59,1,5:32.0,Defensive rebound by O. Casspi,,14,10
60,1,5:26.0,K. Thompson makes 2-pt dunk at rim (assist by D. Green),,16,10
61,1,5:09.0,,Q. Acy misses 3-pt jump shot from 22 ft (block by D. Green),16,10
62,1,5:09.0,,Offensive rebound by Team,16,10
63,1,5:09.0,A. Iguodala enters the game for O. Casspi,,16,10
64,1,5:09.0,J. McGee enters the game for Z. Pachulia,,16,10
65,1,5:04.0,,A. Crabbe makes 2-pt jump shot from 20 ft (assist by S. Dinwiddie),16,12
66,1,4:53.0,S. Curry misses 2-pt jump shot from 14 ft,,16,12
67,1,4:51.0,,Defensive rebound by D. Carroll,16,12
68,1,4:42.0,,S. Dinwiddie misses 3-pt jump shot from 29 ft,16,12
69,1,4:41.0,Defensive rebound by K. Thompson,,16,12
70,1,4:27.0,Shooting foul by S. Dinwiddie (drawn by S. Curry),,16,12
71,1,4:27.0,S. Curry makes free throw 1 of 2,,17,12
