,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
0,1,11:48.0,,Personal foul by T. Zeller (drawn by M. Gasol),0,0
1,1,11:45.0,Violation by R. Hollis-Jefferson (kicked ball),,0,0
2,1,11:32.0,,M. Gasol makes 2-pt jump shot from 10 ft,0,2
3,1,11:09.0,J. Harris misses 3-pt jump shot from 24 ft,,0,2
4,1,11:07.0,,Defensive rebound by J. Green,0,2
5,1,10:59.0,,M. Gasol misses 2-pt jump shot from 11 ft,0,2
6,1,10:56.0,Defensive rebound by D. Carroll,,0,2
7,1,10:45.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,0,2
8,1,10:43.0,,Defensive rebound by C. Parsons,0,2
9,1,10:36.0,,C. Parsons misses 2-pt jump shot from 21 ft,0,2
10,1,10:34.0,,Offensive rebound by M. Gasol,0,2
11,1,10:12.0,,D. Brooks misses 2-pt jump shot from 18 ft,0,2
12,1,10:09.0,Defensive rebound by T. Zeller,,0,2
13,1,10:05.0,R. Hollis-Jefferson makes 2-pt layup at rim,,2,2
14,1,9:44.0,Violation by D. Carroll (kicked ball),,2,2
15,1,9:39.0,,M. Chalmers makes 3-pt jump shot from 26 ft (assist by C. Parsons),2,5
16,1,9:24.0,Turnover by D. Carroll (bad pass; steal by C. Parsons),,2,5
17,1,9:09.0,,Shooting foul by T. Zeller (drawn by M. Gasol),2,5
18,1,9:09.0,,M. Gasol makes free throw 1 of 2,2,6
19,1,9:09.0,,M. Gasol makes free throw 2 of 2,2,7
20,1,8:52.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by R. Hollis-Jefferson),,5,7
21,1,8:52.0,Shooting foul by J. Green (drawn by D. Carroll),,5,7
22,1,8:52.0,D. Carroll makes free throw 1 of 1,,6,7
23,1,8:41.0,,M. Gasol misses 2-pt jump shot from 19 ft,6,7
24,1,8:38.0,Defensive rebound by D. Carroll,,6,7
25,1,8:23.0,,Offensive charge foul by T. Zeller (drawn by J. Green),6,7
26,1,8:23.0,Turnover by T. Zeller (offensive foul),,6,7
27,1,8:23.0,J. Allen enters the game for T. Zeller,,6,7
28,1,8:17.0,,Personal foul by D. Carroll (drawn by C. Parsons),6,7
29,1,8:11.0,,C. Parsons makes 2-pt layup from 1 ft,6,9
30,1,7:53.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,6,9
31,1,7:50.0,,Defensive rebound by M. Gasol,6,9
32,1,7:44.0,,M. Gasol misses 3-pt jump shot from 25 ft,6,9
33,1,7:44.0,,Offensive rebound by J. Green,6,9
34,1,7:41.0,,J. Green misses 2-pt layup at rim (block by J. Harris),6,9
35,1,7:41.0,,Offensive rebound by Team,6,9
36,1,7:29.0,,M. Gasol makes 2-pt jump shot from 2 ft,6,11
37,1,7:11.0,Offensive foul by R. Hollis-Jefferson (drawn by M. Chalmers),,6,11
38,1,7:11.0,Turnover by R. Hollis-Jefferson (offensive foul),,6,11
39,1,6:56.0,,M. Gasol makes 2-pt layup at rim,6,13
40,1,6:37.0,J. Harris makes 3-pt jump shot from 23 ft (assist by D. Carroll),,9,13
41,1,6:17.0,,J. Green makes 2-pt layup from 1 ft,9,15
42,1,6:16.0,Brooklyn full timeout,,9,15
43,1,6:16.0,,T. Evans enters the game for M. Chalmers,9,15
44,1,6:16.0,T. Booker enters the game for R. Hollis-Jefferson,,9,15
45,1,6:02.0,D. Carroll misses 3-pt jump shot from 24 ft,,9,15
46,1,5:59.0,,Defensive rebound by J. Green,9,15
47,1,5:44.0,,Turnover by M. Gasol (turnover),9,15
48,1,5:44.0,,Loose ball foul by M. Gasol (drawn by J. Harris),9,15
49,1,5:24.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,9,15
50,1,5:23.0,,Defensive rebound by Team,9,15
51,1,5:23.0,,B. McLemore enters the game for C. Parsons,9,15
52,1,5:11.0,,Turnover by D. Brooks (traveling),9,15
53,1,5:11.0,C. LeVert enters the game for J. Harris,,9,15
54,1,4:47.0,Turnover by Team (shot clock),,9,15
55,1,4:45.0,S. Dinwiddie misses 2-pt jump shot from 20 ft,,9,15
56,1,4:45.0,Offensive rebound by Team,,9,15
57,1,4:33.0,,M. Gasol makes 2-pt jump shot from 8 ft (assist by J. Green),9,17
58,1,4:17.0,T. Booker makes 2-pt jump shot from 6 ft,,11,17
59,1,4:02.0,,Turnover by M. Gasol (bad pass; steal by C. LeVert),11,17
60,1,3:50.0,Shooting foul by T. Evans (drawn by S. Dinwiddie),,11,17
61,1,3:50.0,S. Dinwiddie misses free throw 1 of 2,,11,17
62,1,3:50.0,Offensive rebound by Team,,11,17
63,1,3:50.0,,J. Martin enters the game for J. Green,11,17
64,1,3:50.0,S. Dinwiddie makes free throw 2 of 2,,12,17
65,1,3:36.0,,B. McLemore misses 3-pt jump shot from 25 ft,12,17
66,1,3:33.0,,Offensive rebound by D. Brooks,12,17
67,1,3:33.0,,D. Brooks misses 2-pt layup at rim (block by D. Carroll),12,17
68,1,3:33.0,Defensive rebound by Team,,12,17
69,1,3:33.0,S. Kilpatrick enters the game for S. Dinwiddie,,12,17
70,1,3:23.0,Turnover by C. LeVert (bad pass; steal by D. Brooks),,12,17
71,1,3:14.0,,Turnover by B. McLemore (bad pass; steal by T. Booker),12,17
72,1,2:55.0,,Memphis full timeout,12,17
73,1,2:55.0,,A. Harrison enters the game for D. Brooks,12,17
74,1,2:51.0,Turnover by Team (shot clock),,12,17
75,1,2:44.0,J. Harris enters the game for D. Carroll,,12,17
76,1,2:34.0,Offensive charge foul by J. Martin (drawn by T. Booker),,12,17
77,1,2:34.0,,Turnover by J. Martin (offensive foul),12,17
78,1,2:22.0,Turnover by S. Kilpatrick (lost ball; steal by B. McLemore),,12,17
79,1,2:04.0,,T. Evans makes 3-pt jump shot from 25 ft (assist by B. McLemore),12,20
80,1,1:37.0,S. Kilpatrick misses 2-pt jump shot from 21 ft,,12,20
81,1,1:35.0,Offensive rebound by J. Allen,,12,20
82,1,1:34.0,J. Allen misses 2-pt layup at rim (block by M. Gasol),,12,20
83,1,1:34.0,,Defensive rebound by T. Evans,12,20
84,1,1:29.0,,T. Evans misses 2-pt layup from 1 ft,12,20
85,1,1:29.0,Defensive rebound by J. Allen,,12,20
86,1,1:22.0,C. LeVert misses 3-pt jump shot from 22 ft,,12,20
87,1,1:22.0,Offensive rebound by J. Allen,,12,20
88,1,1:21.0,Shooting foul by J. Martin (drawn by J. Allen),,12,20
89,1,1:21.0,J. Allen makes free throw 1 of 2,,13,20
90,1,1:21.0,,D. Davis enters the game for M. Gasol,13,20
91,1,1:21.0,J. Allen makes free throw 2 of 2,,14,20
92,1,1:13.0,,Personal foul by S. Kilpatrick (drawn by A. Harrison),14,20
93,1,1:01.0,,Shooting foul by J. Allen (drawn by T. Evans),14,20
94,1,1:01.0,,T. Evans makes free throw 1 of 2,14,21
95,1,1:01.0,,T. Evans makes free throw 2 of 2,14,22
96,1,0:43.0,S. Kilpatrick makes 3-pt jump shot from 24 ft (assist by C. LeVert),,17,22
97,1,0:29.0,,J. Martin misses 3-pt jump shot from 23 ft,17,22
98,1,0:26.0,Defensive rebound by S. Kilpatrick,,17,22
99,1,0:23.0,S. Kilpatrick makes 2-pt layup at rim,,19,22
100,1,0:00.0,,A. Harrison misses 3-pt jump shot from 25 ft,19,22
101,1,0:00.0,,Offensive rebound by Team,19,22
102,2,11:49.0,Shooting foul by T. Evans (drawn by J. Harris),,19,22
103,2,11:49.0,J. Harris misses free throw 1 of 2,,19,22
104,2,11:49.0,Offensive rebound by Team,,19,22
105,2,11:49.0,J. Harris makes free throw 2 of 2,,20,22
106,2,11:37.0,,T. Evans misses 3-pt jump shot from 27 ft,20,22
107,2,11:34.0,Defensive rebound by Team,,20,22
108,2,11:19.0,C. LeVert misses 2-pt jump shot from 11 ft,,20,22
109,2,11:16.0,Offensive rebound by Team,,20,22
110,2,11:12.0,S. Kilpatrick misses 3-pt jump shot from 23 ft,,20,22
111,2,11:09.0,,Defensive rebound by C. Parsons,20,22
112,2,11:01.0,,C. Parsons makes 2-pt layup from 1 ft,20,24
113,2,10:51.0,J. Harris makes 3-pt jump shot from 25 ft,,23,24
