,QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
0,1,11:44.0,A. Bradley makes 2-pt jump shot from 16 ft (assist by A. Drummond),,2,0
1,1,11:29.0,Violation by A. Drummond (kicked ball),,2,0
2,1,11:23.0,,Turnover by K. Irving (bad pass; steal by A. Drummond),2,0
3,1,11:20.0,Turnover by A. Drummond (bad pass),,2,0
4,1,11:07.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by K. Irving),2,2
5,1,10:50.0,T. Harris misses 2-pt layup from 2 ft,,2,2
6,1,10:46.0,,Defensive rebound by M. Morris,2,2
7,1,10:43.0,,K. Irving makes 2-pt layup at rim,2,4
8,1,10:30.0,A. Drummond makes 2-pt dunk from 1 ft (assist by A. Bradley),,4,4
9,1,10:18.0,,J. Brown misses 3-pt jump shot from 24 ft,4,4
10,1,10:15.0,Defensive rebound by A. Drummond,,4,4
11,1,10:08.0,T. Harris misses 2-pt jump shot from 13 ft (block by M. Morris),,4,4
12,1,10:04.0,Offensive rebound by T. Harris,,4,4
13,1,10:03.0,T. Harris makes 3-pt jump shot from 27 ft,,7,4
14,1,9:47.0,,K. Irving misses 2-pt jump shot from 19 ft,7,4
15,1,9:44.0,Defensive rebound by A. Drummond,,7,4
16,1,9:35.0,S. Johnson misses 3-pt jump shot from 26 ft,,7,4
17,1,9:32.0,,Defensive rebound by J. Brown,7,4
18,1,9:21.0,,J. Tatum misses 3-pt jump shot from 24 ft,7,4
19,1,9:19.0,Defensive rebound by A. Drummond,,7,4
20,1,9:06.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by A. Bradley),,10,4
21,1,9:06.0,,Boston full timeout,10,4
22,1,8:52.0,,M. Morris makes 2-pt dunk at rim (assist by J. Tatum),10,6
23,1,8:36.0,A. Drummond makes 2-pt layup from 2 ft (assist by A. Bradley),,12,6
24,1,8:18.0,,K. Irving misses 2-pt layup from 2 ft,12,6
25,1,8:16.0,Defensive rebound by T. Harris,,12,6
26,1,8:12.0,Personal foul by M. Morris (drawn by A. Drummond),,12,6
27,1,8:05.0,S. Johnson misses 3-pt jump shot from 27 ft,,12,6
28,1,8:03.0,,Defensive rebound by K. Irving,12,6
29,1,7:51.0,,M. Morris misses 2-pt jump shot from 19 ft,12,6
30,1,7:48.0,Defensive rebound by A. Drummond,,12,6
31,1,7:38.0,A. Bradley makes 2-pt jump shot from 13 ft (assist by R. Jackson),,14,6
32,1,7:19.0,,J. Brown misses 2-pt jump shot from 8 ft,14,6
33,1,7:16.0,Defensive rebound by A. Drummond,,14,6
34,1,7:10.0,Turnover by A. Bradley (bad pass),,14,6
35,1,6:55.0,,Turnover by K. Irving (turnover),14,6
36,1,6:55.0,,A. Baynes enters the game for M. Morris,14,6
37,1,6:38.0,T. Harris makes 2-pt jump shot from 7 ft,,16,6
38,1,6:20.0,,A. Horford misses 3-pt jump shot from 26 ft,16,6
39,1,6:18.0,,Offensive rebound by Team,16,6
40,1,6:08.0,,J. Brown misses 2-pt layup from 9 ft,16,6
41,1,6:06.0,,Offensive rebound by A. Baynes,16,6
42,1,6:04.0,,A. Baynes makes 2-pt layup at rim,16,8
43,1,5:50.0,A. Bradley makes 2-pt layup from 3 ft (assist by A. Drummond),,18,8
44,1,5:33.0,,K. Irving makes 2-pt hook shot from 4 ft,18,10
45,1,5:12.0,A. Drummond makes 2-pt hook shot from 8 ft,,20,10
46,1,4:59.0,,Personal foul by A. Bradley (drawn by K. Irving),20,10
47,1,4:59.0,,M. Smart enters the game for K. Irving,20,10
48,1,4:52.0,,J. Brown makes 2-pt jump shot from 5 ft,20,12
49,1,4:52.0,,Shooting foul by R. Jackson (drawn by J. Brown),20,12
50,1,4:52.0,,J. Brown misses free throw 1 of 1,20,12
51,1,4:50.0,Defensive rebound by A. Drummond,,20,12
52,1,4:44.0,R. Jackson makes 2-pt hook shot from 2 ft,,22,12
53,1,4:30.0,,A. Horford misses 2-pt jump shot from 7 ft,22,12
54,1,4:30.0,Defensive rebound by A. Drummond,,22,12
55,1,4:15.0,S. Johnson misses 2-pt jump shot from 9 ft,,22,12
56,1,4:15.0,,Defensive rebound by J. Brown,22,12
57,1,4:06.0,,A. Baynes makes 2-pt layup from 1 ft (assist by M. Smart),22,14
58,1,3:53.0,T. Harris misses 2-pt layup from 5 ft,,22,14
59,1,3:53.0,Offensive rebound by T. Harris,,22,14
60,1,3:44.0,S. Johnson makes 3-pt jump shot from 27 ft (assist by R. Jackson),,25,14
61,1,3:23.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by M. Smart),25,17
62,1,3:06.0,A. Bradley misses 2-pt layup from 1 ft (block by J. Tatum),,25,17
63,1,3:04.0,,Defensive rebound by A. Horford,25,17
64,1,2:54.0,,M. Smart misses 2-pt jump shot from 17 ft,25,17
65,1,2:51.0,,Offensive rebound by A. Baynes,25,17
66,1,2:49.0,,J. Brown misses 3-pt jump shot from 23 ft,25,17
67,1,2:49.0,Defensive rebound by A. Drummond,,25,17
68,1,2:42.0,R. Jackson makes 2-pt dunk from 1 ft (assist by A. Drummond),,27,17
69,1,2:26.0,,M. Smart misses 2-pt layup from 2 ft,27,17
70,1,2:24.0,Defensive rebound by A. Drummond,,27,17
71,1,2:20.0,T. Harris misses 2-pt jump shot from 20 ft,,27,17
72,1,2:20.0,,Defensive rebound by J. Brown,27,17
73,1,2:03.0,,A. Horford makes 2-pt hook shot from 5 ft,27,19
74,1,1:55.0,Detroit full timeout,,27,19
75,1,1:55.0,,K. Irving enters the game for J. Tatum,27,19
76,1,1:55.0,,T. Rozier enters the game for J. Brown,27,19
77,1,1:55.0,,S. Ojeleye enters the game for A. Horford,27,19
78,1,1:55.0,A. Tolliver enters the game for A. Bradley,,27,19
79,1,1:55.0,I. Smith enters the game for T. Harris,,27,19
80,1,1:55.0,L. Galloway enters the game for R. Jackson,,27,19
81,1,1:48.0,L. Galloway makes 2-pt jump shot from 13 ft (assist by A. Drummond),,29,19
82,1,1:30.0,,S. Ojeleye misses 2-pt jump shot from 18 ft,29,19
83,1,1:26.0,Defensive rebound by A. Drummond,,29,19
84,1,1:15.0,L. Galloway misses 3-pt jump shot from 26 ft,,29,19
85,1,1:14.0,,Defensive rebound by A. Baynes,29,19
86,1,1:05.0,,K. Irving makes 2-pt jump shot from 8 ft,29,21
87,1,0:39.0,S. Johnson makes 2-pt hook shot from 6 ft,,31,21
88,1,0:28.0,,K. Irving makes 2-pt jump shot from 1 ft (assist by T. Rozier),31,23
89,1,0:09.0,A. Tolliver misses 3-pt jump shot from 23 ft,,31,23
90,1,0:06.0,,Defensive rebound by A. Baynes,31,23
91,1,0:01.0,,Turnover by A. Baynes (lost ball; steal by L. Galloway),31,23
92,2,11:45.0,,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by M. Smart),31,26
93,2,11:25.0,Personal foul by M. Smart (drawn by L. Kennard),,31,26
94,2,11:12.0,I. Smith misses 2-pt jump shot from 15 ft,,31,26
95,2,11:07.0,,Defensive rebound by K. Irving,31,26
96,2,10:58.0,,Shooting foul by E. Moreland (drawn by D. Theis),31,26
97,2,10:58.0,,D. Theis misses free throw 1 of 2,31,26
98,2,10:58.0,,Offensive rebound by Team,31,26
99,2,10:58.0,,D. Theis makes free throw 2 of 2,31,27
100,2,10:45.0,L. Kennard misses 2-pt jump shot from 18 ft,,31,27
101,2,10:40.0,,Defensive rebound by S. Ojeleye,31,27
102,2,10:35.0,,T. Rozier makes 3-pt jump shot from 27 ft,31,30
103,2,10:19.0,L. Galloway misses 3-pt jump shot from 25 ft,,31,30
104,2,10:17.0,,Defensive rebound by M. Smart,31,30
105,2,9:59.0,,Def 3 sec tech foul by E. Moreland,31,30
106,2,9:59.0,,K. Irving makes technical free throw,31,31
107,2,9:56.0,,Personal foul by A. Tolliver (drawn by M. Smart),31,31
108,2,9:51.0,,Turnover by S. Ojeleye (traveling),31,31
109,2,9:32.0,L. Kennard makes 2-pt jump shot from 15 ft (assist by I. Smith),,33,31
110,2,9:10.0,,D. Theis makes 2-pt layup from 1 ft (assist by K. Irving),33,33
111,2,9:01.0,Detroit full timeout,,33,33
112,2,9:01.0,A. Bradley enters the game for L. Galloway,,33,33
113,2,8:53.0,I. Smith misses 2-pt jump shot from 16 ft,,33,33
114,2,8:49.0,,Defensive rebound by S. Ojeleye,33,33
115,2,8:37.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),33,35
116,2,8:18.0,L. Kennard makes 3-pt jump shot from 24 ft (assist by A. Tolliver),,36,35
117,2,8:09.0,,K. Irving misses 3-pt jump shot from 25 ft,36,35
118,2,8:06.0,,Offensive rebound by S. Ojeleye,36,35
119,2,8:01.0,,T. Rozier misses 3-pt jump shot from 24 ft,36,35
120,2,7:58.0,Defensive rebound by E. Moreland,,36,35
121,2,7:46.0,Turnover by L. Kennard (bad pass; steal by S. Ojeleye),,36,35
122,2,7:33.0,,Turnover by D. Theis (turnover),36,35
123,2,7:33.0,,M. Morris enters the game for M. Smart,36,35
124,2,7:33.0,A. Drummond enters the game for E. Moreland,,36,35
125,2,7:21.0,Shooting foul by M. Morris (drawn by A. Tolliver),,36,35
126,2,7:21.0,A. Tolliver makes free throw 1 of 3,,37,35
127,2,7:21.0,A. Tolliver misses free throw 2 of 3,,37,35
128,2,7:21.0,Offensive rebound by Team,,37,35
129,2,7:21.0,,J. Tatum enters the game for K. Irving,37,35
130,2,7:21.0,,J. Brown enters the game for S. Ojeleye,37,35
131,2,7:21.0,S. Johnson enters the game for L. Kennard,,37,35
132,2,7:21.0,A. Tolliver makes free throw 3 of 3,,38,35
133,2,7:10.0,,Turnover by M. Morris (bad pass),38,35
134,2,7:10.0,T. Harris enters the game for A. Tolliver,,38,35
135,2,6:59.0,A. Bradley misses 2-pt jump shot from 11 ft,,38,35
136,2,6:51.0,Offensive rebound by A. Drummond,,38,35
137,2,6:51.0,A. Drummond makes 2-pt dunk at rim,,40,35
138,2,6:45.0,,M. Morris misses 2-pt layup from 5 ft,40,35
139,2,6:42.0,,Offensive rebound by D. Theis,40,35
140,2,6:41.0,,D. Theis makes 2-pt layup at rim,40,37
141,2,6:32.0,Turnover by A. Drummond (bad pass),,40,37
142,2,6:32.0,,A. Horford enters the game for D. Theis,40,37
143,2,6:14.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by A. Horford),40,40
144,2,5:51.0,A. Bradley misses 3-pt jump shot from 27 ft,,40,40
145,2,5:51.0,,Defensive rebound by A. Horford,40,40
146,2,5:40.0,Offensive charge foul by J. Tatum (drawn by I. Smith),,40,40
147,2,5:40.0,,Turnover by J. Tatum (offensive foul),40,40
148,2,5:40.0,R. Jackson enters the game for I. Smith,,40,40
149,2,5:29.0,A. Bradley misses 2-pt jump shot from 18 ft,,40,40
150,2,5:25.0,,Defensive rebound by A. Horford,40,40
151,2,5:08.0,,A. Horford makes 2-pt jump shot from 16 ft,40,42
152,2,4:52.0,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),,42,42
153,2,4:39.0,,M. Morris misses 2-pt jump shot from 17 ft,42,42
154,2,4:36.0,Defensive rebound by A. Drummond,,42,42
155,2,4:30.0,S. Johnson makes 2-pt layup from 2 ft (assist by R. Jackson),,44,42
156,2,4:30.0,,Boston full timeout,44,42
157,2,4:17.0,,M. Morris makes 2-pt layup at rim (assist by A. Horford),44,44
158,2,4:17.0,,Shooting foul by T. Harris (drawn by M. Morris),44,44
159,2,4:17.0,,K. Irving enters the game for T. Rozier,44,44
160,2,4:17.0,,M. Morris misses free throw 1 of 1,44,44
161,2,4:14.0,Defensive rebound by A. Drummond,,44,44
162,2,4:04.0,Shooting foul by J. Tatum (drawn by T. Harris),,44,44
163,2,4:04.0,T. Harris makes free throw 1 of 2,,45,44
164,2,4:04.0,,M. Smart enters the game for M. Morris,45,44
165,2,4:04.0,T. Harris makes free throw 2 of 2,,46,44
166,2,3:45.0,,J. Brown makes 2-pt dunk from 1 ft (assist by K. Irving),46,46
167,2,3:20.0,Turnover by S. Johnson (traveling),,46,46
168,2,3:05.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by J. Tatum),46,49
169,2,2:51.0,R. Jackson makes 2-pt layup from 2 ft,,48,49
170,2,2:42.0,,Personal foul by R. Jackson (drawn by J. Brown),48,49
171,2,2:42.0,I. Smith enters the game for R. Jackson,,48,49
172,2,2:34.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by K. Irving),48,52
173,2,2:18.0,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Drummond),,51,52
174,2,2:04.0,,Turnover by M. Smart (bad pass; steal by A. Bradley),51,52
175,2,1:56.0,T. Harris makes 3-pt jump shot from 27 ft (assist by I. Smith),,54,52
176,2,1:43.0,,Shooting foul by S. Johnson (drawn by K. Irving),54,52
177,2,1:43.0,,K. Irving makes free throw 1 of 2,54,53
178,2,1:43.0,,K. Irving makes free throw 2 of 2,54,54
179,2,1:31.0,A. Drummond makes 2-pt dunk from 1 ft (assist by A. Bradley),,56,54
180,2,1:13.0,,Personal foul by A. Bradley (drawn by M. Smart),56,54
181,2,1:13.0,,M. Smart misses free throw 2 of 2,56,54
182,2,1:13.0,Defensive rebound by A. Drummond,,56,54
183,2,1:13.0,,M. Smart misses free throw 1 of 2,56,54
184,2,1:13.0,,Offensive rebound by Team,56,54
185,2,1:13.0,L. Kennard enters the game for A. Bradley,,56,54
186,2,1:00.0,L. Kennard makes 2-pt jump shot from 17 ft,,58,54
187,2,0:48.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),58,57
188,2,0:36.0,Offensive foul by A. Drummond (drawn by K. Irving),,58,57
189,2,0:36.0,Turnover by A. Drummond (offensive foul),,58,57
190,2,0:30.0,,Turnover by K. Irving (out of bounds lost ball),58,57
191,2,0:20.0,T. Harris makes 2-pt dunk from 1 ft,,60,57
192,2,0:00.0,,K. Irving misses 2-pt jump shot from 14 ft,60,57
193,2,0:00.0,,Offensive rebound by Team,60,57
