,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
0,1,11:45.0,P. Connaughton makes 3-pt jump shot from 26 ft (assist by D. Lillard),,3,0
1,1,11:28.0,,C. Lee misses 2-pt jump shot from 11 ft,3,0
2,1,11:25.0,Defensive rebound by N. Vonleh,,3,0
3,1,11:09.0,C. McCollum misses 3-pt jump shot from 25 ft,,3,0
4,1,11:07.0,,Defensive rebound by T. Hardaway,3,0
5,1,10:50.0,,K. O'Quinn makes 2-pt jump shot from 13 ft (assist by C. Lee),3,2
6,1,10:23.0,Turnover by J. Nurkić (lost ball; steal by C. Lee),,3,2
7,1,10:19.0,,C. Lee misses 2-pt jump shot from 16 ft,3,2
8,1,10:16.0,Defensive rebound by N. Vonleh,,3,2
9,1,10:11.0,C. McCollum misses 2-pt layup from 1 ft,,3,2
10,1,10:11.0,,Defensive rebound by K. O'Quinn,3,2
11,1,10:01.0,,K. Porziņģis misses 2-pt dunk from 1 ft,3,2
12,1,9:58.0,Defensive rebound by N. Vonleh,,3,2
13,1,9:50.0,D. Lillard makes 2-pt jump shot from 14 ft,,5,2
14,1,9:30.0,,J. Jack makes 2-pt layup from 2 ft,5,4
15,1,9:19.0,P. Connaughton misses 3-pt jump shot from 27 ft,,5,4
16,1,9:17.0,,Defensive rebound by K. O'Quinn,5,4
17,1,9:13.0,,T. Hardaway misses 3-pt jump shot from 25 ft,5,4
18,1,9:09.0,Defensive rebound by J. Nurkić,,5,4
19,1,9:01.0,D. Lillard makes 2-pt jump shot from 8 ft,,7,4
20,1,8:52.0,,Offensive foul by K. O'Quinn (drawn by D. Lillard),7,4
21,1,8:52.0,,Turnover by K. O'Quinn (offensive foul),7,4
22,1,8:36.0,P. Connaughton misses 2-pt jump shot from 16 ft,,7,4
23,1,8:34.0,,Defensive rebound by K. Porziņģis,7,4
24,1,8:25.0,,Def 3 sec tech foul by J. Nurkić,7,4
25,1,8:25.0,,K. Porziņģis makes technical free throw,7,5
26,1,8:09.0,,J. Jack makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),7,8
27,1,7:55.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by J. Nurkić),,9,8
28,1,7:40.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by T. Hardaway),9,11
29,1,7:31.0,D. Lillard misses 3-pt jump shot from 27 ft,,9,11
30,1,7:28.0,,Defensive rebound by K. O'Quinn,9,11
31,1,7:23.0,,J. Jack misses 2-pt jump shot from 19 ft,9,11
32,1,7:21.0,Defensive rebound by N. Vonleh,,9,11
33,1,7:06.0,J. Nurkić misses 2-pt hook shot from 7 ft,,9,11
34,1,7:02.0,Offensive rebound by N. Vonleh,,9,11
35,1,7:00.0,D. Lillard misses 2-pt jump shot from 7 ft,,9,11
36,1,7:00.0,Offensive rebound by Team,,9,11
37,1,6:50.0,Shooting foul by T. Hardaway (drawn by C. McCollum),,9,11
38,1,6:50.0,,New York full timeout,9,11
39,1,6:50.0,C. McCollum makes free throw 1 of 2,,10,11
40,1,6:50.0,C. McCollum makes free throw 2 of 2,,11,11
41,1,6:37.0,,T. Hardaway misses 2-pt jump shot from 11 ft,11,11
