,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,B. Ingram makes 2-pt jump shot from 10 ft,,2,0
1,1,11:27.0,,J. Embiid misses 2-pt layup from 1 ft (block by B. Lopez),2,0
2,1,11:22.0,Defensive rebound by B. Lopez,,2,0
3,1,11:19.0,B. Ingram makes 2-pt dunk at rim (assist by L. Nance),,4,0
4,1,10:59.0,,J. Embiid makes 2-pt jump shot from 14 ft (assist by B. Simmons),4,2
5,1,10:47.0,Personal foul by J. Embiid (drawn by B. Lopez),,4,2
6,1,10:39.0,B. Lopez makes 2-pt dunk at rim,,6,2
7,1,10:22.0,,J. Redick misses 3-pt jump shot from 26 ft,6,2
8,1,10:19.0,Defensive rebound by L. Nance,,6,2
9,1,10:01.0,B. Ingram misses 3-pt jump shot from 25 ft,,6,2
10,1,9:58.0,,Defensive rebound by B. Simmons,6,2
11,1,9:49.0,,J. Redick misses 2-pt jump shot from 17 ft,6,2
12,1,9:45.0,,Offensive rebound by J. Embiid,6,2
13,1,9:40.0,,J. Bayless makes 2-pt layup from 2 ft (assist by B. Simmons),6,4
14,1,9:27.0,L. Nance makes 2-pt layup from 1 ft (assist by L. Ball),,8,4
15,1,9:07.0,,B. Simmons misses 2-pt hook shot from 6 ft,8,4
16,1,9:04.0,Defensive rebound by Team,,8,4
17,1,8:42.0,B. Lopez misses 3-pt jump shot from 29 ft,,8,4
18,1,8:41.0,,Defensive rebound by Team,8,4
19,1,8:41.0,Loose ball foul by L. Nance (drawn by J. Bayless),,8,4
20,1,8:23.0,,J. Bayless makes 2-pt layup from 2 ft (assist by B. Simmons),8,6
21,1,8:00.0,B. Ingram misses 2-pt layup from 4 ft (block by J. Embiid),,8,6
22,1,7:57.0,,Defensive rebound by R. Covington,8,6
23,1,7:54.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),8,8
24,1,7:38.0,Offensive foul by B. Lopez (drawn by J. Embiid),,8,8
25,1,7:38.0,Turnover by B. Lopez (offensive foul),,8,8
26,1,7:38.0,,T. McConnell enters the game for J. Embiid,8,8
27,1,7:38.0,,A. Johnson enters the game for R. Covington,8,8
28,1,7:23.0,,Turnover by A. Johnson (out of bounds lost ball),8,8
29,1,7:09.0,Personal foul by J. Bayless (drawn by B. Ingram),,8,8
30,1,7:04.0,Personal foul by A. Johnson (drawn by B. Lopez),,8,8
31,1,6:57.0,B. Lopez misses 2-pt jump shot from 6 ft,,8,8
32,1,6:55.0,,Defensive rebound by B. Simmons,8,8
33,1,6:51.0,,J. Bayless misses 2-pt jump shot from 20 ft,8,8
34,1,6:48.0,,Offensive rebound by Team,8,8
35,1,6:48.0,,Philadelphia full timeout,8,8
36,1,6:41.0,,Shooting foul by B. Ingram (drawn by J. Redick),8,8
37,1,6:41.0,,J. Redick makes free throw 1 of 3,8,9
38,1,6:41.0,,J. Redick makes free throw 2 of 3,8,10
39,1,6:41.0,,J. Redick makes free throw 3 of 3,8,11
40,1,6:29.0,K. Caldwell-Pope makes 2-pt jump shot from 23 ft (assist by L. Ball),,10,11
41,1,6:16.0,,Turnover by J. Bayless (lost ball; steal by L. Ball),10,11
42,1,6:10.0,L. Ball makes 2-pt layup from 9 ft,,12,11
43,1,5:58.0,,J. Redick makes 2-pt layup from 1 ft (assist by T. McConnell),12,13
44,1,5:44.0,B. Lopez makes 3-pt jump shot from 22 ft (assist by L. Nance),,15,13
45,1,5:32.0,,J. Redick misses 3-pt jump shot from 24 ft,15,13
46,1,5:29.0,Defensive rebound by L. Ball,,15,13
47,1,5:23.0,L. Ball misses 3-pt jump shot from 26 ft,,15,13
48,1,5:19.0,,Defensive rebound by B. Simmons,15,13
49,1,5:15.0,,B. Simmons makes 2-pt jump shot from 8 ft,15,15
50,1,5:15.0,,Shooting foul by L. Nance (drawn by B. Simmons),15,15
51,1,5:15.0,,T. Luwawu-Cabarrot enters the game for J. Bayless,15,15
52,1,5:15.0,K. Kuzma enters the game for L. Nance,,15,15
53,1,5:15.0,,B. Simmons misses free throw 1 of 1,15,15
54,1,4:57.0,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by L. Ball),,17,15
55,1,4:44.0,,A. Johnson misses 2-pt dunk from 6 ft (block by L. Ball),17,15
56,1,4:39.0,,Offensive rebound by T. Luwawu-Cabarrot,17,15
57,1,4:39.0,,R. Covington enters the game for B. Simmons,17,15
58,1,4:39.0,J. Randle enters the game for B. Lopez,,17,15
59,1,4:36.0,,A. Johnson misses 3-pt jump shot from 26 ft,17,15
60,1,4:32.0,Defensive rebound by B. Ingram,,17,15
61,1,4:28.0,Offensive rebound by L. Ball,,17,15
62,1,4:28.0,B. Ingram makes 2-pt dunk from 1 ft,,19,15
63,1,4:28.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Ingram),,19,15
64,1,4:28.0,B. Ingram makes free throw 1 of 1,,20,15
65,1,4:11.0,,R. Covington makes 2-pt layup at rim (assist by J. Redick),20,17
66,1,3:58.0,B. Ingram misses 2-pt jump shot from 6 ft (block by A. Johnson),,20,17
67,1,3:56.0,,Defensive rebound by R. Covington,20,17
