,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DETROIT_ACTION,GOLDEN STATE_SCORE,DETROIT_SCORE
0,1,11:44.0,,Shooting foul by J. McGee (drawn by A. Drummond),0,0
1,1,11:44.0,,A. Drummond misses free throw 1 of 2,0,0
2,1,11:44.0,,Offensive rebound by Team,0,0
3,1,11:44.0,,A. Drummond makes free throw 2 of 2,0,1
4,1,11:31.0,D. Green makes 2-pt layup from 1 ft (assist by K. Durant),,2,1
5,1,11:31.0,,Violation by A. Drummond (def goaltending),2,1
6,1,11:10.0,,A. Bradley makes 2-pt jump shot from 14 ft,2,3
7,1,10:54.0,K. Durant makes 2-pt jump shot from 13 ft (assist by D. Green),,4,3
8,1,10:32.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by S. Johnson),4,6
9,1,10:05.0,S. Livingston misses 2-pt jump shot from 10 ft,,4,6
10,1,10:02.0,,Defensive rebound by A. Drummond,4,6
11,1,9:56.0,,R. Jackson makes 2-pt jump shot from 14 ft,4,8
12,1,9:41.0,K. Durant misses 2-pt jump shot from 12 ft,,4,8
13,1,9:39.0,,Defensive rebound by A. Drummond,4,8
14,1,9:34.0,,R. Jackson makes 2-pt layup from 1 ft,4,10
15,1,9:25.0,K. Thompson misses 2-pt jump shot from 18 ft,,4,10
16,1,9:24.0,,Defensive rebound by Team,4,10
17,1,9:18.0,,S. Johnson misses 3-pt jump shot from 26 ft,4,10
18,1,9:13.0,Defensive rebound by J. McGee,,4,10
19,1,9:03.0,K. Thompson makes 2-pt layup from 3 ft (assist by K. Durant),,6,10
20,1,8:52.0,,A. Bradley misses 2-pt jump shot from 3 ft (block by S. Livingston),6,10
21,1,8:51.0,,Offensive rebound by A. Bradley,6,10
22,1,8:50.0,,A. Bradley misses 2-pt hook shot from 4 ft (block by J. McGee),6,10
23,1,8:49.0,Defensive rebound by J. McGee,,6,10
24,1,8:44.0,K. Durant makes 2-pt jump shot from 1 ft,,8,10
25,1,8:44.0,Shooting foul by S. Johnson (drawn by K. Durant),,8,10
26,1,8:44.0,K. Durant makes free throw 1 of 1,,9,10
27,1,8:29.0,,Turnover by R. Jackson (bad pass; steal by K. Thompson),9,10
28,1,8:26.0,K. Durant misses 2-pt layup from 3 ft (block by T. Harris),,9,10
29,1,8:26.0,,Defensive rebound by Team,9,10
30,1,8:23.0,J. McGee misses 2-pt jump shot from 8 ft (block by A. Drummond),,9,10
31,1,8:20.0,Offensive rebound by J. McGee,,9,10
32,1,8:17.0,J. McGee misses 2-pt jump shot from 3 ft,,9,10
33,1,8:14.0,,Defensive rebound by A. Drummond,9,10
34,1,8:10.0,,R. Jackson misses 2-pt jump shot from 3 ft (block by D. Green),9,10
35,1,8:10.0,,Offensive rebound by R. Jackson,9,10
36,1,8:01.0,,T. Harris makes 3-pt jump shot from 22 ft,9,13
37,1,7:53.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,11,13
38,1,7:46.0,,Detroit full timeout,11,13
39,1,7:37.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by T. Harris),11,16
40,1,7:18.0,S. Livingston makes 2-pt jump shot from 9 ft,,13,16
41,1,6:59.0,,S. Johnson misses 2-pt jump shot from 7 ft,13,16
42,1,6:57.0,Defensive rebound by D. Green,,13,16
43,1,6:51.0,S. Livingston makes 2-pt jump shot from 13 ft (assist by K. Thompson),,15,16
44,1,6:35.0,,Personal foul by J. McGee (drawn by R. Jackson),15,16
45,1,6:28.0,,A. Bradley misses 3-pt jump shot from 24 ft,15,16
46,1,6:24.0,Defensive rebound by K. Durant,,15,16
47,1,6:12.0,Turnover by K. Durant (bad pass; steal by S. Johnson),,15,16
48,1,6:03.0,,R. Jackson misses 2-pt layup from 3 ft,15,16
49,1,6:02.0,,Offensive rebound by A. Drummond,15,16
50,1,6:00.0,,A. Drummond makes 2-pt dunk at rim,15,18
51,1,5:34.0,K. Thompson misses 3-pt jump shot from 25 ft,,15,18
52,1,5:32.0,,Defensive rebound by T. Harris,15,18
53,1,5:29.0,,T. Harris misses 2-pt layup from 2 ft,15,18
54,1,5:27.0,Defensive rebound by K. Thompson,,15,18
55,1,5:25.0,K. Thompson misses 3-pt jump shot from 25 ft,,15,18
56,1,5:25.0,Offensive rebound by S. Livingston,,15,18
57,1,5:12.0,J. McGee makes 2-pt dunk at rim (assist by D. Green),,17,18
58,1,4:55.0,,A. Drummond misses 2-pt hook shot from 6 ft (block by K. Durant),17,18
59,1,4:53.0,Defensive rebound by K. Durant,,17,18
60,1,4:49.0,K. Thompson misses 3-pt jump shot from 26 ft,,17,18
61,1,4:44.0,,Defensive rebound by S. Johnson,17,18
62,1,4:40.0,,Personal foul by K. Durant (drawn by R. Jackson),17,18
63,1,4:40.0,J. Bell enters the game for J. McGee,,17,18
64,1,4:40.0,A. Iguodala enters the game for S. Livingston,,17,18
65,1,4:34.0,,R. Jackson misses 2-pt jump shot from 18 ft,17,18
66,1,4:28.0,,Offensive rebound by A. Drummond,17,18
67,1,4:28.0,,A. Drummond misses 2-pt layup at rim,17,18
68,1,4:28.0,Defensive rebound by K. Durant,,17,18
69,1,4:28.0,Personal foul by R. Jackson (drawn by K. Thompson),,17,18
70,1,4:28.0,Golden State full timeout,,17,18
71,1,4:22.0,Turnover by J. Bell (bad pass; steal by S. Johnson),,17,18
72,1,4:09.0,,T. Harris misses 2-pt jump shot from 8 ft,17,18
73,1,4:05.0,,Offensive rebound by S. Johnson,17,18
74,1,4:01.0,,S. Johnson misses 2-pt layup from 2 ft,17,18
75,1,4:01.0,,Offensive rebound by Team,17,18
76,1,3:59.0,,Turnover by R. Jackson (bad pass; steal by D. Green),17,18
77,1,3:46.0,K. Durant makes 3-pt jump shot from 24 ft (assist by D. Green),,20,18
78,1,3:29.0,,A. Bradley misses 3-pt jump shot from 25 ft,20,18
79,1,3:27.0,Defensive rebound by J. Bell,,20,18
80,1,3:22.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by K. Durant),,22,18
81,1,3:11.0,,Detroit full timeout,22,18
82,1,3:11.0,,I. Smith enters the game for R. Jackson,22,18
83,1,3:11.0,,A. Tolliver enters the game for S. Johnson,22,18
84,1,3:01.0,,T. Harris misses 3-pt jump shot from 26 ft,22,18
85,1,2:58.0,Defensive rebound by A. Iguodala,,22,18
86,1,2:51.0,J. Bell makes 2-pt layup at rim (assist by K. Durant),,24,18
87,1,2:37.0,,T. Harris misses 2-pt dunk from 1 ft (block by J. Bell),24,18
88,1,2:32.0,Defensive rebound by D. Green,,24,18
89,1,2:19.0,A. Iguodala makes 2-pt jump shot from 15 ft,,26,18
90,1,1:55.0,,A. Bradley misses 2-pt jump shot from 12 ft (block by D. Green),26,18
91,1,1:52.0,Defensive rebound by Team,,26,18
92,1,1:52.0,Q. Cook enters the game for K. Thompson,,26,18
93,1,1:52.0,N. Young enters the game for D. Green,,26,18
94,1,1:30.0,A. Iguodala misses 3-pt jump shot from 23 ft,,26,18
95,1,1:25.0,,Defensive rebound by A. Tolliver,26,18
96,1,1:19.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by I. Smith),26,21
97,1,0:59.0,K. Durant misses 2-pt hook shot from 8 ft,,26,21
98,1,0:56.0,,Defensive rebound by A. Drummond,26,21
99,1,0:53.0,,T. Harris makes 2-pt layup from 1 ft (assist by I. Smith),26,23
100,1,0:53.0,,Shooting foul by A. Iguodala (drawn by T. Harris),26,23
101,1,0:53.0,,L. Kennard enters the game for A. Bradley,26,23
102,1,0:53.0,,T. Harris makes free throw 1 of 1,26,24
103,1,0:38.0,Q. Cook makes 2-pt layup from 5 ft (assist by A. Iguodala),,28,24
104,1,0:26.0,,A. Drummond misses 2-pt dunk from 1 ft,28,24
105,1,0:23.0,Defensive rebound by K. Durant,,28,24
106,1,0:05.0,Shooting foul by L. Kennard (drawn by N. Young),,28,24
107,1,0:05.0,N. Young misses free throw 1 of 3,,28,24
108,1,0:05.0,Offensive rebound by Team,,28,24
109,1,0:05.0,N. Young makes free throw 2 of 3,,29,24
110,1,0:05.0,O. Casspi enters the game for A. Iguodala,,29,24
111,1,0:05.0,K. Looney enters the game for K. Durant,,29,24
112,1,0:05.0,N. Young makes free throw 3 of 3,,30,24
113,1,0:00.0,,Turnover by A. Drummond (offensive goaltending),30,24
114,2,11:36.0,N. Young misses 3-pt jump shot from 25 ft,,30,24
115,2,11:36.0,,Defensive rebound by Team,30,24
116,2,11:23.0,,Personal foul by D. West (drawn by B. Marjanović),30,24
