,QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,E. Bledsoe makes 2-pt jump shot from 18 ft,0,2
1,1,11:34.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,0,2
2,1,11:34.0,,Defensive rebound by G. Payton,0,2
3,1,11:23.0,,E. Bledsoe misses 2-pt jump shot from 12 ft,0,2
4,1,11:23.0,,Offensive rebound by E. Bledsoe,0,2
5,1,11:10.0,,K. Middleton misses 2-pt jump shot from 20 ft,0,2
6,1,11:10.0,Defensive rebound by W. Matthews,,0,2
7,1,11:00.0,Def 3 sec tech foul by G. Antetokounmpo,,0,2
8,1,11:00.0,D. Nowitzki makes technical free throw,,1,2
9,1,10:49.0,H. Barnes misses 3-pt jump shot from 26 ft,,1,2
10,1,10:45.0,,Defensive rebound by G. Antetokounmpo,1,2
11,1,10:32.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,1,2
12,1,10:32.0,,Offensive rebound by Team,1,2
13,1,10:21.0,,E. Bledsoe makes 2-pt layup at rim,1,4
14,1,10:12.0,Personal foul by G. Payton (drawn by W. Matthews),,1,4
15,1,10:05.0,H. Barnes misses 2-pt hook shot from 7 ft,,1,4
16,1,10:02.0,,Defensive rebound by G. Antetokounmpo,1,4
17,1,9:56.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,1,4
18,1,9:54.0,Defensive rebound by Team,,1,4
19,1,9:40.0,W. Matthews makes 3-pt jump shot from 28 ft (assist by H. Barnes),,4,4
20,1,9:27.0,,Personal foul by Y. Ferrell (drawn by E. Bledsoe),4,4
21,1,9:23.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),4,6
22,1,9:03.0,W. Matthews makes 2-pt jump shot from 8 ft,,6,6
23,1,8:53.0,,K. Middleton makes 2-pt jump shot from 14 ft,6,8
24,1,8:28.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,6,8
25,1,8:26.0,,Defensive rebound by J. Henson,6,8
26,1,8:20.0,,G. Payton misses 3-pt jump shot from 22 ft,6,8
27,1,8:17.0,Defensive rebound by Y. Ferrell,,6,8
28,1,8:06.0,Y. Ferrell misses 2-pt layup from 3 ft (block by E. Bledsoe),,6,8
29,1,8:06.0,,Defensive rebound by Team,6,8
30,1,7:53.0,,G. Antetokounmpo makes 2-pt hook shot from 7 ft (assist by E. Bledsoe),6,10
31,1,7:33.0,M. Kleber makes 2-pt dunk from 2 ft (assist by H. Barnes),,8,10
32,1,7:19.0,,Shooting foul by Y. Ferrell (drawn by E. Bledsoe),8,10
33,1,7:19.0,,E. Bledsoe makes free throw 1 of 2,8,11
34,1,7:19.0,,E. Bledsoe makes free throw 2 of 2,8,12
35,1,7:19.0,,R. Vaughn enters the game for G. Payton,8,12
36,1,7:19.0,J. Barea enters the game for Y. Ferrell,,8,12
37,1,7:00.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,8,12
38,1,6:53.0,,Defensive rebound by J. Henson,8,12
39,1,6:52.0,,Shooting foul by M. Kleber (drawn by G. Antetokounmpo),8,12
40,1,6:52.0,,Milwaukee full timeout,8,12
41,1,6:52.0,,G. Antetokounmpo makes free throw 1 of 2,8,13
42,1,6:52.0,,G. Antetokounmpo makes free throw 2 of 2,8,14
43,1,6:43.0,Personal foul by R. Vaughn (drawn by W. Matthews),,8,14
44,1,6:34.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),,11,14
45,1,6:11.0,,K. Middleton misses 2-pt jump shot from 7 ft,11,14
46,1,6:08.0,Defensive rebound by J. Barea,,11,14
47,1,6:03.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,11,14
48,1,6:00.0,,Defensive rebound by J. Henson,11,14
49,1,5:53.0,,J. Henson misses 2-pt dunk from 1 ft,11,14
50,1,5:49.0,Defensive rebound by D. Nowitzki,,11,14
51,1,5:36.0,M. Kleber makes 2-pt layup from 1 ft (assist by J. Barea),,13,14
52,1,5:17.0,S. Mejri enters the game for D. Nowitzki,,13,14
53,1,5:17.0,,M. Brogdon enters the game for G. Antetokounmpo,13,14
