,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:41.0,,K. Bazemore makes 2-pt jump shot from 9 ft,0,2
1,1,11:24.0,J. Simmons misses 2-pt jump shot from 12 ft,,0,2
2,1,11:20.0,,Defensive rebound by K. Bazemore,0,2
3,1,11:04.0,,D. Schröder misses 2-pt jump shot from 12 ft,0,2
4,1,11:01.0,Defensive rebound by M. Hezonja,,0,2
5,1,10:51.0,J. Simmons misses 2-pt jump shot from 20 ft,,0,2
6,1,10:47.0,,Defensive rebound by K. Bazemore,0,2
7,1,10:41.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Bazemore),0,5
8,1,10:28.0,Offensive foul by M. Hezonja (drawn by T. Prince),,0,5
9,1,10:28.0,Turnover by M. Hezonja (offensive foul),,0,5
10,1,10:17.0,,D. Schröder misses 2-pt jump shot from 18 ft,0,5
11,1,10:14.0,Defensive rebound by N. Vučević,,0,5
12,1,10:07.0,E. Payton makes 2-pt jump shot from 16 ft,,2,5
13,1,9:44.0,,K. Bazemore misses 2-pt jump shot from 12 ft,2,5
14,1,9:39.0,Defensive rebound by M. Hezonja,,2,5
15,1,9:31.0,N. Vučević misses 2-pt hook shot from 10 ft,,2,5
16,1,9:28.0,,Defensive rebound by T. Prince,2,5
17,1,9:19.0,,D. Schröder misses 3-pt jump shot from 25 ft,2,5
18,1,9:15.0,Defensive rebound by E. Payton,,2,5
19,1,9:06.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by E. Payton),,5,5
20,1,8:50.0,,T. Prince makes 2-pt jump shot from 20 ft (assist by M. Plumlee),5,7
21,1,8:39.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Payton),,7,7
22,1,8:14.0,,M. Plumlee misses 2-pt layup from 2 ft (block by M. Hezonja),7,7
23,1,8:14.0,,Offensive rebound by Team,7,7
24,1,8:12.0,,E. İlyasova makes 2-pt jump shot from 16 ft (assist by K. Bazemore),7,9
25,1,7:58.0,A. Afflalo makes 2-pt layup from 1 ft (assist by E. Payton),,9,9
26,1,7:41.0,,E. İlyasova makes 2-pt layup at rim (assist by T. Prince),9,11
27,1,7:32.0,E. Payton misses 2-pt jump shot from 17 ft,,9,11
28,1,7:28.0,Offensive rebound by N. Vučević,,9,11
29,1,7:23.0,J. Simmons makes 2-pt dunk from 1 ft (assist by N. Vučević),,11,11
30,1,7:22.0,,Atlanta full timeout,11,11
31,1,7:22.0,,T. Cavanaugh enters the game for M. Plumlee,11,11
32,1,7:11.0,,E. İlyasova makes 3-pt jump shot from 23 ft (assist by K. Bazemore),11,14
33,1,6:48.0,M. Hezonja makes 2-pt layup from 3 ft (assist by N. Vučević),,13,14
34,1,6:27.0,,Shooting foul by M. Hezonja (drawn by D. Schröder),13,14
35,1,6:27.0,,D. Schröder makes free throw 1 of 2,13,15
36,1,6:27.0,W. Iwundu enters the game for M. Hezonja,,13,15
37,1,6:27.0,,D. Schröder makes free throw 2 of 2,13,16
38,1,6:14.0,W. Iwundu misses 3-pt jump shot from 25 ft,,13,16
39,1,6:09.0,,Defensive rebound by D. Schröder,13,16
40,1,5:57.0,,T. Prince misses 3-pt jump shot from 23 ft,13,16
41,1,5:54.0,Defensive rebound by N. Vučević,,13,16
42,1,5:44.0,E. Payton makes 3-pt jump shot from 24 ft (assist by W. Iwundu),,16,16
43,1,5:21.0,,T. Cavanaugh makes 3-pt jump shot from 24 ft (assist by D. Schröder),16,19
44,1,5:06.0,E. Payton misses 3-pt jump shot from 25 ft,,16,19
45,1,5:02.0,,Defensive rebound by E. İlyasova,16,19
46,1,4:56.0,,D. Schröder makes 2-pt layup from 1 ft,16,21
47,1,4:48.0,A. Afflalo misses 3-pt jump shot from 25 ft,,16,21
48,1,4:45.0,,Defensive rebound by T. Cavanaugh,16,21
49,1,4:36.0,,D. Schröder misses 3-pt jump shot from 25 ft,16,21
50,1,4:31.0,Defensive rebound by J. Simmons,,16,21
51,1,4:25.0,J. Simmons misses 2-pt layup from 10 ft (block by K. Bazemore),,16,21
52,1,4:22.0,,Defensive rebound by K. Bazemore,16,21
53,1,4:19.0,,E. İlyasova makes 3-pt jump shot from 22 ft (assist by T. Prince),16,24
54,1,4:18.0,Orlando full timeout,,16,24
55,1,4:18.0,,M. Belinelli enters the game for E. İlyasova,16,24
56,1,4:18.0,,L. Babbitt enters the game for T. Prince,16,24
57,1,4:18.0,,D. Bembry enters the game for K. Bazemore,16,24
58,1,4:18.0,D. Augustin enters the game for E. Payton,,16,24
59,1,4:18.0,B. Biyombo enters the game for N. Vučević,,16,24
60,1,4:02.0,J. Simmons misses 2-pt jump shot from 16 ft,,16,24
61,1,3:58.0,,Defensive rebound by M. Belinelli,16,24
62,1,3:50.0,,T. Cavanaugh misses 3-pt jump shot from 25 ft,16,24
63,1,3:49.0,Defensive rebound by Team,,16,24
64,1,3:31.0,J. Simmons misses 2-pt layup from 9 ft,,16,24
65,1,3:27.0,,Defensive rebound by T. Cavanaugh,16,24
66,1,3:14.0,,D. Bembry makes 2-pt layup from 1 ft (assist by D. Schröder),16,26
67,1,2:58.0,Shooting foul by T. Cavanaugh (drawn by B. Biyombo),,16,26
68,1,2:58.0,B. Biyombo makes free throw 1 of 2,,17,26
69,1,2:58.0,,I. Taylor enters the game for D. Schröder,17,26
70,1,2:58.0,B. Biyombo makes free throw 2 of 2,,18,26
71,1,2:39.0,,I. Taylor makes 2-pt layup from 1 ft (assist by D. Bembry),18,28
72,1,2:23.0,J. Simmons makes 3-pt jump shot from 24 ft (assist by B. Biyombo),,21,28
73,1,2:10.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by D. Bembry),21,31
74,1,1:49.0,D. Augustin misses 3-pt jump shot from 25 ft,,21,31
75,1,1:48.0,Offensive rebound by Team,,21,31
76,1,1:48.0,,Loose ball foul by I. Taylor (drawn by B. Biyombo),21,31
77,1,1:48.0,,M. Plumlee enters the game for T. Cavanaugh,21,31
78,1,1:41.0,J. Simmons misses 2-pt jump shot from 20 ft,,21,31
79,1,1:38.0,,Defensive rebound by L. Babbitt,21,31
80,1,1:31.0,,Turnover by M. Belinelli (traveling),21,31
81,1,1:31.0,S. Mack enters the game for A. Afflalo,,21,31
82,1,1:10.0,B. Biyombo misses 2-pt jump shot from 17 ft,,21,31
83,1,1:06.0,,Defensive rebound by L. Babbitt,21,31
84,1,0:53.0,,Shooting foul by B. Biyombo (drawn by M. Plumlee),21,31
85,1,0:53.0,,M. Plumlee misses free throw 1 of 2,21,31
86,1,0:53.0,,Offensive rebound by Team,21,31
87,1,0:53.0,,M. Plumlee makes free throw 2 of 2,21,32
88,1,0:42.0,Personal foul by D. Bembry (drawn by S. Mack),,21,32
89,1,0:42.0,S. Mack misses free throw 1 of 2,,21,32
90,1,0:42.0,Offensive rebound by Team,,21,32
91,1,0:42.0,S. Mack makes free throw 2 of 2,,22,32
92,1,0:33.0,,I. Taylor misses 2-pt layup at rim,22,32
93,1,0:29.0,Defensive rebound by J. Simmons,,22,32
94,1,0:13.0,D. Augustin misses 2-pt jump shot from 18 ft,,22,32
95,1,0:05.0,Offensive rebound by B. Biyombo,,22,32
96,1,0:00.0,J. Simmons misses 2-pt jump shot from 23 ft,,22,32
97,1,0:00.0,Offensive rebound by Team,,22,32
98,2,11:47.0,M. Hezonja misses 2-pt layup from 1 ft (block by D. Bembry),,22,32
99,2,11:43.0,Offensive rebound by M. Hezonja,,22,32
100,2,11:42.0,W. Iwundu makes 3-pt jump shot from 24 ft (assist by M. Hezonja),,25,32
101,2,11:28.0,,D. Bembry misses 2-pt layup at rim,25,32
102,2,11:25.0,Defensive rebound by W. Iwundu,,25,32
103,2,11:14.0,W. Iwundu misses 2-pt jump shot from 16 ft,,25,32
104,2,11:11.0,Offensive rebound by B. Biyombo,,25,32
105,2,11:10.0,B. Biyombo misses 2-pt hook shot from 2 ft,,25,32
106,2,11:07.0,,Defensive rebound by L. Babbitt,25,32
107,2,11:00.0,,Personal foul by W. Iwundu (drawn by M. Belinelli),25,32
108,2,10:53.0,,Shooting foul by S. Mack (drawn by D. Bembry),25,32
109,2,10:53.0,,D. Bembry makes free throw 1 of 2,25,33
110,2,10:53.0,,D. Bembry makes free throw 2 of 2,25,34
111,2,10:43.0,D. Augustin misses 3-pt jump shot from 24 ft,,25,34
112,2,10:40.0,,Defensive rebound by L. Babbitt,25,34
113,2,10:33.0,,M. Belinelli misses 3-pt jump shot from 24 ft,25,34
114,2,10:30.0,Defensive rebound by D. Augustin,,25,34
115,2,10:19.0,B. Biyombo misses 2-pt jump shot from 11 ft,,25,34
116,2,10:14.0,,Defensive rebound by L. Babbitt,25,34
117,2,10:09.0,,M. Plumlee misses 2-pt layup from 1 ft,25,34
118,2,10:06.0,Defensive rebound by S. Mack,,25,34
119,2,9:58.0,M. Hezonja misses 2-pt jump shot from 18 ft,,25,34
120,2,9:56.0,,Defensive rebound by M. Plumlee,25,34
121,2,9:43.0,,Turnover by I. Taylor (bad pass; steal by D. Augustin),25,34
122,2,9:33.0,Turnover by B. Biyombo (lost ball; steal by M. Plumlee),,25,34
123,2,9:29.0,,Personal foul by D. Augustin (drawn by D. Bembry),25,34
124,2,9:29.0,,T. Cavanaugh enters the game for L. Babbitt,25,34
125,2,9:29.0,,K. Bazemore enters the game for M. Plumlee,25,34
126,2,9:29.0,N. Vučević enters the game for B. Biyombo,,25,34
127,2,9:24.0,,I. Taylor misses 2-pt layup from 1 ft,25,34
128,2,9:20.0,Defensive rebound by S. Mack,,25,34
129,2,9:10.0,N. Vučević makes 2-pt hook shot from 12 ft (assist by D. Augustin),,27,34
130,2,8:52.0,,T. Cavanaugh makes 3-pt jump shot from 23 ft (assist by D. Bembry),27,37
131,2,8:38.0,M. Hezonja misses 3-pt jump shot from 25 ft,,27,37
132,2,8:36.0,Offensive rebound by W. Iwundu,,27,37
133,2,8:35.0,W. Iwundu misses 2-pt layup from 1 ft,,27,37
134,2,8:35.0,Offensive rebound by N. Vučević,,27,37
135,2,8:29.0,N. Vučević makes 2-pt layup from 2 ft,,29,37
136,2,8:18.0,,T. Cavanaugh misses 3-pt jump shot from 24 ft,29,37
137,2,8:15.0,Defensive rebound by N. Vučević,,29,37
138,2,8:07.0,N. Vučević misses 3-pt jump shot from 25 ft,,29,37
139,2,8:03.0,Offensive rebound by S. Mack,,29,37
140,2,8:03.0,N. Vučević makes 2-pt layup from 1 ft (assist by S. Mack),,31,37
141,2,8:03.0,Shooting foul by T. Cavanaugh (drawn by N. Vučević),,31,37
142,2,8:03.0,,T. Prince enters the game for M. Belinelli,31,37
143,2,8:03.0,,D. Schröder enters the game for I. Taylor,31,37
144,2,8:03.0,,E. İlyasova enters the game for D. Bembry,31,37
145,2,8:03.0,N. Vučević makes free throw 1 of 1,,32,37
146,2,7:43.0,,K. Bazemore misses 3-pt jump shot from 22 ft,32,37
147,2,7:37.0,Defensive rebound by N. Vučević,,32,37
148,2,7:22.0,Shooting foul by E. İlyasova (drawn by D. Augustin),,32,37
149,2,7:22.0,,Atlanta full timeout,32,37
150,2,7:22.0,D. Augustin makes free throw 1 of 2,,33,37
151,2,7:22.0,D. Augustin makes free throw 2 of 2,,34,37
