,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:45.0,,T. Harris makes 2-pt jump shot from 6 ft,0,2
1,1,11:27.0,A. Baynes misses 2-pt hook shot from 7 ft,,0,2
2,1,11:24.0,,Defensive rebound by T. Harris,0,2
3,1,11:15.0,,S. Johnson misses 2-pt jump shot from 15 ft,0,2
4,1,11:12.0,Defensive rebound by A. Baynes,,0,2
5,1,11:06.0,K. Irving makes 2-pt layup from 1 ft,,2,2
6,1,10:54.0,,Turnover by S. Johnson (step out of bounds),2,2
7,1,10:40.0,J. Brown misses 2-pt jump shot from 20 ft,,2,2
8,1,10:37.0,,Defensive rebound by A. Drummond,2,2
9,1,10:30.0,,T. Harris makes 3-pt jump shot from 24 ft,2,5
10,1,10:11.0,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford),,4,5
11,1,9:55.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by A. Drummond),4,7
12,1,9:33.0,J. Brown misses 2-pt layup from 1 ft,,4,7
13,1,9:30.0,,Defensive rebound by A. Drummond,4,7
14,1,9:26.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by R. Jackson),4,10
15,1,9:13.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),,7,10
16,1,8:56.0,,A. Bradley misses 3-pt jump shot from 24 ft,7,10
17,1,8:53.0,Defensive rebound by A. Horford,,7,10
18,1,8:51.0,Shooting foul by A. Bradley (drawn by K. Irving),,7,10
19,1,8:51.0,K. Irving makes free throw 1 of 2,,8,10
20,1,8:51.0,K. Irving makes free throw 2 of 2,,9,10
21,1,8:38.0,,S. Johnson misses 2-pt layup from 1 ft (block by J. Tatum),9,10
22,1,8:34.0,Defensive rebound by J. Tatum,,9,10
23,1,8:16.0,A. Horford makes 2-pt jump shot from 8 ft,,11,10
24,1,7:53.0,,A. Drummond misses 2-pt layup from 2 ft,11,10
25,1,7:50.0,Defensive rebound by A. Baynes,,11,10
26,1,7:48.0,A. Horford makes 2-pt layup from 2 ft,,13,10
27,1,7:32.0,,T. Harris misses 3-pt jump shot from 25 ft,13,10
28,1,7:29.0,Defensive rebound by A. Baynes,,13,10
29,1,7:17.0,K. Irving misses 2-pt jump shot from 19 ft,,13,10
30,1,7:15.0,,Defensive rebound by A. Drummond,13,10
31,1,7:13.0,,Turnover by A. Bradley (out of bounds lost ball),13,10
32,1,7:01.0,Boston full timeout,,13,10
33,1,7:01.0,M. Smart enters the game for K. Irving,,13,10
