,QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,,L. Aldridge misses 2-pt jump shot from 11 ft,0,0
1,1,11:34.0,Defensive rebound by Y. Ferrell,,0,0
2,1,11:21.0,W. Matthews misses 2-pt jump shot from 10 ft,,0,0
3,1,11:20.0,,Defensive rebound by Team,0,0
4,1,11:11.0,,P. Gasol misses 2-pt jump shot from 15 ft,0,0
5,1,11:08.0,Defensive rebound by H. Barnes,,0,0
6,1,10:50.0,Y. Ferrell makes 2-pt jump shot from 18 ft,,2,0
7,1,10:39.0,,P. Gasol misses 2-pt layup at rim,2,0
8,1,10:37.0,Defensive rebound by Y. Ferrell,,2,0
9,1,10:27.0,M. Kleber makes 3-pt jump shot from 24 ft (assist by W. Matthews),,5,0
10,1,10:06.0,,L. Aldridge misses 2-pt hook shot from 5 ft,5,0
11,1,10:03.0,Defensive rebound by W. Matthews,,5,0
12,1,9:54.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,5,0
13,1,9:51.0,,Defensive rebound by L. Aldridge,5,0
14,1,9:41.0,,P. Gasol misses 2-pt layup from 7 ft,5,0
15,1,9:38.0,,Offensive rebound by L. Aldridge,5,0
16,1,9:21.0,,L. Aldridge makes 2-pt jump shot from 3 ft,5,2
17,1,9:02.0,M. Kleber makes 2-pt jump shot from 20 ft (assist by Y. Ferrell),,7,2
18,1,8:49.0,,D. Murray misses 2-pt layup from 2 ft,7,2
19,1,8:48.0,,Offensive rebound by L. Aldridge,7,2
20,1,8:48.0,,Shooting foul by D. Nowitzki (drawn by L. Aldridge),7,2
21,1,8:48.0,,L. Aldridge makes free throw 1 of 2,7,3
22,1,8:48.0,,L. Aldridge makes free throw 2 of 2,7,4
23,1,8:31.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,7,4
24,1,8:28.0,,Defensive rebound by P. Gasol,7,4
25,1,8:21.0,,B. Forbes makes 2-pt jump shot from 8 ft,7,6
26,1,7:58.0,H. Barnes makes 2-pt jump shot from 7 ft,,9,6
27,1,7:44.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Murray),9,9
28,1,7:16.0,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by W. Matthews),,11,9
29,1,7:05.0,,L. Aldridge makes 2-pt layup at rim (assist by P. Gasol),11,11
30,1,6:47.0,Personal foul by D. Murray (drawn by H. Barnes),,11,11
31,1,6:47.0,,San Antonio full timeout,11,11
32,1,6:47.0,S. Mejri enters the game for D. Nowitzki,,11,11
33,1,6:37.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by H. Barnes),,14,11
34,1,6:22.0,,Turnover by B. Forbes (lost ball; steal by W. Matthews),14,11
35,1,6:09.0,W. Matthews misses 2-pt jump shot from 14 ft,,14,11
36,1,6:06.0,,Defensive rebound by L. Aldridge,14,11
37,1,5:48.0,,P. Gasol misses 2-pt jump shot from 8 ft,14,11
38,1,5:45.0,Defensive rebound by Y. Ferrell,,14,11
39,1,5:33.0,S. Mejri misses 2-pt jump shot from 16 ft,,14,11
40,1,5:33.0,,Defensive rebound by D. Murray,14,11
41,1,5:24.0,,D. Murray misses 2-pt layup from 8 ft,14,11
42,1,5:22.0,Defensive rebound by S. Mejri,,14,11
43,1,5:11.0,Y. Ferrell makes 3-pt jump shot from 24 ft,,17,11
44,1,5:11.0,Shooting foul by D. Murray (drawn by Y. Ferrell),,17,11
45,1,5:11.0,,M. Ginóbili enters the game for D. Murray,17,11
46,1,5:11.0,,P. Mills enters the game for B. Forbes,17,11
47,1,5:11.0,,D. Bertāns enters the game for P. Gasol,17,11
48,1,5:11.0,D. Harris enters the game for W. Matthews,,17,11
49,1,5:11.0,Y. Ferrell makes free throw 1 of 1,,18,11
50,1,4:57.0,,R. Gay misses 2-pt jump shot from 7 ft,18,11
51,1,4:50.0,Defensive rebound by Y. Ferrell,,18,11
52,1,4:43.0,S. Mejri makes 2-pt dunk at rim (assist by Y. Ferrell),,20,11
53,1,4:25.0,,L. Aldridge misses 2-pt jump shot from 8 ft,20,11
54,1,4:22.0,,Offensive rebound by L. Aldridge,20,11
55,1,4:15.0,,M. Ginóbili misses 2-pt layup from 2 ft,20,11
56,1,4:15.0,Defensive rebound by S. Mejri,,20,11
57,1,3:51.0,H. Barnes makes 3-pt jump shot from 27 ft (assist by Y. Ferrell),,23,11
58,1,3:30.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),23,14
59,1,3:28.0,Dallas full timeout,,23,14
60,1,3:28.0,,B. Paul enters the game for L. Aldridge,23,14
61,1,3:28.0,,J. Lauvergne enters the game for R. Gay,23,14
62,1,3:12.0,D. Harris misses 2-pt layup from 2 ft,,23,14
63,1,3:05.0,Offensive rebound by S. Mejri,,23,14
64,1,3:05.0,S. Mejri makes 2-pt layup at rim,,25,14
65,1,2:54.0,Offensive charge foul by J. Lauvergne (drawn by H. Barnes),,25,14
66,1,2:54.0,,Turnover by J. Lauvergne (offensive foul),25,14
67,1,2:54.0,D. Nowitzki enters the game for Y. Ferrell,,25,14
68,1,2:54.0,D. Powell enters the game for M. Kleber,,25,14
69,1,2:54.0,J. Barea enters the game for S. Mejri,,25,14
70,1,2:54.0,W. Matthews enters the game for H. Barnes,,25,14
71,1,2:37.0,D. Harris misses 3-pt jump shot from 25 ft,,25,14
72,1,2:34.0,,Defensive rebound by D. Bertāns,25,14
73,1,2:26.0,,B. Paul misses 2-pt layup from 6 ft,25,14
74,1,2:26.0,,Offensive rebound by Team,25,14
75,1,2:26.0,,Personal foul by D. Nowitzki (drawn by B. Paul),25,14
76,1,2:18.0,,P. Mills makes 2-pt jump shot from 18 ft,25,16
77,1,1:58.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,25,16
78,1,1:58.0,,Defensive rebound by D. Bertāns,25,16
79,1,1:51.0,,D. Bertāns misses 3-pt jump shot from 25 ft,25,16
80,1,1:51.0,Defensive rebound by J. Barea,,25,16
81,1,1:47.0,Turnover by J. Barea (discontinued dribble),,25,16
82,1,1:32.0,,M. Ginóbili makes 2-pt jump shot from 11 ft,25,18
83,1,1:21.0,J. Barea makes 2-pt jump shot from 9 ft,,27,18
84,1,0:59.0,,M. Ginóbili misses 3-pt jump shot from 28 ft,27,18
85,1,0:59.0,Defensive rebound by D. Powell,,27,18
86,1,0:38.0,J. Barea makes 2-pt layup from 1 ft,,29,18
87,1,0:32.0,,B. Paul misses 3-pt jump shot from 25 ft,29,18
88,1,0:32.0,Defensive rebound by D. Nowitzki,,29,18
89,1,0:10.0,Personal foul by J. Lauvergne (drawn by D. Powell),,29,18
90,1,0:02.0,D. Powell makes 2-pt jump shot from 17 ft (assist by J. Barea),,31,18
91,1,0:00.0,,B. Paul misses 3-pt jump shot from 36 ft,31,18
92,1,0:00.0,,Offensive rebound by Team,31,18
93,2,11:53.0,Personal foul by M. Ginóbili (drawn by A. Cleveland),,31,18
94,2,11:46.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,31,18
95,2,11:42.0,,Defensive rebound by B. Paul,31,18
96,2,11:31.0,,J. Lauvergne makes 2-pt dunk from 1 ft (assist by D. Bertāns),31,20
97,2,11:04.0,D. Nowitzki misses 2-pt layup from 2 ft,,31,20
98,2,10:58.0,Offensive rebound by D. Powell,,31,20
99,2,10:58.0,D. Powell makes 2-pt layup at rim,,33,20
100,2,10:41.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),33,23
101,2,10:41.0,,Shooting foul by A. Cleveland (drawn by D. Bertāns),33,23
102,2,10:41.0,D. Harris enters the game for A. Cleveland,,33,23
103,2,10:41.0,,D. Bertāns makes free throw 1 of 1,33,24
104,2,10:41.0,,B. Forbes enters the game for P. Mills,33,24
105,2,10:41.0,,D. Murray enters the game for M. Ginóbili,33,24
106,2,10:16.0,D. Harris misses 2-pt jump shot from 14 ft,,33,24
107,2,10:13.0,,Defensive rebound by J. Lauvergne,33,24
108,2,10:07.0,,D. Murray makes 2-pt layup from 1 ft,33,26
109,2,9:54.0,Personal foul by D. Murray (drawn by J. Barea),,33,26
110,2,9:54.0,,P. Mills enters the game for D. Murray,33,26
111,2,9:44.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Barea),,35,26
112,2,9:29.0,,B. Paul misses 3-pt jump shot from 22 ft,35,26
113,2,9:26.0,Defensive rebound by J. Barea,,35,26
114,2,9:13.0,Turnover by J. Barea (bad pass; steal by J. Lauvergne),,35,26
115,2,9:05.0,,P. Mills makes 2-pt jump shot from 20 ft,35,28
116,2,9:04.0,Dallas full timeout,,35,28
117,2,9:04.0,,R. Gay enters the game for D. Bertāns,35,28
118,2,9:04.0,,L. Aldridge enters the game for J. Lauvergne,35,28
119,2,9:04.0,Y. Ferrell enters the game for W. Matthews,,35,28
120,2,8:41.0,Y. Ferrell makes 2-pt layup at rim,,37,28
121,2,8:26.0,,P. Mills misses 3-pt jump shot from 25 ft,37,28
122,2,8:24.0,Defensive rebound by D. Powell,,37,28
123,2,8:13.0,J. Barea makes 3-pt jump shot from 25 ft,,40,28
124,2,7:57.0,,B. Forbes misses 3-pt jump shot from 25 ft,40,28
125,2,7:54.0,Defensive rebound by D. Nowitzki,,40,28
126,2,7:40.0,Y. Ferrell makes 2-pt layup from 1 ft (assist by D. Nowitzki),,42,28
127,2,7:40.0,,San Antonio full timeout,42,28
128,2,7:40.0,M. Kleber enters the game for D. Nowitzki,,42,28
129,2,7:31.0,,Shooting foul by Y. Ferrell (drawn by B. Paul),42,28
130,2,7:31.0,,B. Paul makes free throw 1 of 2,42,29
131,2,7:31.0,,B. Paul misses free throw 2 of 2,42,29
132,2,7:29.0,Defensive rebound by Y. Ferrell,,42,29
133,2,7:16.0,Offensive foul by D. Powell (drawn by P. Mills),,42,29
134,2,7:16.0,Turnover by D. Powell (offensive foul),,42,29
135,2,7:16.0,,D. Murray enters the game for P. Mills,42,29
136,2,7:16.0,H. Barnes enters the game for D. Powell,,42,29
137,2,7:16.0,W. Matthews enters the game for D. Harris,,42,29
138,2,6:59.0,,Shooting foul by W. Matthews (drawn by L. Aldridge),42,29
139,2,6:59.0,,L. Aldridge makes free throw 1 of 2,42,30
140,2,6:59.0,,L. Aldridge makes free throw 2 of 2,42,31
141,2,6:46.0,M. Kleber makes 2-pt jump shot from 6 ft (assist by J. Barea),,44,31
142,2,6:29.0,,R. Gay misses 2-pt jump shot from 9 ft,44,31
143,2,6:27.0,Defensive rebound by W. Matthews,,44,31
144,2,6:12.0,J. Barea misses 2-pt jump shot from 13 ft,,44,31
145,2,6:10.0,,Defensive rebound by D. Murray,44,31
146,2,6:06.0,,D. Murray makes 2-pt layup at rim,44,33
147,2,5:43.0,H. Barnes makes 2-pt layup from 5 ft,,46,33
148,2,5:31.0,,Turnover by B. Forbes (traveling),46,33
