,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:41.0,J. Johnson makes 2-pt jump shot from 19 ft,,2,0
1,1,11:26.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),2,2
2,1,11:10.0,J. Ingles misses 3-pt jump shot from 26 ft,,2,2
3,1,11:06.0,,Defensive rebound by R. Anderson,2,2
4,1,11:00.0,,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),2,4
5,1,10:40.0,J. Johnson makes 2-pt layup from 1 ft,,4,4
6,1,10:29.0,,R. Anderson misses 2-pt layup from 2 ft (block by E. Udoh),4,4
7,1,10:28.0,,Offensive rebound by R. Anderson,4,4
8,1,10:26.0,,Turnover by R. Anderson (lost ball; steal by R. Rubio),4,4
9,1,10:14.0,R. Rubio misses 2-pt jump shot from 15 ft,,4,4
10,1,10:13.0,,Defensive rebound by J. Harden,4,4
11,1,10:05.0,,Personal foul by R. Rubio (drawn by C. Capela),4,4
12,1,9:59.0,,Turnover by C. Capela (bad pass; steal by D. Mitchell),4,4
13,1,9:54.0,D. Mitchell makes 2-pt layup at rim,,6,4
14,1,9:35.0,,Shooting foul by J. Johnson (drawn by C. Capela),6,4
15,1,9:35.0,,C. Capela makes free throw 1 of 2,6,5
16,1,9:35.0,,C. Capela makes free throw 2 of 2,6,6
17,1,9:23.0,E. Udoh misses 2-pt layup from 2 ft,,6,6
18,1,9:20.0,Offensive rebound by E. Udoh,,6,6
19,1,9:16.0,E. Udoh misses 2-pt layup at rim,,6,6
20,1,9:14.0,,Defensive rebound by C. Capela,6,6
21,1,9:00.0,,Turnover by R. Anderson (bad pass; steal by D. Mitchell),6,6
22,1,8:48.0,E. Udoh misses 2-pt hook shot from 8 ft,,6,6
23,1,8:46.0,,Defensive rebound by C. Capela,6,6
24,1,8:44.0,,Turnover by C. Paul (bad pass; steal by E. Udoh),6,6
25,1,8:36.0,J. Ingles misses 3-pt jump shot from 26 ft,,6,6
26,1,8:33.0,,Defensive rebound by J. Harden,6,6
27,1,8:25.0,,J. Harden makes 3-pt jump shot from 26 ft,6,9
28,1,8:09.0,D. Mitchell misses 2-pt layup from 11 ft (block by C. Capela),,6,9
29,1,8:09.0,Offensive rebound by Team,,6,9
30,1,8:00.0,J. Johnson misses 3-pt jump shot from 23 ft,,6,9
31,1,7:57.0,,Defensive rebound by C. Paul,6,9
32,1,7:49.0,,Personal foul by E. Udoh (drawn by T. Ariza),6,9
33,1,7:35.0,,J. Harden misses 3-pt jump shot from 25 ft,6,9
34,1,7:32.0,Defensive rebound by E. Udoh,,6,9
35,1,7:24.0,R. Rubio misses 2-pt jump shot from 18 ft,,6,9
36,1,7:21.0,,Defensive rebound by C. Capela,6,9
37,1,7:12.0,,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),6,11
38,1,6:54.0,J. Johnson makes 2-pt jump shot from 10 ft,,8,11
39,1,6:44.0,,J. Harden makes 3-pt jump shot from 25 ft,8,14
40,1,6:16.0,J. Ingles makes 2-pt layup from 1 ft,,10,14
41,1,6:02.0,,C. Paul makes 3-pt jump shot from 26 ft,10,17
42,1,6:01.0,Utah full timeout,,10,17
43,1,6:01.0,,E. Gordon enters the game for R. Anderson,10,17
44,1,6:01.0,,P. Tucker enters the game for C. Paul,10,17
45,1,6:01.0,R. Hood enters the game for R. Rubio,,10,17
46,1,5:39.0,D. Mitchell makes 2-pt layup from 1 ft (assist by J. Ingles),,12,17
47,1,5:29.0,Violation by D. Mitchell (kicked ball),,12,17
48,1,5:29.0,,T. Black enters the game for C. Capela,12,17
49,1,5:29.0,T. Sefolosha enters the game for J. Johnson,,12,17
50,1,5:17.0,,Turnover by T. Black (out of bounds lost ball),12,17
51,1,5:17.0,J. Jerebko enters the game for E. Udoh,,12,17
52,1,4:51.0,Turnover by T. Sefolosha (lost ball; steal by J. Harden),,12,17
53,1,4:49.0,,Personal foul by J. Jerebko (drawn by J. Harden),12,17
54,1,4:43.0,,J. Harden misses 3-pt jump shot from 25 ft,12,17
55,1,4:41.0,Defensive rebound by D. Mitchell,,12,17
56,1,4:34.0,Turnover by T. Sefolosha (bad pass),,12,17
57,1,4:19.0,,E. Gordon misses 3-pt jump shot from 24 ft,12,17
58,1,4:14.0,Defensive rebound by J. Ingles,,12,17
59,1,4:01.0,T. Sefolosha misses 2-pt jump shot from 14 ft (block by E. Gordon),,12,17
60,1,3:58.0,Offensive rebound by T. Sefolosha,,12,17
61,1,3:57.0,J. Ingles makes 2-pt layup at rim,,14,17
62,1,3:51.0,,Shooting foul by D. Mitchell (drawn by E. Gordon),14,17
63,1,3:51.0,,E. Gordon makes free throw 1 of 2,14,18
64,1,3:51.0,A. Burks enters the game for J. Ingles,,14,18
65,1,3:51.0,,E. Gordon makes free throw 2 of 2,14,19
66,1,3:37.0,T. Sefolosha misses 2-pt jump shot from 11 ft,,14,19
67,1,3:35.0,,Defensive rebound by J. Harden,14,19
68,1,3:25.0,,J. Harden misses 2-pt jump shot from 4 ft,14,19
69,1,3:22.0,Defensive rebound by R. Hood,,14,19
70,1,3:20.0,R. Hood makes 2-pt layup from 6 ft,,16,19
71,1,3:20.0,Shooting foul by T. Ariza (drawn by R. Hood),,16,19
72,1,3:20.0,R. Rubio enters the game for D. Mitchell,,16,19
73,1,3:20.0,R. Hood makes free throw 1 of 1,,17,19
74,1,3:01.0,,E. Gordon makes 2-pt layup from 1 ft,17,21
75,1,2:49.0,R. Rubio makes 2-pt layup from 1 ft,,19,21
76,1,2:38.0,,Turnover by J. Harden (bad pass; steal by J. Jerebko),19,21
77,1,2:17.0,R. Hood makes 2-pt jump shot from 10 ft,,21,21
78,1,2:00.0,,Turnover by T. Black (traveling),21,21
79,1,2:00.0,,Houston full timeout,21,21
80,1,2:00.0,,R. Anderson enters the game for T. Ariza,21,21
81,1,2:00.0,,C. Paul enters the game for T. Black,21,21
82,1,1:38.0,Turnover by A. Burks (turnover; steal by R. Anderson),,21,21
