,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,C. Williams misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,Defensive rebound by J. Jackson,,0,0
2,1,11:22.0,T. Warren misses 2-pt layup from 1 ft,,0,0
3,1,11:20.0,,Defensive rebound by D. Jordan,0,0
4,1,11:10.0,,A. Rivers misses 3-pt jump shot from 23 ft,0,0
5,1,11:06.0,Defensive rebound by M. Chriss,,0,0
6,1,10:50.0,J. Jackson misses 2-pt layup from 1 ft,,0,0
7,1,10:47.0,,Defensive rebound by D. Jordan,0,0
8,1,10:38.0,,M. Teodosić misses 2-pt jump shot from 21 ft,0,0
9,1,10:35.0,Defensive rebound by T. Warren,,0,0
10,1,10:30.0,T. Ulis misses 2-pt jump shot from 17 ft,,0,0
11,1,10:26.0,,Defensive rebound by A. Rivers,0,0
12,1,10:19.0,,J. Wilson misses 3-pt jump shot from 25 ft,0,0
13,1,10:14.0,Defensive rebound by T. Warren,,0,0
14,1,9:58.0,J. Jackson misses 2-pt layup from 7 ft (block by A. Rivers),,0,0
15,1,9:58.0,Offensive rebound by Team,,0,0
16,1,9:54.0,M. Chriss misses 3-pt jump shot from 22 ft,,0,0
17,1,9:54.0,,Defensive rebound by D. Jordan,0,0
18,1,9:49.0,,J. Wilson makes 2-pt dunk at rim (assist by C. Williams),0,2
19,1,9:26.0,Turnover by T. Ulis (out of bounds lost ball),,0,2
20,1,9:11.0,,M. Teodosić misses 3-pt jump shot from 25 ft,0,2
21,1,9:08.0,Defensive rebound by T. Warren,,0,2
22,1,9:01.0,Shooting foul by D. Jordan (drawn by T. Chandler),,0,2
23,1,9:01.0,T. Chandler misses free throw 1 of 2,,0,2
24,1,9:01.0,Offensive rebound by Team,,0,2
25,1,9:01.0,T. Chandler makes free throw 2 of 2,,1,2
26,1,8:48.0,,J. Wilson misses 3-pt jump shot from 25 ft,1,2
27,1,8:41.0,,Offensive rebound by D. Jordan,1,2
28,1,8:29.0,,A. Rivers misses 2-pt jump shot from 10 ft,1,2
29,1,8:27.0,Defensive rebound by J. Jackson,,1,2
30,1,8:22.0,T. Warren misses 2-pt layup from 2 ft (block by J. Wilson),,1,2
