,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,0,0
1,1,11:37.0,Defensive rebound by D. Howard,,0,0
2,1,11:30.0,K. Walker makes 2-pt layup at rim,,2,0
3,1,11:24.0,,E. Bledsoe makes 2-pt jump shot from 13 ft,2,2
4,1,11:07.0,D. Howard misses 2-pt hook shot from 6 ft,,2,2
5,1,11:04.0,,Defensive rebound by J. Henson,2,2
6,1,10:58.0,,K. Middleton misses 2-pt jump shot from 11 ft,2,2
7,1,10:52.0,,Offensive rebound by E. Bledsoe,2,2
8,1,10:52.0,,E. Bledsoe makes 2-pt layup at rim,2,4
9,1,10:48.0,Charlotte full timeout,,2,4
10,1,10:30.0,K. Walker makes 2-pt layup from 2 ft (assist by N. Batum),,4,4
11,1,10:16.0,,Personal foul by M. Williams (drawn by J. Henson),4,4
12,1,10:12.0,,Shooting foul by D. Howard (drawn by G. Antetokounmpo),4,4
13,1,10:12.0,,G. Antetokounmpo makes free throw 1 of 2,4,5
14,1,10:12.0,,G. Antetokounmpo makes free throw 2 of 2,4,6
15,1,9:55.0,M. Williams misses 2-pt layup from 2 ft,,4,6
16,1,9:49.0,Offensive rebound by M. Williams,,4,6
17,1,9:49.0,M. Williams misses 2-pt layup at rim,,4,6
18,1,9:48.0,,Defensive rebound by T. Snell,4,6
19,1,9:40.0,,T. Snell misses 3-pt jump shot from 26 ft,4,6
20,1,9:37.0,Defensive rebound by M. Williams,,4,6
21,1,9:31.0,K. Walker makes 2-pt jump shot from 7 ft,,6,6
22,1,9:22.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by T. Snell),6,9
23,1,9:07.0,N. Batum makes 3-pt jump shot from 26 ft (assist by M. Williams),,9,9
24,1,8:54.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,9,9
25,1,8:52.0,,Offensive rebound by J. Henson,9,9
26,1,8:43.0,,K. Middleton makes 2-pt jump shot from 14 ft,9,11
27,1,8:20.0,N. Batum misses 2-pt jump shot from 13 ft,,9,11
28,1,8:17.0,,Defensive rebound by J. Henson,9,11
29,1,8:13.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,9,13
30,1,7:53.0,D. Howard misses 2-pt dunk from 1 ft,,9,13
31,1,7:51.0,,Defensive rebound by K. Middleton,9,13
32,1,7:48.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,9,13
33,1,7:44.0,Defensive rebound by M. Kidd-Gilchrist,,9,13
34,1,7:39.0,D. Howard makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),,11,13
35,1,7:24.0,,G. Antetokounmpo misses 2-pt layup from 4 ft (block by D. Howard),11,13
36,1,7:24.0,,Offensive rebound by Team,11,13
37,1,7:24.0,J. O'Bryant enters the game for D. Howard,,11,13
38,1,7:22.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by K. Middleton),11,16
39,1,7:06.0,J. O'Bryant misses 2-pt jump shot from 15 ft,,11,16
40,1,7:02.0,,Defensive rebound by E. Bledsoe,11,16
41,1,7:00.0,,Turnover by E. Bledsoe (bad pass),11,16
42,1,7:00.0,,S. Brown enters the game for G. Antetokounmpo,11,16
43,1,6:43.0,N. Batum makes 2-pt jump shot from 13 ft,,13,16
44,1,6:27.0,,K. Middleton misses 3-pt jump shot from 25 ft,13,16
45,1,6:25.0,Defensive rebound by M. Williams,,13,16
46,1,6:19.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by N. Batum),,15,16
47,1,6:07.0,,Offensive foul by S. Brown (drawn by M. Williams),15,16
48,1,6:07.0,,Turnover by S. Brown (offensive foul),15,16
49,1,6:07.0,,T. Maker enters the game for J. Henson,15,16
50,1,6:07.0,J. Lamb enters the game for M. Kidd-Gilchrist,,15,16
51,1,5:49.0,K. Walker makes 2-pt layup from 1 ft,,17,16
52,1,5:43.0,,Shooting foul by J. O'Bryant (drawn by E. Bledsoe),17,16
53,1,5:43.0,,E. Bledsoe misses free throw 1 of 2,17,16
54,1,5:43.0,,Offensive rebound by Team,17,16
55,1,5:43.0,,E. Bledsoe makes free throw 2 of 2,17,17
56,1,5:43.0,,M. Brogdon enters the game for T. Snell,17,17
57,1,5:21.0,J. O'Bryant misses 2-pt hook shot from 2 ft,,17,17
58,1,5:21.0,Offensive rebound by Team,,17,17
59,1,5:21.0,,Loose ball foul by K. Middleton (drawn by N. Batum),17,17
60,1,5:17.0,J. Lamb makes 2-pt layup from 1 ft (assist by N. Batum),,19,17
61,1,5:09.0,,Def 3 sec tech foul by J. O'Bryant,19,17
62,1,5:09.0,,K. Middleton makes technical free throw,19,18
63,1,5:09.0,F. Kaminsky enters the game for M. Williams,,19,18
64,1,5:01.0,,K. Middleton makes 2-pt jump shot from 14 ft (assist by M. Brogdon),19,20
65,1,4:40.0,Turnover by N. Batum (bad pass; steal by S. Brown),,19,20
66,1,4:21.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,19,20
67,1,4:17.0,Defensive rebound by K. Walker,,19,20
68,1,4:08.0,J. O'Bryant misses 2-pt jump shot from 13 ft,,19,20
69,1,4:03.0,,Defensive rebound by K. Middleton,19,20
70,1,3:57.0,,K. Middleton makes 2-pt jump shot from 11 ft,19,22
71,1,3:36.0,F. Kaminsky makes 2-pt hook shot from 5 ft,,21,22
72,1,3:19.0,,S. Brown makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),21,24
73,1,2:59.0,J. O'Bryant misses 2-pt hook shot from 4 ft,,21,24
74,1,2:59.0,Offensive rebound by Team,,21,24
75,1,2:59.0,,Milwaukee full timeout,21,24
76,1,2:59.0,,G. Antetokounmpo enters the game for K. Middleton,21,24
77,1,2:59.0,M. Kidd-Gilchrist enters the game for N. Batum,,21,24
78,1,2:52.0,K. Walker misses 2-pt layup from 2 ft,,21,24
79,1,2:50.0,Offensive rebound by J. O'Bryant,,21,24
80,1,2:48.0,J. Lamb misses 3-pt jump shot from 28 ft,,21,24
81,1,2:47.0,Offensive rebound by F. Kaminsky,,21,24
82,1,2:47.0,Shooting foul by S. Brown (drawn by F. Kaminsky),,21,24
83,1,2:47.0,F. Kaminsky misses free throw 1 of 2,,21,24
84,1,2:47.0,Offensive rebound by Team,,21,24
85,1,2:47.0,F. Kaminsky misses free throw 2 of 2,,21,24
86,1,2:44.0,,Defensive rebound by G. Antetokounmpo,21,24
87,1,2:29.0,,Turnover by T. Maker (bad pass; steal by K. Walker),21,24
88,1,2:20.0,K. Walker makes 2-pt jump shot from 19 ft,,23,24
89,1,2:00.0,,G. Antetokounmpo misses 2-pt hook shot from 7 ft,23,24
90,1,1:57.0,Defensive rebound by J. Lamb,,23,24
91,1,1:41.0,F. Kaminsky misses 3-pt jump shot from 23 ft,,23,24
92,1,1:37.0,Offensive rebound by M. Kidd-Gilchrist,,23,24
93,1,1:35.0,J. O'Bryant misses 2-pt jump shot from 15 ft,,23,24
94,1,1:33.0,,Defensive rebound by M. Brogdon,23,24
95,1,1:31.0,,E. Bledsoe makes 2-pt layup at rim (assist by M. Brogdon),23,26
96,1,1:12.0,K. Walker misses 3-pt jump shot from 28 ft,,23,26
97,1,1:09.0,,Defensive rebound by S. Brown,23,26
98,1,1:00.0,,M. Brogdon misses 2-pt hook shot from 6 ft,23,26
99,1,0:58.0,Defensive rebound by J. O'Bryant,,23,26
100,1,0:55.0,K. Walker misses 2-pt layup from 2 ft (block by M. Brogdon),,23,26
101,1,0:53.0,,Defensive rebound by Team,23,26
102,1,0:53.0,,M. Dellavedova enters the game for E. Bledsoe,23,26
103,1,0:53.0,M. Carter-Williams enters the game for K. Walker,,23,26
104,1,0:45.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,23,26
105,1,0:45.0,Defensive rebound by M. Kidd-Gilchrist,,23,26
106,1,0:35.0,J. Lamb misses 2-pt jump shot from 9 ft,,23,26
107,1,0:32.0,,Defensive rebound by M. Brogdon,23,26
108,1,0:29.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,23,26
109,1,0:26.0,Defensive rebound by F. Kaminsky,,23,26
110,1,0:07.0,J. Lamb misses 2-pt layup from 4 ft,,23,26
111,1,0:04.0,,Defensive rebound by G. Antetokounmpo,23,26
112,1,0:00.0,,S. Brown misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),23,26
113,1,0:00.0,Defensive rebound by M. Kidd-Gilchrist,,23,26
114,1,0:00.0,M. Kidd-Gilchrist misses 3-pt jump shot from 83 ft,,23,26
115,1,0:00.0,Offensive rebound by Team,,23,26
116,2,11:42.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft,,23,26
117,2,11:40.0,,Defensive rebound by G. Antetokounmpo,23,26
118,2,11:23.0,,T. Maker misses 3-pt jump shot from 23 ft,23,26
119,2,11:23.0,,Offensive rebound by Team,23,26
120,2,11:23.0,Loose ball foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo),,23,26
121,2,11:23.0,M. Monk enters the game for M. Kidd-Gilchrist,,23,26
122,2,11:08.0,,T. Maker misses 2-pt jump shot from 12 ft,23,26
123,2,11:04.0,,Offensive rebound by G. Antetokounmpo,23,26
124,2,11:01.0,,G. Antetokounmpo makes 2-pt layup from 3 ft,23,28
125,2,10:39.0,M. Carter-Williams misses 2-pt layup from 3 ft,,23,28
126,2,10:37.0,,Defensive rebound by D. Liggins,23,28
127,2,10:18.0,,Turnover by M. Brogdon (out of bounds lost ball),23,28
128,2,9:55.0,F. Kaminsky makes 2-pt jump shot from 11 ft,,25,28
129,2,9:44.0,,T. Maker makes 2-pt dunk at rim (assist by M. Dellavedova),25,30
130,2,9:39.0,Personal foul by D. Liggins (drawn by J. Lamb),,25,30
131,2,9:27.0,Turnover by J. Lamb (bad pass; steal by D. Liggins),,25,30
132,2,9:12.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,25,30
133,2,9:09.0,Defensive rebound by M. Carter-Williams,,25,30
134,2,9:04.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),,28,30
135,2,8:46.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),28,32
136,2,8:24.0,M. Carter-Williams makes 3-pt jump shot from 28 ft (assist by F. Kaminsky),,31,32
137,2,8:09.0,,Shooting foul by M. Carter-Williams (drawn by G. Antetokounmpo),31,32
138,2,8:09.0,,G. Antetokounmpo makes free throw 1 of 2,31,33
