,QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,E. İlyasova misses 3-pt jump shot from 22 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Roberson,0,0
2,1,11:21.0,,Shooting foul by T. Prince (drawn by S. Adams),0,0
3,1,11:21.0,,S. Adams misses free throw 1 of 2,0,0
4,1,11:21.0,,Offensive rebound by Team,0,0
5,1,11:21.0,,S. Adams makes free throw 2 of 2,0,1
6,1,11:09.0,M. Belinelli misses 3-pt jump shot from 24 ft,,0,1
7,1,11:07.0,,Defensive rebound by Team,0,1
8,1,10:52.0,,Personal foul by E. İlyasova (drawn by P. George),0,1
9,1,10:45.0,,C. Anthony misses 2-pt jump shot from 16 ft,0,1
10,1,10:41.0,,Offensive rebound by A. Roberson,0,1
11,1,10:38.0,,A. Roberson misses 2-pt layup from 1 ft,0,1
12,1,10:35.0,,Offensive rebound by S. Adams,0,1
13,1,10:35.0,,S. Adams makes 2-pt dunk at rim,0,3
14,1,10:20.0,E. İlyasova makes 2-pt layup at rim,,2,3
15,1,10:20.0,,Violation by A. Roberson (def goaltending),2,3
16,1,10:04.0,,P. George misses 2-pt jump shot from 5 ft,2,3
17,1,10:00.0,Defensive rebound by T. Prince,,2,3
18,1,9:55.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,5,3
19,1,9:42.0,,S. Adams misses 2-pt dunk from 1 ft (block by M. Plumlee),5,3
20,1,9:40.0,,Offensive rebound by S. Adams,5,3
21,1,9:38.0,,S. Adams misses 2-pt layup at rim,5,3
22,1,9:37.0,Defensive rebound by K. Bazemore,,5,3
23,1,9:27.0,T. Prince makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,8,3
24,1,9:13.0,,P. George misses 3-pt jump shot from 25 ft,8,3
25,1,9:10.0,Defensive rebound by M. Belinelli,,8,3
26,1,9:02.0,M. Plumlee misses 2-pt layup at rim,,8,3
27,1,9:00.0,,Defensive rebound by S. Adams,8,3
28,1,8:56.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),8,5
29,1,8:36.0,E. İlyasova misses 2-pt jump shot from 5 ft,,8,5
30,1,8:36.0,,Defensive rebound by P. George,8,5
31,1,8:25.0,,Shooting foul by E. İlyasova (drawn by P. George),8,5
32,1,8:25.0,,P. George makes free throw 1 of 2,8,6
