,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
0,1,11:46.0,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Simmons),,2,0
1,1,11:17.0,,Turnover by G. Harris (bad pass; steal by R. Covington),2,0
2,1,11:04.0,J. Redick makes 2-pt jump shot from 17 ft,,4,0
3,1,10:46.0,,M. Plumlee misses 2-pt jump shot from 17 ft,4,0
4,1,10:43.0,Defensive rebound by R. Covington,,4,0
5,1,10:38.0,D. Šarić makes 2-pt layup from 3 ft,,6,0
6,1,10:38.0,,Denver full timeout,6,0
7,1,10:17.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),6,3
8,1,9:57.0,A. Johnson makes 2-pt dunk at rim (assist by J. Redick),,8,3
9,1,9:40.0,,J. Murray makes 2-pt jump shot from 7 ft (assist by N. Jokić),8,5
10,1,9:24.0,Turnover by B. Simmons (bad pass),,8,5
11,1,9:22.0,,Personal foul by J. Redick (drawn by G. Harris),8,5
12,1,9:06.0,,J. Murray misses 2-pt jump shot from 17 ft,8,5
13,1,9:03.0,Defensive rebound by D. Šarić,,8,5
14,1,8:57.0,R. Covington makes 2-pt layup from 2 ft (assist by D. Šarić),,10,5
15,1,8:46.0,,G. Harris makes 2-pt jump shot from 12 ft,10,7
16,1,8:46.0,,Shooting foul by J. Redick (drawn by G. Harris),10,7
17,1,8:46.0,T. McConnell enters the game for J. Redick,,10,7
18,1,8:46.0,,G. Harris makes free throw 1 of 1,10,8
19,1,8:29.0,B. Simmons misses 2-pt hook shot from 13 ft,,10,8
20,1,8:26.0,,Defensive rebound by W. Chandler,10,8
21,1,8:11.0,,J. Murray makes 2-pt jump shot from 7 ft,10,10
22,1,8:10.0,Philadelphia full timeout,,10,10
23,1,8:10.0,J. Bayless enters the game for D. Šarić,,10,10
24,1,8:01.0,R. Covington misses 3-pt jump shot from 25 ft,,10,10
25,1,7:59.0,Offensive rebound by A. Johnson,,10,10
26,1,7:56.0,T. McConnell makes 2-pt jump shot from 12 ft (assist by A. Johnson),,12,10
27,1,7:32.0,,M. Plumlee misses 2-pt jump shot from 7 ft,12,10
28,1,7:32.0,Defensive rebound by Team,,12,10
29,1,7:15.0,Turnover by J. Bayless (lost ball; steal by G. Harris),,12,10
30,1,7:12.0,,G. Harris makes 2-pt dunk at rim (assist by J. Murray),12,12
31,1,6:48.0,A. Johnson makes 2-pt jump shot from 5 ft (assist by B. Simmons),,14,12
32,1,6:26.0,,M. Plumlee misses 2-pt hook shot from 4 ft,14,12
33,1,6:23.0,Defensive rebound by B. Simmons,,14,12
34,1,6:16.0,A. Johnson makes 2-pt hook shot from 6 ft (assist by R. Covington),,16,12
35,1,5:59.0,,J. Murray makes 2-pt jump shot from 14 ft,16,14
36,1,5:59.0,,Shooting foul by T. McConnell (drawn by J. Murray),16,14
37,1,5:59.0,,W. Barton enters the game for M. Plumlee,16,14
38,1,5:59.0,D. Šarić enters the game for A. Johnson,,16,14
39,1,5:59.0,R. Holmes enters the game for B. Simmons,,16,14
40,1,5:59.0,,J. Murray makes free throw 1 of 1,16,15
41,1,5:43.0,R. Covington makes 2-pt layup from 3 ft,,18,15
42,1,5:35.0,,G. Harris misses 2-pt jump shot from 16 ft,18,15
43,1,5:35.0,Defensive rebound by Team,,18,15
44,1,5:12.0,Shooting foul by W. Chandler (drawn by D. Šarić),,18,15
45,1,5:12.0,D. Šarić makes free throw 1 of 3,,19,15
46,1,5:12.0,D. Šarić makes free throw 2 of 3,,20,15
47,1,5:12.0,,T. Lyles enters the game for W. Chandler,20,15
48,1,5:12.0,D. Šarić makes free throw 3 of 3,,21,15
49,1,4:58.0,,T. Lyles misses 3-pt jump shot from 23 ft,21,15
50,1,4:54.0,Defensive rebound by R. Holmes,,21,15
51,1,4:49.0,R. Holmes misses 2-pt layup from 5 ft (block by N. Jokić),,21,15
52,1,4:49.0,Offensive rebound by Team,,21,15
53,1,4:47.0,J. Bayless misses 2-pt jump shot from 14 ft,,21,15
54,1,4:44.0,,Defensive rebound by N. Jokić,21,15
55,1,4:40.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),21,17
56,1,4:20.0,R. Holmes misses 2-pt layup from 4 ft (block by J. Murray),,21,17
57,1,4:16.0,,Defensive rebound by W. Barton,21,17
58,1,4:04.0,,Shooting foul by R. Holmes (drawn by W. Barton),21,17
59,1,4:04.0,,W. Barton makes free throw 1 of 2,21,18
60,1,4:04.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,21,18
61,1,4:04.0,J. Redick enters the game for R. Covington,,21,18
62,1,4:04.0,,W. Barton makes free throw 2 of 2,21,19
63,1,3:44.0,T. McConnell makes 2-pt jump shot from 10 ft (assist by D. Šarić),,23,19
64,1,3:30.0,,W. Barton misses 3-pt jump shot from 26 ft,23,19
65,1,3:28.0,,Offensive rebound by N. Jokić,23,19
66,1,3:26.0,,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),23,21
67,1,3:26.0,,Shooting foul by D. Šarić (drawn by G. Harris),23,21
68,1,3:26.0,,T. Craig enters the game for J. Murray,23,21
69,1,3:26.0,B. Simmons enters the game for D. Šarić,,23,21
70,1,3:26.0,T. Booker enters the game for T. McConnell,,23,21
71,1,3:26.0,,G. Harris makes free throw 1 of 1,23,22
72,1,3:08.0,J. Redick misses 2-pt jump shot from 15 ft,,23,22
73,1,3:05.0,,Defensive rebound by T. Craig,23,22
74,1,2:52.0,,W. Barton misses 2-pt layup from 4 ft,23,22
75,1,2:50.0,,Offensive rebound by W. Barton,23,22
76,1,2:50.0,,W. Barton makes 2-pt layup from 2 ft,23,24
77,1,2:41.0,Shooting foul by T. Craig (drawn by R. Holmes),,23,24
78,1,2:41.0,R. Holmes makes free throw 1 of 2,,24,24
79,1,2:41.0,,M. Plumlee enters the game for N. Jokić,24,24
80,1,2:41.0,R. Holmes makes free throw 2 of 2,,25,24
81,1,2:31.0,,T. Lyles makes 2-pt jump shot from 16 ft,25,26
82,1,2:19.0,Turnover by T. Booker (lost ball; steal by G. Harris),,25,26
83,1,2:14.0,,W. Barton misses 3-pt jump shot from 26 ft (block by B. Simmons),25,26
84,1,2:14.0,,Offensive rebound by Team,25,26
85,1,1:53.0,,W. Barton misses 3-pt jump shot from 28 ft,25,26
86,1,1:53.0,,Offensive rebound by Team,25,26
87,1,1:38.0,,G. Harris misses 2-pt jump shot from 21 ft,25,26
88,1,1:35.0,Defensive rebound by B. Simmons,,25,26
89,1,1:26.0,B. Simmons makes 2-pt layup from 4 ft,,27,26
90,1,1:11.0,,Turnover by M. Plumlee (lost ball; steal by T. Booker),27,26
91,1,1:01.0,R. Holmes misses 3-pt jump shot from 24 ft,,27,26
92,1,0:57.0,Offensive rebound by B. Simmons,,27,26
93,1,0:52.0,J. Redick misses 2-pt layup from 8 ft,,27,26
94,1,0:48.0,,Defensive rebound by M. Plumlee,27,26
95,1,0:44.0,,W. Barton misses 2-pt layup from 5 ft,27,26
96,1,0:41.0,Defensive rebound by R. Holmes,,27,26
97,1,0:30.0,R. Holmes makes 2-pt jump shot from 12 ft (assist by B. Simmons),,29,26
98,1,0:09.0,,W. Barton makes 3-pt jump shot from 25 ft,29,29
99,1,0:02.0,R. Holmes makes 2-pt layup from 3 ft (assist by T. Booker),,31,29
100,1,0:00.0,,W. Barton misses 3-pt jump shot from 29 ft,31,29
101,1,0:00.0,,Offensive rebound by Team,31,29
102,2,11:45.0,,N. Jokić misses 2-pt layup from 4 ft,31,29
103,2,11:42.0,Defensive rebound by T. Booker,,31,29
104,2,11:36.0,D. Šarić misses 2-pt jump shot from 14 ft,,31,29
105,2,11:32.0,,Defensive rebound by J. Murray,31,29
106,2,11:27.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Murray),31,32
107,2,11:12.0,Personal foul by T. Lyles (drawn by D. Šarić),,31,32
108,2,11:01.0,D. Šarić misses 2-pt hook shot from 7 ft,,31,32
109,2,10:58.0,,Defensive rebound by W. Barton,31,32
110,2,10:49.0,,Turnover by T. Lyles (bad pass),31,32
111,2,10:26.0,,Offensive charge foul by D. Šarić (drawn by N. Jokić),31,32
112,2,10:26.0,Turnover by D. Šarić (offensive foul),,31,32
113,2,10:15.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by N. Jokić),31,35
114,2,10:14.0,Philadelphia full timeout,,31,35
115,2,10:14.0,A. Johnson enters the game for J. Redick,,31,35
116,2,10:14.0,R. Covington enters the game for T. Booker,,31,35
117,2,9:57.0,A. Johnson misses 2-pt jump shot from 6 ft,,31,35
118,2,9:54.0,,Defensive rebound by W. Barton,31,35
119,2,9:46.0,,W. Chandler makes 2-pt dunk from 1 ft (assist by W. Barton),31,37
120,2,9:31.0,B. Simmons makes 2-pt jump shot from 15 ft (assist by A. Johnson),,33,37
121,2,9:16.0,,N. Jokić makes 2-pt layup at rim (assist by W. Barton),33,39
122,2,9:16.0,,Shooting foul by B. Simmons (drawn by N. Jokić),33,39
123,2,9:16.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,33,39
124,2,9:16.0,,N. Jokić makes free throw 1 of 1,33,40
125,2,9:07.0,T. McConnell misses 2-pt jump shot from 15 ft,,33,40
126,2,8:59.0,,Defensive rebound by N. Jokić,33,40
127,2,8:47.0,,T. Lyles misses 3-pt jump shot from 26 ft,33,40
128,2,8:44.0,,Offensive rebound by W. Chandler,33,40
129,2,8:35.0,,W. Barton misses 3-pt jump shot from 25 ft,33,40
130,2,8:32.0,Defensive rebound by A. Johnson,,33,40
131,2,8:26.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,33,40
132,2,8:23.0,,Defensive rebound by J. Murray,33,40
133,2,8:16.0,,J. Murray makes 2-pt layup from 4 ft,33,42
134,2,8:00.0,R. Covington makes 2-pt jump shot from 17 ft (assist by A. Johnson),,35,42
135,2,7:47.0,,J. Murray misses 3-pt jump shot from 26 ft,35,42
136,2,7:44.0,Defensive rebound by A. Johnson,,35,42
137,2,7:37.0,Turnover by T. McConnell (bad pass; steal by W. Barton),,35,42
138,2,7:33.0,,Turnover by J. Murray (lost ball; steal by R. Covington),35,42
139,2,7:28.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. McConnell),,38,42
140,2,7:07.0,,W. Barton makes 2-pt layup from 3 ft (assist by T. Lyles),38,44
141,2,6:53.0,R. Covington makes 3-pt jump shot from 22 ft (assist by T. McConnell),,41,44
142,2,6:33.0,,T. Lyles makes 2-pt layup from 2 ft (assist by W. Barton),41,46
143,2,6:14.0,Turnover by D. Šarić (bad pass; steal by W. Barton),,41,46
144,2,6:10.0,,Shooting foul by T. McConnell (drawn by W. Barton),41,46
145,2,6:10.0,,W. Barton makes free throw 1 of 2,41,47
146,2,6:10.0,,G. Harris enters the game for N. Jokić,41,47
147,2,6:10.0,,M. Plumlee enters the game for J. Murray,41,47
148,2,6:10.0,R. Holmes enters the game for A. Johnson,,41,47
149,2,6:10.0,,W. Barton misses free throw 2 of 2,41,47
150,2,6:07.0,Defensive rebound by R. Covington,,41,47
151,2,5:49.0,T. McConnell misses 3-pt jump shot from 25 ft,,41,47
152,2,5:45.0,,Defensive rebound by T. Lyles,41,47
153,2,5:36.0,,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),41,49
154,2,5:21.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by R. Holmes),,44,49
155,2,5:06.0,,W. Barton makes 2-pt layup from 2 ft,44,51
156,2,5:06.0,Philadelphia full timeout,,44,51
157,2,5:06.0,,T. Craig enters the game for W. Barton,44,51
158,2,5:06.0,,J. Murray enters the game for T. Lyles,44,51
159,2,5:06.0,B. Simmons enters the game for T. Luwawu-Cabarrot,,44,51
160,2,5:06.0,T. Booker enters the game for D. Šarić,,44,51
161,2,4:52.0,R. Holmes makes 2-pt layup from 3 ft (assist by B. Simmons),,46,51
162,2,4:52.0,Shooting foul by M. Plumlee (drawn by R. Holmes),,46,51
163,2,4:52.0,R. Holmes misses free throw 1 of 1,,46,51
164,2,4:50.0,,Defensive rebound by M. Plumlee,46,51
165,2,4:35.0,,G. Harris misses 3-pt jump shot from 26 ft,46,51
166,2,4:32.0,Defensive rebound by T. McConnell,,46,51
167,2,4:20.0,B. Simmons misses 2-pt jump shot from 8 ft (block by W. Chandler),,46,51
168,2,4:16.0,Offensive rebound by Team,,46,51
169,2,4:16.0,J. Redick enters the game for T. McConnell,,46,51
170,2,4:11.0,B. Simmons misses 2-pt layup from 2 ft,,46,51
171,2,4:08.0,,Defensive rebound by W. Chandler,46,51
172,2,4:04.0,,Shooting foul by T. Booker (drawn by T. Craig),46,51
173,2,4:04.0,,T. Craig makes free throw 1 of 2,46,52
174,2,4:04.0,,T. Craig makes free throw 2 of 2,46,53
175,2,3:54.0,J. Redick makes 2-pt jump shot from 18 ft (assist by R. Holmes),,48,53
176,2,3:39.0,,J. Murray makes 2-pt layup from 1 ft (assist by M. Plumlee),48,55
177,2,3:28.0,R. Holmes misses 2-pt dunk from 2 ft (block by W. Chandler),,48,55
178,2,3:24.0,,Defensive rebound by M. Plumlee,48,55
179,2,3:18.0,,M. Plumlee misses 2-pt layup from 5 ft,48,55
180,2,3:18.0,Defensive rebound by Team,,48,55
181,2,3:12.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,51,55
182,2,2:58.0,,Turnover by M. Plumlee (traveling),51,55
183,2,2:58.0,,W. Barton enters the game for T. Craig,51,55
184,2,2:58.0,,N. Jokić enters the game for M. Plumlee,51,55
185,2,2:58.0,T. Luwawu-Cabarrot enters the game for R. Covington,,51,55
186,2,2:58.0,D. Šarić enters the game for T. Booker,,51,55
187,2,2:49.0,J. Redick misses 2-pt jump shot from 23 ft,,51,55
188,2,2:46.0,,Defensive rebound by J. Murray,51,55
189,2,2:37.0,,Personal foul by R. Holmes (drawn by N. Jokić),51,55
190,2,2:28.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),51,57
191,2,2:08.0,B. Simmons makes 2-pt dunk from 1 ft,,53,57
192,2,2:08.0,,Denver full timeout,53,57
193,2,1:46.0,,W. Chandler misses 3-pt jump shot from 26 ft,53,57
194,2,1:45.0,Defensive rebound by Team,,53,57
195,2,1:32.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Redick),,55,57
196,2,1:09.0,,J. Murray makes 2-pt layup from 3 ft,55,59
197,2,0:59.0,D. Šarić misses 3-pt jump shot from 25 ft,,55,59
198,2,0:56.0,,Defensive rebound by W. Barton,55,59
199,2,0:40.0,,J. Murray misses 3-pt jump shot from 27 ft,55,59
200,2,0:36.0,Defensive rebound by R. Holmes,,55,59
201,2,0:34.0,J. Redick makes 3-pt jump shot from 27 ft (assist by R. Holmes),,58,59
202,2,0:15.0,,J. Murray makes 2-pt jump shot from 6 ft,58,61
203,2,0:07.0,J. Redick misses 3-pt jump shot from 25 ft,,58,61
204,2,0:07.0,,Defensive rebound by J. Murray,58,61
205,2,0:00.0,,J. Murray misses 2-pt jump shot from 21 ft,58,61
206,2,0:00.0,,Offensive rebound by Team,58,61
207,3,11:38.0,,N. Jokić misses 2-pt jump shot from 3 ft,58,61
208,3,11:36.0,,Offensive rebound by N. Jokić,58,61
209,3,11:29.0,,Away from play foul by B. Simmons (drawn by J. Murray),58,61
210,3,11:29.0,,J. Murray makes free throw 1 of 1,58,62
211,3,11:23.0,,Shooting foul by A. Johnson (drawn by J. Murray),58,62
212,3,11:23.0,,J. Murray makes free throw 1 of 2,58,63
213,3,11:23.0,,J. Murray makes free throw 2 of 2,58,64
214,3,11:11.0,D. Šarić misses 2-pt hook shot from 2 ft,,58,64
215,3,11:09.0,,Defensive rebound by J. Murray,58,64
216,3,11:09.0,,Turnover by J. Murray (bad pass),58,64
217,3,10:50.0,J. Redick misses 2-pt jump shot from 17 ft,,58,64
218,3,10:47.0,,Defensive rebound by J. Murray,58,64
219,3,10:41.0,,J. Murray misses 2-pt jump shot from 13 ft,58,64
220,3,10:38.0,Defensive rebound by R. Covington,,58,64
221,3,10:34.0,R. Covington misses 3-pt jump shot from 24 ft,,58,64
222,3,10:30.0,Offensive rebound by D. Šarić,,58,64
223,3,10:27.0,R. Covington misses 3-pt jump shot from 25 ft,,58,64
224,3,10:24.0,,Defensive rebound by M. Plumlee,58,64
225,3,10:17.0,,Shooting foul by A. Johnson (drawn by N. Jokić),58,64
226,3,10:17.0,,N. Jokić makes free throw 1 of 2,58,65
227,3,10:17.0,,N. Jokić makes free throw 2 of 2,58,66
228,3,10:03.0,Turnover by J. Redick (bad pass; steal by G. Harris),,58,66
229,3,9:58.0,,J. Murray misses 3-pt jump shot from 23 ft,58,66
230,3,9:54.0,,Offensive rebound by N. Jokić,58,66
231,3,9:50.0,,N. Jokić misses 3-pt jump shot from 25 ft,58,66
232,3,9:47.0,Defensive rebound by J. Redick,,58,66
233,3,9:35.0,D. Šarić misses 2-pt hook shot from 4 ft,,58,66
234,3,9:32.0,,Defensive rebound by N. Jokić,58,66
235,3,9:27.0,,N. Jokić misses 3-pt jump shot from 25 ft,58,66
236,3,9:23.0,Defensive rebound by R. Covington,,58,66
237,3,9:08.0,D. Šarić misses 3-pt jump shot from 26 ft,,58,66
238,3,9:04.0,,Defensive rebound by W. Chandler,58,66
239,3,8:45.0,,J. Murray misses 2-pt jump shot from 19 ft,58,66
240,3,8:41.0,Defensive rebound by R. Covington,,58,66
241,3,8:36.0,B. Simmons misses 2-pt jump shot from 3 ft,,58,66
242,3,8:33.0,,Defensive rebound by W. Chandler,58,66
243,3,8:26.0,,G. Harris makes 3-pt jump shot from 27 ft (assist by N. Jokić),58,69
244,3,8:14.0,Philadelphia full timeout,,58,69
245,3,8:14.0,J. Bayless enters the game for D. Šarić,,58,69
246,3,8:14.0,R. Holmes enters the game for J. Redick,,58,69
247,3,8:14.0,T. McConnell enters the game for A. Johnson,,58,69
248,3,8:07.0,Turnover by B. Simmons (bad pass; steal by G. Harris),,58,69
249,3,8:03.0,,G. Harris makes 2-pt dunk from 2 ft,58,71
250,3,7:54.0,R. Holmes misses 2-pt layup from 3 ft,,58,71
251,3,7:54.0,,Defensive rebound by N. Jokić,58,71
252,3,7:49.0,,M. Plumlee misses 2-pt layup from 2 ft,58,71
253,3,7:49.0,Defensive rebound by R. Covington,,58,71
254,3,7:49.0,Personal foul by M. Plumlee (drawn by R. Covington),,58,71
255,3,7:34.0,R. Holmes misses 2-pt layup from 4 ft,,58,71
256,3,7:31.0,,Defensive rebound by M. Plumlee,58,71
257,3,7:29.0,,Personal foul by R. Holmes (drawn by N. Jokić),58,71
258,3,7:29.0,,W. Barton enters the game for W. Chandler,58,71
259,3,7:29.0,,Personal foul by B. Simmons (drawn by N. Jokić),58,71
260,3,7:29.0,,N. Jokić makes free throw 1 of 2,58,72
261,3,7:29.0,D. Šarić enters the game for B. Simmons,,58,72
262,3,7:29.0,,N. Jokić misses free throw 2 of 2,58,72
263,3,7:25.0,Defensive rebound by D. Šarić,,58,72
264,3,7:16.0,Shooting foul by M. Plumlee (drawn by D. Šarić),,58,72
265,3,7:16.0,D. Šarić makes free throw 1 of 2,,59,72
266,3,7:16.0,D. Šarić makes free throw 2 of 2,,60,72
267,3,6:56.0,Violation by R. Holmes (kicked ball),,60,72
268,3,6:46.0,,N. Jokić misses 3-pt jump shot from 26 ft,60,72
269,3,6:42.0,Defensive rebound by T. McConnell,,60,72
270,3,6:37.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. McConnell),,63,72
271,3,6:34.0,,Denver full timeout,63,72
272,3,6:34.0,,T. Lyles enters the game for M. Plumlee,63,72
273,3,6:23.0,,G. Harris misses 3-pt jump shot from 23 ft,63,72
274,3,6:20.0,Defensive rebound by D. Šarić,,63,72
275,3,6:11.0,D. Šarić makes 2-pt layup from 3 ft (assist by T. McConnell),,65,72
276,3,5:55.0,,Turnover by N. Jokić (bad pass; steal by T. McConnell),65,72
277,3,5:35.0,R. Holmes makes 2-pt layup from 2 ft (assist by T. McConnell),,67,72
278,3,5:10.0,,N. Jokić misses 3-pt jump shot from 26 ft,67,72
279,3,5:08.0,Defensive rebound by Team,,67,72
280,3,4:57.0,T. McConnell makes 2-pt jump shot from 11 ft,,69,72
281,3,4:44.0,,Shooting foul by R. Holmes (drawn by N. Jokić),69,72
282,3,4:44.0,,N. Jokić makes free throw 1 of 2,69,73
283,3,4:44.0,,W. Chandler enters the game for J. Murray,69,73
284,3,4:44.0,T. Booker enters the game for D. Šarić,,69,73
285,3,4:44.0,A. Johnson enters the game for R. Holmes,,69,73
286,3,4:44.0,,N. Jokić makes free throw 2 of 2,69,74
287,3,4:35.0,T. McConnell makes 2-pt jump shot from 13 ft,,71,74
288,3,4:21.0,,Turnover by N. Jokić (traveling),71,74
289,3,4:11.0,T. Booker makes 2-pt layup from 2 ft (assist by T. McConnell),,73,74
290,3,4:11.0,,Denver full timeout,73,74
291,3,4:11.0,,M. Plumlee enters the game for N. Jokić,73,74
292,3,3:50.0,,G. Harris misses 2-pt layup from 3 ft,73,74
293,3,3:47.0,Defensive rebound by T. Booker,,73,74
294,3,3:29.0,T. McConnell misses 2-pt jump shot from 21 ft,,73,74
295,3,3:26.0,,Defensive rebound by T. Lyles,73,74
296,3,3:08.0,,W. Barton makes 2-pt jump shot from 10 ft,73,76
297,3,2:52.0,Personal foul by G. Harris (drawn by A. Johnson),,73,76
298,3,2:50.0,J. Bayless makes 2-pt layup from 2 ft (assist by R. Covington),,75,76
