,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
0,1,11:44.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),,2,0
1,1,11:22.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,2,0
2,1,11:20.0,Defensive rebound by K. Durant,,2,0
3,1,11:15.0,K. Durant misses 2-pt jump shot from 10 ft,,2,0
4,1,11:10.0,,Defensive rebound by D. Nowitzki,2,0
5,1,11:00.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Smith),2,3
6,1,10:48.0,Turnover by S. Curry (bad pass; steal by D. Nowitzki),,2,3
7,1,10:43.0,,M. Kleber makes 2-pt dunk from 2 ft (assist by D. Smith),2,5
8,1,10:34.0,Personal foul by D. Smith (drawn by S. Curry),,2,5
9,1,10:30.0,Z. Pachulia makes 2-pt jump shot from 6 ft (assist by K. Thompson),,4,5
10,1,10:07.0,,M. Kleber misses 2-pt jump shot from 15 ft,4,5
11,1,10:07.0,Defensive rebound by D. Green,,4,5
12,1,9:59.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Green),,6,5
13,1,9:46.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,6,5
14,1,9:43.0,Defensive rebound by K. Thompson,,6,5
15,1,9:38.0,K. Durant misses 3-pt jump shot from 25 ft,,6,5
16,1,9:38.0,,Defensive rebound by H. Barnes,6,5
17,1,9:22.0,,D. Smith makes 3-pt jump shot from 25 ft,6,8
18,1,9:08.0,Shooting foul by M. Kleber (drawn by K. Durant),,6,8
19,1,9:08.0,K. Durant makes free throw 1 of 2,,7,8
20,1,9:08.0,K. Durant makes free throw 2 of 2,,8,8
21,1,8:56.0,,D. Smith misses 2-pt jump shot from 18 ft,8,8
22,1,8:53.0,Defensive rebound by S. Curry,,8,8
23,1,8:43.0,S. Curry misses 3-pt jump shot from 22 ft,,8,8
24,1,8:40.0,,Defensive rebound by D. Nowitzki,8,8
25,1,8:30.0,,H. Barnes misses 2-pt layup from 5 ft (block by K. Durant),8,8
26,1,8:26.0,Defensive rebound by D. Green,,8,8
27,1,8:18.0,S. Curry makes 3-pt jump shot from 29 ft (assist by Z. Pachulia),,11,8
28,1,7:59.0,,M. Kleber makes 3-pt jump shot from 23 ft (assist by H. Barnes),11,11
29,1,7:50.0,S. Curry misses 3-pt jump shot from 25 ft,,11,11
30,1,7:50.0,,Defensive rebound by D. Nowitzki,11,11
31,1,7:39.0,,D. Smith makes 2-pt layup from 2 ft,11,13
32,1,7:29.0,K. Thompson misses 2-pt jump shot from 22 ft,,11,13
33,1,7:27.0,,Defensive rebound by D. Nowitzki,11,13
34,1,7:22.0,,D. Smith misses 3-pt jump shot from 25 ft,11,13
35,1,7:22.0,Defensive rebound by Z. Pachulia,,11,13
36,1,7:18.0,,S. Mejri enters the game for D. Nowitzki,11,13
