,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:39.0,,B. Beal makes 2-pt jump shot from 17 ft (assist by J. Wall),0,2
1,1,11:18.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by A. Gordon),,2,2
2,1,11:07.0,,M. Morris makes 2-pt hook shot from 5 ft (assist by B. Beal),2,4
3,1,10:53.0,Turnover by A. Gordon (bad pass; steal by O. Porter),,2,4
4,1,10:48.0,,J. Wall misses 2-pt jump shot from 20 ft,2,4
5,1,10:44.0,Defensive rebound by E. Payton,,2,4
6,1,10:41.0,E. Payton makes 2-pt layup from 4 ft,,4,4
7,1,10:41.0,Shooting foul by B. Beal (drawn by E. Payton),,4,4
8,1,10:41.0,E. Payton makes free throw 1 of 1,,5,4
9,1,10:25.0,,O. Porter misses 3-pt jump shot from 21 ft,5,4
10,1,10:21.0,,Offensive rebound by M. Gortat,5,4
11,1,10:20.0,,M. Gortat makes 2-pt hook shot from 3 ft,5,6
12,1,10:10.0,Turnover by E. Payton (bad pass),,5,6
13,1,9:57.0,,B. Beal makes 2-pt dunk from 1 ft (assist by J. Wall),5,8
14,1,9:34.0,E. Payton misses 2-pt layup from 3 ft,,5,8
15,1,9:33.0,Offensive rebound by B. Biyombo,,5,8
16,1,9:33.0,Turnover by Team (shot clock),,5,8
17,1,9:22.0,,M. Gortat makes 2-pt jump shot from 14 ft (assist by J. Wall),5,10
18,1,9:22.0,Orlando full timeout,,5,10
19,1,9:07.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by E. Payton),,7,10
20,1,8:49.0,,O. Porter misses 2-pt jump shot from 20 ft,7,10
21,1,8:47.0,Defensive rebound by E. Payton,,7,10
22,1,8:40.0,E. Payton makes 2-pt layup at rim,,9,10
23,1,8:31.0,,B. Beal makes 2-pt layup from 2 ft,9,12
24,1,8:22.0,B. Biyombo makes 2-pt layup from 3 ft (assist by A. Gordon),,11,12
25,1,8:22.0,Shooting foul by M. Gortat (drawn by B. Biyombo),,11,12
26,1,8:22.0,B. Biyombo makes free throw 1 of 1,,12,12
27,1,8:02.0,,M. Gortat makes 2-pt jump shot from 12 ft (assist by B. Beal),12,14
28,1,7:47.0,E. Fournier misses 3-pt jump shot from 26 ft,,12,14
29,1,7:44.0,,Defensive rebound by M. Morris,12,14
30,1,7:26.0,,J. Wall makes 2-pt jump shot from 17 ft,12,16
31,1,7:19.0,Turnover by E. Payton (lost ball; steal by J. Wall),,12,16
32,1,7:11.0,,Turnover by J. Wall (bad pass; steal by E. Fournier),12,16
33,1,7:05.0,E. Fournier makes 3-pt jump shot from 27 ft (assist by J. Simmons),,15,16
34,1,6:47.0,,J. Wall makes 2-pt jump shot from 13 ft (assist by M. Gortat),15,18
35,1,6:32.0,J. Simmons misses 2-pt jump shot from 18 ft,,15,18
36,1,6:26.0,Offensive rebound by B. Biyombo,,15,18
37,1,6:25.0,J. Simmons makes 2-pt layup at rim (assist by B. Biyombo),,17,18
38,1,6:05.0,,J. Wall makes 2-pt layup from 1 ft,17,20
39,1,5:47.0,Turnover by J. Simmons (lost ball; steal by O. Porter),,17,20
40,1,5:42.0,,O. Porter makes 2-pt layup from 2 ft,17,22
41,1,5:17.0,E. Fournier makes 2-pt jump shot from 14 ft,,19,22
42,1,5:01.0,,M. Morris misses 3-pt jump shot from 24 ft,19,22
43,1,4:59.0,Defensive rebound by B. Biyombo,,19,22
44,1,4:48.0,J. Simmons makes 2-pt layup from 2 ft (assist by E. Payton),,21,22
45,1,4:38.0,,Personal foul by J. Simmons (drawn by M. Gortat),21,22
46,1,4:38.0,,K. Oubre enters the game for O. Porter,21,22
47,1,4:28.0,,J. Wall misses 2-pt dunk at rim (block by B. Biyombo),21,22
48,1,4:26.0,Defensive rebound by A. Gordon,,21,22
49,1,4:25.0,Turnover by A. Gordon (bad pass),,21,22
50,1,4:13.0,,Turnover by M. Morris (turnover),21,22
51,1,3:58.0,Shooting foul by M. Morris (drawn by B. Biyombo),,21,22
52,1,3:58.0,B. Biyombo makes free throw 1 of 2,,22,22
53,1,3:58.0,,T. Satoranský enters the game for B. Beal,22,22
54,1,3:58.0,W. Iwundu enters the game for J. Simmons,,22,22
55,1,3:58.0,B. Biyombo makes free throw 2 of 2,,23,22
56,1,3:47.0,,Turnover by J. Wall (bad pass; steal by W. Iwundu),23,22
57,1,3:41.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by E. Fournier),,25,22
58,1,3:41.0,,Washington full timeout,25,22
59,1,3:41.0,,M. Scott enters the game for M. Morris,25,22
60,1,3:28.0,,J. Wall misses 2-pt layup from 1 ft,25,22
61,1,3:25.0,,Offensive rebound by M. Gortat,25,22
62,1,3:25.0,,M. Gortat makes 2-pt layup at rim,25,24
63,1,3:13.0,B. Biyombo makes 2-pt dunk at rim (assist by A. Gordon),,27,24
64,1,2:58.0,,Turnover by T. Satoranský (lost ball; steal by W. Iwundu),27,24
65,1,2:44.0,Turnover by A. Gordon (bad pass; steal by M. Gortat),,27,24
66,1,2:29.0,,J. Wall makes 2-pt layup from 1 ft,27,26
67,1,2:22.0,Shooting foul by T. Satoranský (drawn by E. Payton),,27,26
68,1,2:22.0,E. Payton makes free throw 1 of 2,,28,26
69,1,2:22.0,,I. Mahinmi enters the game for M. Gortat,28,26
70,1,2:22.0,M. Speights enters the game for E. Fournier,,28,26
71,1,2:22.0,M. Hezonja enters the game for B. Biyombo,,28,26
72,1,2:22.0,E. Payton makes free throw 2 of 2,,29,26
73,1,2:11.0,,Shooting foul by M. Speights (drawn by J. Wall),29,26
74,1,2:11.0,,J. Wall misses free throw 1 of 2,29,26
75,1,2:11.0,,Offensive rebound by Team,29,26
76,1,2:11.0,,J. Wall makes free throw 2 of 2,29,27
77,1,2:01.0,Shooting foul by T. Satoranský (drawn by E. Payton),,29,27
78,1,2:01.0,E. Payton makes free throw 1 of 2,,30,27
79,1,2:01.0,,O. Porter enters the game for J. Wall,30,27
80,1,2:01.0,E. Payton makes free throw 2 of 2,,31,27
81,1,1:45.0,,K. Oubre misses 3-pt jump shot from 25 ft,31,27
82,1,1:42.0,,Offensive rebound by I. Mahinmi,31,27
83,1,1:33.0,,K. Oubre makes 2-pt layup at rim (assist by T. Satoranský),31,29
84,1,1:18.0,M. Speights misses 3-pt jump shot from 25 ft,,31,29
85,1,1:15.0,,Defensive rebound by K. Oubre,31,29
86,1,1:07.0,,K. Oubre makes 2-pt layup at rim (assist by T. Satoranský),31,31
87,1,0:45.0,M. Speights misses 3-pt jump shot from 27 ft,,31,31
88,1,0:43.0,,Defensive rebound by I. Mahinmi,31,31
89,1,0:27.0,,I. Mahinmi makes 2-pt layup at rim (assist by M. Scott),31,33
90,1,0:27.0,,Shooting foul by M. Hezonja (drawn by I. Mahinmi),31,33
91,1,0:27.0,,I. Mahinmi makes free throw 1 of 1,31,34
92,1,0:05.0,A. Gordon makes 2-pt layup from 1 ft,,33,34
93,1,0:01.0,,T. Satoranský misses 2-pt jump shot from 8 ft,33,34
94,1,0:01.0,,Offensive rebound by Team,33,34
95,2,11:43.0,Turnover by M. Speights (bad pass; steal by T. Satoranský),,33,34
96,2,11:38.0,,O. Porter misses 2-pt jump shot from 12 ft,33,34
97,2,11:34.0,,Offensive rebound by K. Oubre,33,34
98,2,11:34.0,,K. Oubre misses 2-pt layup at rim,33,34
99,2,11:33.0,,Offensive rebound by K. Oubre,33,34
100,2,11:33.0,,K. Oubre misses 2-pt layup at rim,33,34
101,2,11:33.0,Defensive rebound by A. Afflalo,,33,34
102,2,11:28.0,M. Hezonja makes 2-pt layup from 1 ft (assist by W. Iwundu),,35,34
103,2,11:12.0,,Turnover by T. Satoranský (lost ball; steal by D. Augustin),35,34
104,2,11:12.0,Personal foul by T. Satoranský (drawn by M. Speights),,35,34
105,2,11:02.0,Turnover by M. Speights (bad pass; steal by T. Satoranský),,35,34
106,2,10:58.0,,T. Satoranský makes 2-pt dunk at rim,35,36
107,2,10:39.0,M. Speights misses 2-pt jump shot from 16 ft,,35,36
108,2,10:36.0,,Defensive rebound by K. Oubre,35,36
109,2,10:28.0,,Shooting foul by A. Afflalo (drawn by I. Mahinmi),35,36
110,2,10:28.0,,I. Mahinmi makes free throw 1 of 2,35,37
111,2,10:28.0,,B. Beal enters the game for T. Satoranský,35,37
112,2,10:28.0,,I. Mahinmi makes free throw 2 of 2,35,38
113,2,10:17.0,W. Iwundu misses 2-pt layup from 2 ft (block by I. Mahinmi),,35,38
114,2,10:14.0,,Defensive rebound by O. Porter,35,38
115,2,10:10.0,,M. Scott makes 2-pt jump shot from 8 ft (assist by O. Porter),35,40
116,2,10:10.0,,Shooting foul by A. Afflalo (drawn by M. Scott),35,40
117,2,10:10.0,,M. Scott misses free throw 1 of 1,35,40
118,2,10:08.0,Defensive rebound by M. Hezonja,,35,40
119,2,9:49.0,A. Afflalo makes 3-pt jump shot from 26 ft (assist by W. Iwundu),,38,40
120,2,9:32.0,,K. Oubre misses 2-pt jump shot from 16 ft,38,40
121,2,9:29.0,,Offensive rebound by I. Mahinmi,38,40
122,2,9:29.0,,I. Mahinmi makes 2-pt layup at rim,38,42
123,2,9:12.0,M. Hezonja makes 2-pt dunk from 1 ft (assist by D. Augustin),,40,42
124,2,9:01.0,,B. Beal makes 2-pt jump shot from 14 ft,40,44
125,2,8:47.0,M. Speights misses 3-pt jump shot from 26 ft,,40,44
126,2,8:44.0,,Defensive rebound by M. Scott,40,44
127,2,8:38.0,,B. Beal makes 2-pt jump shot from 16 ft,40,46
128,2,8:37.0,Orlando full timeout,,40,46
129,2,8:37.0,J. Simmons enters the game for M. Speights,,40,46
130,2,8:37.0,B. Biyombo enters the game for W. Iwundu,,40,46
