,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
0,1,11:48.0,Shooting foul by J. Brown (drawn by J. Holiday),,0,0
1,1,11:48.0,J. Holiday makes free throw 1 of 2,,1,0
2,1,11:48.0,J. Holiday misses free throw 2 of 2,,1,0
3,1,11:48.0,,Defensive rebound by A. Baynes,1,0
4,1,11:30.0,,A. Baynes misses 2-pt layup from 2 ft (block by A. Davis),1,0
5,1,11:28.0,,Offensive rebound by A. Baynes,1,0
6,1,11:26.0,,A. Baynes makes 2-pt hook shot from 1 ft,1,2
7,1,11:11.0,Turnover by D. Cousins (out of bounds lost ball),,1,2
8,1,10:54.0,,Turnover by J. Brown (out of bounds lost ball),1,2
9,1,10:41.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Holiday),,4,2
10,1,10:41.0,Shooting foul by A. Baynes (drawn by D. Cousins),,4,2
11,1,10:41.0,D. Cousins misses free throw 1 of 1,,4,2
12,1,10:39.0,,Defensive rebound by A. Horford,4,2
13,1,10:16.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Brown),4,5
14,1,10:03.0,D. Cousins misses 2-pt hook shot from 3 ft,,4,5
15,1,10:02.0,Offensive rebound by D. Cousins,,4,5
16,1,10:02.0,Shooting foul by A. Horford (drawn by D. Cousins),,4,5
17,1,10:02.0,D. Cousins makes free throw 1 of 2,,5,5
18,1,10:02.0,D. Cousins misses free throw 2 of 2,,5,5
19,1,10:02.0,,Defensive rebound by A. Baynes,5,5
20,1,9:49.0,,Turnover by K. Irving (lost ball; steal by A. Davis),5,5
21,1,9:45.0,A. Davis misses 2-pt layup from 2 ft,,5,5
22,1,9:43.0,,Defensive rebound by J. Tatum,5,5
23,1,9:39.0,,J. Brown misses 3-pt jump shot from 25 ft,5,5
24,1,9:37.0,Defensive rebound by E. Moore,,5,5
25,1,9:32.0,Offensive foul by D. Cousins (drawn by A. Baynes),,5,5
26,1,9:32.0,Turnover by D. Cousins (offensive foul),,5,5
27,1,9:15.0,,Turnover by A. Horford (bad pass; steal by R. Rondo),5,5
28,1,9:08.0,A. Davis makes 2-pt dunk from 3 ft (assist by J. Holiday),,7,5
29,1,8:55.0,,Turnover by A. Horford (bad pass; steal by D. Cousins),7,5
30,1,8:52.0,D. Cousins makes 2-pt dunk from 1 ft,,9,5
31,1,8:52.0,,Boston full timeout,9,5
32,1,8:39.0,,J. Brown makes 2-pt layup at rim (assist by A. Horford),9,7
33,1,8:24.0,R. Rondo makes 2-pt jump shot from 7 ft,,11,7
34,1,8:11.0,,K. Irving misses 3-pt jump shot from 25 ft,11,7
35,1,8:09.0,Defensive rebound by J. Holiday,,11,7
36,1,8:04.0,E. Moore misses 2-pt layup from 1 ft,,11,7
37,1,8:01.0,,Defensive rebound by A. Baynes,11,7
38,1,7:56.0,,Offensive foul by K. Irving (drawn by R. Rondo),11,7
39,1,7:56.0,,Turnover by K. Irving (offensive foul),11,7
40,1,7:56.0,,M. Smart enters the game for J. Tatum,11,7
41,1,7:41.0,D. Cousins misses 2-pt hook shot from 3 ft,,11,7
42,1,7:38.0,,Defensive rebound by A. Horford,11,7
43,1,7:34.0,,J. Brown makes 2-pt layup at rim (assist by K. Irving),11,9
44,1,7:20.0,D. Cousins makes 2-pt dunk from 1 ft (assist by R. Rondo),,13,9
45,1,6:57.0,,A. Baynes makes 2-pt jump shot from 14 ft (assist by J. Brown),13,11
46,1,6:41.0,E. Moore misses 2-pt jump shot from 22 ft,,13,11
47,1,6:39.0,,Defensive rebound by M. Smart,13,11
48,1,6:22.0,,M. Smart makes 2-pt layup from 2 ft,13,13
49,1,6:07.0,Turnover by A. Davis (traveling),,13,13
50,1,5:56.0,,A. Horford misses 2-pt jump shot from 18 ft,13,13
51,1,5:53.0,Defensive rebound by A. Davis,,13,13
52,1,5:42.0,A. Davis makes 2-pt jump shot from 9 ft (assist by D. Cousins),,15,13
53,1,5:31.0,,M. Smart misses 3-pt jump shot from 25 ft,15,13
54,1,5:28.0,Defensive rebound by E. Moore,,15,13
55,1,5:26.0,J. Holiday misses 2-pt layup from 1 ft,,15,13
56,1,5:24.0,,Defensive rebound by K. Irving,15,13
57,1,5:19.0,,M. Smart misses 3-pt jump shot from 22 ft,15,13
58,1,5:17.0,,Offensive rebound by Team,15,13
59,1,5:17.0,,M. Morris enters the game for A. Horford,15,13
60,1,5:17.0,,D. Theis enters the game for A. Baynes,15,13
61,1,5:17.0,D. Miller enters the game for J. Holiday,,15,13
62,1,5:14.0,,M. Smart makes 3-pt jump shot from 22 ft (assist by J. Brown),15,16
