,QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
0,1,11:43.0,,Turnover by J. Murray (lost ball; steal by W. Matthews),0,0
1,1,11:31.0,W. Matthews misses 3-pt jump shot from 22 ft,,0,0
2,1,11:28.0,Offensive rebound by W. Matthews,,0,0
3,1,11:17.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by D. Smith),,2,0
4,1,10:58.0,,W. Chandler misses 2-pt jump shot from 6 ft,2,0
5,1,10:56.0,Defensive rebound by D. Nowitzki,,2,0
6,1,10:34.0,W. Matthews makes 2-pt jump shot from 6 ft,,4,0
7,1,10:20.0,,N. Jokić misses 2-pt jump shot from 18 ft,4,0
8,1,10:16.0,Defensive rebound by M. Kleber,,4,0
9,1,10:09.0,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by D. Smith),,6,0
10,1,9:52.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),6,2
11,1,9:52.0,,Shooting foul by D. Nowitzki (drawn by N. Jokić),6,2
12,1,9:52.0,,N. Jokić makes free throw 1 of 1,6,3
13,1,9:35.0,Personal foul by W. Barton (drawn by W. Matthews),,6,3
14,1,9:29.0,Shooting foul by G. Harris (drawn by M. Kleber),,6,3
15,1,9:29.0,M. Kleber misses free throw 1 of 2,,6,3
16,1,9:29.0,Offensive rebound by Team,,6,3
17,1,9:29.0,M. Kleber makes free throw 2 of 2,,7,3
18,1,9:17.0,,Turnover by W. Barton (lost ball; steal by H. Barnes),7,3
19,1,9:10.0,D. Smith makes 2-pt layup from 1 ft,,9,3
20,1,9:10.0,,Denver full timeout,9,3
21,1,9:10.0,S. Mejri enters the game for D. Nowitzki,,9,3
22,1,8:50.0,,N. Jokić makes 2-pt hook shot from 5 ft,9,5
23,1,8:34.0,W. Matthews misses 3-pt jump shot from 24 ft,,9,5
24,1,8:32.0,,Defensive rebound by Team,9,5
25,1,8:20.0,,G. Harris makes 2-pt jump shot from 13 ft (assist by N. Jokić),9,7
26,1,7:56.0,D. Smith misses 2-pt jump shot from 22 ft,,9,7
27,1,7:53.0,,Defensive rebound by N. Jokić,9,7
28,1,7:51.0,,Turnover by N. Jokić (bad pass; steal by D. Smith),9,7
29,1,7:46.0,D. Smith makes 2-pt layup from 2 ft,,11,7
30,1,7:30.0,,Shooting foul by S. Mejri (drawn by N. Jokić),11,7
31,1,7:30.0,,N. Jokić makes free throw 1 of 2,11,8
32,1,7:30.0,,N. Jokić makes free throw 2 of 2,11,9
33,1,7:12.0,M. Kleber misses 3-pt jump shot from 25 ft,,11,9
34,1,7:08.0,,Defensive rebound by N. Jokić,11,9
35,1,7:01.0,,G. Harris misses 2-pt jump shot from 19 ft,11,9
36,1,6:58.0,Defensive rebound by D. Smith,,11,9
37,1,6:52.0,S. Mejri makes 2-pt layup from 2 ft (assist by M. Kleber),,13,9
38,1,6:52.0,Shooting foul by W. Barton (drawn by S. Mejri),,13,9
39,1,6:52.0,S. Mejri makes free throw 1 of 1,,14,9
40,1,6:33.0,,N. Jokić misses 2-pt hook shot from 6 ft (block by M. Kleber),14,9
41,1,6:30.0,Defensive rebound by H. Barnes,,14,9
42,1,6:27.0,D. Smith makes 2-pt layup from 1 ft,,16,9
43,1,6:13.0,,N. Jokić misses 2-pt layup from 2 ft,16,9
44,1,6:11.0,,Offensive rebound by N. Jokić,16,9
45,1,6:10.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),16,12
46,1,5:49.0,D. Smith makes 2-pt jump shot from 20 ft,,18,12
47,1,5:36.0,,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),18,14
48,1,5:22.0,D. Smith misses 3-pt jump shot from 24 ft,,18,14
49,1,5:21.0,,Defensive rebound by W. Barton,18,14
50,1,5:17.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by W. Chandler),18,17
51,1,5:15.0,Dallas full timeout,,18,17
52,1,5:15.0,,T. Lyles enters the game for W. Barton,18,17
53,1,5:15.0,Y. Ferrell enters the game for D. Smith,,18,17
54,1,5:02.0,H. Barnes makes 2-pt jump shot from 14 ft (assist by Y. Ferrell),,20,17
55,1,4:49.0,,Personal foul by S. Mejri (drawn by N. Jokić),20,17
56,1,4:44.0,,Shooting foul by M. Kleber (drawn by G. Harris),20,17
57,1,4:44.0,,G. Harris makes free throw 1 of 2,20,18
58,1,4:44.0,,G. Harris makes free throw 2 of 2,20,19
59,1,4:31.0,Personal foul by W. Chandler (drawn by H. Barnes),,20,19
60,1,4:21.0,M. Kleber misses 2-pt jump shot from 20 ft,,20,19
61,1,4:20.0,Offensive rebound by S. Mejri,,20,19
62,1,4:18.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,20,19
63,1,4:14.0,,Defensive rebound by W. Chandler,20,19
64,1,4:06.0,,W. Chandler misses 3-pt jump shot from 24 ft,20,19
65,1,4:02.0,Defensive rebound by W. Matthews,,20,19
66,1,3:59.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,23,19
67,1,3:37.0,,N. Jokić misses 2-pt layup from 2 ft,23,19
68,1,3:35.0,,Offensive rebound by N. Jokić,23,19
69,1,3:32.0,,Personal foul by S. Mejri (drawn by N. Jokić),23,19
70,1,3:32.0,,T. Craig enters the game for W. Chandler,23,19
71,1,3:32.0,,W. Barton enters the game for J. Murray,23,19
72,1,3:32.0,D. Powell enters the game for S. Mejri,,23,19
73,1,3:32.0,,N. Jokić makes free throw 1 of 2,23,20
74,1,3:32.0,,N. Jokić misses free throw 2 of 2,23,20
75,1,3:23.0,Defensive rebound by D. Powell,,23,20
76,1,3:13.0,W. Matthews misses 2-pt jump shot from 20 ft,,23,20
77,1,3:09.0,,Defensive rebound by T. Craig,23,20
78,1,3:01.0,,Turnover by T. Craig (lost ball; steal by W. Matthews),23,20
79,1,2:57.0,Turnover by M. Kleber (lost ball; steal by G. Harris),,23,20
80,1,2:56.0,,Shooting foul by Y. Ferrell (drawn by G. Harris),23,20
81,1,2:56.0,,G. Harris makes free throw 1 of 2,23,21
82,1,2:56.0,,M. Plumlee enters the game for N. Jokić,23,21
83,1,2:56.0,,G. Harris makes free throw 2 of 2,23,22
84,1,2:41.0,Shooting foul by T. Craig (drawn by H. Barnes),,23,22
85,1,2:41.0,H. Barnes makes free throw 1 of 2,,24,22
86,1,2:41.0,D. Harris enters the game for W. Matthews,,24,22
87,1,2:41.0,H. Barnes makes free throw 2 of 2,,25,22
88,1,2:39.0,,Personal take foul by M. Kleber (drawn by M. Plumlee),25,22
89,1,2:39.0,,M. Plumlee misses free throw 1 of 2,25,22
90,1,2:39.0,,Offensive rebound by Team,25,22
91,1,2:39.0,K. Collinsworth enters the game for H. Barnes,,25,22
92,1,2:39.0,D. Nowitzki enters the game for M. Kleber,,25,22
93,1,2:39.0,,M. Plumlee makes free throw 2 of 2,25,23
94,1,2:20.0,D. Nowitzki misses 3-pt jump shot from 22 ft,,25,23
95,1,2:14.0,Offensive rebound by D. Powell,,25,23
