,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
0,1,11:39.0,,J. Simmons misses 2-pt hook shot from 5 ft,0,0
1,1,11:33.0,Defensive rebound by K. Towns,,0,0
2,1,11:20.0,J. Teague misses 2-pt jump shot from 7 ft,,0,0
3,1,11:17.0,,Defensive rebound by B. Biyombo,0,0
4,1,11:13.0,,Turnover by E. Payton (bad pass; steal by J. Butler),0,0
5,1,11:08.0,K. Towns makes 2-pt layup at rim (assist by J. Teague),,2,0
6,1,10:51.0,,J. Simmons misses 3-pt jump shot from 24 ft,2,0
7,1,10:47.0,,Offensive rebound by B. Biyombo,2,0
8,1,10:47.0,,B. Biyombo misses 2-pt layup from 1 ft,2,0
9,1,10:43.0,Defensive rebound by J. Teague,,2,0
10,1,10:38.0,Turnover by J. Teague (bad pass),,2,0
11,1,10:27.0,,E. Payton makes 2-pt layup from 2 ft (assist by A. Gordon),2,2
12,1,10:20.0,Shooting foul by A. Gordon (drawn by K. Towns),,2,2
13,1,10:20.0,K. Towns makes free throw 1 of 2,,3,2
14,1,10:20.0,K. Towns makes free throw 2 of 2,,4,2
15,1,10:07.0,,A. Gordon misses 3-pt jump shot from 23 ft,4,2
16,1,10:03.0,Defensive rebound by K. Towns,,4,2
17,1,9:52.0,T. Gibson misses 2-pt hook shot from 7 ft,,4,2
18,1,9:50.0,,Defensive rebound by B. Biyombo,4,2
19,1,9:30.0,,E. Fournier misses 2-pt jump shot from 11 ft,4,2
20,1,9:25.0,,Offensive rebound by B. Biyombo,4,2
21,1,9:23.0,,B. Biyombo misses 2-pt layup from 1 ft,4,2
22,1,9:23.0,,Offensive rebound by B. Biyombo,4,2
23,1,9:14.0,,B. Biyombo misses 2-pt jump shot from 4 ft,4,2
24,1,9:12.0,Defensive rebound by J. Butler,,4,2
25,1,9:08.0,K. Towns makes 2-pt layup from 3 ft (assist by A. Wiggins),,6,2
26,1,9:04.0,,A. Gordon misses 3-pt jump shot from 25 ft,6,2
27,1,9:04.0,Defensive rebound by T. Gibson,,6,2
28,1,8:49.0,K. Towns misses 2-pt jump shot from 9 ft,,6,2
29,1,8:49.0,,Defensive rebound by E. Payton,6,2
30,1,8:40.0,,B. Biyombo makes 2-pt layup from 1 ft (assist by E. Payton),6,4
31,1,8:27.0,Shooting foul by E. Fournier (drawn by A. Wiggins),,6,4
32,1,8:27.0,A. Wiggins makes free throw 1 of 2,,7,4
33,1,8:27.0,A. Wiggins misses free throw 2 of 2,,7,4
34,1,8:23.0,,Defensive rebound by A. Gordon,7,4
35,1,8:13.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by J. Simmons),7,6
36,1,7:48.0,J. Teague misses 2-pt layup from 4 ft,,7,6
37,1,7:46.0,,Defensive rebound by B. Biyombo,7,6
38,1,7:41.0,,E. Payton misses 2-pt layup from 1 ft,7,6
39,1,7:38.0,Defensive rebound by K. Towns,,7,6
40,1,7:37.0,J. Teague makes 2-pt layup from 2 ft (assist by A. Wiggins),,9,6
41,1,7:36.0,,Orlando full timeout,9,6
42,1,7:11.0,,A. Gordon misses 2-pt jump shot from 4 ft,9,6
43,1,7:08.0,,Offensive rebound by B. Biyombo,9,6
44,1,7:03.0,,Turnover by E. Fournier (bad pass; steal by J. Butler),9,6
45,1,7:02.0,Personal foul by E. Payton (drawn by J. Butler),,9,6
46,1,6:51.0,J. Teague makes 2-pt jump shot from 16 ft,,11,6
47,1,6:40.0,,E. Fournier misses 2-pt jump shot from 21 ft,11,6
48,1,6:40.0,Defensive rebound by A. Wiggins,,11,6
49,1,6:30.0,J. Teague makes 2-pt layup from 2 ft,,13,6
50,1,6:20.0,,A. Gordon makes 3-pt jump shot from 25 ft,13,9
51,1,5:58.0,K. Towns misses 2-pt hook shot from 5 ft,,13,9
52,1,5:54.0,,Defensive rebound by B. Biyombo,13,9
53,1,5:52.0,,E. Fournier makes 3-pt jump shot from 22 ft (assist by J. Simmons),13,12
54,1,5:36.0,A. Wiggins misses 3-pt jump shot from 22 ft,,13,12
55,1,5:36.0,,Defensive rebound by Team,13,12
56,1,5:36.0,Loose ball foul by K. Towns (drawn by A. Gordon),,13,12
57,1,5:22.0,,A. Gordon misses 3-pt jump shot from 26 ft,13,12
58,1,5:20.0,Defensive rebound by Team,,13,12
59,1,5:05.0,K. Towns misses 2-pt layup from 3 ft (block by B. Biyombo),,13,12
60,1,4:59.0,,Defensive rebound by E. Payton,13,12
61,1,4:58.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Payton),13,14
62,1,4:45.0,T. Gibson misses 2-pt layup from 6 ft,,13,14
63,1,4:36.0,Offensive rebound by T. Gibson,,13,14
64,1,4:36.0,T. Gibson makes 2-pt layup at rim,,15,14
