,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:47.0,D. Booker makes 3-pt jump shot from 26 ft,,3,0
1,1,11:33.0,,Personal foul by M. Chriss (drawn by J. Harden),3,0
2,1,11:30.0,,Shooting foul by M. Chriss (drawn by T. Ariza),3,0
3,1,11:30.0,,T. Ariza makes free throw 1 of 2,3,1
4,1,11:30.0,,T. Ariza makes free throw 2 of 2,3,2
5,1,11:24.0,Personal take foul by T. Ariza (drawn by T. Warren),,3,2
6,1,11:24.0,,L. Mbah a Moute enters the game for T. Ariza,3,2
7,1,11:17.0,T. Daniels misses 3-pt jump shot from 25 ft,,3,2
8,1,11:13.0,,Defensive rebound by C. Capela,3,2
9,1,11:09.0,,J. Harden makes 3-pt jump shot from 27 ft,3,5
10,1,10:48.0,D. Booker makes 2-pt jump shot from 12 ft,,5,5
11,1,10:35.0,,R. Anderson misses 3-pt jump shot from 26 ft,5,5
12,1,10:31.0,,Offensive rebound by J. Harden,5,5
13,1,10:26.0,,J. Harden misses 3-pt jump shot from 26 ft,5,5
14,1,10:23.0,Defensive rebound by T. Chandler,,5,5
15,1,10:14.0,Turnover by D. Booker (bad pass),,5,5
16,1,9:58.0,,C. Paul misses 2-pt jump shot from 13 ft,5,5
17,1,9:55.0,Defensive rebound by M. Chriss,,5,5
18,1,9:43.0,M. Chriss misses 3-pt jump shot from 27 ft,,5,5
19,1,9:39.0,Offensive rebound by T. Daniels,,5,5
20,1,9:37.0,T. Daniels misses 3-pt jump shot from 23 ft,,5,5
21,1,9:35.0,,Defensive rebound by C. Capela,5,5
22,1,9:27.0,,Shooting foul by M. Chriss (drawn by L. Mbah a Moute),5,5
23,1,9:27.0,,L. Mbah a Moute misses free throw 1 of 2,5,5
24,1,9:27.0,,Offensive rebound by Team,5,5
25,1,9:27.0,D. Bender enters the game for M. Chriss,,5,5
26,1,9:27.0,,L. Mbah a Moute makes free throw 2 of 2,5,6
27,1,9:09.0,Turnover by T. Chandler (lost ball; steal by C. Capela),,5,6
28,1,9:05.0,,Turnover by L. Mbah a Moute (out of bounds lost ball),5,6
29,1,8:50.0,Turnover by D. Bender (bad pass; steal by J. Harden),,5,6
30,1,8:45.0,,L. Mbah a Moute makes 2-pt layup from 3 ft (assist by J. Harden),5,8
31,1,8:24.0,D. Bender misses 3-pt jump shot from 25 ft,,5,8
32,1,8:22.0,,Defensive rebound by C. Capela,5,8
33,1,7:59.0,,C. Paul makes 2-pt jump shot from 14 ft,5,10
34,1,7:39.0,D. Bender misses 2-pt layup from 3 ft,,5,10
35,1,7:38.0,Offensive rebound by T. Chandler,,5,10
36,1,7:38.0,T. Chandler makes 2-pt dunk at rim,,7,10
37,1,7:32.0,,Shooting foul by T. Daniels (drawn by C. Capela),7,10
38,1,7:32.0,,C. Capela makes free throw 1 of 2,7,11
39,1,7:32.0,,C. Capela makes free throw 2 of 2,7,12
40,1,7:18.0,,E. Gordon enters the game for C. Paul,7,12
41,1,7:12.0,Personal foul by R. Anderson (drawn by T. Chandler),,7,12
42,1,7:02.0,T. Warren misses 3-pt jump shot from 27 ft,,7,12
43,1,6:55.0,Offensive rebound by T. Chandler,,7,12
44,1,6:55.0,T. Chandler misses 2-pt layup at rim,,7,12
45,1,6:55.0,,Defensive rebound by C. Capela,7,12
46,1,6:49.0,,Personal foul by D. Booker (drawn by J. Harden),7,12
47,1,6:49.0,,Houston full timeout,7,12
48,1,6:49.0,,P. Tucker enters the game for R. Anderson,7,12
49,1,6:49.0,,J. Harden makes free throw 1 of 2,7,13
50,1,6:49.0,,J. Harden misses free throw 2 of 2,7,13
51,1,6:47.0,Defensive rebound by D. Bender,,7,13
52,1,6:27.0,Turnover by T. Warren (traveling),,7,13
53,1,6:13.0,,E. Gordon misses 3-pt jump shot from 26 ft,7,13
54,1,6:10.0,Defensive rebound by D. Booker,,7,13
55,1,6:02.0,T. Chandler makes 2-pt dunk from 1 ft (assist by D. Booker),,9,13
56,1,5:53.0,,Personal foul by T. Daniels (drawn by E. Gordon),9,13
57,1,5:53.0,,E. Gordon makes free throw 1 of 2,9,14
58,1,5:53.0,,N. Hilário enters the game for C. Capela,9,14
59,1,5:53.0,G. Monroe enters the game for T. Chandler,,9,14
60,1,5:53.0,I. Canaan enters the game for T. Daniels,,9,14
61,1,5:53.0,,E. Gordon misses free throw 2 of 2,9,14
62,1,5:51.0,Defensive rebound by D. Bender,,9,14
63,1,5:33.0,G. Monroe makes 2-pt hook shot from 4 ft (assist by D. Booker),,11,14
64,1,5:25.0,,Turnover by J. Harden (bad pass; steal by D. Bender),11,14
65,1,5:19.0,D. Booker misses 3-pt jump shot from 28 ft,,11,14
66,1,5:16.0,,Defensive rebound by J. Harden,11,14
67,1,5:08.0,,Turnover by J. Harden (bad pass; steal by D. Bender),11,14
68,1,5:04.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),,13,14
69,1,4:41.0,,N. Hilário makes 2-pt jump shot from 17 ft,13,16
70,1,4:24.0,T. Warren misses 2-pt jump shot from 11 ft,,13,16
71,1,4:22.0,,Defensive rebound by P. Tucker,13,16
72,1,4:12.0,,J. Harden makes 3-pt jump shot from 25 ft,13,19
73,1,3:42.0,I. Canaan makes 2-pt jump shot from 9 ft (assist by T. Warren),,15,19
74,1,3:32.0,,Shooting foul by I. Canaan (drawn by E. Gordon),15,19
75,1,3:32.0,,E. Gordon makes free throw 1 of 2,15,20
76,1,3:32.0,,C. Paul enters the game for J. Harden,15,20
77,1,3:32.0,J. Jackson enters the game for T. Warren,,15,20
78,1,3:32.0,,E. Gordon makes free throw 2 of 2,15,21
79,1,3:15.0,D. Bender makes 3-pt jump shot from 27 ft (assist by I. Canaan),,18,21
80,1,2:58.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by E. Gordon),18,24
81,1,2:33.0,G. Monroe makes 2-pt hook shot from 6 ft,,20,24
82,1,2:24.0,,Turnover by L. Mbah a Moute (lost ball; steal by G. Monroe),20,24
83,1,2:19.0,I. Canaan misses 3-pt jump shot from 26 ft,,20,24
84,1,2:15.0,,Defensive rebound by C. Paul,20,24
85,1,2:04.0,,N. Hilário misses 2-pt jump shot from 12 ft,20,24
