,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
0,1,11:44.0,,E. İlyasova misses 3-pt jump shot from 24 ft,0,0
1,1,11:41.0,Defensive rebound by K. Towns,,0,0
2,1,11:28.0,A. Wiggins makes 2-pt dunk at rim (assist by T. Gibson),,2,0
3,1,11:14.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Schröder),2,2
4,1,10:58.0,T. Gibson makes 2-pt jump shot from 20 ft (assist by J. Butler),,4,2
5,1,10:38.0,,Turnover by T. Prince (bad pass; steal by K. Towns),4,2
6,1,10:28.0,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Teague),,6,2
7,1,10:11.0,,E. İlyasova makes 2-pt jump shot from 19 ft (assist by D. Schröder),6,4
8,1,9:48.0,,Offensive charge foul by K. Towns (drawn by E. İlyasova),6,4
9,1,9:48.0,Turnover by K. Towns (offensive foul),,6,4
10,1,9:35.0,,D. Schröder misses 2-pt jump shot from 17 ft,6,4
11,1,9:28.0,,Offensive rebound by M. Plumlee,6,4
12,1,9:28.0,,M. Plumlee makes 2-pt dunk at rim,6,6
13,1,9:17.0,J. Butler misses 2-pt jump shot from 14 ft,,6,6
14,1,9:14.0,,Defensive rebound by T. Prince,6,6
15,1,9:03.0,,Turnover by K. Bazemore (lost ball; steal by T. Gibson),6,6
16,1,8:59.0,T. Gibson makes 2-pt layup at rim (assist by J. Teague),,8,6
17,1,8:36.0,,Turnover by D. Schröder (bad pass; steal by K. Towns),8,6
18,1,8:32.0,J. Teague misses 2-pt dunk at rim (block by K. Bazemore),,8,6
19,1,8:31.0,Offensive rebound by J. Butler,,8,6
20,1,8:31.0,Shooting foul by E. İlyasova (drawn by J. Butler),,8,6
21,1,8:31.0,J. Butler makes free throw 1 of 2,,9,6
22,1,8:31.0,J. Butler makes free throw 2 of 2,,10,6
23,1,8:20.0,,D. Schröder misses 2-pt layup from 3 ft,10,6
24,1,8:14.0,,Offensive rebound by M. Plumlee,10,6
25,1,8:14.0,,M. Plumlee makes 2-pt layup at rim,10,8
26,1,7:54.0,J. Butler makes 2-pt jump shot from 15 ft,,12,8
27,1,7:37.0,,T. Prince misses 2-pt jump shot from 11 ft,12,8
28,1,7:34.0,Defensive rebound by K. Towns,,12,8
29,1,7:30.0,J. Teague misses 3-pt jump shot from 25 ft,,12,8
30,1,7:26.0,,Defensive rebound by M. Plumlee,12,8
31,1,7:17.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by D. Schröder),12,11
32,1,7:00.0,Shooting foul by M. Plumlee (drawn by K. Towns),,12,11
33,1,7:00.0,,Atlanta full timeout,12,11
34,1,7:00.0,,M. Belinelli enters the game for T. Prince,12,11
35,1,7:00.0,K. Towns makes free throw 1 of 2,,13,11
36,1,7:00.0,K. Towns makes free throw 2 of 2,,14,11
37,1,6:44.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by K. Bazemore),14,14
38,1,6:25.0,A. Wiggins misses 2-pt jump shot from 14 ft,,14,14
39,1,6:23.0,,Defensive rebound by K. Bazemore,14,14
40,1,6:17.0,,D. Schröder makes 2-pt layup from 1 ft,14,16
41,1,5:57.0,T. Gibson misses 2-pt jump shot from 17 ft,,14,16
42,1,5:53.0,,Defensive rebound by K. Bazemore,14,16
43,1,5:45.0,,E. İlyasova misses 3-pt jump shot from 25 ft,14,16
44,1,5:42.0,Defensive rebound by J. Butler,,14,16
45,1,5:27.0,K. Towns makes 2-pt hook shot from 8 ft,,16,16
46,1,5:07.0,,Shooting foul by A. Wiggins (drawn by M. Belinelli),16,16
47,1,5:07.0,,M. Belinelli makes free throw 1 of 2,16,17
48,1,5:07.0,,D. Dedmon enters the game for M. Plumlee,16,17
49,1,5:07.0,,T. Prince enters the game for K. Bazemore,16,17
50,1,5:07.0,G. Dieng enters the game for K. Towns,,16,17
51,1,5:07.0,,J. Collins enters the game for E. İlyasova,16,17
52,1,5:07.0,,M. Belinelli makes free throw 2 of 2,16,18
53,1,5:01.0,J. Teague misses 3-pt jump shot from 24 ft,,16,18
54,1,4:59.0,,Defensive rebound by D. Dedmon,16,18
55,1,4:47.0,,Turnover by D. Schröder (bad pass; steal by A. Wiggins),16,18
56,1,4:43.0,A. Wiggins misses 2-pt layup at rim (block by D. Schröder),,16,18
57,1,4:43.0,Offensive rebound by Team,,16,18
58,1,4:29.0,A. Wiggins makes 2-pt hook shot from 13 ft,,18,18
59,1,4:18.0,,D. Schröder misses 2-pt jump shot from 14 ft,18,18
60,1,4:16.0,,Offensive rebound by J. Collins,18,18
61,1,4:15.0,,Turnover by J. Collins (bad pass; steal by J. Butler),18,18
62,1,4:09.0,G. Dieng makes 2-pt layup from 1 ft (assist by A. Wiggins),,20,18
63,1,3:54.0,,D. Dedmon makes 3-pt jump shot from 22 ft (assist by D. Schröder),20,21
64,1,3:30.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Butler),,22,21
65,1,3:30.0,Shooting foul by M. Belinelli (drawn by T. Gibson),,22,21
66,1,3:30.0,,M. Delaney enters the game for D. Schröder,22,21
67,1,3:30.0,T. Gibson makes free throw 1 of 1,,23,21
68,1,3:30.0,J. Crawford enters the game for J. Butler,,23,21
69,1,3:13.0,,J. Collins makes 2-pt layup from 1 ft (assist by M. Delaney),23,23
70,1,2:59.0,A. Wiggins makes 2-pt jump shot from 17 ft,,25,23
71,1,2:36.0,,D. Dedmon makes 2-pt jump shot from 14 ft (assist by T. Prince),25,25
72,1,2:17.0,Def 3 sec tech foul by D. Dedmon,,25,25
73,1,2:17.0,Minnesota full timeout,,25,25
74,1,2:17.0,N. Bjelica enters the game for T. Gibson,,25,25
75,1,2:17.0,J. Teague misses technical free throw,,25,25
76,1,2:17.0,Offensive rebound by Team,,25,25
