,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SACRAMENTO_ACTION,GOLDEN STATE_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,Z. Randolph misses 3-pt jump shot from 26 ft,0,0
1,1,11:33.0,Defensive rebound by D. Green,,0,0
2,1,11:28.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,3,0
3,1,11:17.0,,D. Fox misses 2-pt layup from 2 ft (block by Z. Pachulia),3,0
4,1,11:17.0,Defensive rebound by D. Green,,3,0
5,1,11:09.0,S. Curry misses 3-pt jump shot from 23 ft,,3,0
6,1,11:09.0,,Defensive rebound by W. Cauley-Stein,3,0
7,1,10:53.0,,Personal foul by Z. Pachulia (drawn by Z. Randolph),3,0
8,1,10:44.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),3,3
9,1,10:27.0,K. Durant misses 2-pt dunk at rim,,3,3
10,1,10:23.0,,Defensive rebound by J. Jackson,3,3
11,1,10:20.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Fox),3,6
12,1,10:12.0,K. Durant misses 3-pt jump shot from 23 ft,,3,6
13,1,10:08.0,,Defensive rebound by Z. Randolph,3,6
14,1,10:00.0,,Z. Randolph misses 3-pt jump shot from 25 ft,3,6
15,1,9:56.0,Defensive rebound by K. Thompson,,3,6
16,1,9:39.0,Z. Pachulia misses 2-pt jump shot from 19 ft,,3,6
17,1,9:35.0,,Defensive rebound by Z. Randolph,3,6
18,1,9:21.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Bogdanović),3,8
19,1,9:15.0,Turnover by D. Green (bad pass),,3,8
20,1,9:09.0,,Z. Randolph makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),3,10
21,1,9:09.0,Golden State full timeout,,3,10
22,1,8:54.0,K. Durant makes 2-pt jump shot from 15 ft,,5,10
23,1,8:37.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Jackson),5,13
24,1,8:24.0,Turnover by D. Green (bad pass; steal by Z. Randolph),,5,13
25,1,8:16.0,,D. Fox misses 2-pt jump shot from 9 ft,5,13
26,1,8:14.0,Defensive rebound by K. Thompson,,5,13
27,1,8:07.0,K. Thompson misses 3-pt jump shot from 25 ft,,5,13
28,1,8:03.0,,Defensive rebound by W. Cauley-Stein,5,13
29,1,7:56.0,,W. Cauley-Stein misses 2-pt layup from 1 ft,5,13
30,1,7:53.0,Defensive rebound by D. Green,,5,13
31,1,7:49.0,S. Curry misses 3-pt jump shot from 22 ft,,5,13
32,1,7:45.0,,Defensive rebound by J. Jackson,5,13
33,1,7:41.0,,J. Jackson misses 3-pt jump shot from 24 ft,5,13
34,1,7:38.0,Defensive rebound by K. Thompson,,5,13
35,1,7:33.0,S. Curry misses 3-pt jump shot from 25 ft,,5,13
36,1,7:29.0,,Defensive rebound by B. Bogdanović,5,13
37,1,7:15.0,,J. Jackson makes 2-pt jump shot from 9 ft (assist by Z. Randolph),5,15
38,1,6:57.0,S. Curry misses 2-pt layup from 3 ft,,5,15
39,1,6:54.0,,Defensive rebound by B. Bogdanović,5,15
40,1,6:44.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by D. Fox),5,18
41,1,6:25.0,D. Green makes 2-pt jump shot from 14 ft (assist by K. Durant),,7,18
42,1,6:03.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),7,20
43,1,5:56.0,Golden State full timeout,,7,20
44,1,5:56.0,K. Looney enters the game for K. Durant,,7,20
45,1,5:56.0,P. McCaw enters the game for D. Green,,7,20
46,1,5:46.0,Z. Pachulia makes 2-pt hook shot from 5 ft,,9,20
47,1,5:26.0,,Z. Randolph misses 2-pt layup from 1 ft,9,20
48,1,5:24.0,Defensive rebound by K. Looney,,9,20
49,1,5:14.0,S. Curry misses 3-pt jump shot from 22 ft,,9,20
50,1,5:10.0,Offensive rebound by Z. Pachulia,,9,20
51,1,5:08.0,Z. Pachulia misses 2-pt layup from 2 ft,,9,20
52,1,5:08.0,Offensive rebound by Z. Pachulia,,9,20
53,1,5:04.0,Z. Pachulia makes 2-pt layup at rim,,11,20
54,1,5:04.0,,Turnover by D. Fox (bad pass; steal by S. Curry),11,20
55,1,5:04.0,Personal foul by D. Fox (drawn by S. Curry),,11,20
56,1,5:04.0,,G. Temple enters the game for J. Jackson,11,20
57,1,4:55.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by P. McCaw),,14,20
58,1,4:32.0,,G. Temple misses 2-pt jump shot from 20 ft,14,20
59,1,4:31.0,Defensive rebound by Team,,14,20
60,1,4:24.0,S. Curry makes 3-pt jump shot from 27 ft,,17,20
61,1,4:16.0,,Sacramento full timeout,17,20
62,1,4:16.0,,V. Carter enters the game for D. Fox,17,20
63,1,4:16.0,,G. Hill enters the game for Z. Randolph,17,20
64,1,4:06.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),17,23
65,1,3:49.0,K. Looney misses 2-pt jump shot from 6 ft,,17,23
66,1,3:47.0,Offensive rebound by K. Looney,,17,23
67,1,3:45.0,K. Looney misses 2-pt hook shot from 3 ft,,17,23
68,1,3:45.0,Offensive rebound by Z. Pachulia,,17,23
69,1,3:41.0,Z. Pachulia makes 2-pt layup at rim,,19,23
70,1,3:27.0,N. Young enters the game for K. Thompson,,19,23
71,1,3:27.0,O. Casspi enters the game for Z. Pachulia,,19,23
72,1,3:23.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,19,23
73,1,3:21.0,Defensive rebound by K. Looney,,19,23
74,1,3:15.0,N. Young makes 3-pt jump shot from 22 ft (assist by S. Curry),,22,23
75,1,2:56.0,,Turnover by W. Cauley-Stein (lost ball; steal by P. McCaw),22,23
76,1,2:51.0,P. McCaw misses 2-pt layup from 2 ft,,22,23
77,1,2:49.0,,Defensive rebound by W. Cauley-Stein,22,23
78,1,2:45.0,,Turnover by B. Bogdanović (step out of bounds),22,23
79,1,2:45.0,,K. Koufos enters the game for W. Cauley-Stein,22,23
80,1,2:45.0,,B. Hield enters the game for B. Bogdanović,22,23
81,1,2:45.0,J. McGee enters the game for K. Looney,,22,23
82,1,2:27.0,J. McGee makes 2-pt dunk from 1 ft (assist by S. Curry),,24,23
83,1,2:12.0,,K. Koufos misses 2-pt jump shot from 9 ft,24,23
84,1,2:07.0,,Offensive rebound by K. Koufos,24,23
85,1,2:07.0,,K. Koufos makes 2-pt layup at rim,24,25
86,1,2:02.0,O. Casspi misses 2-pt jump shot from 9 ft,,24,25
87,1,1:58.0,,Defensive rebound by K. Koufos,24,25
88,1,1:52.0,,B. Hield misses 2-pt layup from 2 ft,24,25
89,1,1:52.0,Defensive rebound by J. McGee,,24,25
90,1,1:46.0,N. Young makes 3-pt jump shot from 25 ft,,27,25
91,1,1:28.0,,G. Temple misses 3-pt jump shot from 25 ft (block by J. McGee),27,25
92,1,1:28.0,,Offensive rebound by Team,27,25
93,1,1:20.0,,G. Hill misses 2-pt layup from 2 ft,27,25
94,1,1:15.0,Defensive rebound by O. Casspi,,27,25
95,1,1:15.0,Personal foul by G. Hill (drawn by S. Curry),,27,25
96,1,1:08.0,J. McGee misses 2-pt layup from 3 ft,,27,25
97,1,1:05.0,,Defensive rebound by G. Hill,27,25
98,1,1:01.0,,Personal foul by O. Casspi (drawn by V. Carter),27,25
99,1,0:49.0,,K. Koufos makes 2-pt hook shot from 8 ft (assist by V. Carter),27,27
100,1,0:40.0,S. Curry makes 2-pt layup from 3 ft,,29,27
101,1,0:30.0,,V. Carter misses 3-pt jump shot from 25 ft,29,27
102,1,0:26.0,Defensive rebound by S. Curry,,29,27
103,1,0:09.0,Turnover by S. Curry (bad pass; steal by V. Carter),,29,27
104,1,0:01.0,,Personal foul by J. McGee (drawn by G. Hill),29,27
105,1,0:01.0,,G. Hill misses free throw 1 of 2,29,27
106,1,0:01.0,,Offensive rebound by Team,29,27
107,1,0:01.0,,G. Hill misses free throw 2 of 2,29,27
108,1,0:00.0,Defensive rebound by O. Casspi,,29,27
109,2,11:44.0,Turnover by K. Durant (bad pass; steal by G. Hill),,29,27
110,2,11:44.0,,Personal foul by N. Young (drawn by G. Hill),29,27
111,2,11:22.0,,B. Hield makes 2-pt jump shot from 8 ft,29,29
112,2,11:09.0,K. Thompson misses 3-pt jump shot from 25 ft,,29,29
