,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHOENIX_ACTION,CHARLOTTE_SCORE,PHOENIX_SCORE
0,1,11:43.0,F. Kaminsky misses 2-pt jump shot from 13 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Booker,0,0
2,1,11:24.0,,D. Bender makes 2-pt layup from 3 ft,0,2
3,1,11:04.0,K. Walker makes 2-pt jump shot from 17 ft,,2,2
4,1,10:38.0,,D. Booker misses 2-pt jump shot from 15 ft,2,2
5,1,10:35.0,Defensive rebound by M. Kidd-Gilchrist,,2,2
6,1,10:30.0,K. Walker misses 3-pt jump shot from 25 ft,,2,2
7,1,10:26.0,,Defensive rebound by D. Booker,2,2
8,1,10:24.0,Offensive charge foul by J. Jackson (drawn by K. Walker),,2,2
9,1,10:24.0,,Turnover by J. Jackson (offensive foul),2,2
10,1,10:13.0,K. Walker misses 3-pt jump shot from 24 ft,,2,2
11,1,10:12.0,,Defensive rebound by T. Chandler,2,2
12,1,10:06.0,,J. Jackson makes 2-pt layup at rim (assist by D. Booker),2,4
13,1,9:50.0,N. Batum makes 2-pt jump shot from 17 ft,,4,4
14,1,9:37.0,,Personal foul by D. Howard (drawn by T. Warren),4,4
15,1,9:33.0,,D. Booker misses 2-pt layup at rim,4,4
16,1,9:31.0,Defensive rebound by D. Howard,,4,4
17,1,9:26.0,N. Batum misses 3-pt jump shot from 24 ft,,4,4
18,1,9:26.0,Offensive rebound by M. Kidd-Gilchrist,,4,4
19,1,9:10.0,N. Batum makes 2-pt jump shot from 11 ft,,6,4
20,1,8:52.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Booker),6,6
21,1,8:40.0,D. Howard makes 2-pt jump shot from 12 ft (assist by N. Batum),,8,6
22,1,8:24.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),8,9
23,1,8:13.0,Personal foul by J. Jackson (drawn by N. Batum),,8,9
24,1,8:13.0,,T. Daniels enters the game for J. Jackson,8,9
25,1,8:02.0,Shooting foul by D. Bender (drawn by F. Kaminsky),,8,9
26,1,8:02.0,F. Kaminsky makes free throw 1 of 2,,9,9
27,1,8:02.0,F. Kaminsky makes free throw 2 of 2,,10,9
28,1,7:49.0,,D. Bender makes 3-pt jump shot from 24 ft (assist by T. Daniels),10,12
29,1,7:29.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,10,12
30,1,7:26.0,,Defensive rebound by T. Chandler,10,12
31,1,7:16.0,,T. Warren misses 2-pt jump shot from 9 ft (block by D. Howard),10,12
32,1,7:15.0,,Offensive rebound by Team,10,12
33,1,7:11.0,,Offensive foul by T. Chandler (drawn by M. Kidd-Gilchrist),10,12
34,1,7:11.0,,Turnover by T. Chandler (offensive foul),10,12
35,1,6:56.0,Def 3 sec tech foul by T. Daniels,,10,12
36,1,6:56.0,,Phoenix full timeout,10,12
37,1,6:56.0,N. Batum makes technical free throw,,11,12
38,1,6:49.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,11,12
39,1,6:46.0,,Defensive rebound by T. Daniels,11,12
40,1,6:29.0,,T. Warren makes 2-pt layup from 11 ft (assist by T. Chandler),11,14
41,1,6:29.0,Violation by D. Howard (def goaltending),,11,14
42,1,6:19.0,D. Howard misses 2-pt layup at rim,,11,14
43,1,6:19.0,,Defensive rebound by T. Chandler,11,14
44,1,6:14.0,,T. Warren makes 2-pt layup from 8 ft (assist by D. Booker),11,16
45,1,6:01.0,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft,,13,16
46,1,5:42.0,,T. Warren makes 2-pt jump shot from 18 ft (assist by T. Chandler),13,18
47,1,5:28.0,N. Batum makes 2-pt jump shot from 14 ft,,15,18
48,1,5:19.0,,D. Booker makes 2-pt layup from 1 ft,15,20
49,1,5:02.0,D. Howard misses 2-pt jump shot from 13 ft,,15,20
50,1,5:00.0,,Defensive rebound by T. Chandler,15,20
51,1,4:51.0,,D. Booker misses 3-pt jump shot from 25 ft,15,20
52,1,4:47.0,Defensive rebound by D. Howard,,15,20
53,1,4:35.0,D. Howard makes 2-pt layup from 1 ft,,17,20
54,1,4:35.0,Shooting foul by D. Bender (drawn by D. Howard),,17,20
55,1,4:35.0,,J. Dudley enters the game for T. Chandler,17,20
56,1,4:35.0,,A. Len enters the game for D. Bender,17,20
57,1,4:35.0,T. Graham enters the game for F. Kaminsky,,17,20
58,1,4:35.0,D. Howard misses free throw 1 of 1,,17,20
59,1,4:32.0,,Defensive rebound by A. Len,17,20
60,1,4:22.0,,T. Daniels makes 3-pt jump shot from 31 ft (assist by J. Dudley),17,23
61,1,4:03.0,D. Howard misses 2-pt hook shot from 2 ft,,17,23
62,1,4:01.0,Offensive rebound by M. Kidd-Gilchrist,,17,23
63,1,4:00.0,N. Batum makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,20,23
64,1,3:45.0,,A. Len misses 2-pt jump shot from 20 ft,20,23
65,1,3:44.0,Defensive rebound by M. Kidd-Gilchrist,,20,23
66,1,3:39.0,M. Kidd-Gilchrist misses 2-pt jump shot from 2 ft,,20,23
67,1,3:36.0,,Defensive rebound by T. Daniels,20,23
68,1,3:30.0,,T. Daniels makes 3-pt jump shot from 25 ft (assist by A. Len),20,26
69,1,3:04.0,N. Batum misses 2-pt jump shot from 20 ft,,20,26
70,1,3:01.0,,Defensive rebound by D. Booker,20,26
71,1,2:53.0,,D. Booker misses 2-pt layup from 10 ft,20,26
72,1,2:52.0,Defensive rebound by D. Howard,,20,26
73,1,2:46.0,K. Walker misses 3-pt jump shot from 24 ft,,20,26
74,1,2:44.0,Offensive rebound by M. Kidd-Gilchrist,,20,26
75,1,2:34.0,D. Howard makes 2-pt dunk at rim (assist by N. Batum),,22,26
76,1,2:22.0,,Personal foul by T. Graham (drawn by D. Booker),22,26
77,1,2:22.0,Charlotte full timeout,,22,26
78,1,2:22.0,,T. Ulis enters the game for D. Booker,22,26
79,1,2:22.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,22,26
80,1,2:22.0,J. Lamb enters the game for K. Walker,,22,26
81,1,2:19.0,,Personal foul by J. Lamb (drawn by T. Daniels),22,26
82,1,2:10.0,,T. Daniels makes 3-pt jump shot from 23 ft (assist by T. Ulis),22,29
83,1,1:47.0,J. Lamb misses 3-pt jump shot from 24 ft,,22,29
84,1,1:43.0,,Defensive rebound by A. Len,22,29
85,1,1:37.0,,T. Daniels misses 3-pt jump shot from 25 ft,22,29
86,1,1:33.0,Defensive rebound by J. Lamb,,22,29
87,1,1:24.0,Turnover by N. Batum (bad pass),,22,29
88,1,1:24.0,C. Zeller enters the game for D. Howard,,22,29
89,1,1:03.0,,T. Ulis makes 2-pt jump shot from 19 ft,22,31
90,1,0:42.0,N. Batum makes 3-pt jump shot from 25 ft,,25,31
91,1,0:27.0,,T. Ulis misses 3-pt jump shot from 25 ft,25,31
92,1,0:23.0,Defensive rebound by C. Zeller,,25,31
93,1,0:07.0,Offensive foul by C. Zeller (drawn by T. Warren),,25,31
94,1,0:07.0,Turnover by C. Zeller (offensive foul),,25,31
95,1,0:02.0,,Turnover by T. Daniels (step out of bounds),25,31
96,1,0:01.0,J. Lamb misses 3-pt jump shot from 48 ft,,25,31
97,1,0:00.0,Offensive rebound by Team,,25,31
98,2,11:45.0,,A. Len makes 2-pt dunk at rim (assist by T. Ulis),25,33
99,2,11:18.0,J. Lamb misses 3-pt jump shot from 25 ft,,25,33
100,2,11:16.0,Offensive rebound by F. Kaminsky,,25,33
101,2,11:16.0,,Loose ball foul by A. Len (drawn by F. Kaminsky),25,33
102,2,11:08.0,Personal foul by T. Ulis (drawn by M. Carter-Williams),,25,33
103,2,11:01.0,Shooting foul by A. Len (drawn by J. Lamb),,25,33
104,2,11:01.0,J. Lamb makes free throw 1 of 2,,26,33
105,2,11:01.0,J. Lamb makes free throw 2 of 2,,27,33
106,2,10:54.0,,T. Daniels misses 3-pt jump shot from 27 ft,27,33
107,2,10:51.0,Defensive rebound by M. Carter-Williams,,27,33
108,2,10:41.0,Personal foul by T. Ulis (drawn by J. Lamb),,27,33
109,2,10:26.0,M. Carter-Williams misses 2-pt jump shot from 20 ft,,27,33
110,2,10:24.0,Offensive rebound by Team,,27,33
111,2,10:24.0,,Loose ball foul by A. Len (drawn by C. Zeller),27,33
112,2,10:24.0,C. Zeller makes free throw 1 of 2,,28,33
113,2,10:24.0,,T. Chandler enters the game for A. Len,28,33
114,2,10:24.0,C. Zeller makes free throw 2 of 2,,29,33
115,2,10:12.0,,Personal foul by C. Zeller (drawn by T. Ulis),29,33
116,2,10:08.0,,D. House makes 2-pt dunk at rim (assist by J. Dudley),29,35
117,2,10:08.0,,Shooting foul by C. Zeller (drawn by D. House),29,35
118,2,10:08.0,D. Howard enters the game for C. Zeller,,29,35
119,2,10:08.0,,D. House makes free throw 1 of 1,29,36
120,2,9:46.0,J. Lamb makes 3-pt jump shot from 28 ft (assist by M. Carter-Williams),,32,36
121,2,9:37.0,,T. Chandler makes 2-pt dunk at rim (assist by T. Ulis),32,38
122,2,9:37.0,,Shooting foul by F. Kaminsky (drawn by T. Chandler),32,38
123,2,9:37.0,Charlotte full timeout,,32,38
124,2,9:37.0,,T. Chandler makes free throw 1 of 1,32,39
125,2,9:20.0,D. Howard misses 2-pt hook shot from 7 ft,,32,39
126,2,9:18.0,,Defensive rebound by D. House,32,39
127,2,9:01.0,,T. Daniels misses 3-pt jump shot from 26 ft (block by J. Lamb),32,39
128,2,8:56.0,Defensive rebound by D. Howard,,32,39
129,2,8:48.0,D. Howard makes 2-pt jump shot from 18 ft (assist by J. Lamb),,34,39
130,2,8:28.0,,T. Daniels misses 2-pt layup at rim,34,39
131,2,8:27.0,Defensive rebound by F. Kaminsky,,34,39
132,2,8:19.0,D. Howard misses 2-pt jump shot from 16 ft,,34,39
133,2,8:15.0,,Defensive rebound by D. House,34,39
134,2,7:58.0,,T. Ulis misses 2-pt jump shot from 12 ft (block by D. Howard),34,39
135,2,7:55.0,Defensive rebound by D. Howard,,34,39
136,2,7:49.0,F. Kaminsky misses 2-pt layup from 1 ft (block by D. House),,34,39
137,2,7:47.0,Offensive rebound by D. Howard,,34,39
138,2,7:46.0,D. Howard makes 2-pt layup at rim,,36,39
139,2,7:22.0,,T. Ulis misses 2-pt jump shot from 13 ft,36,39
140,2,7:19.0,Defensive rebound by D. Howard,,36,39
141,2,7:11.0,Turnover by J. Lamb (step out of bounds),,36,39
142,2,7:11.0,,D. Booker enters the game for T. Ulis,36,39
143,2,7:11.0,,J. Jackson enters the game for D. House,36,39
144,2,7:11.0,,T. Warren enters the game for T. Daniels,36,39
145,2,7:11.0,K. Walker enters the game for M. Kidd-Gilchrist,,36,39
146,2,7:00.0,,T. Warren misses 2-pt jump shot from 9 ft (block by J. Lamb),36,39
147,2,6:59.0,,Offensive rebound by T. Chandler,36,39
148,2,6:55.0,,D. Booker misses 2-pt jump shot from 12 ft (block by D. Howard),36,39
149,2,6:53.0,Defensive rebound by F. Kaminsky,,36,39
150,2,6:46.0,Turnover by F. Kaminsky (bad pass; steal by T. Warren),,36,39
