,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:37.0,,L. Markkanen makes 2-pt jump shot from 17 ft,0,2
1,1,11:14.0,M. Hezonja misses 2-pt layup from 1 ft,,0,2
2,1,11:12.0,,Defensive rebound by Z. LaVine,0,2
3,1,11:08.0,,Z. LaVine misses 2-pt layup at rim (block by B. Biyombo),0,2
4,1,11:08.0,Defensive rebound by E. Fournier,,0,2
5,1,10:50.0,M. Hezonja misses 2-pt jump shot from 9 ft,,0,2
6,1,10:48.0,,Defensive rebound by Z. LaVine,0,2
7,1,10:33.0,,L. Markkanen misses 3-pt jump shot from 25 ft,0,2
8,1,10:30.0,Defensive rebound by M. Hezonja,,0,2
9,1,10:18.0,B. Biyombo makes 2-pt layup from 2 ft,,2,2
10,1,10:06.0,,L. Markkanen misses 3-pt jump shot from 26 ft,2,2
11,1,10:04.0,Defensive rebound by D. Augustin,,2,2
12,1,9:57.0,Shooting foul by R. Lopez (drawn by D. Augustin),,2,2
13,1,9:57.0,D. Augustin makes free throw 1 of 2,,3,2
14,1,9:57.0,D. Augustin makes free throw 2 of 2,,4,2
15,1,9:37.0,,J. Grant makes 2-pt jump shot from 19 ft,4,4
16,1,9:14.0,Turnover by Team (shot clock),,4,4
17,1,9:03.0,,Z. LaVine misses 3-pt jump shot from 24 ft,4,4
18,1,9:00.0,Defensive rebound by D. Augustin,,4,4
19,1,8:53.0,D. Augustin misses 2-pt jump shot from 14 ft,,4,4
20,1,8:50.0,,Defensive rebound by J. Holiday,4,4
21,1,8:46.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by J. Grant),4,6
22,1,8:27.0,J. Simmons misses 2-pt jump shot from 15 ft,,4,6
23,1,8:23.0,,Defensive rebound by J. Grant,4,6
24,1,8:16.0,,Turnover by J. Holiday (bad pass; steal by M. Hezonja),4,6
25,1,8:15.0,,Violation by J. Grant (kicked ball),4,6
26,1,8:02.0,D. Augustin misses 3-pt jump shot from 23 ft,,4,6
27,1,7:59.0,,Defensive rebound by J. Holiday,4,6
28,1,7:54.0,,J. Holiday misses 2-pt jump shot from 17 ft,4,6
29,1,7:48.0,Defensive rebound by M. Hezonja,,4,6
30,1,7:45.0,M. Hezonja misses 2-pt layup from 1 ft (block by L. Markkanen),,4,6
31,1,7:41.0,,Defensive rebound by J. Grant,4,6
32,1,7:37.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by J. Holiday),4,8
33,1,7:21.0,Turnover by D. Augustin (bad pass; steal by R. Lopez),,4,8
34,1,7:19.0,,Turnover by J. Grant (turnover),4,8
35,1,7:09.0,E. Fournier makes 2-pt jump shot from 3 ft,,6,8
36,1,6:58.0,,Z. LaVine misses 2-pt layup from 5 ft (block by M. Hezonja),6,8
37,1,6:55.0,Defensive rebound by B. Biyombo,,6,8
38,1,6:53.0,E. Fournier makes 2-pt layup from 2 ft (assist by J. Simmons),,8,8
39,1,6:44.0,,Personal foul by E. Fournier (drawn by R. Lopez),8,8
40,1,6:44.0,,Chicago full timeout,8,8
41,1,6:36.0,,Turnover by Z. LaVine (lost ball; steal by J. Simmons),8,8
42,1,6:28.0,B. Biyombo makes 2-pt jump shot from 14 ft (assist by E. Fournier),,10,8
43,1,6:10.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by Z. LaVine),10,11
44,1,5:59.0,Turnover by D. Augustin (bad pass; steal by J. Grant),,10,11
45,1,5:56.0,,J. Grant makes 2-pt layup from 1 ft,10,13
46,1,5:56.0,,Shooting foul by M. Hezonja (drawn by J. Grant),10,13
47,1,5:56.0,,J. Grant misses free throw 1 of 1,10,13
48,1,5:53.0,Defensive rebound by B. Biyombo,,10,13
49,1,5:33.0,M. Hezonja makes 2-pt jump shot from 19 ft (assist by E. Fournier),,12,13
50,1,5:14.0,,L. Markkanen makes 2-pt hook shot from 5 ft (assist by J. Holiday),12,15
51,1,5:02.0,M. Hezonja makes 3-pt jump shot from 25 ft (assist by J. Simmons),,15,15
52,1,4:42.0,,L. Markkanen makes 2-pt hook shot from 8 ft,15,17
53,1,4:30.0,B. Biyombo makes 2-pt jump shot from 7 ft (assist by D. Augustin),,17,17
54,1,4:17.0,,Shooting foul by B. Biyombo (drawn by J. Holiday),17,17
55,1,4:17.0,,J. Holiday misses free throw 1 of 2,17,17
56,1,4:17.0,,Offensive rebound by Team,17,17
57,1,4:17.0,W. Iwundu enters the game for J. Simmons,,17,17
58,1,4:17.0,,J. Holiday makes free throw 2 of 2,17,18
59,1,3:53.0,M. Hezonja makes 2-pt layup from 1 ft (assist by D. Augustin),,19,18
60,1,3:33.0,,R. Lopez misses 2-pt hook shot from 6 ft,19,18
61,1,3:33.0,Defensive rebound by M. Hezonja,,19,18
62,1,3:21.0,,B. Portis enters the game for L. Markkanen,19,18
63,1,3:21.0,M. Speights enters the game for B. Biyombo,,19,18
64,1,3:21.0,S. Mack enters the game for D. Augustin,,19,18
65,1,3:21.0,,D. Valentine enters the game for Z. LaVine,19,18
66,1,3:13.0,E. Fournier makes 2-pt jump shot from 21 ft (assist by M. Speights),,21,18
67,1,3:04.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by J. Grant),21,21
