,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHARLOTTE_ACTION,PHOENIX_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,T. Daniels misses 3-pt jump shot from 26 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Walker,0,0
2,1,11:32.0,,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by K. Walker),0,2
3,1,11:08.0,T. Chandler makes 2-pt dunk from 2 ft (assist by S. Harrison),,2,2
4,1,10:45.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),2,5
5,1,10:28.0,Turnover by E. Payton (bad pass; steal by N. Batum),,2,5
6,1,10:21.0,,Turnover by M. Kidd-Gilchrist (bad pass; steal by T. Daniels),2,5
7,1,10:09.0,Turnover by S. Harrison (bad pass),,2,5
8,1,9:53.0,,D. Howard makes 2-pt hook shot from 7 ft,2,7
9,1,9:36.0,S. Harrison misses 2-pt layup from 1 ft,,2,7
10,1,9:33.0,,Defensive rebound by D. Howard,2,7
11,1,9:23.0,,N. Batum misses 2-pt jump shot from 12 ft,2,7
12,1,9:20.0,Defensive rebound by E. Payton,,2,7
13,1,9:10.0,T. Chandler makes 2-pt layup from 2 ft (assist by E. Payton),,4,7
14,1,8:53.0,,Turnover by M. Williams (out of bounds lost ball),4,7
15,1,8:53.0,,Loose ball foul by M. Williams (drawn by E. Payton),4,7
16,1,8:34.0,Turnover by S. Harrison (bad pass; steal by D. Howard),,4,7
17,1,8:21.0,,N. Batum misses 2-pt jump shot from 11 ft,4,7
18,1,8:18.0,Defensive rebound by T. Daniels,,4,7
19,1,8:00.0,T. Daniels misses 3-pt jump shot from 23 ft,,4,7
20,1,7:57.0,,Defensive rebound by D. Howard,4,7
21,1,7:54.0,,Turnover by D. Howard (lost ball; steal by S. Harrison),4,7
22,1,7:51.0,S. Harrison misses 2-pt layup from 1 ft (block by M. Williams),,4,7
23,1,7:51.0,Offensive rebound by Team,,4,7
24,1,7:46.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by D. Bender),,7,7
25,1,7:25.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),7,10
26,1,7:13.0,E. Payton misses 2-pt layup at rim,,7,10
27,1,7:11.0,,Defensive rebound by D. Howard,7,10
28,1,7:00.0,,K. Walker misses 3-pt jump shot from 25 ft,7,10
29,1,6:57.0,Defensive rebound by T. Daniels,,7,10
30,1,6:45.0,E. Payton makes 2-pt jump shot from 2 ft (assist by S. Harrison),,9,10
31,1,6:32.0,,K. Walker makes 3-pt jump shot from 29 ft (assist by N. Batum),9,13
32,1,6:19.0,T. Daniels misses 2-pt jump shot from 15 ft,,9,13
33,1,6:16.0,,Defensive rebound by M. Kidd-Gilchrist,9,13
34,1,6:10.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,9,13
35,1,6:06.0,,Offensive rebound by M. Kidd-Gilchrist,9,13
36,1,6:06.0,,M. Kidd-Gilchrist makes 2-pt layup at rim,9,15
37,1,6:06.0,Phoenix full timeout,,9,15
38,1,6:06.0,A. Len enters the game for T. Chandler,,9,15
39,1,6:06.0,D. Reed enters the game for S. Harrison,,9,15
40,1,5:47.0,Shooting foul by N. Batum (drawn by A. Len),,9,15
41,1,5:47.0,A. Len misses free throw 1 of 2,,9,15
42,1,5:47.0,Offensive rebound by Team,,9,15
43,1,5:47.0,A. Len makes free throw 2 of 2,,10,15
44,1,5:30.0,,D. Howard makes 2-pt hook shot from 7 ft,10,17
45,1,5:13.0,A. Len misses 2-pt jump shot from 18 ft,,10,17
46,1,5:10.0,,Defensive rebound by D. Howard,10,17
47,1,5:04.0,,N. Batum makes 2-pt layup from 1 ft,10,19
48,1,4:54.0,D. Reed misses 2-pt jump shot from 17 ft,,10,19
49,1,4:51.0,,Defensive rebound by N. Batum,10,19
50,1,4:43.0,,D. Howard makes 2-pt jump shot from 20 ft (assist by N. Batum),10,21
51,1,4:27.0,E. Payton misses 2-pt layup from 5 ft,,10,21
52,1,4:24.0,,Defensive rebound by K. Walker,10,21
53,1,4:21.0,,K. Walker misses 3-pt jump shot from 25 ft,10,21
54,1,4:18.0,Defensive rebound by D. Bender,,10,21
55,1,4:14.0,A. Len misses 2-pt hook shot from 3 ft,,10,21
56,1,4:14.0,Offensive rebound by A. Len,,10,21
57,1,4:14.0,Shooting foul by N. Batum (drawn by A. Len),,10,21
58,1,4:14.0,A. Len makes free throw 1 of 2,,11,21
59,1,4:14.0,M. Chriss enters the game for D. Bender,,11,21
60,1,4:14.0,A. Len makes free throw 2 of 2,,12,21
61,1,4:14.0,,J. Lamb enters the game for N. Batum,12,21
62,1,4:01.0,,Personal foul by T. Daniels (drawn by K. Walker),12,21
63,1,3:54.0,,D. Howard misses 2-pt hook shot from 8 ft,12,21
64,1,3:53.0,,Offensive rebound by Team,12,21
65,1,3:53.0,,F. Kaminsky enters the game for M. Williams,12,21
66,1,3:40.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,12,23
67,1,3:22.0,Turnover by A. Len (bad pass; steal by M. Kidd-Gilchrist),,12,23
68,1,3:18.0,,Personal foul by A. Len (drawn by D. Howard),12,23
69,1,3:12.0,,D. Howard makes 2-pt dunk from 1 ft (assist by F. Kaminsky),12,25
70,1,2:55.0,D. Reed misses 2-pt jump shot from 13 ft,,12,25
71,1,2:50.0,,Defensive rebound by D. Howard,12,25
72,1,2:41.0,,D. Howard makes 2-pt dunk from 1 ft (assist by J. Lamb),12,27
73,1,2:41.0,Phoenix full timeout,,12,27
74,1,2:41.0,,D. Bacon enters the game for M. Kidd-Gilchrist,12,27
75,1,2:41.0,T. Chandler enters the game for E. Payton,,12,27
76,1,2:41.0,T. Ulis enters the game for A. Len,,12,27
77,1,2:41.0,S. Harrison enters the game for T. Daniels,,12,27
78,1,2:25.0,T. Ulis makes 3-pt jump shot from 26 ft,,15,27
79,1,2:08.0,,Turnover by F. Kaminsky (bad pass; steal by D. Reed),15,27
80,1,2:02.0,S. Harrison makes 2-pt layup from 1 ft (assist by T. Ulis),,17,27
81,1,2:02.0,Shooting foul by F. Kaminsky (drawn by S. Harrison),,17,27
82,1,2:02.0,,T. Graham enters the game for D. Howard,17,27
83,1,2:02.0,,M. Monk enters the game for K. Walker,17,27
84,1,2:02.0,S. Harrison misses free throw 1 of 1,,17,27
85,1,1:59.0,,Defensive rebound by F. Kaminsky,17,27
86,1,1:44.0,,M. Monk makes 2-pt jump shot from 21 ft,17,29
87,1,1:32.0,M. Chriss misses 3-pt jump shot from 26 ft,,17,29
88,1,1:27.0,,Defensive rebound by D. Bacon,17,29
89,1,1:19.0,,J. Lamb misses 2-pt layup from 1 ft,17,29
90,1,1:17.0,Defensive rebound by D. Reed,,17,29
91,1,1:13.0,T. Ulis makes 2-pt jump shot from 14 ft,,19,29
92,1,0:57.0,,J. Lamb makes 3-pt jump shot from 23 ft (assist by M. Monk),19,32
93,1,0:52.0,J. Dudley enters the game for T. Chandler,,19,32
94,1,0:40.0,S. Harrison makes 3-pt jump shot from 23 ft (assist by T. Ulis),,22,32
95,1,0:26.0,,J. Lamb misses 3-pt jump shot from 25 ft,22,32
96,1,0:24.0,Defensive rebound by S. Harrison,,22,32
97,1,0:06.0,D. Reed makes 3-pt jump shot from 26 ft (assist by T. Ulis),,25,32
98,1,0:02.0,,Personal foul by M. Chriss (drawn by M. Monk),25,32
99,1,0:00.0,,M. Monk misses 3-pt jump shot from 33 ft,25,32
100,1,0:00.0,,Offensive rebound by Team,25,32
101,2,11:46.0,,M. Monk misses 3-pt jump shot from 24 ft,25,32
102,2,11:43.0,Defensive rebound by M. Chriss,,25,32
103,2,11:38.0,Turnover by T. Ulis (lost ball; steal by T. Graham),,25,32
104,2,11:23.0,,F. Kaminsky misses 2-pt layup from 7 ft,25,32
105,2,11:23.0,,Offensive rebound by F. Kaminsky,25,32
106,2,11:21.0,,F. Kaminsky misses 2-pt layup from 2 ft (block by S. Harrison),25,32
107,2,11:20.0,Defensive rebound by Team,,25,32
108,2,11:09.0,Personal foul by M. Monk (drawn by J. Dudley),,25,32
109,2,11:01.0,M. Chriss makes 2-pt layup from 1 ft (assist by D. Reed),,27,32
110,2,10:47.0,,Turnover by J. Lamb (lost ball; steal by T. Ulis),27,32
111,2,10:45.0,Turnover by D. Reed (bad pass; steal by T. Graham),,27,32
112,2,10:32.0,,T. Graham misses 2-pt layup from 2 ft (block by J. Dudley),27,32
113,2,10:28.0,Defensive rebound by J. Dudley,,27,32
114,2,10:20.0,T. Ulis misses 2-pt layup from 1 ft,,27,32
115,2,10:20.0,,Defensive rebound by F. Kaminsky,27,32
116,2,10:09.0,,Personal foul by T. Ulis (drawn by F. Kaminsky),27,32
117,2,10:09.0,T. Daniels enters the game for M. Chriss,,27,32
118,2,10:09.0,D. Bender enters the game for D. Reed,,27,32
119,2,9:56.0,,Turnover by F. Kaminsky (bad pass; steal by S. Harrison),27,32
120,2,9:53.0,S. Harrison misses 2-pt layup from 2 ft,,27,32
121,2,9:51.0,,Defensive rebound by T. Graham,27,32
122,2,9:51.0,,Personal foul by J. Dudley (drawn by M. Monk),27,32
123,2,9:51.0,E. Payton enters the game for T. Ulis,,27,32
124,2,9:43.0,,Personal foul by E. Payton (drawn by F. Kaminsky),27,32
125,2,9:37.0,,Turnover by J. Lamb (bad pass; steal by J. Dudley),27,32
126,2,9:35.0,S. Harrison makes 2-pt layup from 1 ft (assist by T. Daniels),,29,32
127,2,9:35.0,,Charlotte full timeout,29,32
128,2,9:20.0,,F. Kaminsky misses 2-pt layup from 9 ft,29,32
129,2,9:18.0,Defensive rebound by J. Dudley,,29,32
130,2,9:09.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by S. Harrison),,32,32
131,2,8:45.0,,J. Lamb makes 3-pt jump shot from 23 ft,32,35
132,2,8:28.0,,K. Walker enters the game for M. Monk,32,35
133,2,8:28.0,,N. Batum enters the game for J. Lamb,32,35
134,2,8:27.0,Turnover by Team (turnover),,32,35
135,2,8:13.0,,N. Batum misses 2-pt jump shot from 11 ft,32,35
136,2,8:11.0,Defensive rebound by S. Harrison,,32,35
137,2,8:04.0,S. Harrison misses 2-pt layup from 2 ft (block by F. Kaminsky),,32,35
138,2,8:04.0,,Defensive rebound by T. Graham,32,35
139,2,7:58.0,,K. Walker makes 2-pt jump shot from 11 ft (assist by T. Graham),32,37
140,2,7:43.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by T. Daniels),,35,37
141,2,7:24.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by N. Batum),35,39
142,2,7:16.0,T. Daniels misses 3-pt jump shot from 31 ft,,35,39
143,2,7:12.0,,Defensive rebound by N. Batum,35,39
144,2,6:55.0,,N. Batum makes 2-pt dunk at rim (assist by K. Walker),35,41
145,2,6:40.0,T. Daniels misses 2-pt jump shot from 12 ft,,35,41
146,2,6:38.0,,Defensive rebound by N. Batum,35,41
147,2,6:33.0,,F. Kaminsky misses 2-pt layup from 1 ft,35,41
148,2,6:31.0,Defensive rebound by J. Dudley,,35,41
149,2,6:19.0,D. Bender misses 2-pt layup from 2 ft,,35,41
150,2,6:18.0,Offensive rebound by E. Payton,,35,41
151,2,6:18.0,E. Payton misses 2-pt dunk at rim,,35,41
152,2,6:18.0,,Defensive rebound by Team,35,41
153,2,6:18.0,,M. Williams enters the game for D. Bacon,35,41
154,2,6:18.0,,M. Kidd-Gilchrist enters the game for T. Graham,35,41
155,2,6:18.0,,D. Howard enters the game for F. Kaminsky,35,41
156,2,6:18.0,T. Chandler enters the game for J. Dudley,,35,41
157,2,6:18.0,M. Chriss enters the game for S. Harrison,,35,41
158,2,6:04.0,,N. Batum misses 2-pt jump shot from 11 ft,35,41
159,2,6:01.0,Defensive rebound by E. Payton,,35,41
160,2,5:55.0,T. Chandler makes 2-pt layup from 1 ft (assist by E. Payton),,37,41
161,2,5:30.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 13 ft,37,41
162,2,5:28.0,Defensive rebound by M. Chriss,,37,41
163,2,5:21.0,E. Payton makes 2-pt layup from 1 ft,,39,41
164,2,5:01.0,,Shooting foul by T. Chandler (drawn by D. Howard),39,41
165,2,5:01.0,,D. Howard makes free throw 1 of 2,39,42
166,2,5:01.0,,D. Howard makes free throw 2 of 2,39,43
167,2,4:45.0,Turnover by T. Daniels (bad pass; steal by M. Kidd-Gilchrist),,39,43
168,2,4:42.0,,Turnover by M. Kidd-Gilchrist (turnover; steal by E. Payton),39,43
169,2,4:30.0,E. Payton misses 2-pt layup from 3 ft,,39,43
170,2,4:26.0,Offensive rebound by M. Chriss,,39,43
171,2,4:26.0,M. Chriss misses 2-pt layup from 2 ft (block by D. Howard),,39,43
172,2,4:26.0,,Defensive rebound by D. Howard,39,43
173,2,4:26.0,,Personal foul by E. Payton (drawn by D. Howard),39,43
174,2,4:26.0,,D. Howard makes free throw 1 of 2,39,44
175,2,4:26.0,,D. Howard misses free throw 2 of 2,39,44
176,2,4:24.0,Defensive rebound by M. Chriss,,39,44
177,2,4:10.0,E. Payton misses 2-pt layup from 4 ft (block by D. Howard),,39,44
178,2,4:07.0,,Defensive rebound by M. Kidd-Gilchrist,39,44
179,2,4:02.0,,M. Williams misses 3-pt jump shot from 22 ft,39,44
180,2,4:01.0,,Offensive rebound by Team,39,44
181,2,3:54.0,,D. Howard makes 2-pt hook shot from 6 ft,39,46
182,2,3:54.0,Phoenix full timeout,,39,46
183,2,3:54.0,T. Ulis enters the game for T. Daniels,,39,46
184,2,3:31.0,Turnover by E. Payton (bad pass; steal by K. Walker),,39,46
185,2,3:26.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by D. Bender),39,46
186,2,3:26.0,,Offensive rebound by Team,39,46
187,2,3:23.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),39,49
188,2,3:14.0,Shooting foul by K. Walker (drawn by T. Chandler),,39,49
189,2,3:14.0,T. Chandler makes free throw 1 of 2,,40,49
190,2,3:14.0,T. Chandler misses free throw 2 of 2,,40,49
191,2,3:11.0,,Defensive rebound by M. Williams,40,49
192,2,3:00.0,,M. Williams misses 3-pt jump shot from 24 ft,40,49
193,2,2:56.0,,Offensive rebound by M. Kidd-Gilchrist,40,49
194,2,2:47.0,,M. Williams misses 3-pt jump shot from 24 ft,40,49
195,2,2:42.0,,Offensive rebound by N. Batum,40,49
196,2,2:37.0,,Turnover by N. Batum (bad pass),40,49
197,2,2:37.0,J. Dudley enters the game for E. Payton,,40,49
198,2,2:37.0,S. Harrison enters the game for D. Bender,,40,49
