,QUARTER,TIME_REMAINING,DETROIT_ACTION,PORTLAND_ACTION,DETROIT_SCORE,PORTLAND_SCORE
0,1,11:50.0,J. Ennis misses 2-pt layup from 3 ft (block by M. Harkless),,0,0
1,1,11:50.0,Offensive rebound by Team,,0,0
2,1,11:48.0,B. Griffin misses 3-pt jump shot from 24 ft,,0,0
3,1,11:46.0,,Defensive rebound by J. Nurkić,0,0
4,1,11:36.0,,J. Nurkić misses 2-pt hook shot from 3 ft,0,0
5,1,11:34.0,Defensive rebound by A. Drummond,,0,0
6,1,11:30.0,I. Smith misses 2-pt jump shot from 14 ft (block by C. McCollum),,0,0
7,1,11:27.0,,Defensive rebound by M. Harkless,0,0
8,1,11:24.0,,D. Lillard misses 3-pt jump shot from 30 ft,0,0
9,1,11:22.0,Defensive rebound by Team,,0,0
10,1,11:22.0,,Loose ball foul by J. Nurkić (drawn by A. Drummond),0,0
11,1,11:05.0,R. Bullock makes 2-pt layup from 2 ft,,2,0
12,1,10:43.0,,A. Aminu misses 3-pt jump shot from 22 ft,2,0
13,1,10:42.0,Defensive rebound by A. Drummond,,2,0
14,1,10:40.0,Turnover by A. Drummond (bad pass; steal by A. Aminu),,2,0
15,1,10:31.0,,J. Nurkić makes 2-pt hook shot at rim,2,2
16,1,10:17.0,A. Drummond makes 2-pt jump shot from 3 ft,,4,2
17,1,10:10.0,,C. McCollum makes 2-pt layup from 1 ft,4,4
18,1,9:46.0,B. Griffin misses 2-pt jump shot from 20 ft,,4,4
19,1,9:44.0,,Defensive rebound by A. Aminu,4,4
20,1,9:37.0,,C. McCollum misses 3-pt jump shot from 25 ft,4,4
21,1,9:34.0,,Offensive rebound by M. Harkless,4,4
22,1,9:23.0,,J. Nurkić makes 2-pt hook shot from 1 ft (assist by D. Lillard),4,6
23,1,9:12.0,B. Griffin makes 2-pt jump shot from 19 ft,,6,6
24,1,8:58.0,,C. McCollum makes 2-pt jump shot from 21 ft (assist by D. Lillard),6,8
25,1,8:45.0,A. Drummond misses 2-pt dunk at rim,,6,8
26,1,8:43.0,,Defensive rebound by D. Lillard,6,8
27,1,8:29.0,,M. Harkless makes 2-pt dunk at rim,6,10
28,1,8:23.0,Shooting foul by J. Nurkić (drawn by J. Ennis),,6,10
29,1,8:23.0,J. Ennis misses free throw 1 of 2,,6,10
30,1,8:23.0,Offensive rebound by Team,,6,10
31,1,8:23.0,,M. Leonard enters the game for J. Nurkić,6,10
32,1,8:23.0,J. Ennis makes free throw 2 of 2,,7,10
33,1,8:01.0,,A. Aminu misses 2-pt layup at rim,7,10
34,1,7:59.0,Defensive rebound by A. Drummond,,7,10
35,1,7:45.0,B. Griffin makes 2-pt hook shot from 6 ft,,9,10
36,1,7:31.0,,Personal foul by A. Drummond (drawn by D. Lillard),9,10
37,1,7:23.0,,M. Harkless makes 3-pt jump shot from 26 ft (assist by C. McCollum),9,13
38,1,7:03.0,R. Bullock misses 3-pt jump shot from 25 ft,,9,13
39,1,6:59.0,,Defensive rebound by M. Leonard,9,13
40,1,6:48.0,,A. Aminu misses 3-pt jump shot from 24 ft,9,13
41,1,6:46.0,Defensive rebound by I. Smith,,9,13
42,1,6:39.0,B. Griffin misses 2-pt hook shot from 2 ft,,9,13
43,1,6:37.0,,Defensive rebound by A. Aminu,9,13
44,1,6:26.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by M. Leonard),9,16
45,1,6:19.0,Detroit full timeout,,9,16
46,1,6:07.0,Personal foul by C. McCollum (drawn by B. Griffin),,9,16
47,1,6:00.0,I. Smith misses 2-pt jump shot from 15 ft,,9,16
48,1,5:58.0,,Defensive rebound by Team,9,16
49,1,5:35.0,,M. Leonard makes 2-pt dunk at rim (assist by D. Lillard),9,18
50,1,5:11.0,B. Griffin misses 2-pt jump shot from 10 ft,,9,18
51,1,5:09.0,,Defensive rebound by A. Aminu,9,18
52,1,4:49.0,,C. McCollum misses 2-pt layup from 1 ft,9,18
53,1,4:49.0,Defensive rebound by A. Drummond,,9,18
54,1,4:41.0,I. Smith misses 2-pt hook shot from 2 ft,,9,18
55,1,4:41.0,,Defensive rebound by A. Aminu,9,18
56,1,4:33.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by M. Leonard),9,20
57,1,4:12.0,I. Smith makes 3-pt jump shot from 24 ft (assist by R. Bullock),,12,20
58,1,3:52.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by D. Lillard),12,23
59,1,3:38.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Bullock),,14,23
60,1,3:24.0,D. Buycks enters the game for A. Drummond,,14,23
61,1,3:24.0,S. Johnson enters the game for I. Smith,,14,23
62,1,3:24.0,A. Tolliver enters the game for J. Ennis,,14,23
63,1,3:24.0,,Portland full timeout,14,23
64,1,3:24.0,,P. Connaughton enters the game for C. McCollum,14,23
65,1,3:24.0,,E. Turner enters the game for M. Harkless,14,23
66,1,3:24.0,,Z. Collins enters the game for A. Aminu,14,23
67,1,3:24.0,,E. Davis enters the game for M. Leonard,14,23
68,1,3:14.0,,E. Turner misses 2-pt jump shot from 16 ft,14,23
69,1,3:11.0,,Offensive rebound by E. Davis,14,23
70,1,3:11.0,,E. Davis makes 2-pt layup from 1 ft,14,25
71,1,3:11.0,,Shooting foul by S. Johnson (drawn by E. Davis),14,25
72,1,3:11.0,,E. Davis makes free throw 1 of 1,14,26
73,1,2:54.0,S. Johnson makes 2-pt hook shot from 5 ft (assist by D. Buycks),,16,26
74,1,2:28.0,,P. Connaughton misses 2-pt jump shot from 8 ft,16,26
75,1,2:25.0,Defensive rebound by S. Johnson,,16,26
76,1,2:20.0,S. Johnson makes 2-pt layup at rim,,18,26
77,1,2:02.0,,D. Lillard makes 3-pt jump shot from 22 ft (assist by Z. Collins),18,29
78,1,1:40.0,A. Tolliver misses 3-pt jump shot from 23 ft,,18,29
79,1,1:38.0,,Defensive rebound by E. Turner,18,29
80,1,1:31.0,,E. Turner misses 2-pt jump shot from 4 ft,18,29
81,1,1:30.0,,Offensive rebound by Team,18,29
82,1,1:30.0,L. Kennard enters the game for B. Griffin,,18,29
83,1,1:30.0,A. Drummond enters the game for R. Bullock,,18,29
84,1,1:18.0,,D. Lillard misses 2-pt jump shot from 18 ft,18,29
85,1,1:15.0,Defensive rebound by A. Drummond,,18,29
86,1,1:07.0,Shooting foul by E. Turner (drawn by A. Drummond),,18,29
87,1,1:07.0,A. Drummond makes free throw 1 of 2,,19,29
88,1,1:07.0,A. Drummond makes free throw 2 of 2,,20,29
89,1,0:52.0,,P. Connaughton misses 3-pt jump shot from 25 ft,20,29
90,1,0:50.0,,Offensive rebound by D. Lillard,20,29
91,1,0:42.0,,P. Connaughton misses 3-pt jump shot from 28 ft,20,29
92,1,0:39.0,Defensive rebound by A. Drummond,,20,29
93,1,0:24.0,D. Buycks misses 2-pt jump shot from 23 ft,,20,29
94,1,0:22.0,,Defensive rebound by Z. Collins,20,29
95,1,0:04.0,,D. Lillard makes 2-pt layup from 1 ft,20,31
96,1,0:00.0,D. Buycks misses 3-pt jump shot from 25 ft (block by D. Lillard),,20,31
97,1,0:00.0,,Defensive rebound by E. Davis,20,31
98,2,11:43.0,,Z. Collins makes 2-pt hook shot from 1 ft (assist by C. McCollum),20,33
99,2,11:29.0,Turnover by L. Kennard (lost ball; steal by Z. Collins),,20,33
100,2,11:14.0,,C. McCollum misses 2-pt jump shot from 18 ft,20,33
101,2,11:12.0,Defensive rebound by S. Johnson,,20,33
102,2,11:06.0,S. Johnson makes 2-pt layup from 2 ft,,22,33
103,2,10:46.0,,Z. Collins misses 3-pt jump shot from 24 ft,22,33
104,2,10:44.0,Defensive rebound by A. Drummond,,22,33
