,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,O. Porter misses 2-pt jump shot from 7 ft,0,0
1,1,11:41.0,Defensive rebound by A. Jefferson,,0,0
2,1,11:21.0,A. Jefferson makes 2-pt layup at rim,,2,0
3,1,11:05.0,,T. Satoranský makes 2-pt jump shot from 4 ft (assist by M. Morris),2,2
4,1,10:48.0,A. Jefferson makes 2-pt jump shot from 12 ft (assist by C. Joseph),,4,2
5,1,10:34.0,,M. Morris misses 2-pt jump shot from 12 ft,4,2
6,1,10:31.0,Defensive rebound by A. Jefferson,,4,2
7,1,10:20.0,V. Oladipo makes 2-pt layup from 2 ft,,6,2
8,1,9:56.0,,Turnover by T. Satoranský (lost ball; steal by V. Oladipo),6,2
9,1,9:50.0,B. Bogdanović misses 2-pt layup from 2 ft,,6,2
10,1,9:50.0,,Defensive rebound by Team,6,2
11,1,9:30.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by M. Gortat),6,5
12,1,9:07.0,B. Bogdanović misses 2-pt jump shot from 12 ft (block by M. Gortat),,6,5
13,1,9:04.0,Offensive rebound by V. Oladipo,,6,5
14,1,9:04.0,V. Oladipo misses 2-pt jump shot from 9 ft (block by O. Porter),,6,5
15,1,9:00.0,,Defensive rebound by B. Beal,6,5
16,1,8:54.0,,M. Gortat misses 2-pt hook shot from 11 ft,6,5
17,1,8:51.0,Defensive rebound by Team,,6,5
18,1,8:36.0,V. Oladipo makes 2-pt jump shot from 16 ft,,8,5
19,1,8:22.0,,B. Beal misses 3-pt jump shot from 24 ft,8,5
20,1,8:19.0,Defensive rebound by A. Jefferson,,8,5
21,1,8:15.0,Turnover by V. Oladipo (out of bounds lost ball),,8,5
22,1,8:04.0,,M. Gortat makes 2-pt dunk at rim (assist by B. Beal),8,7
23,1,7:45.0,A. Jefferson misses 2-pt jump shot from 16 ft,,8,7
24,1,7:40.0,,Defensive rebound by T. Satoranský,8,7
25,1,7:25.0,,B. Beal misses 2-pt jump shot from 11 ft,8,7
26,1,7:23.0,Defensive rebound by A. Jefferson,,8,7
27,1,7:01.0,V. Oladipo misses 3-pt jump shot from 25 ft,,8,7
28,1,6:59.0,,Defensive rebound by M. Gortat,8,7
29,1,6:50.0,,M. Morris misses 3-pt jump shot from 26 ft,8,7
30,1,6:49.0,Defensive rebound by B. Bogdanović,,8,7
31,1,6:48.0,Turnover by B. Bogdanović (lost ball; steal by O. Porter),,8,7
32,1,6:33.0,,B. Beal makes 2-pt layup at rim,8,9
33,1,6:21.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by T. Young),,10,9
34,1,6:04.0,,B. Beal misses 2-pt layup at rim,10,9
