,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,A. Rivers misses 2-pt jump shot from 7 ft,0,0
1,1,11:41.0,,Offensive rebound by S. Thornwell,0,0
2,1,11:30.0,,T. Harris makes 2-pt jump shot from 19 ft,0,2
3,1,11:07.0,M. Harkless makes 2-pt layup from 1 ft (assist by J. Nurkić),,2,2
4,1,10:55.0,,T. Harris makes 2-pt jump shot from 13 ft (assist by M. Teodosić),2,4
5,1,10:40.0,Turnover by J. Nurkić (lost ball; steal by T. Harris),,2,4
6,1,10:35.0,,Turnover by S. Thornwell (lost ball; steal by M. Harkless),2,4
7,1,10:26.0,A. Aminu misses 2-pt layup from 2 ft,,2,4
8,1,10:25.0,Offensive rebound by Team,,2,4
9,1,10:13.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by A. Aminu),,5,4
10,1,10:02.0,,M. Teodosić misses 2-pt layup from 1 ft,5,4
11,1,10:00.0,,Offensive rebound by D. Jordan,5,4
12,1,9:49.0,,Turnover by S. Thornwell (bad pass; steal by D. Lillard),5,4
13,1,9:32.0,J. Nurkić misses 2-pt layup from 1 ft,,5,4
14,1,9:30.0,,Defensive rebound by T. Harris,5,4
15,1,9:23.0,,T. Harris misses 2-pt jump shot from 13 ft,5,4
16,1,9:20.0,Defensive rebound by J. Nurkić,,5,4
17,1,9:14.0,C. McCollum misses 2-pt layup from 1 ft,,5,4
18,1,9:11.0,,Defensive rebound by D. Jordan,5,4
19,1,9:02.0,,T. Harris misses 3-pt jump shot from 25 ft,5,4
20,1,8:59.0,Defensive rebound by J. Nurkić,,5,4
21,1,8:54.0,Personal foul by M. Teodosić (drawn by M. Harkless),,5,4
22,1,8:43.0,D. Lillard makes 2-pt jump shot from 13 ft (assist by A. Aminu),,7,4
23,1,8:27.0,,T. Harris misses 2-pt jump shot from 11 ft,7,4
24,1,8:24.0,Defensive rebound by M. Harkless,,7,4
