,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,11:42.0,Turnover by J. Valančiūnas (bad pass; steal by G. Hill),,0,0
1,1,11:38.0,,G. Hill makes 2-pt layup from 1 ft (assist by L. James),0,2
2,1,11:30.0,K. Lowry makes 3-pt jump shot from 25 ft,,3,2
3,1,11:21.0,,L. James makes 2-pt layup at rim (assist by K. Love),3,4
4,1,11:21.0,,Shooting foul by O. Anunoby (drawn by L. James),3,4
5,1,11:21.0,,L. James makes free throw 1 of 1,3,5
6,1,11:04.0,Turnover by S. Ibaka (bad pass; steal by K. Love),,3,5
7,1,11:00.0,,J. Green makes 2-pt dunk at rim (assist by J. Calderón),3,7
8,1,10:47.0,D. DeRozan makes 2-pt jump shot from 12 ft,,5,7
9,1,10:30.0,,K. Love makes 2-pt jump shot from 17 ft (assist by L. James),5,9
10,1,10:05.0,D. DeRozan misses 2-pt jump shot from 21 ft,,5,9
11,1,10:01.0,,Defensive rebound by K. Love,5,9
12,1,9:55.0,,L. James makes 2-pt dunk at rim,5,11
13,1,9:41.0,Shooting block foul by K. Love (drawn by S. Ibaka),,5,11
14,1,9:41.0,S. Ibaka makes free throw 1 of 2,,6,11
15,1,9:41.0,S. Ibaka makes free throw 2 of 2,,7,11
16,1,9:26.0,,K. Love misses 3-pt jump shot from 26 ft,7,11
17,1,9:24.0,Defensive rebound by S. Ibaka,,7,11
18,1,9:08.0,J. Valančiūnas makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,10,11
19,1,8:49.0,,L. James makes 2-pt layup from 1 ft (assist by J. Green),10,13
20,1,8:31.0,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by S. Ibaka),,12,13
21,1,8:19.0,,Turnover by J. Calderón (out of bounds lost ball),12,13
22,1,8:04.0,K. Lowry makes 3-pt jump shot from 29 ft,,15,13
23,1,7:43.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),15,16
24,1,7:33.0,O. Anunoby makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,18,16
25,1,7:22.0,,K. Love makes 2-pt layup from 1 ft (assist by J. Calderón),18,18
26,1,7:11.0,J. Valančiūnas makes 2-pt layup at rim (assist by K. Lowry),,20,18
27,1,7:11.0,Shooting foul by J. Green (drawn by J. Valančiūnas),,20,18
28,1,7:11.0,J. Valančiūnas misses free throw 1 of 1,,20,18
29,1,7:11.0,,Defensive rebound by K. Love,20,18
30,1,7:00.0,,J. Calderón misses 2-pt layup from 2 ft,20,18
31,1,6:58.0,Defensive rebound by J. Valančiūnas,,20,18
32,1,6:53.0,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),,22,18
33,1,6:46.0,,Cleveland full timeout,22,18
34,1,6:35.0,,G. Hill makes 2-pt layup at rim (assist by L. James),22,20
35,1,6:17.0,D. DeRozan makes 2-pt layup from 1 ft (assist by J. Valančiūnas),,24,20
36,1,6:05.0,,Shooting foul by J. Valančiūnas (drawn by J. Green),24,20
37,1,6:05.0,,J. Green makes free throw 1 of 2,24,21
38,1,6:05.0,,J. Green makes free throw 2 of 2,24,22
39,1,5:43.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by O. Anunoby),,26,22
40,1,5:21.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),26,25
41,1,5:09.0,S. Ibaka misses 2-pt jump shot from 9 ft,,26,25
42,1,5:07.0,,Defensive rebound by K. Love,26,25
43,1,4:59.0,,G. Hill makes 2-pt layup at rim,26,27
44,1,4:50.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,28,27
45,1,4:30.0,,J. Green makes 3-pt jump shot from 26 ft (assist by K. Love),28,30
46,1,4:10.0,K. Lowry misses 3-pt jump shot from 29 ft,,28,30
47,1,4:06.0,Offensive rebound by J. Valančiūnas,,28,30
48,1,3:55.0,O. Anunoby makes 2-pt layup from 1 ft,,30,30
49,1,3:46.0,,J. Calderón makes 3-pt jump shot from 23 ft (assist by L. James),30,33
50,1,3:32.0,D. DeRozan misses 3-pt jump shot from 25 ft,,30,33
51,1,3:30.0,,Defensive rebound by G. Hill,30,33
52,1,3:27.0,,Personal block foul by O. Anunoby (drawn by G. Hill),30,33
53,1,3:27.0,,A. Žižić enters the game for J. Green,30,33
54,1,3:27.0,,J. Smith enters the game for K. Love,30,33
55,1,3:27.0,J. Poeltl enters the game for J. Valančiūnas,,30,33
56,1,3:27.0,P. Siakam enters the game for O. Anunoby,,30,33
57,1,3:11.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),30,36
58,1,3:08.0,Personal foul by J. Smith (drawn by K. Lowry),,30,36
59,1,3:08.0,Toronto full timeout,,30,36
