,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
0,1,11:44.0,,Shooting foul by T. Wallace (drawn by R. Gobert),0,0
1,1,11:44.0,,R. Gobert misses free throw 1 of 2,0,0
2,1,11:44.0,,Offensive rebound by Team,0,0
3,1,11:44.0,,R. Gobert makes free throw 2 of 2,0,1
4,1,11:22.0,T. Harris misses 2-pt jump shot from 17 ft (block by J. Ingles),,0,1
5,1,11:19.0,,Defensive rebound by R. Gobert,0,1
6,1,11:10.0,,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),0,3
7,1,10:51.0,S. Thornwell misses 3-pt jump shot from 25 ft,,0,3
8,1,10:48.0,,Defensive rebound by J. Ingles,0,3
9,1,10:45.0,,Shooting foul by S. Thornwell (drawn by D. Mitchell),0,3
10,1,10:45.0,LA Clippers full timeout,,0,3
11,1,10:45.0,,D. Mitchell makes free throw 1 of 2,0,4
12,1,10:45.0,,D. Mitchell makes free throw 2 of 2,0,5
13,1,10:33.0,A. Rivers makes 3-pt jump shot from 25 ft,,3,5
14,1,10:18.0,,D. Favors misses 2-pt jump shot from 13 ft,3,5
15,1,10:11.0,,Offensive rebound by R. Gobert,3,5
16,1,10:11.0,,R. Gobert makes 2-pt dunk at rim,3,7
17,1,9:54.0,A. Rivers misses 2-pt jump shot from 9 ft,,3,7
18,1,9:54.0,,Defensive rebound by Team,3,7
19,1,9:54.0,Loose ball foul by D. Jordan (drawn by R. Gobert),,3,7
20,1,9:39.0,,D. Mitchell makes 2-pt jump shot from 12 ft,3,9
21,1,9:20.0,T. Harris makes 2-pt jump shot from 19 ft,,5,9
22,1,9:07.0,,D. Mitchell misses 3-pt jump shot from 25 ft,5,9
23,1,9:03.0,,Offensive rebound by D. Mitchell,5,9
24,1,8:57.0,,J. Ingles misses 3-pt jump shot from 27 ft,5,9
25,1,8:54.0,Defensive rebound by S. Thornwell,,5,9
26,1,8:51.0,Turnover by S. Thornwell (bad pass; steal by J. Ingles),,5,9
27,1,8:44.0,,R. Rubio makes 2-pt jump shot from 15 ft,5,11
28,1,8:28.0,T. Harris makes 2-pt jump shot from 18 ft (assist by D. Jordan),,7,11
29,1,8:09.0,,D. Favors misses 3-pt jump shot from 23 ft,7,11
30,1,8:05.0,Defensive rebound by T. Harris,,7,11
31,1,7:56.0,T. Wallace makes 2-pt jump shot from 9 ft,,9,11
32,1,7:37.0,,R. Rubio makes 2-pt jump shot from 18 ft (assist by R. Gobert),9,13
33,1,7:20.0,A. Rivers makes 2-pt jump shot from 9 ft,,11,13
34,1,7:06.0,,R. Rubio makes 3-pt jump shot from 25 ft,11,16
35,1,6:47.0,A. Rivers misses 3-pt jump shot from 24 ft,,11,16
36,1,6:44.0,,Defensive rebound by R. Rubio,11,16
37,1,6:40.0,,Shooting foul by S. Thornwell (drawn by R. Rubio),11,16
38,1,6:40.0,,R. Rubio makes free throw 1 of 2,11,17
39,1,6:40.0,L. Williams enters the game for S. Thornwell,,11,17
40,1,6:40.0,,J. Crowder enters the game for D. Favors,11,17
41,1,6:40.0,,R. Rubio makes free throw 2 of 2,11,18
42,1,6:29.0,T. Harris makes 3-pt jump shot from 22 ft (assist by A. Rivers),,14,18
43,1,6:15.0,,D. Mitchell makes 2-pt jump shot from 20 ft (assist by R. Rubio),14,20
44,1,5:58.0,Turnover by A. Rivers (bad pass; steal by J. Crowder),,14,20
45,1,5:55.0,,R. Rubio misses 3-pt jump shot from 25 ft,14,20
46,1,5:52.0,Defensive rebound by A. Rivers,,14,20
47,1,5:45.0,Turnover by A. Rivers (bad pass; steal by J. Ingles),,14,20
48,1,5:41.0,,D. Mitchell makes 2-pt dunk from 3 ft (assist by J. Ingles),14,22
49,1,5:14.0,,Offensive charge foul by T. Wallace (drawn by R. Rubio),14,22
50,1,5:14.0,Turnover by T. Wallace (offensive foul),,14,22
51,1,5:14.0,,R. O'Neale enters the game for J. Ingles,14,22
52,1,5:14.0,C. Williams enters the game for T. Wallace,,14,22
53,1,5:00.0,,J. Crowder misses 3-pt jump shot from 25 ft,14,22
54,1,4:57.0,Defensive rebound by D. Jordan,,14,22
55,1,4:51.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),,16,22
56,1,4:38.0,,D. Mitchell makes 2-pt layup from 2 ft,16,24
57,1,4:38.0,,Shooting foul by D. Jordan (drawn by D. Mitchell),16,24
58,1,4:38.0,,D. Mitchell makes free throw 1 of 1,16,25
59,1,4:19.0,L. Williams misses 3-pt jump shot from 24 ft,,16,25
60,1,4:15.0,,Defensive rebound by R. Rubio,16,25
61,1,4:08.0,,R. Rubio misses 2-pt layup from 2 ft,16,25
62,1,4:06.0,Defensive rebound by T. Harris,,16,25
63,1,4:01.0,D. Jordan makes 2-pt dunk from 3 ft (assist by T. Harris),,18,25
64,1,3:52.0,,Utah full timeout,18,25
65,1,3:52.0,M. Harrell enters the game for D. Jordan,,18,25
66,1,3:52.0,,D. Exum enters the game for R. Rubio,18,25
67,1,3:47.0,,J. Crowder misses 2-pt layup at rim,18,25
68,1,3:45.0,Defensive rebound by T. Harris,,18,25
69,1,3:38.0,Turnover by A. Rivers (bad pass; steal by R. Gobert),,18,25
70,1,3:34.0,,J. Crowder misses 3-pt jump shot from 23 ft,18,25
71,1,3:31.0,Defensive rebound by C. Williams,,18,25
72,1,3:25.0,T. Harris misses 2-pt jump shot from 12 ft,,18,25
73,1,3:24.0,Offensive rebound by Team,,18,25
74,1,3:24.0,,Loose ball foul by D. Mitchell (drawn by M. Harrell),18,25
75,1,3:24.0,,D. Favors enters the game for R. Gobert,18,25
76,1,3:24.0,T. Wallace enters the game for A. Rivers,,18,25
77,1,3:16.0,Personal foul by J. Crowder (drawn by M. Harrell),,18,25
78,1,3:08.0,Shooting foul by D. Exum (drawn by L. Williams),,18,25
79,1,3:08.0,L. Williams makes free throw 1 of 2,,19,25
80,1,3:08.0,L. Williams makes free throw 2 of 2,,20,25
81,1,2:56.0,,D. Mitchell makes 2-pt jump shot from 12 ft,20,27
82,1,2:48.0,C. Williams misses 2-pt jump shot from 11 ft,,20,27
83,1,2:46.0,,Defensive rebound by D. Exum,20,27
84,1,2:38.0,,D. Exum makes 2-pt layup from 1 ft (assist by R. O'Neale),20,29
85,1,2:15.0,Shooting foul by J. Crowder (drawn by L. Williams),,20,29
86,1,2:15.0,L. Williams misses free throw 1 of 2,,20,29
87,1,2:15.0,Offensive rebound by Team,,20,29
88,1,2:15.0,,J. Jerebko enters the game for D. Mitchell,20,29
89,1,2:15.0,L. Williams makes free throw 2 of 2,,21,29
90,1,2:07.0,,D. Exum makes 2-pt layup from 2 ft,21,31
91,1,1:56.0,Shooting foul by D. Favors (drawn by T. Wallace),,21,31
92,1,1:56.0,,J. Ingles enters the game for J. Crowder,21,31
93,1,1:56.0,T. Wallace makes free throw 1 of 2,,22,31
94,1,1:56.0,T. Wallace makes free throw 2 of 2,,23,31
95,1,1:32.0,,Turnover by Team (shot clock),23,31
96,1,1:16.0,C. Williams misses 2-pt layup from 3 ft (block by D. Exum),,23,31
97,1,1:15.0,Offensive rebound by C. Williams,,23,31
98,1,1:15.0,C. Williams misses 2-pt layup from 3 ft,,23,31
99,1,1:15.0,Offensive rebound by Team,,23,31
100,1,1:15.0,,Loose ball foul by D. Favors (drawn by M. Harrell),23,31
101,1,1:15.0,M. Harrell misses free throw 1 of 2,,23,31
102,1,1:15.0,Offensive rebound by Team,,23,31
103,1,1:15.0,B. Marjanović enters the game for T. Harris,,23,31
104,1,1:15.0,M. Harrell makes free throw 2 of 2,,24,31
105,1,1:02.0,,D. Exum makes 3-pt jump shot from 25 ft,24,34
106,1,0:45.0,M. Harrell makes 2-pt hook shot from 5 ft (assist by T. Wallace),,26,34
107,1,0:35.0,,Shooting foul by B. Marjanović (drawn by D. Favors),26,34
108,1,0:35.0,,D. Favors makes free throw 1 of 2,26,35
109,1,0:35.0,,E. Udoh enters the game for J. Jerebko,26,35
110,1,0:35.0,,D. Favors makes free throw 2 of 2,26,36
111,1,0:14.0,L. Williams misses 2-pt jump shot from 13 ft,,26,36
112,1,0:10.0,,Defensive rebound by R. O'Neale,26,36
113,1,0:02.0,,J. Ingles misses 3-pt jump shot from 25 ft,26,36
114,1,0:02.0,Defensive rebound by T. Wallace,,26,36
115,2,11:49.0,M. Harrell misses 2-pt jump shot from 8 ft,,26,36
116,2,11:42.0,,Defensive rebound by R. O'Neale,26,36
117,2,11:33.0,,Personal foul by M. Harrell (drawn by D. Favors),26,36
118,2,11:26.0,,D. Exum makes 2-pt layup from 2 ft,26,38
119,2,11:07.0,L. Williams makes 2-pt layup from 4 ft (assist by M. Harrell),,28,38
120,2,10:57.0,,J. Jerebko makes 2-pt dunk from 2 ft (assist by J. Ingles),28,40
121,2,10:48.0,Turnover by M. Harrell (bad pass),,28,40
122,2,10:34.0,,D. Exum misses 2-pt layup from 2 ft,28,40
123,2,10:30.0,,Offensive rebound by D. Favors,28,40
124,2,10:30.0,,D. Favors misses 2-pt layup at rim,28,40
125,2,10:29.0,Defensive rebound by B. Marjanović,,28,40
126,2,10:23.0,B. Marjanović misses 2-pt jump shot from 4 ft (block by D. Exum),,28,40
127,2,10:20.0,,Defensive rebound by D. Exum,28,40
128,2,10:19.0,,Shooting foul by A. Rivers (drawn by D. Exum),28,40
129,2,10:19.0,,D. Exum makes free throw 1 of 2,28,41
130,2,10:19.0,,D. Exum misses free throw 2 of 2,28,41
131,2,10:17.0,Defensive rebound by M. Harrell,,28,41
132,2,10:01.0,Shooting foul by D. Favors (drawn by B. Marjanović),,28,41
133,2,10:01.0,B. Marjanović makes free throw 1 of 2,,29,41
134,2,10:01.0,,E. Udoh enters the game for D. Favors,29,41
135,2,10:01.0,B. Marjanović makes free throw 2 of 2,,30,41
136,2,9:52.0,D. Jordan enters the game for T. Wallace,,30,41
137,2,9:52.0,S. Thornwell enters the game for B. Marjanović,,30,41
138,2,9:45.0,,J. Ingles misses 3-pt jump shot from 25 ft,30,41
