,QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
0,1,11:44.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Gobert),,2,0
1,1,11:28.0,,J. Hart misses 3-pt jump shot from 26 ft,2,0
2,1,11:25.0,Defensive rebound by R. Rubio,,2,0
3,1,11:18.0,D. Favors makes 2-pt jump shot from 21 ft (assist by J. Ingles),,4,0
4,1,11:09.0,,A. Caruso misses 3-pt jump shot from 25 ft,4,0
5,1,11:07.0,Defensive rebound by D. Mitchell,,4,0
6,1,10:55.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Favors),,7,0
7,1,10:39.0,,J. Randle misses 2-pt layup from 2 ft,7,0
8,1,10:37.0,Defensive rebound by R. Rubio,,7,0
9,1,10:35.0,,Offensive charge foul by R. Gobert (drawn by J. Hart),7,0
10,1,10:35.0,Turnover by R. Gobert (offensive foul),,7,0
11,1,10:20.0,,J. Randle misses 2-pt layup from 2 ft,7,0
12,1,10:16.0,Defensive rebound by J. Ingles,,7,0
13,1,10:08.0,Turnover by R. Gobert (lost ball; steal by J. Hart),,7,0
14,1,10:03.0,,J. Hart makes 2-pt layup from 1 ft,7,2
15,1,9:44.0,R. Rubio misses 3-pt jump shot from 26 ft,,7,2
16,1,9:41.0,,Defensive rebound by A. Caruso,7,2
17,1,9:38.0,,J. Hart makes 2-pt layup at rim (assist by A. Caruso),7,4
18,1,9:20.0,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),,9,4
19,1,9:08.0,,B. Lopez misses 3-pt jump shot from 25 ft,9,4
20,1,9:06.0,Defensive rebound by D. Favors,,9,4
21,1,8:57.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Rubio),,12,4
22,1,8:44.0,,Turnover by A. Caruso (bad pass; steal by D. Mitchell),12,4
23,1,8:31.0,D. Favors misses 2-pt layup at rim,,12,4
24,1,8:31.0,Offensive rebound by D. Favors,,12,4
25,1,8:31.0,D. Favors misses 2-pt layup at rim,,12,4
26,1,8:31.0,Offensive rebound by Team,,12,4
27,1,8:31.0,,Loose ball foul by J. Randle (drawn by D. Favors),12,4
28,1,8:25.0,J. Ingles misses 3-pt jump shot from 25 ft,,12,4
29,1,8:21.0,,Defensive rebound by K. Caldwell-Pope,12,4
30,1,8:04.0,,Turnover by J. Hart (bad pass; steal by R. Rubio),12,4
31,1,7:59.0,D. Mitchell misses 2-pt dunk from 1 ft (block by J. Hart),,12,4
32,1,7:58.0,Offensive rebound by Team,,12,4
33,1,7:47.0,Personal block foul by K. Caldwell-Pope (drawn by D. Mitchell),,12,4
34,1,7:35.0,J. Ingles makes 2-pt layup from 1 ft,,14,4
35,1,7:21.0,,J. Randle misses 2-pt layup from 2 ft (block by D. Mitchell),14,4
36,1,7:18.0,,Offensive rebound by J. Hart,14,4
37,1,7:10.0,,B. Lopez misses 2-pt jump shot from 20 ft,14,4
38,1,7:10.0,,Offensive rebound by Team,14,4
39,1,7:10.0,,Turnover by Team (shot clock),14,4
40,1,6:57.0,R. Gobert misses 2-pt layup from 1 ft,,14,4
41,1,6:54.0,,Defensive rebound by J. Randle,14,4
42,1,6:48.0,,B. Lopez misses 2-pt layup from 1 ft,14,4
43,1,6:45.0,Defensive rebound by R. Gobert,,14,4
44,1,6:38.0,J. Ingles makes 2-pt layup from 2 ft (assist by R. Gobert),,16,4
45,1,6:38.0,,LA Lakers full timeout,16,4
46,1,6:38.0,D. Exum enters the game for R. Rubio,,16,4
47,1,6:22.0,,Turnover by J. Randle (lost ball; steal by J. Ingles),16,4
48,1,6:17.0,D. Favors misses 2-pt layup at rim (block by K. Caldwell-Pope),,16,4
49,1,6:16.0,,Defensive rebound by B. Lopez,16,4
50,1,6:16.0,,Personal take foul by J. Ingles (drawn by K. Caldwell-Pope),16,4
51,1,6:16.0,,T. Ennis enters the game for A. Caruso,16,4
52,1,6:16.0,J. Crowder enters the game for D. Favors,,16,4
53,1,6:05.0,,Turnover by B. Lopez (lost ball; steal by R. Gobert),16,4
54,1,6:00.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),,19,4
55,1,5:38.0,,Shooting foul by J. Crowder (drawn by J. Randle),19,4
56,1,5:38.0,,J. Randle makes free throw 1 of 2,19,5
57,1,5:38.0,,J. Randle makes free throw 2 of 2,19,6
58,1,5:28.0,Turnover by D. Mitchell (bad pass; steal by T. Ennis),,19,6
59,1,5:24.0,,T. Ennis misses 2-pt layup from 1 ft,19,6
60,1,5:20.0,Defensive rebound by D. Exum,,19,6
61,1,5:15.0,Turnover by J. Ingles (bad pass; steal by T. Ennis),,19,6
62,1,5:12.0,,Shooting foul by D. Exum (drawn by K. Caldwell-Pope),19,6
63,1,5:12.0,,K. Caldwell-Pope makes free throw 1 of 2,19,7
64,1,5:12.0,,K. Caldwell-Pope makes free throw 2 of 2,19,8
65,1,5:01.0,Turnover by D. Mitchell (bad pass; steal by T. Ennis),,19,8
66,1,4:51.0,,B. Lopez misses 2-pt jump shot from 6 ft (block by R. Gobert),19,8
67,1,4:47.0,,Offensive rebound by J. Randle,19,8
68,1,4:43.0,,J. Hart makes 2-pt layup from 1 ft (assist by J. Randle),19,10
69,1,4:22.0,Turnover by D. Exum (bad pass; steal by K. Caldwell-Pope),,19,10
70,1,4:16.0,,J. Randle makes 2-pt layup from 3 ft,19,12
71,1,4:16.0,Utah full timeout,,19,12
