,QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
0,1,11:45.0,P. Siakam makes 3-pt jump shot from 22 ft (assist by D. DeRozan),,3,0
1,1,11:27.0,,Shooting foul by K. Lowry (drawn by A. Tolliver),3,0
2,1,11:27.0,,A. Tolliver makes free throw 1 of 3,3,1
3,1,11:27.0,,A. Tolliver misses free throw 2 of 3,3,1
4,1,11:27.0,,Offensive rebound by Team,3,1
5,1,11:27.0,,A. Tolliver makes free throw 3 of 3,3,2
6,1,11:12.0,Personal foul by R. Jackson (drawn by P. Siakam),,3,2
7,1,11:00.0,D. DeRozan makes 2-pt layup from 2 ft,,5,2
8,1,10:33.0,,R. Jackson misses 2-pt jump shot from 9 ft,5,2
9,1,10:29.0,Defensive rebound by O. Anunoby,,5,2
10,1,10:13.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by A. Tolliver),,5,2
11,1,10:10.0,,Defensive rebound by E. Moreland,5,2
12,1,10:02.0,,E. Moreland misses 2-pt hook shot from 6 ft,5,2
13,1,9:59.0,,Offensive rebound by A. Tolliver,5,2
14,1,9:56.0,,R. Jackson misses 3-pt jump shot from 26 ft,5,2
15,1,9:54.0,Defensive rebound by J. Valančiūnas,,5,2
16,1,9:41.0,J. Valančiūnas makes 2-pt layup from 2 ft,,7,2
17,1,9:19.0,,S. Johnson misses 2-pt jump shot from 15 ft,7,2
18,1,9:16.0,Defensive rebound by J. Valančiūnas,,7,2
19,1,9:02.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,10,2
20,1,8:49.0,,E. Moreland makes 2-pt layup from 2 ft (assist by R. Jackson),10,4
21,1,8:34.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,13,4
22,1,8:13.0,,L. Kennard makes 2-pt jump shot from 18 ft (assist by E. Moreland),13,6
23,1,8:01.0,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),,15,6
24,1,7:50.0,,Detroit full timeout,15,6
25,1,7:43.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by R. Jackson),15,9
26,1,7:31.0,J. Valančiūnas misses 2-pt hook shot from 4 ft,,15,9
27,1,7:25.0,Offensive rebound by J. Valančiūnas,,15,9
28,1,7:25.0,J. Valančiūnas makes 2-pt layup at rim,,17,9
29,1,7:12.0,,L. Kennard makes 3-pt jump shot from 29 ft (assist by S. Johnson),17,12
30,1,6:53.0,Shooting foul by E. Moreland (drawn by J. Valančiūnas),,17,12
31,1,6:53.0,J. Valančiūnas makes free throw 1 of 2,,18,12
32,1,6:53.0,J. Valančiūnas makes free throw 2 of 2,,19,12
33,1,6:37.0,,L. Kennard makes 2-pt jump shot from 11 ft (assist by A. Tolliver),19,14
34,1,6:20.0,K. Lowry misses 3-pt jump shot from 27 ft,,19,14
35,1,6:17.0,Offensive rebound by J. Valančiūnas,,19,14
36,1,6:03.0,O. Anunoby misses 3-pt jump shot from 25 ft,,19,14
37,1,6:00.0,Offensive rebound by D. DeRozan,,19,14
38,1,5:48.0,Turnover by J. Valančiūnas (bad pass; steal by S. Johnson),,19,14
39,1,5:46.0,,S. Johnson makes 2-pt dunk from 1 ft (assist by A. Tolliver),19,16
40,1,5:36.0,Turnover by D. DeRozan (lost ball; steal by E. Moreland),,19,16
