,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:49.0,Personal foul by B. Bogdanović (drawn by L. James),,0,0
1,1,11:40.0,G. Hill makes 2-pt layup at rim (assist by K. Love),,2,0
2,1,11:24.0,,Turnover by M. Turner (bad pass; steal by K. Korver),2,0
3,1,11:21.0,Shooting foul by M. Turner (drawn by G. Hill),,2,0
4,1,11:21.0,G. Hill misses free throw 1 of 2,,2,0
5,1,11:21.0,Offensive rebound by Team,,2,0
6,1,11:21.0,G. Hill makes free throw 2 of 2,,3,0
7,1,11:09.0,,Personal foul by G. Hill (drawn by D. Collison),3,0
8,1,11:04.0,,D. Collison misses 3-pt jump shot from 27 ft,3,0
9,1,10:59.0,Defensive rebound by L. James,,3,0
10,1,10:52.0,L. James makes 2-pt jump shot from 10 ft,,5,0
11,1,10:35.0,,M. Turner misses 2-pt jump shot from 16 ft,5,0
12,1,10:32.0,Defensive rebound by J. Smith,,5,0
13,1,10:22.0,Turnover by K. Korver (bad pass; steal by V. Oladipo),,5,0
14,1,10:17.0,,V. Oladipo makes 3-pt jump shot from 26 ft,5,3
15,1,9:54.0,K. Love misses 2-pt layup from 2 ft,,5,3
16,1,9:53.0,,Defensive rebound by B. Bogdanović,5,3
17,1,9:49.0,,B. Bogdanović makes 2-pt layup at rim,5,5
18,1,9:30.0,Shooting foul by B. Bogdanović (drawn by G. Hill),,5,5
19,1,9:30.0,G. Hill makes free throw 1 of 2,,6,5
20,1,9:30.0,,L. Stephenson enters the game for B. Bogdanović,6,5
21,1,9:30.0,G. Hill makes free throw 2 of 2,,7,5
22,1,9:12.0,,Personal foul by K. Korver (drawn by M. Turner),7,5
23,1,9:06.0,,Turnover by D. Collison (bad pass; steal by J. Smith),7,5
24,1,9:00.0,J. Smith misses 2-pt layup from 1 ft,,7,5
25,1,8:58.0,Offensive rebound by L. James,,7,5
26,1,8:58.0,L. James misses 2-pt layup at rim,,7,5
27,1,8:57.0,,Defensive rebound by M. Turner,7,5
28,1,8:53.0,,Shooting foul by K. Korver (drawn by L. Stephenson),7,5
29,1,8:53.0,,L. Stephenson makes free throw 1 of 2,7,6
30,1,8:53.0,,L. Stephenson makes free throw 2 of 2,7,7
31,1,8:37.0,Turnover by L. James (bad pass; steal by D. Collison),,7,7
32,1,8:28.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),7,9
33,1,8:11.0,G. Hill makes 2-pt jump shot from 19 ft,,9,9
34,1,7:50.0,,M. Turner misses 3-pt jump shot from 25 ft,9,9
35,1,7:47.0,,Offensive rebound by T. Young,9,9
36,1,7:30.0,,L. Stephenson makes 2-pt layup from 1 ft (assist by V. Oladipo),9,11
37,1,7:05.0,Shooting foul by L. Stephenson (drawn by L. James),,9,11
38,1,7:05.0,L. James makes free throw 1 of 2,,10,11
39,1,7:05.0,L. James misses free throw 2 of 2,,10,11
40,1,7:05.0,,Defensive rebound by L. Stephenson,10,11
41,1,6:44.0,,Turnover by V. Oladipo (lost ball; steal by K. Korver),10,11
42,1,6:41.0,G. Hill makes 2-pt dunk from 1 ft (assist by K. Korver),,12,11
43,1,6:31.0,,L. Stephenson makes 2-pt layup at rim,12,13
44,1,6:17.0,J. Smith makes 3-pt jump shot from 26 ft,,15,13
45,1,5:55.0,,D. Collison makes 2-pt layup from 2 ft,15,15
46,1,5:30.0,L. James misses 2-pt layup from 1 ft,,15,15
47,1,5:28.0,Offensive rebound by K. Love,,15,15
48,1,5:28.0,K. Love makes 2-pt layup at rim,,17,15
49,1,5:23.0,,Indiana full timeout,17,15
50,1,5:14.0,,Turnover by L. Stephenson (bad pass; steal by J. Smith),17,15
51,1,5:02.0,J. Smith misses 3-pt jump shot from 23 ft,,17,15
52,1,4:58.0,,Defensive rebound by L. Stephenson,17,15
53,1,4:54.0,,D. Collison misses 3-pt jump shot from 23 ft,17,15
54,1,4:51.0,Defensive rebound by L. James,,17,15
55,1,4:30.0,Shooting foul by T. Young (drawn by K. Love),,17,15
56,1,4:30.0,K. Love makes free throw 1 of 2,,18,15
57,1,4:30.0,,D. Sabonis enters the game for M. Turner,18,15
58,1,4:30.0,L. Nance enters the game for K. Korver,,18,15
59,1,4:30.0,K. Love makes free throw 2 of 2,,19,15
60,1,4:08.0,,T. Young misses 2-pt jump shot from 6 ft,19,15
61,1,4:06.0,Defensive rebound by L. Nance,,19,15
62,1,3:57.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,21,15
63,1,3:48.0,,Personal foul by J. Smith (drawn by V. Oladipo),21,15
64,1,3:48.0,,C. Joseph enters the game for D. Collison,21,15
65,1,3:48.0,R. Hood enters the game for K. Love,,21,15
