,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,D. Gallinari misses 2-pt jump shot from 13 ft,0,0
1,1,11:41.0,Defensive rebound by J. Murray,,0,0
2,1,11:23.0,J. Murray misses 3-pt jump shot from 27 ft,,0,0
3,1,11:19.0,Offensive rebound by G. Harris,,0,0
4,1,11:16.0,W. Barton misses 3-pt jump shot from 25 ft,,0,0
5,1,11:13.0,Offensive rebound by P. Millsap,,0,0
6,1,10:59.0,J. Murray misses 3-pt jump shot from 29 ft,,0,0
7,1,10:57.0,,Defensive rebound by T. Harris,0,0
8,1,10:41.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by M. Gortat),0,3
9,1,10:23.0,P. Millsap misses 2-pt jump shot from 16 ft,,0,3
10,1,10:20.0,,Defensive rebound by T. Harris,0,3
11,1,10:04.0,,P. Beverley misses 3-pt jump shot from 25 ft,0,3
12,1,10:02.0,Defensive rebound by J. Murray,,0,3
13,1,9:58.0,W. Barton makes 2-pt dunk from 1 ft (assist by J. Murray),,2,3
14,1,9:42.0,,T. Harris misses 2-pt jump shot from 14 ft,2,3
15,1,9:40.0,Defensive rebound by W. Barton,,2,3
16,1,9:39.0,G. Harris misses 2-pt dunk from 1 ft,,2,3
17,1,9:39.0,,Defensive rebound by D. Gallinari,2,3
18,1,9:30.0,,P. Beverley misses 2-pt hook shot from 6 ft,2,3
19,1,9:27.0,Defensive rebound by P. Millsap,,2,3
20,1,9:16.0,P. Millsap misses 2-pt layup from 2 ft (block by T. Harris),,2,3
21,1,9:13.0,,Defensive rebound by P. Beverley,2,3
22,1,9:10.0,,T. Harris makes 2-pt layup from 1 ft,2,5
23,1,8:49.0,G. Harris makes 2-pt layup from 1 ft (assist by J. Murray),,4,5
24,1,8:35.0,,Personal foul by G. Harris (drawn by T. Harris),4,5
25,1,8:29.0,,Personal foul by P. Millsap (drawn by D. Gallinari),4,5
26,1,8:18.0,,A. Bradley misses 2-pt jump shot from 17 ft,4,5
27,1,8:15.0,Defensive rebound by P. Millsap,,4,5
28,1,8:04.0,Personal foul by M. Gortat (drawn by N. Jokić),,4,5
29,1,7:59.0,W. Barton makes 3-pt jump shot from 27 ft (assist by J. Murray),,7,5
30,1,7:42.0,,T. Harris misses 3-pt jump shot from 24 ft,7,5
31,1,7:40.0,Defensive rebound by P. Millsap,,7,5
32,1,7:29.0,Turnover by P. Millsap (step out of bounds),,7,5
33,1,7:04.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by P. Beverley),7,8
34,1,6:56.0,Personal foul by P. Beverley (drawn by J. Murray),,7,8
35,1,6:56.0,,LA Clippers full timeout,7,8
36,1,6:49.0,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),,9,8
37,1,6:41.0,,Personal foul by W. Barton (drawn by T. Harris),9,8
38,1,6:27.0,,A. Bradley misses 2-pt jump shot from 7 ft,9,8
39,1,6:25.0,Defensive rebound by N. Jokić,,9,8
40,1,6:20.0,Personal foul by D. Gallinari (drawn by G. Harris),,9,8
41,1,6:15.0,Shooting foul by T. Harris (drawn by G. Harris),,9,8
42,1,6:15.0,G. Harris makes free throw 1 of 2,,10,8
43,1,6:15.0,G. Harris makes free throw 2 of 2,,11,8
44,1,6:01.0,,M. Gortat makes 2-pt jump shot from 12 ft,11,10
45,1,5:53.0,Personal foul by M. Gortat (drawn by N. Jokić),,11,10
46,1,5:53.0,N. Jokić makes free throw 1 of 2,,12,10
47,1,5:53.0,,M. Harrell enters the game for M. Gortat,12,10
48,1,5:53.0,N. Jokić makes free throw 2 of 2,,13,10
49,1,5:33.0,,T. Harris misses 2-pt jump shot from 9 ft,13,10
50,1,5:32.0,Defensive rebound by P. Millsap,,13,10
51,1,5:30.0,Personal foul by P. Beverley (drawn by N. Jokić),,13,10
52,1,5:30.0,N. Jokić makes free throw 1 of 2,,14,10
53,1,5:30.0,,S. Gilgeous-Alexander enters the game for P. Beverley,14,10
54,1,5:30.0,,L. Williams enters the game for A. Bradley,14,10
55,1,5:30.0,N. Jokić makes free throw 2 of 2,,15,10
56,1,5:13.0,,L. Williams makes 3-pt jump shot from 30 ft (assist by S. Gilgeous-Alexander),15,13
57,1,4:58.0,J. Murray makes 2-pt layup from 2 ft,,17,13
58,1,4:47.0,,D. Gallinari misses 3-pt jump shot from 24 ft,17,13
59,1,4:45.0,Defensive rebound by W. Barton,,17,13
60,1,4:38.0,G. Harris makes 2-pt layup from 3 ft (assist by W. Barton),,19,13
61,1,4:30.0,,LA Clippers full timeout,19,13
62,1,4:09.0,,M. Harrell misses 2-pt layup from 2 ft (block by W. Barton),19,13
63,1,4:07.0,Defensive rebound by P. Millsap,,19,13
64,1,3:51.0,N. Jokić misses 2-pt hook shot from 6 ft,,19,13
65,1,3:49.0,,Defensive rebound by T. Harris,19,13
66,1,3:37.0,,T. Harris misses 2-pt layup from 5 ft,19,13
67,1,3:37.0,,Offensive rebound by M. Harrell,19,13
68,1,3:34.0,,M. Harrell makes 2-pt dunk from 1 ft,19,15
69,1,3:17.0,P. Millsap misses 2-pt layup from 1 ft (block by M. Harrell),,19,15
70,1,3:11.0,Offensive rebound by P. Millsap,,19,15
71,1,3:11.0,P. Millsap misses 2-pt layup at rim,,19,15
72,1,3:10.0,,Defensive rebound by D. Gallinari,19,15
73,1,3:06.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,19,17
74,1,2:47.0,Shooting foul by D. Gallinari (drawn by N. Jokić),,19,17
75,1,2:47.0,N. Jokić makes free throw 1 of 2,,20,17
76,1,2:47.0,T. Lyles enters the game for P. Millsap,,20,17
77,1,2:47.0,M. Morris enters the game for J. Murray,,20,17
78,1,2:47.0,,L. Mbah a Moute enters the game for D. Gallinari,20,17
79,1,2:47.0,N. Jokić makes free throw 2 of 2,,21,17
80,1,2:32.0,,M. Harrell makes 2-pt hook shot from 3 ft (assist by L. Mbah a Moute),21,19
81,1,2:18.0,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),,24,19
82,1,2:08.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft,24,21
83,1,1:53.0,Personal foul by L. Mbah a Moute (drawn by T. Lyles),,24,21
84,1,1:53.0,T. Lyles makes free throw 1 of 2,,25,21
85,1,1:53.0,J. Hernangómez enters the game for W. Barton,,25,21
86,1,1:53.0,M. Plumlee enters the game for N. Jokić,,25,21
87,1,1:53.0,,M. Scott enters the game for T. Harris,25,21
88,1,1:53.0,T. Lyles makes free throw 2 of 2,,26,21
