,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:49.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,3,0
1,1,11:43.0,,B. Lopez misses 3-pt jump shot from 26 ft,3,0
2,1,11:42.0,Defensive rebound by J. Embiid,,3,0
3,1,11:27.0,M. Fultz makes 2-pt jump shot from 21 ft (assist by J. Embiid),,5,0
4,1,11:12.0,,K. Middleton misses 2-pt jump shot from 16 ft,5,0
5,1,11:05.0,Defensive rebound by J. Embiid,,5,0
6,1,11:03.0,Turnover by J. Embiid (bad pass),,5,0
7,1,10:50.0,,B. Lopez misses 3-pt jump shot from 22 ft,5,0
8,1,10:50.0,Defensive rebound by Team,,5,0
9,1,10:30.0,J. Embiid misses 2-pt jump shot from 15 ft,,5,0
10,1,10:30.0,,Defensive rebound by K. Middleton,5,0
11,1,10:26.0,,Shooting foul by B. Simmons (drawn by K. Middleton),5,0
12,1,10:26.0,,K. Middleton makes free throw 1 of 3,5,1
13,1,10:26.0,,K. Middleton makes free throw 2 of 3,5,2
14,1,10:26.0,,K. Middleton makes free throw 3 of 3,5,3
15,1,10:11.0,B. Simmons makes 2-pt layup from 1 ft (assist by M. Fultz),,7,3
16,1,10:02.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,7,3
17,1,10:02.0,,Offensive rebound by G. Antetokounmpo,7,3
18,1,10:02.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,7,5
19,1,10:02.0,,Shooting foul by D. Šarić (drawn by G. Antetokounmpo),7,5
20,1,10:02.0,,G. Antetokounmpo makes free throw 1 of 1,7,6
21,1,9:46.0,B. Simmons misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,7,6
22,1,9:46.0,Offensive rebound by B. Simmons,,7,6
23,1,9:40.0,B. Simmons misses 2-pt layup from 2 ft,,7,6
24,1,9:37.0,Offensive rebound by B. Simmons,,7,6
25,1,9:36.0,B. Simmons makes 2-pt layup from 1 ft,,9,6
26,1,9:10.0,,E. Bledsoe misses 3-pt jump shot from 30 ft,9,6
27,1,9:10.0,,Offensive rebound by E. Bledsoe,9,6
28,1,9:05.0,,Turnover by M. Brogdon (lost ball; steal by B. Simmons),9,6
29,1,9:04.0,Personal foul by M. Brogdon (drawn by B. Simmons),,9,6
30,1,8:56.0,R. Covington misses 2-pt jump shot from 16 ft,,9,6
31,1,8:54.0,,Defensive rebound by G. Antetokounmpo,9,6
32,1,8:41.0,,B. Lopez misses 3-pt jump shot from 27 ft,9,6
33,1,8:38.0,Defensive rebound by B. Simmons,,9,6
34,1,8:34.0,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),,11,6
35,1,8:21.0,,B. Lopez misses 3-pt jump shot from 28 ft,11,6
36,1,8:18.0,Defensive rebound by J. Embiid,,11,6
37,1,8:18.0,Personal foul by G. Antetokounmpo (drawn by J. Embiid),,11,6
38,1,8:08.0,J. Embiid makes 2-pt jump shot from 9 ft,,13,6
39,1,8:08.0,Shooting foul by B. Lopez (drawn by J. Embiid),,13,6
40,1,8:08.0,,Milwaukee full timeout,13,6
41,1,8:08.0,J. Embiid makes free throw 1 of 1,,14,6
42,1,7:55.0,,Turnover by G. Antetokounmpo (lost ball; steal by M. Fultz),14,6
43,1,7:50.0,B. Simmons makes 2-pt layup from 1 ft (assist by M. Fultz),,16,6
44,1,7:28.0,,M. Brogdon misses 2-pt jump shot from 11 ft,16,6
45,1,7:26.0,Defensive rebound by J. Embiid,,16,6
46,1,7:03.0,J. Embiid misses 2-pt hook shot from 4 ft,,16,6
47,1,7:00.0,,Defensive rebound by M. Brogdon,16,6
48,1,6:59.0,,Shooting foul by R. Covington (drawn by M. Brogdon),16,6
49,1,6:59.0,,M. Brogdon makes free throw 1 of 2,16,7
50,1,6:59.0,A. Johnson enters the game for J. Embiid,,16,7
51,1,6:59.0,J. Redick enters the game for M. Fultz,,16,7
52,1,6:59.0,,M. Brogdon makes free throw 2 of 2,16,8
53,1,6:46.0,R. Covington misses 2-pt jump shot from 8 ft,,16,8
54,1,6:46.0,,Defensive rebound by Team,16,8
55,1,6:46.0,Loose ball foul by A. Johnson (drawn by M. Brogdon),,16,8
56,1,6:46.0,,E. İlyasova enters the game for M. Brogdon,16,8
57,1,6:28.0,,E. Bledsoe misses 2-pt jump shot from 23 ft,16,8
58,1,6:25.0,Defensive rebound by B. Simmons,,16,8
59,1,6:21.0,R. Covington makes 3-pt jump shot from 27 ft (assist by B. Simmons),,19,8
60,1,6:12.0,,Turnover by G. Antetokounmpo (out of bounds lost ball),19,8
61,1,5:53.0,J. Redick misses 2-pt jump shot from 15 ft,,19,8
62,1,5:50.0,,Defensive rebound by E. İlyasova,19,8
63,1,5:44.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by E. Bledsoe),19,10
64,1,5:39.0,Turnover by R. Covington (traveling),,19,10
65,1,5:39.0,,J. Henson enters the game for B. Lopez,19,10
66,1,5:26.0,,J. Henson misses 3-pt jump shot from 23 ft,19,10
