,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:48.0,Personal foul by D. Favors (drawn by D. Jordan),,0,0
1,1,11:39.0,W. Matthews makes 2-pt hook shot from 8 ft (assist by D. Smith),,2,0
2,1,11:18.0,,D. Favors misses 2-pt jump shot from 17 ft,2,0
3,1,11:15.0,Defensive rebound by D. Jordan,,2,0
4,1,11:05.0,H. Barnes misses 2-pt layup from 4 ft (block by D. Favors),,2,0
5,1,11:05.0,Offensive rebound by Team,,2,0
6,1,11:04.0,Turnover by H. Barnes (lost ball; steal by R. Rubio),,2,0
7,1,10:57.0,,R. Rubio makes 2-pt jump shot from 12 ft,2,2
8,1,10:45.0,Turnover by D. Jordan (bad pass; steal by R. Rubio),,2,2
9,1,10:36.0,,D. Mitchell makes 2-pt jump shot from 16 ft,2,4
10,1,10:35.0,Dallas full timeout,,2,4
11,1,10:23.0,H. Barnes misses 2-pt layup from 4 ft (block by R. Gobert),,2,4
12,1,10:20.0,,Defensive rebound by D. Favors,2,4
13,1,10:12.0,,D. Mitchell misses 3-pt jump shot from 26 ft,2,4
14,1,10:10.0,Defensive rebound by L. Dončić,,2,4
15,1,10:06.0,D. Jordan misses 2-pt dunk from 2 ft,,2,4
16,1,10:04.0,,Defensive rebound by R. Gobert,2,4
17,1,9:52.0,,J. Ingles misses 3-pt jump shot from 27 ft,2,4
18,1,9:49.0,,Offensive rebound by R. Gobert,2,4
19,1,9:46.0,,R. Gobert misses 2-pt layup from 2 ft (block by D. Jordan),2,4
20,1,9:43.0,Defensive rebound by W. Matthews,,2,4
21,1,9:33.0,L. Dončić makes 2-pt jump shot from 6 ft,,4,4
22,1,9:14.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),4,7
23,1,9:05.0,Personal foul by D. Mitchell (drawn by W. Matthews),,4,7
24,1,8:59.0,W. Matthews misses 2-pt jump shot from 7 ft,,4,7
25,1,8:57.0,,Defensive rebound by R. Gobert,4,7
26,1,8:50.0,,R. Rubio misses 2-pt jump shot from 18 ft,4,7
27,1,8:47.0,Defensive rebound by H. Barnes,,4,7
28,1,8:39.0,D. Jordan misses 2-pt layup from 6 ft (block by D. Favors),,4,7
29,1,8:34.0,,Defensive rebound by R. Rubio,4,7
30,1,8:25.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),4,9
31,1,8:06.0,H. Barnes makes 2-pt jump shot from 16 ft (assist by D. Jordan),,6,9
32,1,7:53.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),6,12
33,1,7:40.0,D. Smith makes 2-pt jump shot from 15 ft,,8,12
34,1,7:14.0,,D. Favors makes 3-pt jump shot from 23 ft (assist by D. Mitchell),8,15
35,1,6:58.0,Turnover by L. Dončić (bad pass; steal by D. Favors),,8,15
